DateTime,AddedIPs,RemovedIPs
1570988861,1191,0
1571010480,826,0
1571028384,55,0
1571050224,1086,0
1571071572,879,2818
1571092877,663,0
1571114888,381,0
1571136820,584,0
1571150886,312,3122
1571170621,710,0
1571192218,684,0
1571213822,547,0
1571235440,744,2565
1571257044,667,0
1571278596,672,0
1571300220,953,0
1571321792,629,2000
1571343406,235,0
1571363237,421,0
1571373967,487,0
1571395879,773,0
1571417214,586,2560
1571438986,694,0
1571460381,631,0
1571481471,721,0
1571501881,195,2977
1571517997,685,0
1571539568,561,0
1571561176,491,0
1571582809,645,2596
1571604359,739,0
1571626015,607,0
1571647628,540,0
1571668370,657,2097
1571689130,458,0
1571710694,9,0
1571732474,437,0
1571745122,662,2727
1571763771,491,0
1571784795,453,0
1571806094,8,0
1571826954,969,0
1571842040,0,3107
1571863473,583,0
1571885264,661,0
1571906868,267,0
1571928486,876,2842
1571949527,750,0
1571969914,613,0
1571991454,378,0
1572013047,754,2461
1572050921,491,0
1572065253,519,0
1572087072,664,0
1572108495,461,1902
1572129856,700,0
1572151676,516,0
1572173248,1045,0
1572189912,0,3056
1572209395,806,0
1572227257,544,0
1572247076,579,0
1572268634,710,2952
1572288911,568,0
1572310127,510,0
1572319142,50,0
1572338879,340,0
1572360447,1034,2869
1572381078,798,0
1572401960,492,0
1572432454,716,0
1572454135,524,3242
1572475683,519,0
1572497266,520,0
1572517051,942,0
1572538477,294,3436
1572555221,259,0
1572572947,440,0
1572594506,289,0
1572616249,669,2588
1572632719,575,0
1572654151,93,0
1572662906,437,0
1572683385,465,0
1572701810,526,2577
1572735402,477,0
1572754605,538,0
1572773466,457,0
1572792602,542,2527
1572800549,62,0
1572821709,649,0
1572842804,516,0
1572860268,620,0
1572880621,848,2819
1572902218,536,0
1572923842,770,0
1572943623,171,0
1572956229,514,3068
1572976018,561,0
1572994025,599,0
1573013897,9,0
1573035397,262,0
1573055716,756,2991
1573073253,755,0
1573091226,342,0
1573112807,595,0
1573134480,538,2630
1573156038,893,0
1573177648,627,0
1573199273,246,0
1573217228,0,3012
1573260583,1302,0
1573267624,33,0
1573289204,1086,0
1573305456,3,2893
1573321573,568,0
1573343354,449,0
1573365036,410,0
1573386666,553,0
1573407995,513,2983
1573429448,597,0
1573451281,508,0
1573473294,469,0
1573487213,60,2420
1573505240,460,0
1573526828,434,0
1573548408,534,0
1573569997,601,2573
1573591650,1653,0
1573613353,10,0
1573634883,2358,0
1573656380,458,2503
1573676311,934,0
1573696095,952,0
1573717610,884,0
1573739209,749,2545
1573760801,652,0
1573782382,722,0
1573804039,626,0
1573825591,683,2346
1573847238,650,0
1573868828,636,0
1573890415,949,0
1573911974,868,2324
1573933675,912,0
1573955203,1,0
1573962427,8,0
1573984043,1526,0
1574003840,930,2376
1574025436,1214,0
1574063216,953,0
1574084798,1506,2780
1574106441,1409,0
1574127995,1302,0
1574149610,1637,0
1574171363,1171,2511
1574192869,1129,0
1574214500,1034,0
1574236050,1086,0
1574257678,557,2352
1574304561,13,0
1574326102,1469,0
1574345911,0,2454
1574365684,953,0
1574387293,699,0
1574398158,290,0
1574419661,862,0
1574439514,712,2118
1574461111,49,0
1574475464,618,0
1574495354,663,0
1574516952,807,1905
1574536688,852,0
1574558360,876,0
1574579928,1009,0
1574601519,519,2130
1574610477,55,0
1574632067,570,0
1574650078,10,0
1574671750,1433,0
1574693316,721,2322
1574704124,30,0
1574725595,759,0
1574747326,478,0
1574768106,970,0
1574788727,789,2585
1574808513,823,0
1574830074,352,0
1574851696,508,0
1574864353,634,2250
1574885886,520,0
1574907501,507,0
1574929143,829,0
1574950687,516,2551
1574972275,443,0
1574993879,13,0
1575015491,889,0
1575033545,198,2263
1575049671,663,0
1575067755,482,0
1575089317,259,0
1575110896,951,0
1575132479,636,2094
1575154087,645,0
1575175668,355,0
1575190057,467,0
1575211690,698,1992
1575233248,752,0
1575254921,650,0
1575276469,908,0
1575298106,596,1957
1575319782,584,0
1575341355,16,0
1575362906,999,0
1575384693,799,2734
1575398886,84,0
1575420465,971,0
1575436679,454,0
1575456460,1094,0
1575478183,713,4032
1575510638,724,0
1575532087,642,0
1575553765,658,3291
1575575223,777,0
1575596993,792,0
1575618525,987,0
1575640103,232,2388
1575652788,460,0
1575672556,594,0
1575694221,355,0
1575715855,791,0
1575737332,584,2418
1575758922,583,0
1575780525,432,0
1575802391,493,0
1575820153,199,3294
1575834546,535,0
1575856101,466,0
1575877721,685,0
1575899306,510,4245
1575920958,248,0
1575942475,281,0
1575946103,11,0
1575967723,727,0
1575985738,84,4451
1575998307,438,0
1576018229,413,0
1576039837,362,0
1576061296,521,0
1576082899,461,2719
1576091954,98,0
1576111820,602,0
1576133302,536,0
1576154925,218,0
1576169241,358,2017
1576190877,595,0
1576212446,356,0
1576234079,315,0
1576244825,339,0
1576264683,413,0
1576286262,438,0
1576307853,470,0
1576329431,319,0
1576342055,71,0
1576363632,411,0
1576378026,29,0
1576397782,140,0
1576407099,425,0
1576428448,409,0
1576450015,323,0
1576471667,333,0
1576491418,430,0
1576513037,37,0
1576518491,296,0
1576536528,118,0
1576666556,279,0
1579776820,3540,81956
1579798303,7933,0
1579819963,2164,0
1579841490,2112,0
1579863038,1718,1
1580073360,4233,0
1580094905,1451,0
1580114707,878,0
1580136213,896,0
1580171757,284,0
1580184877,431,0
1580206468,831,0
1580228046,609,0
1580249681,646,0
1580271297,415,0
1580292865,185,0
1580310875,407,0
1580332460,590,0
1580348658,523,0
1580368458,500,0
1580390180,646,0
1580411824,523,0
1580433285,574,0
1580454864,629,0
1580476462,365,0
1580485462,228,0
1580507128,595,0
1580525066,68,0
1580546682,1271,0
1580568253,437,0
1580575483,159,0
1580597063,509,0
1580618667,227,0
1580640375,587,0
1580662029,423,0
1580683463,479,0
1580705083,75,0
1580712285,314,0
1580733979,433,0
1580755501,449,0
1580777150,348,0
1580798681,404,0
1580804082,61,0
1580825678,385,0
1580847282,332,0
1580868937,34,0
1580901788,594,0
1580921124,418,0
1580942704,410,0
1580964290,215,0
1580985900,533,0
1581007485,388,0
1581029104,374,0
1581050750,367,0
1581057940,92,0
1581079491,466,0
1581101140,441,0
1581122730,457,0
1581144457,572,0
1581171147,553,0
1581192963,478,0
1581214530,63,0
1581236185,1022,0
1581257674,189,0
1581270275,804,0
1581291055,1083,0
1581309911,431,0
1581331513,857,0
1581353148,768,0
1581374724,575,0
1581396311,519,0
1581417928,33,0
1581426924,545,0
1581448532,488,0
1581470150,528,0
1581491723,677,0
1581513405,501,52
1581540361,142,0
1581562097,766,0
1581583594,1158,0
1581605163,1012,3834
1581626817,873,0
1581648421,53,0
1581669997,783,0
1581691579,1073,0
1581706001,1021,0
1581727629,955,0
1581741988,271,0
1581763553,1140,0
1581785136,1122,0
1581806729,161,0
1581821139,1020,0
1581839100,778,0
1581860991,979,2090
1581882335,754,0
1581903927,806,0
1581925518,918,0
1581947191,787,1756
1581968713,655,0
1581990636,71,0
1581992149,4,0
1582022735,1178,36
1582044383,937,2074
1582065910,907,0
1582085733,599,0
1582107326,948,0
1582128935,312,2073
1582137965,415,0
1582157918,898,0
1582179363,750,0
1582201007,643,1369
1582222553,750,0
1582244325,146,0
1582253216,479,0
1582273079,529,0
1582291010,0,2018
1582375576,0,2055
1582458823,0,1936
1582523195,1948,0
1582544947,1929,1373
1582566372,1384,0
1582587486,148,0
1582602435,864,0
1582623978,904,0
1582645606,743,1628
1582667228,705,0
1582688817,58,0
1582710462,1414,0
1582731991,1122,1746
1582753572,1045,0
1582775172,294,0
1582796840,1062,0
1582814817,4,1922
1582836433,720,0
1582858004,712,0
1582876164,709,0
1582897591,854,1117
1582917434,828,0
1582939114,794,0
1582960645,1114,0
1582980761,0,1564
1583000196,766,0
1583021887,696,0
1583041568,15,0
1583062412,1378,2340
1583082993,807,0
1583102779,692,0
1583124827,276,0
1583149788,0,2336
1583246756,0,1995
1583288466,1878,0
1583309827,487,0
1583329557,697,1318
1583351204,641,0
1583372788,579,0
1583390816,420,0
1583412412,649,2235
1583433972,522,0
1583455589,550,0
1583477194,16,0
1583494079,601,2194
1583515038,527,0
1583534793,614,0
1583556495,14,0
1583576227,876,0
1583597822,604,2330
1583619351,550,0
1583640975,224,0
1583662573,791,0
1583684174,322,2286
1583703981,187,0
1583725554,557,0
1583745384,497,0
1583765184,530,3009
1583785087,548,0
1583806655,538,0
1583828233,613,0
1583849780,446,2911
1583869653,550,0
1583909149,12,0
1583927376,816,3104
1583949023,661,0
1583966043,583,0
1583986750,230,0
1584008163,94,0
1584029323,708,2374
1584049597,847,0
1584068453,49,0
1584087373,384,0
1584107147,996,0
1584127016,770,0
1584148693,617,0
1584170223,501,0
1584191857,603,0
1584213379,530,0
1584235020,516,0
1584256545,637,0
1584278181,175,0
1584294402,260,0
1584315635,545,0
1584326811,2,0
1584348354,873,0
1584369939,322,0
1584387971,283,1
1584409749,547,0
1584427600,196,0
1584449238,738,0
1584470846,550,0
1584492443,544,0
1584514006,482,0
1584535591,530,0
1584557221,530,0
1584577450,63,0
1584597597,404,0
1584611210,576,0
1584630993,453,0
1584652651,472,0
1584672502,10,0
1584694079,734,0
1584715683,123,0
1584726535,469,0
1584747758,469,0
1584769693,345,0
1584787643,202,0
