DateTime,AddedIPs,RemovedIPs
1583118360,2,1
1583121967,2,8
1583125553,0,6
1583129152,8,1
1583132758,5,6
1583136357,5,8
1583139960,1,3
1583143567,3,5
1583147161,14,3
1583150760,3,2
1583154373,1,0
1583157963,1,1
1583161563,2,3
1583165151,3,1
1583168777,0,1
1583172372,1,3
1583175958,2,5
1583179563,1,6
1583183178,5,1
1583186773,5,8
1583190370,11,4
1583193955,3,3
1583197549,0,2
1583201178,4,2
1583204753,0,3
1583208370,2,0
1583211958,3,9
1583215542,3,3
1583219144,8,5
1583222757,7,2
1583226350,2,2
1583229957,1,2
1583233551,2,3
1583237152,4,1
1583240761,2,1
1583244362,4,1
1583247945,1,4
1583251553,3,1
1583255147,3,2
1583258752,0,3
1583262349,0,3
1583265961,3,1
1583269563,0,1
1583273161,2,1
1583276770,0,1
1583280355,1,1
1583283961,1,1
1583287557,3,2
1583291159,1,1
1583294748,0,2
1583298359,3,2
1583301963,2,5
1583305545,2,3
1583309141,5,2
1583312753,3,2
1583316353,4,3
1583319949,2,2
1583323539,4,9
1583327142,4,2
1583330757,1,3
1583334351,2,3
1583337949,3,4
1583341550,1,1
1583345137,4,1
1583348734,4,3
1583352349,3,1
1583355957,2,1
1583359545,2,3
1583363148,2,4
1583366766,3,1
1583370347,1,3
1583373951,3,4
1583377559,5,0
1583381154,2,6
1583384755,3,2
1583388349,2,3
1583391960,4,3
1583395548,2,5
1583399181,2,4
1583402764,6,3
1583406354,3,0
1583409968,2,2
1583413556,2,1
1583417170,2,3
1583420756,1,4
1583424359,1,2
1583427951,6,5
1583431554,2,3
1583435160,4,2
1583438758,5,0
1583442358,2,0
1583445972,1,2
1583449559,1,5
1583453156,1,2
1583456764,1,3
1583460371,3,1
1583463967,2,2
1583467553,3,2
1583471163,4,2
1583474751,1,6
1583478352,6,1
1583481948,0,2
1583485541,1,6
1583489148,1,1
1583492752,3,4
1583496352,2,3
1583499947,7,1
1583503540,2,0
1583507156,1,2
1583510744,2,3
1583514361,1,4
1583517941,3,1
1583521543,3,2
1583525156,1,0
1583528756,1,1
1583532350,1,4
1583535957,3,3
1583539550,2,0
1583543152,1,2
1583546746,2,0
1583550353,3,1
1583553947,2,7
1583557539,3,3
1583561159,4,3
1583564754,3,2
1583568344,0,3
1583571950,1,1
1583575538,1,1
1583579153,2,1
1583582741,1,1
1583586364,2,2
1583589936,6,1
1583593539,2,3
1583597139,4,3
1583600752,1,2
1583604341,2,2
1583607955,0,5
1583611559,0,3
1583615147,2,3
1583618758,6,2
1583622348,3,1
1583625972,2,3
1583629564,2,2
1583633171,3,0
1583636764,3,1
1583640354,3,7
1583643953,3,3
1583647559,0,2
1583651153,2,2
1583654771,2,1
1583658367,1,1
1583661962,2,2
1583665556,1,1
1583669147,1,0
1583672752,2,2
1583676342,2,4
1583679960,4,6
1583683545,2,1
1583687159,2,3
1583690757,5,5
1583694347,4,3
1583697948,1,1
1583701553,0,2
1583705162,1,3
1583708758,2,3
1583712358,4,3
1583715949,2,3
1583719552,6,0
1583723157,0,1
1583726752,0,1
1583730353,3,1
1583733936,4,3
1583737557,3,3
1583741145,1,1
1583744752,2,2
1583748355,3,3
1583751950,4,12
1583755561,11,3
1583759165,4,2
1583762749,3,1
1583766348,0,2
1583769952,1,3
1583773542,2,2
1583777153,0,3
1583780741,3,3
1583784343,0,1
1583787958,3,0
1583791565,3,1
1583795156,3,1
1583798779,1,2
1583802351,3,3
1583805946,1,4
1583809554,0,1
1583813149,4,5
1583816756,3,0
1583820349,1,4
1583823941,2,3
1583827535,3,4
1583831146,7,0
1583834755,0,1
1583838359,2,1
1583841956,4,7
1583845553,2,3
1583849165,1,2
1583852743,4,2
1583856329,5,3
1583859947,2,4
1583863560,1,1
1583867148,2,0
1583870745,1,1
1583874349,0,6
1583877962,4,3
1583881558,2,0
1583888757,2,1
1583892358,2,1
1583895952,0,3
1583899552,3,2
1583903165,4,3
1583906754,3,5
1583910357,3,4
1583913945,2,2
1583917541,3,1
1583921147,1,0
1583924756,2,2
1583928351,1,2
1583931946,4,2
1583935552,2,3
1583939159,4,4
1583942769,1,0
1583946359,2,9
1583949954,0,5
1583953549,5,1
1583957165,6,4
1583960762,5,1
1583964372,1,0
1583967963,1,2
1583971553,1,0
1583975169,2,2
1583978767,1,2
1583982357,3,1
1583985963,2,4
1583989565,1,4
1583993165,2,2
1583996763,3,1
1584000366,4,10
1584003958,9,3
1584007573,2,5
1584011161,1,1
1584014764,5,2
1584021969,3,4
1584025558,2,0
1584029166,2,8
1584032767,9,2
1584036368,2,4
1584039966,1,4
1584043558,0,1
1584047166,4,8
1584050765,6,4
1584054359,5,5
1584057966,2,0
1584061565,4,3
1584065141,4,9
1584068749,7,4
1584072350,6,0
1584075955,0,4
1584079551,3,0
1584083155,4,0
1584086743,0,3
1584090343,3,4
1584093952,2,3
1584097549,5,2
1584101152,3,3
1584104743,2,6
1584108344,2,0
1584111956,4,3
1584115560,2,14
1584119156,10,3
1584122746,3,0
1584126352,4,1
1584129948,1,1
1584144378,3,1
1584147959,2,5
1584151551,2,2
1584155148,4,4
1584158757,1,4
1584162349,6,2
1584165952,2,2
1584169557,3,2
1584176755,1,4
1584180352,0,5
1584183946,2,4
1584187545,1,0
1584191148,8,1
1584194753,4,1
1584198347,3,2
1584201951,0,3
1584205548,2,3
1584209138,2,5
1584212752,1,1
1584216346,6,3
1584219945,3,0
1584223548,2,4
1584227154,1,3
1584230763,2,3
1584234346,2,1
1584237947,1,0
1584241549,0,2
1584245150,3,1
1584248752,0,2
1584252347,1,1
1584255964,0,2
1584259580,4,4
1584263149,4,2
1584266752,4,1
1584273953,1,1
1584277555,3,1
1584281149,1,1
1584284758,2,1
1584288354,0,2
1584291957,1,1
1584295550,1,1
1584299144,0,1
1584302761,2,1
1584306340,0,2
1584309957,1,1
1584313563,3,1
1584317159,0,3
1584324350,3,0
1584327942,2,0
1584331554,2,3
1584335156,1,2
1584338747,2,3
1584342349,0,2
1584345964,1,1
1584349546,4,3
1584353147,4,0
1584356740,1,4
1584360348,1,2
1584363948,3,12
1584367557,9,2
1584371137,4,2
1584374753,3,1
1584378338,2,1
1584381943,1,4
1584385542,2,1
1584389142,2,2
1584392739,2,0
1584396338,1,4
1584399954,3,3
1584403581,4,3
1584407153,1,2
1584410740,1,1
1584414344,3,1
1584417951,1,3
1584421549,1,0
1584425142,1,2
1584428755,3,2
1584432344,4,2
1584435947,3,4
1584439564,2,3
1584443165,3,4
1584446757,2,1
1584450365,0,5
1584453953,5,11
1584457566,4,4
1584461162,14,1
1584468363,1,1
1584471954,0,1
1584475559,1,0
1584479163,1,1
1584482761,2,9
1584486352,8,0
1584489977,1,1
1584493567,1,4
1584497160,2,1
1584500764,3,2
1584504372,4,1
1584507976,1,4
1584511575,2,1
1584515154,3,4
1584518775,1,1
1584522356,1,2
1584525963,2,2
1584529563,3,6
1584533149,3,3
1584536758,2,3
1584540371,1,7
1584543948,11,4
1584547561,3,0
1584551170,0,3
1584554769,0,2
1584558361,3,6
1584561957,7,8
1584565571,2,3
1584569159,8,0
1584572751,1,1
1584576410,1,3
1584579956,3,1
1584583547,1,1
1584587151,1,1
1584590768,3,4
1584594373,3,0
1584597951,3,2
1584601566,3,3
1584605150,2,3
1584608772,3,3
1584612365,0,10
1584615961,12,1
1584619564,1,4
1584623163,4,2
1584626749,1,1
1584630359,1,4
1584633957,4,2
1584637572,0,3
1584641152,2,9
1584644756,5,7
1584648358,6,0
1584651955,2,1
1584659169,1,1
1584662764,1,1
1584666351,1,3
1584669955,6,1
1584673560,5,0
1584677162,3,1
1584680745,1,2
1584684351,2,4
1584687966,2,3
1584691567,3,0
1584695174,2,1
1584698761,1,3
1584702361,1,1
1584705960,1,4
1584709547,3,2
1584713157,2,1
1584716745,1,1
1584720357,2,3
1584723954,1,2
1584727537,0,5
1584731165,5,2
1584734763,1,2
1584738346,5,1
1584741942,4,7
1584749158,0,4
1584752763,3,3
1584756346,6,5
1584759953,1,0
1584763548,3,0
1584767142,0,1
1584770766,0,5
1584774364,3,2
1584777959,4,0
1584781556,0,12
1584785155,7,0
1584788745,0,1
1584792356,4,5
1584795963,2,2
1584799555,3,2
1584803154,3,2
1584806759,3,6
1584810337,8,0
1584813953,1,2
1584817553,2,1
1584821148,3,3
1584824758,1,3
1584828354,3,2
1584831952,1,1
1584835561,0,4
1584842763,1,0
1584849966,1,1
1584853539,3,0
1584857149,2,1
1584860761,1,3
1584864354,3,1
1584867954,0,4
1584871558,5,1
1584875158,1,3
1584878741,4,1
1584882379,1,3
1584885967,1,2
1584889561,0,1
1584893164,2,2
1584896767,2,1
1584900355,0,2
1584903970,1,0
1584907560,0,4
1584911171,2,1
1584914752,3,1
1584918363,2,2
1584921976,1,2
1584925560,3,2
1584929170,2,1
1584932769,1,3
1584936361,3,2
1584939960,3,1
1584943560,3,2
1584947159,2,1
1584950756,1,3
1584954354,3,2
1584957966,1,4
1584961559,3,0
