DateTime,AddedIPs,RemovedIPs
1580360610,1,0
1580364221,5,0
1580382232,0,1
1580385828,0,1
1580396637,0,1
1580400220,2,0
1580407432,1,0
1580411027,0,1
1580418229,1,0
1580425430,0,5
1580429007,1,0
1580432627,0,1
1580436232,5,0
1580457828,0,1
1580465029,0,1
1580468629,1,0
1580472221,0,4
1580479434,1,0
1580483026,4,1
1580486625,1,0
1580515407,0,5
1580529830,1,0
1580544226,4,0
1580547828,0,1
1580558631,0,5
1580562226,1,0
1580565832,4,0
1580569435,1,0
1580576626,0,1
1580583832,0,1
1580587428,2,0
1580598236,0,1
1580605433,1,0
1580609036,0,1
1580616232,0,1
1580634223,1,0
1580659425,0,1
1580663032,1,0
1580677427,0,1
1580684629,1,0
1580702621,0,1
1580713401,1,0
1580720605,0,1
1580735008,1,0
1580756601,0,2
1580760200,1,0
1580763806,1,0
1580774606,0,4
1580778214,0,1
1580789012,1,1
1580792606,1,1
1580803423,5,0
1580825028,1,0
1580835827,0,1
1580839425,0,1
1580846627,0,4
1580850214,6,0
1580864624,0,5
1580868215,1,0
1580882621,0,1
1580886216,0,2
1580889821,6,0
1580893424,1,0
1580904218,0,1
1580907817,1,0
1580915020,0,1
1580925825,0,5
1580929416,1,0
1580933028,1,1
1580936621,0,1
1580940224,1,0
1580947400,5,0
1580961815,0,2
1580969019,2,0
1580976221,0,4
1580979827,4,0
1580994218,0,1
1581005024,1,1
1581019422,1,0
1581023030,0,1
1581030223,1,3
1581033800,0,1
1581044620,0,4
1581055425,4,0
1581066223,2,0
1581069813,0,4
1581098623,0,1
1581102219,0,1
1581116625,1,1
1581120191,2,0
1581174215,0,1
1581177815,1,1
1581185024,1,0
1581192223,0,1
1581199431,1,1
1581203012,2,0
1581213813,0,1
1581217411,0,1
1581221020,1,0
1581257021,0,1
1581260626,1,1
1581264224,1,0
1581275022,0,1
1581285832,0,1
1581296624,1,0
1581303823,1,0
1581321820,0,1
1581325430,1,0
1581339827,0,1
1581343419,0,1
1581347025,1,0
1581350619,1,0
1581361418,0,1
1581365024,1,0
1581408221,0,2
1581422627,0,1
1581426223,1,0
1581429825,1,0
1581444219,0,1
1581451422,1,0
1581455015,0,1
1581465788,0,1
1581473020,1,0
1581483809,0,1
1581494617,1,0
1581505411,0,1
1581516217,1,0
1581534214,0,2
1581537814,1,1
1581541421,1,0
1581555813,0,1
1581559407,0,1
1581570207,0,1
1581573813,1,0
1581584613,1,1
1581591812,1,0
1581595411,1,0
1581599012,1,1
1581602612,1,0
1581606206,0,2
1581609814,1,0
1581613406,0,1
1581617006,1,1
1581624213,0,1
1581627820,1,0
1581631404,0,1
1581645820,2,0
1581660215,0,1
1581663808,1,0
1581689015,0,1
1581692612,1,0
1581696212,0,1
1581703416,1,0
1581717821,0,1
1581725021,1,0
1581728609,0,1
1581739403,0,1
1581746601,0,1
1581750215,1,0
1581753806,1,0
1581757417,1,0
1581771826,0,1
1581782609,1,0
1581789830,0,1
1581793421,1,0
1581797009,0,1
1581800620,1,0
1581815009,0,2
1581818614,2,0
1581833024,0,1
1581836619,0,1
1581840218,1,1
1581843819,1,0
1581851013,1,0
1581861812,0,1
1581865400,1,0
1581879815,0,1
1581883422,0,1
1581887015,1,0
1581908611,1,0
1581923023,0,1
1581926607,0,1
1581933815,1,1
1581944620,1,1
1581948212,1,0
1581951819,1,0
1581955414,1,0
1581959011,0,2
1581962613,1,0
1582016634,0,1
1582023822,1,0
1582052615,0,1
1582056222,1,0
1582070591,0,1
1582085024,0,1
1582088617,2,0
1582103026,0,1
1582113823,1,1
1582117423,1,1
1582124609,1,0
1582128219,0,1
1582146223,1,0
1582153433,0,1
1582157008,1,0
1582171428,0,1
1582175031,1,1
1582178629,1,0
1582185820,1,1
1582193023,0,1
1582200227,0,1
1582203823,1,0
1582207432,1,0
1582214630,0,2
1582218232,2,0
1582225425,0,1
1582229024,1,0
1582250614,0,2
1582261420,1,0
1582268617,1,0
1582283025,0,1
1582290218,0,1
1582293827,1,0
1582297426,1,1
1582304626,1,0
1582319021,0,1
1582333419,1,0
1582376617,0,1
1582383821,1,1
1582412631,1,0
1582427012,0,2
1582430605,1,2
1582434213,1,0
1582437812,1,0
1582445009,1,1
1582452209,0,1
1582455811,0,1
1582459409,1,0
1582463015,1,0
1582473799,1,0
1582488204,0,1
1582506208,1,1
1582509801,1,0
1582520608,0,1
1582524194,0,1
1582527807,1,0
1582538607,1,1
1582542206,1,1
1582545815,1,1
1582549409,1,0
1582556606,0,1
1582560216,1,1
1582567401,0,2
1582571000,1,1
1582581803,2,0
1582603414,0,1
1582607012,1,0
1582610615,3,0
1582614202,0,1
1582617804,0,1
1582621404,1,1
1582628606,0,1
1582632207,1,0
1582639408,1,1
1582650200,1,1
1582657399,1,0
1582668210,0,1
1582675408,1,0
1582689806,0,2
1582697003,1,1
1582700623,1,0
1582715007,0,1
1582718612,2,0
1582722216,0,1
1582733025,1,0
1582736615,0,1
1582747414,1,0
1582754611,0,2
1582758216,2,0
1582761817,0,1
1582765420,1,0
1582779821,0,1
1582790623,1,1
1582794228,1,0
1582819428,0,1
1582823035,1,0
1582826628,0,1
1582837437,0,1
1582841029,0,1
1582848208,2,0
1582851835,1,0
1582866232,0,1
1582884234,1,0
1582887835,0,1
1582898632,0,1
1582902224,1,0
1582913023,1,0
1582927419,0,1
1582931025,0,2
1582934641,2,1
1582938228,1,0
1582959839,1,0
1582970626,0,1
1582974229,0,1
1582981421,1,0
1582992226,1,0
1582995831,0,2
1582999432,1,1
1583003015,2,0
1583006626,0,1
1583017430,0,1
1583020999,1,0
1583031827,1,0
1583042635,0,1
1583046205,1,0
1583049807,0,1
1583060606,1,0
1583067809,0,1
1583075007,1,0
1583093027,0,1
1583096605,1,0
1583103808,0,1
1583107386,1,0
1583129012,0,1
1583132617,1,0
1583139816,0,1
1583147018,0,1
1583150617,1,0
1583165014,1,0
1583193784,0,1
1583201020,1,1
1583208218,0,1
1583211802,1,0
1583215404,0,1
1583233404,1,0
1583237013,1,0
1583240609,0,1
1583244215,1,0
1583251406,1,1
1583255009,0,1
1583262205,1,0
1583265818,1,0
1583273012,0,1
1583276618,0,1
1583280192,2,0
1583294607,0,2
1583298211,1,1
1583301814,0,1
1583305403,3,0
1583319804,0,2
1583323393,1,0
1583326998,1,0
1583341409,0,2
1583352209,1,0
1583355810,1,0
1583362999,0,1
1583366611,1,0
1583377404,0,1
1583381006,0,2
1583388202,2,0
1583395410,1,0
1583402617,0,1
1583417022,0,1
1583420616,1,0
1583431415,1,0
1583445815,0,1
1583449412,1,0
1583474612,0,1
1583478204,1,0
1583492603,0,1
1583496202,1,1
1583503391,1,0
1583535808,0,2
1583539401,1,0
1583568197,1,0
1583582595,0,1
1583597001,0,1
1583600603,1,0
1583604199,1,0
1583640214,0,1
1583643806,1,0
1583651012,0,1
1583658224,0,1
1583665420,1,0
1583669008,1,0
1583683404,0,2
1583687013,1,1
1583694208,1,0
1583701407,1,0
1583726607,0,1
1583730210,1,0
1583741004,0,1
1583744605,1,1
1583755408,1,2
1583759014,1,1
1583762606,1,0
1583769810,1,0
1583809410,0,1
1583813000,0,1
1583816608,2,0
1583831002,0,1
1583834608,1,0
1583838205,0,1
1583845410,0,1
1583849008,0,1
1583852600,2,0
1583856190,1,0
1583859805,1,0
1583863410,0,1
1583867007,0,1
1583870603,1,0
1583899409,0,1
1583913806,1,1
1583928203,0,1
1583931807,2,0
1583996615,0,1
1584000218,1,0
1584014616,0,1
1584021812,1,0
1584029017,0,1
1584032623,1,0
1584047017,0,1
1584054218,0,1
1584057794,2,0
1584133410,0,1
1584140615,1,0
1584158613,0,1
1584162212,1,1
1584165813,1,1
1584169415,1,0
1584176614,0,1
1584180214,1,0
1584191005,0,1
1584194614,1,0
1584205409,0,2
1584208997,1,0
1584219807,1,0
1584259428,0,2
1584266608,2,0
1584273809,1,0
1584284608,0,1
1584291812,0,1
1584302619,1,0
1584309807,0,1
1584317012,1,0
1584331413,0,1
1584335001,2,0
1584342204,0,1
1584353006,0,1
1584360204,1,0
1584385404,0,1
1584392597,1,0
1584396198,0,1
1584399808,1,0
1584425003,0,1
1584428610,0,1
1584432199,0,1
1584435805,2,0
1584446613,1,0
1584450222,0,1
1584453815,0,1
1584457421,1,0
1584464619,1,0
1584468223,0,1
1584471813,1,0
1584489821,0,1
1584504225,1,1
1584525820,1,0
1584547416,0,1
1584554622,0,2
1584558216,2,0
1584561812,1,0
1584597814,0,1
1584601419,1,0
1584633809,0,2
1584637417,1,0
1584644614,1,0
1584659024,0,1
1584662600,1,0
1584669808,0,1
1584673417,1,0
1584687821,0,1
1584695020,1,0
1584756213,0,1
1584759809,1,0
1584770617,0,1
1584774227,0,1
1584777815,0,1
1584781413,2,0
1584810206,0,1
1584824619,0,1
1584828214,1,0
1584842620,1,0
1584893022,0,2
1584900215,0,1
1584903822,3,0
1584918226,0,1
1584921825,1,1
1584932613,1,0
1584950613,0,1
1584957817,1,0
