DateTime,AddedIPs,RemovedIPs
1583961623,501,895
1583963530,615,549
1583965451,514,517
1583967387,592,612
1583969287,540,523
1583972179,487,896
1583974097,187,624
1583976012,185,636
1583977926,207,639
1583979859,227,512
1583981771,260,617
1583983692,239,665
1583986587,359,1014
1583988494,269,595
1583990410,547,838
1583992332,3144,564
1583994254,253,561
1583996171,259,597
1583998090,263,582
1584000972,1504,810
1584002902,311,559
1584004885,710,505
1584006742,273,504
1584008683,251,479
1584010579,334,461
1584012488,250,493
1584014460,305,531
1584016339,315,425
1584018262,251,501
1584020202,236,436
1584022139,248,461
1584024027,301,386
1584025966,273,441
1584027855,317,395
1584029778,209,367
1584031693,236,411
1584033641,197,465
1584035556,169,489
1584037477,186,399
1584039370,177,406
1584041291,191,507
1584044171,229,782
1584046105,176,579
1584048020,382,498
1584049940,560,594
1584051851,257,526
1584053774,593,574
1584055690,543,557
1584058574,734,487
1584060501,622,196
1584062412,482,204
1584064339,508,215
1584066279,445,195
1584068175,488,219
1584070095,459,325
1584072058,586,447
1584073933,1299,208
1584076115,1482,280
1584078014,2151,814
1584079948,1194,2752
1584081853,942,427
1584083778,912,562
1584085700,591,660
1584087629,718,1575
1584089534,1052,698
1584091461,671,658
1584093373,484,490
1584095295,741,260
1584097246,600,288
1584099150,709,296
1584101333,472,323
1584103212,490,304
1584105135,707,243
1584107053,406,229
1584108973,359,263
1584110898,346,288
1584112813,317,206
1584114732,347,255
1584117613,482,400
1584119532,367,183
1584121453,234,188
1584123384,201,162
1584125311,232,169
1584127222,213,203
1584129149,169,157
1584131058,162,153
1584132968,163,165
1584134889,175,488
1584137775,230,632
1584139702,157,661
1584141609,150,598
1584143530,170,671
1584145471,182,551
1584147366,170,715
1584149289,165,623
1584152176,272,886
1584154107,159,615
1584156014,155,540
1584157927,192,1060
1584159881,200,723
1584161783,173,581
1584163703,502,577
1584166583,1603,1682
1584168496,614,813
1584170409,252,658
1584172326,169,521
1584174252,163,719
1584176171,175,1082
1584178093,158,655
1584180975,243,1206
1584182894,194,729
1584184837,193,636
1584186730,176,1147
1584188651,163,664
1584190570,265,1372
1584192505,192,693
1584195381,280,952
1584197534,191,604
1584199450,174,646
1584201372,364,605
1584203307,445,551
1584205253,202,613
1584207140,213,534
1584209074,213,163
1584210972,202,258
1584212894,197,272
1584214811,756,212
1584216733,752,150
1584218652,704,160
1584220685,685,166
1584222505,732,125
1584224410,612,158
1584226358,601,153
1584228253,544,141
1584230167,641,167
1584232091,614,148
1584234975,782,244
1584236893,175,175
1584238813,146,128
1584240734,151,168
1584242651,184,217
1584244568,138,450
1584246489,149,174
1584249373,242,227
1584251290,152,877
1584253208,127,1266
1584255128,187,499
1584257078,160,152
1584258971,205,154
1584260887,162,151
1584263775,297,225
1584265690,196,149
1584267631,203,124
1584269528,160,160
1584271460,170,166
1584273387,200,149
1584275287,264,143
1584278175,396,309
1584280111,637,163
1584282026,438,132
1584283940,289,158
1584285868,269,157
1584287789,282,310
1584289705,2215,364
1584291636,403,153
1584293556,1050,155
1584295466,181,177
1584297375,120,165
1584299321,132,190
1584301218,114,235
1584303150,240,249
1584305070,486,178
1584306979,295,163
1584308911,316,168
1584310813,275,128
1584312728,237,159
1584314674,172,174
1584316569,195,169
1584318495,1050,137
1584321373,1591,239
1584323546,1723,175
1584325469,1065,223
1584327371,1182,339
1584329293,1007,526
1584331284,1159,548
1584333138,991,356
1584335079,1208,375
1584336983,1988,449
1584338915,1325,396
1584340815,1281,498
1584342736,1229,449
1584344670,1266,501
1584346835,1334,513
1584348758,1298,209
1584350653,1187,146
1584352587,1324,167
1584354490,1291,180
1584357405,1667,223
1584359291,867,161
1584361214,872,193
1584363132,927,214
1584365060,735,193
1584366969,1059,327
1584368896,815,242
1584370841,975,191
1584372756,559,289
1584374918,231,289
1584376816,259,1488
1584378738,343,688
1584380675,192,644
1584386411,1010,510
1584388338,154,138
1584390263,215,327
1584392492,3823,333
1584394353,3030,193
1584396522,2151,269
1584398411,2331,187
1584400339,2626,131
1584402268,2853,163
1584404183,2124,467
1584406092,2893,1145
1584408031,2557,995
1584409952,4570,1275
1584411871,3358,855
1584413793,3064,968
1584415694,1707,885
1584418596,2435,1332
1584420492,1629,911
1584422439,1393,852
1584424330,2266,1740
1584426255,1892,698
1584428190,1979,876
1584430089,1891,710
1584432054,1758,790
1584433934,1372,645
1584436114,1802,840
1584438014,1961,656
1584439950,1737,764
1584441858,484,790
1584444022,394,818
1584445933,287,671
1584447855,203,628
1584449785,192,784
1584451697,139,652
1584454596,1080,1475
1584456510,240,735
1584458429,278,671
1584460333,167,217
1584462254,171,179
1584464171,723,387
1584466089,1290,145
1584468064,367,249
1584469938,227,325
1584472124,393,329
1584474014,597,150
1584475952,284,159
1584477854,212,1649
1584479782,221,2662
1584481714,207,2330
1584483615,220,1584
1584485533,203,2623
1584487467,171,2329
1584489370,220,2598
1584491537,444,2032
1584493474,181,2390
1584495392,184,4158
1584497302,215,4353
1584499246,287,4400
1584501164,525,2859
1584503084,511,3479
1584505027,539,2213
1584506907,418,2560
1584508822,265,2052
1584510732,213,2597
1584512669,204,2258
1584514574,256,2497
1584516511,202,2286
1584518448,153,2172
1584520334,217,1846
1584522785,224,2648
1584524671,1274,2345
1584526572,640,1865
1584528511,216,240
1584530434,164,283
1584532334,143,277
1584534273,186,223
1584536180,215,163
1584538099,142,146
1584540057,148,940
1584541933,137,298
1584544107,257,360
1584546013,1232,290
1584547951,1039,212
1584550030,138,263
1584551890,160,155
1584553693,159,144
1584555631,171,193
1584557556,228,429
1584559451,155,969
1584561393,153,1354
1584563290,166,527
1584566180,215,739
1584568087,146,465
1584570030,476,417
1584571935,1084,691
1584573848,1382,156
1584575818,490,329
1584577688,440,378
1584579660,116,250
1584581548,137,285
1584583714,152,415
1584585618,114,302
1584587531,118,625
1584589468,111,656
1584591373,131,696
1584593309,118,525
1584595241,489,400
1584597128,3193,302
1584599047,154,396
1584600983,114,275
1584602891,119,193
1584605775,188,229
1584607704,90,183
1584609627,111,278
1584611530,164,1195
1584613450,184,486
1584615384,605,177
1584617291,783,166
1584619242,812,151
1584621150,369,215
1584623317,209,223
1584625219,165,186
1584627138,148,136
1584629067,247,128
1584630973,539,563
1584632895,816,1259
1584634823,128,715
1584636748,166,136
1584638675,134,138
1584640587,168,179
1584642494,165,148
1584645379,260,273
1584647299,900,147
1584649221,696,156
1584651129,282,160
1584653078,152,162
1584654979,237,151
1584656898,116,734
1584659778,260,1978
1584661702,143,643
1584663624,141,148
1584665547,134,445
1584667456,154,164
1584669381,123,172
1584671291,198,136
1584673237,129,161
1584675144,160,159
1584677092,148,143
1584678983,131,163
1584681020,2344,148
1584682824,3652,883
1584685701,154,2988
1584687639,136,150
1584689550,226,162
1584691469,129,129
1584693387,153,151
1584695302,127,107
1584697216,163,151
1584699400,163,197
1584701298,171,471
1584703211,163,767
1584705144,172,943
1584707056,187,593
1584708969,187,223
1584710902,122,176
1584712841,133,165
1584715696,219,365
1584717610,123,791
1584719554,271,813
1584721449,204,335
1584723384,173,645
1584725287,283,157
1584728174,417,260
1584730098,252,179
1584732022,243,348
1584733944,176,1240
1584735848,183,1176
1584737779,198,297
1584739688,197,166
1584742570,283,443
1584744498,859,178
1584746420,1500,187
1584748329,668,168
1584750251,206,158
1584752179,205,161
1584754088,207,171
1584756976,330,296
1584758894,205,158
1584760822,148,142
1584762729,186,189
1584764653,190,145
1584766582,217,788
1584768491,632,3586
1584771371,1536,1917
1584773294,855,194
1584775219,1161,238
1584777133,2048,149
1584779294,625,185
1584781252,412,151
1584783153,399,156
1584785317,305,189
1584787217,301,171
1584789141,346,192
1584791065,544,182
1584792990,642,189
1584794910,172,237
1584796829,534,166
1584798732,176,112
1584800658,131,135
1584802580,140,187
1584804494,116,112
1584806436,127,152
1584808353,813,152
1584810276,749,139
1584812179,120,174
1584814106,134,152
1584816019,151,160
1584817942,108,154
1584819866,140,138
1584821796,192,126
1584823944,305,175
1584825851,168,137
1584827785,229,149
1584829710,135,127
1584832576,262,274
1584834549,248,151
1584836421,125,151
1584838333,157,167
