DateTime,AddedIPs,RemovedIPs
1583136756,1,0
1583138663,1,0
1583144426,0,1
1583146330,1,2
1583154971,1,0
1583160758,1,1
1583164585,0,2
1583168463,1,1
1583170337,2,2
1583172496,0,1
1583174411,3,0
1583176607,0,1
1583178518,0,2
1583180452,1,0
1583182359,0,1
1583188088,0,1
1583190976,1,1
1583198652,1,1
1583202537,0,1
1583205374,0,2
1583207291,1,0
1583209454,1,0
1583211392,1,0
1583215321,0,3
1583217130,1,0
1583220973,2,0
1583222901,0,1
1583224816,0,2
1583226985,1,0
1583228897,2,0
1583230810,1,0
1583232728,0,1
1583241374,0,1
1583243297,2,0
1583247130,0,1
1583249093,1,0
1583252892,0,1
1583255771,0,2
1583257693,1,1
1583259609,0,2
1583261529,0,2
1583267287,0,1
1583271131,0,1
1583273311,2,0
1583275210,3,0
1583277133,0,1
1583279051,1,0
1583280969,1,0
1583284808,0,1
1583286727,1,0
1583292492,1,1
1583296337,1,1
1583298498,0,1
1583303307,1,1
1583307158,0,2
1583314811,1,1
1583316749,1,3
1583320571,1,0
1583331392,1,1
1583333298,1,0
1583335208,1,1
1583342884,1,0
1583344837,0,1
1583346735,1,0
1583348662,1,0
1583352524,1,0
1583358251,0,1
1583362208,0,2
1583365927,0,1
1583367854,0,1
1583371691,1,0
1583374573,0,1
1583376498,1,0
1583378411,0,1
1583382261,0,1
1583384170,1,0
1583386089,2,0
1583389934,0,1
1583392099,1,0
1583401698,0,1
1583403612,0,1
1583407465,0,1
1583409369,1,0
1583414179,0,1
1583416335,0,1
1583418253,0,1
1583420166,1,0
1583422101,0,2
1583425933,1,0
1583430012,0,1
1583431963,1,0
1583433852,1,2
1583437701,1,1
1583439610,1,0
1583447285,1,0
1583457134,1,0
1583459052,1,1
1583462892,0,1
1583470568,0,1
1583472487,1,2
1583474466,2,0
1583476335,1,0
1583480175,0,1
1583487850,1,0
1583495528,0,1
1583497451,1,0
1583505133,0,1
1583509929,1,0
1583511853,1,1
1583520494,1,1
1583524330,1,1
1583526252,1,0
1583534172,0,1
1583539940,1,0
1583543773,0,2
1583545698,1,1
1583560096,1,3
1583562019,0,2
1583575457,1,1
1583583135,0,1
1583588920,1,0
1583592753,1,0
1583596570,0,1
1583598491,0,1
1583600495,2,0
1583602357,1,0
1583606170,0,1
1583610020,0,1
1583611936,0,1
1583613879,2,0
1583621558,1,0
1583631156,0,1
1583642898,1,0
1583646732,1,1
1583648661,1,0
1583650592,2,0
1583652496,1,0
1583654460,2,0
1583660176,0,1
1583662096,1,0
1583667874,2,0
1583671695,1,0
1583675532,0,1
1583679369,0,1
1583684175,1,0
1583686117,3,2
1583688032,0,2
1583689930,1,0
1583697657,3,0
1583699555,0,2
1583701725,1,0
1583703634,2,0
1583707476,3,1
1583709374,1,0
1583711291,1,0
1583713231,2,0
1583715129,1,0
1583718965,2,1
1583720891,1,0
1583723796,1,0
1583725695,2,0
1583729530,0,1
1583733396,1,1
1583735288,0,1
1583737231,1,2
1583739166,1,0
1583741073,1,2
1583748985,2,1
1583752820,0,1
1583754753,0,1
1583756657,1,0
1583758595,0,1
1583760765,1,0
1583762683,1,0
1583764695,1,0
1583768418,0,1
1583772287,0,2
1583774194,0,1
1583776104,0,1
1583779936,1,0
1583781856,1,0
1583783776,1,2
1583785691,1,1
