DateTime,AddedIPs,RemovedIPs
1581390500,1,0
1581392416,1,0
1581394355,1,1
1581400111,0,1
1581402017,3,1
1581403937,1,0
1581405863,2,0
1581407777,1,0
1581411674,4,1
1581413551,3,0
1581415470,2,0
1581421211,6,0
1581427229,18,2
1581429130,10,8
1581431051,7,1
1581436911,8,0
1581438748,7,21
1581440663,11,0
1581446415,1,0
1581454327,3,0
1581456248,6,0
1581458185,17,0
1581460091,6,0
1581462984,3,0
1581464890,1,35
1581466822,8,0
1581468727,8,0
1581474486,12,0
1581477372,11,0
1581479299,8,0
1581481223,10,0
1581485048,9,0
1581486983,1,0
1581491770,2,0
1581493719,1,0
1581497530,18,0
1581499460,24,0
1581513162,0,40
1581515063,0,11
1581516973,0,10
1581518905,0,1
1581522741,33,7
1581524651,1,4
1581526584,0,14
1581528488,0,1
1581532353,0,1
1581534499,1,0
1581538365,4,0
1581540250,2,1
1581542216,0,6
1581544125,0,13
1581546009,0,10
1581547928,0,4
1581549873,0,1
1581551768,0,4
1581553690,0,5
1581556570,0,8
1581560407,0,9
1581562343,0,9
1581564276,0,7
1581566600,0,15
1581568435,0,1
1581570534,0,5
1581572440,0,5
1581576493,0,1
1581578484,1,1
1581580329,0,1
1581584192,0,34
1581586091,0,5
1581588978,1,0
1581590893,4,0
1581592817,2,0
1581609128,0,34
1581611059,0,3
1581620895,0,1
1581624734,0,4
1581626668,0,2
1581628579,6,0
1581630492,10,0
1581632407,1,0
1581634344,1,0
1581648751,1,0
1581650652,1,0
1581652572,10,0
1581658356,3,0
1581660266,5,0
1581664095,14,0
1581666010,6,1
1581667929,3,0
1581673692,1,0
1581675609,8,1
1581677529,10,5
1581679458,5,1
1581681371,29,0
1581683288,21,0
1581686175,47,0
1581688092,2,0
1581690048,1,0
1581695770,1,0
1581702492,10,0
1581704422,4,0
1581706333,11,0
1581708251,9,0
1581710185,9,0
1581712115,1,0
1581715949,9,12
1581718119,0,4
1581720014,0,2
1581735907,0,1
1581737786,0,5
1581739691,0,6
1581745454,0,6
1581747383,0,2
1581749306,0,2
1581751210,0,17
1581753131,0,1
1581755066,0,3
1581760872,0,4
1581762732,0,9
1581764676,0,6
1581766586,7,7
1581768492,0,45
1581770410,0,3
1581772346,0,40
1581774249,0,9
1581776174,0,1
1581781936,0,1
1581785773,21,0
1581787688,0,3
1581790594,0,11
1581792507,0,10
1581794408,0,9
1581796330,0,9
1581798265,0,2
1581802091,1,8
1581804120,0,1
1581809808,1,0
1581823123,1,0
1581851315,4,1
1581853213,1,6
1581858974,2,0
1581860895,11,0
1581862824,2,0
1581873392,0,21
1581885164,1,0
1581888970,0,1
1581894979,0,1
1581909389,0,1
1581938423,0,5
1581946088,0,4
1581948069,0,11
1581969387,0,1
1581982811,4,0
1581984760,24,0
1582026254,1,0
1582070169,0,28
1582083625,10,0
1582087451,1,0
1582112422,0,1
1582146985,1,0
1582167369,2,0
1582169309,0,7
1582171307,0,3
1582173169,0,1
1582199065,26,0
1582200985,8,0
1582208649,1,0
1582226892,1,0
1582234812,0,1
1582254071,0,2
1582287158,0,34
1582294809,0,1
1582310410,1,0
1582314250,0,1
1582394190,0,1
1582398975,1,0
1582445313,1,0
1582486593,0,1
1582496187,1,0
1582501926,4,0
1582505779,27,0
1582530970,0,1
1582544413,1,0
1582552149,2,0
1582554044,1,0
1582574170,1,0
1582582108,0,1
1582587871,0,4
1582591710,0,6
1582593609,0,21
1582599369,1,0
1582631532,0,1
1582640417,0,3
1582644270,1,0
1582660581,0,1
1582667292,1,0
1582684810,0,1
1582690571,1,0
1582694684,4,0
1582721548,2,0
1582731138,0,1
1582742670,1,0
1582752254,0,1
1582763775,1,0
1582777211,0,1
1582781079,2,4
1582800507,8,0
1582802416,32,0
1582808169,0,2
1582822859,1,0
1582828571,1,1
1582830516,3,0
1582838423,1,0
1582840330,4,0
1582850008,0,1
1582867454,0,2
1582887685,0,27
1582889549,0,13
1582903452,21,0
1582905392,13,0
1582909469,0,1
1582915218,0,1
1582917141,0,3
1582919076,1,0
1582925057,1,1
1582926984,0,4
1582956986,1,0
1582971395,1,0
1582989848,0,21
1582991784,0,13
1582993691,1,0
1583004253,0,1
1583008091,1,0
1583010991,5,1
1583025646,4,0
1583027528,8,0
1583029448,7,0
1583043870,0,1
1583053705,1,0
1583055615,1,0
1583057533,5,1
1583059467,6,0
1583061376,2,0
1583063350,9,0
1583067404,8,0
1583069324,1,0
1583073164,22,0
1583077216,3,0
1583079161,2,0
1583081055,1,1
1583084908,3,0
1583086813,3,0
1583088729,5,0
1583094495,0,1
1583097371,0,5
1583108893,1,0
1583112073,6,4
1583113978,7,8
1583115890,0,7
1583119725,4,0
1583124555,4,0
1583130299,7,0
1583132188,3,0
1583138895,0,1
1583142731,0,5
1583144660,0,1
1583146584,0,6
1583148514,0,5
1583150609,0,6
1583152569,0,2
1583154510,0,7
1583158582,0,10
1583160497,0,12
1583164329,0,5
1583166268,0,1
1583170088,17,3
1583173934,1,7
1583176145,0,1
1583179936,2,0
1583195290,0,1
1583197341,0,2
1583199434,0,9
1583201301,0,2
1583205153,0,2
1583207053,0,2
1583210938,0,4
1583212813,1,0
1583216652,0,7
1583218600,0,3
1583255537,0,5
1583257456,0,12
1583259373,0,1
1583265133,0,2
1583297770,41,0
1583299713,0,1
1583316990,2,0
1583337130,13,0
1583339078,1,0
1583345784,1,0
1583359326,1,0
1583368816,3,0
1583384171,0,41
1583386090,1,0
1583401699,2,2
1583422822,0,8
1583424738,0,5
1583426654,0,1
