DateTime,AddedIPs,RemovedIPs
1573468599,7,16
1573490674,7,0
1573512527,81,1
1573534571,9,7
1573556470,5,68
1573578777,2,6
1573600850,2,6
1573622910,2,5
1573644759,2,94
1573666836,0,1
1573689007,0,2
1573710981,4,4
1573732902,33,2
1573754911,3,1
1573776982,20,1
1573798825,1,3
1573820905,2,1
1573842756,3,4
1573864602,1,0
1573886658,1,7
1573908730,5,10
1573930574,2,2
1573952454,0,8
1573974489,3,2
1573996593,2,0
1574018660,2,0
1574040759,1,119
1574062816,12,74
1574084656,8,5
1574106514,1,121
1574128365,25,4
1574161504,40,6
1574183800,1,1
1574205872,122,2
1574227937,2,2
1574250017,6,6
1574271891,52,0
1574293937,2,0
1574327311,4,51
1574349395,10,2
1574371458,2,5
1574393556,3,0
1574415407,23,4
1574437462,5,3
1574459316,1,1
1574481378,2,1
1574503300,6,4
1574525565,3,4
1574547419,3,1
1574569511,3,3
1574591542,2,2
1574613620,2,1
1574635481,3,3
1574657539,2,0
1574679394,4,17
1574701252,1,2
1574723125,2,8
1574745179,1,44
1574767232,12,2
1574789303,30,1
1574811148,95,125
1574832997,46,1
1574854847,19,32
1574876892,1,26
1574898736,1,1
1574920593,1,3
1574942479,3,11
1574964497,3,1
1575008227,2,0
1575030281,7,32
1575052183,3,2
1575074478,22,1
1575096518,3,7
1575118583,0,3
1575140922,18,2
1575162972,22,5
1575185061,28,2
1575207158,66,48
1575229214,62,2
1575251322,31,0
1575273393,11,6
1575295490,6,0
1575317562,21,1
1575339648,147,0
1575361712,77,10
1575383798,4,0
1575405888,3,8
1575427964,1,132
1575450173,58,0
1575472128,88,1
1575493971,10,0
1575516020,4,0
1575538091,2,4
1575581797,1,1
1575603646,18,0
1575625703,82,1
1575647555,2,0
1575680927,0,20
1575703010,4,2
1575725056,1,0
1575747163,0,10
1575769225,76,7
1575791078,1,16
1575813136,21,17
1575834979,1,4
1575856831,8,6
1575878906,2,24
1575900976,1,2
1575923068,7,3
1575944918,0,140
1575966994,12,16
1575989058,2,13
1576011142,1,20
1576044243,0,10
1576066098,1,171
1576088188,4,10
1576110277,2,9
1576132337,3,27
1576154205,3,2
1576176251,15,3
1576198114,6,0
1576220182,2,54
1576242159,2,18
1576264383,1,2
1576286407,2,0
1576308297,4,9
1576330590,3,36
1576374744,2,4
1576396592,0,1
1576429715,1,59
1576451557,1,3
1576473648,1,1
1576495690,1,100
1576517567,12,5
1576539622,94,17
1576561717,1,0
1576584103,0,22
1576606091,3,1
1576627955,2,0
1576650009,1,1
1576671861,5,1
1576693961,2,3
1576716019,2,0
1576737863,1,1
1576759714,35,0
1576781778,3,2
1576803731,3,2
1576825978,0,1
1576848012,2,13
1576869869,2,0
1576891938,4,1
1576914043,128,8
1576936097,4,2
1576958178,5,0
1577002580,1,13
1577024670,12,0
1577046764,1,5
1577068823,1,2
1577090671,74,5
1577112730,17,79
1577135017,2,5
1577157163,14,0
1577179209,7,2
1577201078,1,2
1577223172,1,0
1577245216,3,1
1577267069,1,7
1577289143,0,2
1577322298,0,2
1577344595,1,9
1577366669,1,3
1577388742,0,20
1577410837,6,15
1577433138,1,4
1577455416,54,2
1577477294,1,1
1577499145,0,5
1577521043,3,247
1577543049,3,4
1577564893,2,3
1577586768,6,0
1577608838,2,9
1577630891,6,1
1577652969,5,0
1577685884,1,8
1577708195,28,48
1577730038,1,1
1577752098,0,101
1577773939,226,13
1577795792,0,3
1577817867,4,0
1577839932,14,2
1577873078,131,6
1577894922,99,0
1577916767,4,0
1577938827,3,0
1577960928,3,2
1577983241,6,1
1578005317,2,2
1578027367,7,0
1578049262,6,11
1578071327,8,1
1578093753,2,0
1578115942,7,0
1578137787,6,3
1578159852,6,0
1578181708,5,2
1578203768,4,1
1578225647,59,0
1578247699,88,16
1578269772,56,0
1578291616,23,1
1578313477,3,2
1578335561,0,1
1578379949,9,60
1578402056,106,0
1578423916,2,1
1578446008,1,0
1578468039,2,19
1578490099,3,30
1578512190,3,47
1578534250,3,8
1578556114,2,7
1578578187,17,15
1578600071,0,3
1578622120,60,7
1578644214,1,10
1578666586,1,10
1578688829,2,9
1578711150,0,5
1578733253,1,16
1578755307,1,7
1578777157,4,9
1578799214,2,11
1578821055,6,23
1578843171,1,161
1578865221,12,45
1578887306,3,86
1578909375,4,12
1578942505,150,4
1578964403,4,0
1578986697,4,26
