DateTime,AddedIPs,RemovedIPs
1572774502,3,1
1572796358,1,2
1572818507,0,1
1572840534,2,5
1572862598,0,2
1572884443,9,1
1572906514,7,1
1572928356,0,1
1572950435,1,0
1572972531,4,1
1573027474,0,5
1573049320,1,3
1573071395,0,1
1573093476,0,1
1573137630,0,1
1573159724,0,31
1573181777,2,3
1573203934,1,1
1573247789,1,1
1573269647,2,0
1573291699,2,5
1573313796,1,2
1573335874,0,3
1573357935,0,3
1573380193,3,3
1573402369,1,0
1573424670,3,0
1573446750,2,1
1573468601,2,0
1573490674,2,9
1573512527,2,7
1573567732,0,1
1573589806,0,1
1573633759,1,0
1573655780,2,1
1573677626,1,0
1573699705,1,0
1573798826,1,0
1573820905,0,2
1573842756,0,2
1573864604,2,0
1573886659,0,2
1573908731,0,1
1573930575,0,7
1573963710,3,0
1573986017,3,1
1574008102,1,2
1574030176,1,2
1574052026,0,2
1574073867,2,3
1574095957,8,3
1574129088,11,3
1574150931,1,0
1574173005,5,0
1574195072,10,0
1574217146,3,0
1574239233,1,2
1574261107,1,2
1574283134,1,0
1574327312,1,1
1574349396,4,0
1574371458,1,0
1574393557,1,1
1574415407,2,0
1574437463,3,0
1574459317,0,1
1574503317,1,0
1574525566,2,1
1574547420,1,0
1574569512,1,1
1574613621,1,1
1574635482,3,1
1574657539,1,0
1574679395,0,2
1574712540,1,9
1574734588,1,7
1574756653,2,2
1574778499,0,4
1574800347,1,11
1574822194,3,1
1574844260,2,1
1574866348,0,1
1574888489,2,8
1574910548,1,1
1574932614,1,2
1574954693,1,4
1574976743,1,1
1574998610,1,2
1575020679,1,1
1575042567,2,4
1575097704,2,1
1575119562,1,2
1575141633,1,3
1575163694,4,2
1575207395,8,0
1575229478,0,1
1575251323,8,3
1575273394,3,0
1575295493,1,1
1575339649,1,2
1575361712,1,1
1575383799,8,0
1575405888,11,1
1575427965,4,2
1575461316,1,1
1575483426,1,0
1575527547,5,0
1575549410,1,1
1575571473,1,1
1575593568,0,1
1575615652,5,2
1575637963,1,2
1575660046,2,0
1575704203,1,3
1575726262,0,1
1575748349,1,1
1575770202,1,3
1575792101,0,2
1575814126,0,7
1575835972,1,0
1575858061,1,8
1575880357,2,2
1575902425,0,1
1575924518,7,0
1575946594,0,1
1575968453,1,0
1575990618,1,6
1576012582,2,10
1576034654,0,5
1576056776,1,1
1576079061,0,1
1576100914,0,1
1576122781,0,3
1576155902,8,7
1576177976,8,2
1576200018,2,1
1576222111,8,1
1576243957,1,2
1576266015,0,2
1576309942,1,1
1576365425,0,1
1576387455,2,0
1576409314,2,1
1576431163,2,0
1576453243,3,1
1576475322,5,2
1576497399,4,0
1576519310,4,3
1576541557,1,6
1576563619,2,2
1576585706,3,0
1576607791,0,3
1576651722,0,2
1576717964,0,1
1576740007,1,0
1576761849,2,8
1576783717,2,8
1576805790,1,7
1576827854,2,3
1576849697,3,0
1576904717,4,0
1576926748,3,0
1576948812,3,0
1576970655,1,0
1576992760,1,1
1577014817,8,0
1577036902,1,2
1577059018,2,3
1577091889,2,7
1577113733,6,3
1577136043,2,0
1577158345,1,1
1577180186,1,0
1577202033,0,2
1577224092,2,1
1577245935,5,0
1577267792,2,1
1577300904,1,0
1577322975,1,1
1577345062,2,1
1577367140,1,2
1577388989,1,2
1577410838,5,1
1577433139,1,1
1577455459,1,3
1577477547,2,3
1577499620,2,1
1577521697,2,2
1577543551,1,4
1577565612,1,1
1577587457,2,3
1577609556,2,4
1577631763,1,7
1577653773,1,2
1577675789,0,1
1577697631,0,2
1577719685,2,7
1577741536,1,2
1577763614,0,2
1577785458,2,1
1577807555,0,1
1577829671,2,3
1577851692,0,4
1577873547,0,3
1577895627,0,1
1577917479,1,1
1577939556,3,1
1577961639,2,1
1577983727,0,1
1578005768,1,4
1578027852,3,1
1578049703,2,2
1578071792,0,1
1578093754,1,3
1578115943,1,1
1578137788,4,1
1578159852,2,1
1578181709,3,0
1578203769,0,3
1578225661,1,1
1578247700,1,1
1578269774,9,0
1578291617,5,0
1578313480,1,0
1578335562,2,4
1578357862,4,0
1578379951,3,3
1578413310,7,0
1578435396,2,2
1578457249,8,0
1578479308,1,0
1578523229,11,1
1578545493,9,2
1578567377,1,2
1578600510,3,0
1578622604,0,2
1578644978,1,1
1578667053,4,1
1578711151,2,0
1578733263,2,5
1578755309,2,2
1578799216,1,4
1578821293,2,1
1578843173,2,0
1578865222,1,6
1578887308,1,5
1578909400,2,3
1578931505,4,0
1578953885,4,3
1578975858,0,6
1578997950,0,1
1579020010,0,7
1579041859,1,2
1579063948,0,9
1579097307,8,1
1579119150,1,3
1579141002,1,14
1579163088,0,2
1579184929,0,1
1579206998,5,5
1579229057,3,1
1579250937,5,3
1579273003,0,4
1579295002,3,0
1579317183,0,1
1579339207,3,2
1579361053,1,1
1579393929,6,1
1579415788,1,2
1579437850,1,3
1579459702,3,0
1579481771,0,1
1579525717,4,5
1579547795,1,2
1579569886,1,2
1579591944,3,0
1579614027,2,1
1579636097,1,1
1579658174,1,1
1579680047,1,2
1579702102,1,6
1579724183,2,1
1579746029,9,1
1579768092,7,0
1579789933,6,1
1579812016,0,2
1579834093,1,3
1579855960,2,6
1579877820,8,0
1579899879,7,3
1579943816,2,1
1579965866,3,2
1579987947,1,4
1580010018,2,2
1580031860,3,3
1580053942,0,1
1580075783,2,1
1580097890,2,0
1580119935,0,2
1580142029,4,5
1580164105,2,2
1580186182,0,1
1580208248,151,3
1580230093,1,2
1580252183,4,0
1580285122,3,3
1580307148,3,1
1580329211,6,1
1580351063,1,8
1580373144,0,9
1580395215,3,5
1580417077,2,2
1580439130,1,2
1580460988,2,1
1580482900,1,8
1580504913,10,7
1580526973,1,0
1580548821,4,1
1580570891,3,2
1580592775,5,1
1580614832,4,1
1580636920,8,2
1580658974,2,0
1580691770,1,3
1580713952,4,0
1580736010,1,0
1580757874,1,4
1580779937,2,0
1580802013,2,2
1580824109,6,153
1580846180,3,2
1580868085,5,3
1580890113,2,3
1580912176,2,3
1580934054,2,2
1580956088,1,1
1580977938,6,0
1580999785,3,1
1581021849,0,2
1581043705,3,0
1581065779,0,1
1581098686,3,2
1581120746,0,1
1581142822,1,1
1581164890,2,1
1581186752,2,7
1581208815,0,7
1581230664,2,9
1581274583,0,1
1581296530,2,2
1581318507,0,4
1581340445,2,0
1581362424,3,0
1581384272,1,1
1581406331,2,1
1581428174,0,3
1581450267,0,3
1581472326,0,5
1581494184,1,2
1581527132,3,2
1581570990,1,1
1581593051,0,5
1581615143,0,1
1581637211,3,1
1581659057,2,1
1581681131,3,21
1581702992,0,4
1581724894,6,1
1581768753,2,4
1581790596,3,2
1581812667,2,0
1581834754,1,2
1581856812,1,0
1581878672,1,2
1581900731,4,2
1581922584,2,0
1581944691,0,2
1581966758,2,4
1581988810,0,1
1582010674,1,1
1582032734,4,0
1582054588,10,0
1582076653,4,0
1582098510,5,1
1582120618,1,7
1582164510,1,1
1582186578,1,0
1582208429,2,0
1582230292,1,1
1582252333,0,2
1582274189,3,4
1582296266,1,1
1582318122,0,1
1582340171,0,2
1582373136,3,3
1582395138,1,2
1582416984,2,2
1582439065,3,3
1582461141,2,0
1582505057,0,5
1582526905,1,1
1582548969,2,2
1582582113,0,4
1582603957,0,1
1582626016,1,1
1582648093,0,9
1582669946,3,7
1582692015,2,2
1582713865,6,2
1582735944,0,3
1582758149,1,0
1582780122,0,1
1582801987,1,2
1582824027,1,4
1582845884,1,0
1582867949,1,1
1582890066,1,3
1582912096,2,0
1582934183,2,0
1582956313,0,2
1582978353,1,1
1583000425,0,1
1583022273,0,2
1583044351,0,2
1583066213,17,2
1583088258,145,0
1583110242,121,1
1583132192,127,0
1583165145,1,1
1583231540,1,2
1583297773,1,1
1583319693,2,1
1583341707,3,0
1583363553,8,6
1583385617,2,0
1583407467,1,0
1583429540,1,1
1583451613,1,1
1583473696,0,2
1583495769,1,0
1583517747,0,2
1583539692,1,1
1583583401,1,1
1583605448,0,2
1583627320,1,0
1583649178,0,1
1583671212,0,1
1583693076,1,0
1583715132,0,175
1583736995,1,239
1583759073,0,3
1583780931,1,1
1583824835,1,1
1583868747,4,1
1583890824,6,0
1583912893,3,2
1583934790,1,3
1583956888,1,4
1583978897,8,7
1584000976,5,0
1584022828,3,1
1584044702,4,1
1584066736,2,0
1584088813,4,4
1584110658,8,0
1584132499,1,0
1584154355,0,1
1584187383,9,1
1584209297,19,0
1584231387,4,1
1584253453,4,0
1584297427,1,0
1584319470,1,0
1584341533,7,0
1584374925,5,0
1584396982,3,1
1584419071,3,0
1584441133,14,1
1584462996,2,0
1584484839,0,8
1584506933,1,2
1584529006,2,1
1584551318,2,0
1584573377,0,4
1584595248,0,9
1584617295,2,1
1584639150,2,2
1584661213,13,3
1584683057,10,1
1584704909,2,7
1584726981,2,3
1584760110,11,1
1584782191,7,6
1584804275,12,1
1584826351,1,24
1584848413,11,4
1584870281,5,1
1584892329,7,1
1584914182,2,1
1584947311,7,7
