DateTime,Entries,UniqueIPs
1572774502,95,95
1572796358,94,94
1572818507,93,93
1572840534,90,90
1572862598,88,88
1572884443,96,96
1572906514,102,102
1572928356,101,101
1572950435,102,102
1572972531,105,105
1573027474,100,100
1573049320,98,98
1573071395,97,97
1573093476,96,96
1573137630,95,95
1573159724,64,64
1573181777,63,63
1573203934,63,63
1573247789,63,63
1573269647,65,65
1573291699,62,62
1573313796,61,61
1573335874,58,58
1573357935,55,55
1573380193,55,55
1573402369,56,56
1573424670,59,59
1573446750,60,60
1573468601,62,62
1573490674,55,55
1573512527,50,50
1573567732,49,49
1573589806,48,48
1573633759,49,49
1573655780,50,50
1573677626,51,51
1573699705,52,52
1573798826,53,53
1573820905,51,51
1573842756,49,49
1573864604,51,51
1573886659,49,49
1573908731,48,48
1573930575,41,41
1573963710,44,44
1573986017,46,46
1574008102,45,45
1574030176,44,44
1574052026,42,42
1574073867,41,41
1574095957,46,46
1574129088,54,54
1574150931,55,55
1574173005,60,60
1574195072,70,70
1574217146,73,73
1574239233,72,72
1574261107,71,71
1574283134,72,72
1574327312,72,72
1574349396,76,76
1574371458,77,77
1574393557,77,77
1574415407,79,79
1574437463,82,82
1574459317,81,81
1574503317,82,82
1574525566,83,83
1574547420,84,84
1574569512,84,84
1574613621,84,84
1574635482,86,86
1574657539,87,87
1574679395,85,85
1574712540,77,77
1574734588,71,71
1574756653,71,71
1574778499,67,67
1574800347,57,57
1574822194,59,59
1574844260,60,60
1574866348,59,59
1574888489,53,53
1574910548,53,53
1574932614,52,52
1574954693,49,49
1574976743,49,49
1574998610,48,48
1575020679,48,48
1575042567,46,46
1575097704,47,47
1575119562,46,46
1575141633,44,44
1575163694,46,46
1575207395,54,54
1575229478,53,53
1575251323,58,58
1575273394,61,61
1575295493,61,61
1575339649,60,60
1575361712,60,60
1575383799,68,68
1575405888,78,78
1575427965,80,80
1575461316,80,80
1575483426,81,81
1575527547,86,86
1575549410,86,86
1575571473,86,86
1575593568,85,85
1575615652,88,88
1575637963,87,87
1575660046,89,89
1575704203,87,87
1575726262,86,86
1575748349,86,86
1575770202,84,84
1575792101,82,82
1575814126,75,75
1575835972,76,76
1575858061,69,69
1575880357,69,69
1575902425,68,68
1575924518,75,75
1575946594,74,74
1575968453,75,75
1575990618,70,70
1576012582,62,62
1576034654,57,57
1576056776,57,57
1576079061,56,56
1576100914,55,55
