DateTime,AddedIPs,RemovedIPs
1583804435,0,1
1583806331,3,1
1583808277,3,0
1583810174,1,0
1583812093,1,0
1583814034,3,0
1583819770,3,1
1583821695,1,1
1583824836,2,2
1583826752,4,1
1583828681,2,1
1583830569,1,0
1583832513,0,1
1583834505,1,2
1583836360,0,1
1583840175,0,2
1583842123,1,1
1583844034,1,2
1583845957,1,1
1583847849,0,3
1583849771,1,3
1583851894,3,2
1583853858,0,1
1583855775,0,2
1583859813,1,0
1583861802,2,2
1583863697,2,1
1583865616,1,0
1583867551,1,1
1583869465,0,2
1583871418,1,0
1583873312,1,0
1583875219,3,4
1583877130,0,4
1583879055,1,1
1583880975,5,2
1583882890,2,4
1583885787,3,7
1583887701,3,1
1583889623,0,1
1583891558,1,0
1583893474,4,1
1583895378,1,2
1583897293,1,0
1583899409,0,2
1583901401,0,1
1583905230,0,3
1583907150,0,2
1583909052,2,2
1583910971,2,0
1583912894,1,4
1583914847,1,1
1583916731,0,1
1583918651,1,1
1583920572,1,1
1583922492,1,1
1583924452,1,0
1583926332,0,1
1583928285,2,1
1583930171,3,1
1583932101,0,1
1583935932,1,0
1583937902,1,4
1583941722,1,2
1583943610,1,1
1583945563,2,0
1583947462,2,3
1583949391,1,2
1583951290,0,2
1583953356,2,1
1583955246,2,1
1583957325,1,2
1583959226,1,1
1583961153,0,2
1583963068,0,3
1583964973,2,2
1583966908,1,4
1583968812,1,1
1583970729,0,4
1583972657,3,3
1583974571,6,1
1583976491,1,0
1583978551,3,2
1583983209,1,1
1583985127,1,1
1583990888,1,0
1583992950,1,0
1583994972,0,1
1583996905,0,1
1583998814,0,2
1584000735,1,1
1584004910,2,2
1584006745,1,1
1584008797,4,1
1584010901,0,1
1584014597,0,1
1584016594,1,1
1584018494,0,1
1584022394,1,2
1584024253,5,1
1584026174,2,0
1584028094,5,1
1584030058,2,1
1584031956,2,2
1584033856,0,1
1584037695,2,0
1584039912,2,1
1584042075,2,3
1584043965,4,0
1584045883,2,1
1584047804,2,1
1584049946,1,1
1584051856,3,1
1584053779,2,0
1584055696,0,1
1584057794,3,0
1584059773,1,6
1584061691,1,1
1584063612,1,2
1584065539,0,1
1584067455,2,0
1584069373,2,0
1584071301,0,1
1584073213,0,2
1584075132,1,0
1584077056,2,0
1584080889,1,1
1584082910,1,0
1584086674,1,0
1584088573,1,0
1584090525,3,2
1584092417,0,1
1584094353,2,3
1584096257,2,1
1584098212,0,1
1584100102,6,2
1584102055,1,1
1584105857,1,0
1584107775,4,0
1584109691,2,3
1584112816,4,7
1584114735,0,3
1584116682,0,1
1584118571,1,3
1584123414,4,2
1584125315,2,2
1584127268,0,2
1584129172,1,4
1584131061,1,2
1584132972,2,3
1584134893,2,0
1584136981,1,2
1584138983,2,3
1584140894,0,2
