DateTime,AddedIPs,RemovedIPs
1583972412,6,3
1583974329,8,5
1583976257,19,2
1583978176,7,5
1583980094,30,8
1583982326,13,2
1583984173,12,5
1583986091,11,3
1583988045,24,3
1583989937,18,3
1583991860,29,5
1583993781,12,1
1583995700,14,2
1583997612,23,19
1583999530,18,8
1584001454,38,15
1584003409,33,8
1584005365,32,7
1584008453,24,22
1584010335,13,8
1584012274,23,15
1584014181,21,9
1584016091,28,11
1584018974,56,12
1584020929,38,18
1584022831,18,15
1584024733,35,7
1584026541,41,6
1584028354,47,11
1584030262,33,7
1584032194,39,8
1584034118,30,4
1584036264,22,6
1584038174,21,1
1584040131,25,17
1584042077,29,64
1584043966,26,7
1584045893,24,65
1584047805,39,6
1584049947,20,13
1584051857,34,3
1584053782,22,9
1584055697,18,9
1584057820,8,15
1584059791,16,7
1584061692,11,5
1584063613,11,17
1584065540,14,25
1584067456,8,11
1584069374,13,12
1584071302,9,9
1584073215,6,13
1584075134,7,21
1584077059,6,13
1584078974,1,23
1584080890,3,8
1584082990,11,9
1584084984,31,24
1584086890,20,105
1584088815,30,22
1584090739,35,22
1584092655,42,27
1584094578,39,15
1584096508,29,10
1584098411,16,26
1584100330,22,24
1584102253,23,24
1584104169,28,24
1584106091,27,25
1584108977,27,42
1584110902,24,16
1584112818,9,38
1584114736,12,57
1584116683,10,29
1584118572,4,32
1584120492,14,26
1584123416,16,28
1584125316,7,11
1584127270,10,55
1584129174,12,29
1584131063,13,28
1584132974,13,33
1584134895,7,70
1584136986,13,27
1584138984,7,30
1584140896,21,17
1584142837,25,34
1584144738,15,9
1584146660,13,18
1584148583,7,16
1584150497,7,14
1584152420,8,18
1584154358,7,9
1584156258,19,15
1584158177,19,11
1584160095,24,5
1584163002,32,8
1584164900,22,2
1584166825,24,3
1584168738,20,4
1584170680,19,29
1584172576,11,22
1584174494,8,26
1584176571,18,44
1584178574,7,42
1584180492,8,48
1584182429,11,13
1584184361,41,51
1584186254,26,31
1584188188,25,38
1584190099,16,28
1584192023,22,31
1584193937,25,20
1584195857,22,22
1584197777,16,24
1584199694,23,9
1584202574,61,14
1584204500,27,4
1584206416,25,8
1584208331,35,6
1584210254,44,12
1584212173,16,5
1584214093,24,7
1584216268,25,11
1584218177,30,12
1584220112,8,9
1584222011,20,14
1584223938,11,6
1584225854,14,5
1584228021,21,30
1584229939,11,20
1584231853,15,11
1584233778,11,12
1584235712,14,9
1584237886,11,6
1584239776,5,9
1584241945,24,15
1584243859,9,26
1584245796,10,25
1584247703,8,22
1584249613,19,20
1584251534,18,23
1584253456,20,25
1584255406,11,26
1584257319,12,16
1584259463,5,16
1584261375,9,14
