DateTime,AddedIPs,RemovedIPs
1583976258,52,81
1583978185,70,70
1583980094,73,55
1583982350,98,90
1583984174,105,71
1583986091,87,58
1583988046,121,62
1583989937,125,68
1583991860,123,89
1583993781,112,52
1583995700,103,85
1583997612,120,79
1583999531,130,74
1584001454,129,75
1584003410,117,63
1584005377,157,72
1584007328,129,75
1584009230,191,80
1584011302,151,67
1584013215,158,69
1584015196,209,61
1584017061,182,72
1584019004,107,79
1584020929,102,87
1584022832,166,79
1584024734,203,86
1584026548,134,59
1584028361,169,77
1584030270,104,77
1584032195,99,74
1584034119,91,58
1584036282,69,109
1584038174,65,71
1584040131,67,51
1584042077,57,77
1584043967,41,58
1584045894,54,65
1584047806,58,138
1584049948,62,101
1584051858,67,111
1584053790,87,77
1584055698,81,97
1584057830,97,86
1584059792,67,71
1584061693,76,61
1584063614,70,62
1584065542,74,73
1584067457,70,80
1584069375,73,71
1584071303,70,116
1584073216,68,89
1584075134,61,115
1584077067,59,124
1584078975,65,108
1584080891,60,97
1584083024,75,112
1584084985,45,126
1584086891,64,140
1584088816,77,119
1584090740,65,134
1584092656,60,106
1584094579,37,114
1584096517,38,202
1584098411,50,136
1584100331,59,200
1584102254,53,202
1584104170,80,141
1584106092,64,116
1584108978,76,228
1584110902,47,203
1584112819,41,123
1584114737,41,140
1584116684,51,193
1584118573,51,103
1584120493,66,96
1584123417,131,103
1584125317,119,80
1584127270,71,66
1584129175,55,58
1584131064,62,47
1584132975,69,59
1584134895,80,64
1584136987,71,74
1584138985,59,87
1584140897,36,80
1584142838,58,94
1584144739,73,79
1584146662,69,74
1584148584,65,63
1584150498,66,81
1584152421,43,76
1584154359,63,57
1584156259,70,59
1584158178,72,78
1584160104,78,69
1584163003,90,80
1584164900,71,68
1584166826,64,52
1584168739,130,60
1584170681,48,61
1584172576,54,63
1584174495,66,66
1584176587,60,83
1584178575,62,67
1584180492,58,34
1584182430,56,44
1584184362,50,40
1584186255,48,58
1584188188,54,43
1584190100,72,72
1584192024,56,70
1584193938,63,60
1584195858,59,53
1584197777,63,36
1584199695,66,38
1584202575,85,64
1584204501,64,50
1584206416,50,66
1584208332,62,61
1584210254,67,68
1584212173,66,74
1584214094,66,65
1584216269,55,56
1584218178,168,58
1584220120,47,49
1584222012,54,66
1584223939,56,56
1584225855,56,45
1584228022,68,44
1584229940,65,57
1584231854,51,47
1584233780,50,60
1584235712,51,44
1584237920,61,72
1584239777,55,42
1584241946,64,69
1584243871,64,74
1584245796,56,72
1584247704,65,73
1584249614,64,46
1584251535,48,56
1584253456,55,58
1584255407,76,125
1584257332,61,53
1584259481,126,68
1584261375,95,73
1584263313,85,52
1584265215,70,59
1584267147,88,44
1584269098,65,58
1584271017,68,56
1584272895,67,44
1584274813,66,51
1584276732,68,68
1584278682,59,57
1584280571,165,56
1584282491,77,54
1584285403,109,87
1584287298,87,64
1584289240,45,44
1584291134,64,54
1584293050,49,41
1584295016,55,56
1584296891,51,73
1584298975,46,61
1584300779,44,60
1584302712,119,48
1584304831,357,168
1584306762,52,41
1584308656,56,53
1584310575,50,58
1584312516,54,63
1584314412,43,63
1584316353,60,75
1584318252,59,45
1584320186,60,60
1584322093,50,54
1584324985,82,96
1584326914,50,63
1584328811,60,67
1584330742,56,74
1584332674,49,68
1584334574,63,66
1584336495,64,60
1584338470,78,69
1584340426,96,73
1584343456,165,115
1584345393,51,90
1584347294,66,70
1584350175,116,130
1584352096,61,68
1584354028,73,84
1584355964,62,53
1584357875,75,59
1584359789,84,64
1584361700,87,68
1584363731,206,61
1584365538,292,67
1584367716,103,176
1584369622,95,77
1584371537,62,60
1584373477,98,112
1584375350,109,58
1584377303,90,62
1584379237,60,58
1584381133,116,56
1584384278,401,88
1584386183,187,50
1584388134,62,63
1584390036,67,218
1584391967,60,225
1584393852,75,43
1584395799,77,63
1584397712,62,67
1584399761,73,45
1584401772,55,56
1584403714,70,60
1584405615,72,74
1584407535,67,53
1584409483,65,50
1584411402,49,59
1584413317,70,59
1584415212,51,53
1584417131,54,57
1584419073,65,57
1584420972,61,65
1584422890,41,60
