DateTime,Entries,UniqueIPs
1583976258,3963,3963
1583978185,3963,3963
1583980094,3981,3981
1583982350,3989,3989
1583984174,4023,4023
1583986091,4052,4052
1583988046,4111,4111
1583989937,4168,4168
1583991860,4202,4202
1583993781,4262,4262
1583995700,4280,4280
1583997612,4321,4321
1583999531,4377,4377
1584001454,4431,4431
1584003410,4485,4485
1584005377,4570,4570
1584007328,4624,4624
1584009230,4735,4735
1584011302,4819,4819
1584013215,4908,4908
1584015196,5056,5056
1584017061,5166,5166
1584019004,5194,5194
1584020929,5209,5209
1584022832,5296,5296
1584024734,5413,5413
1584026548,5488,5488
1584028361,5580,5580
1584030270,5607,5607
1584032195,5632,5632
1584034119,5665,5665
1584036282,5625,5625
1584038174,5619,5619
1584040131,5635,5635
1584042077,5615,5615
1584043967,5598,5598
1584045894,5587,5587
1584047806,5507,5507
1584049948,5468,5468
1584051858,5424,5424
1584053790,5434,5434
1584055698,5418,5418
1584057830,5429,5429
1584059792,5425,5425
1584061693,5440,5440
1584063614,5448,5448
1584065542,5449,5449
1584067457,5439,5439
1584069375,5441,5441
1584071303,5395,5395
1584073216,5374,5374
1584075134,5320,5320
1584077067,5255,5255
1584078975,5212,5212
1584080891,5175,5175
1584083024,5138,5138
1584084985,5057,5057
1584086891,4981,4981
1584088816,4939,4939
1584090740,4870,4870
1584092656,4824,4824
1584094579,4747,4747
1584096517,4583,4583
1584098411,4497,4497
1584100331,4356,4356
1584102254,4207,4207
1584104170,4146,4146
1584106092,4094,4094
1584108978,3942,3942
1584110902,3786,3786
1584112819,3704,3704
1584114737,3605,3605
1584116684,3463,3463
1584118573,3411,3411
1584120493,3381,3381
1584123417,3409,3409
1584125317,3448,3448
1584127270,3453,3453
1584129175,3450,3450
1584131064,3465,3465
1584132975,3475,3475
1584134895,3491,3491
1584136987,3488,3488
1584138985,3460,3460
1584140897,3416,3416
1584142838,3380,3380
1584144739,3374,3374
1584146662,3369,3369
1584148584,3371,3371
1584150498,3356,3356
1584152421,3323,3323
1584154359,3329,3329
1584156259,3340,3340
1584158178,3334,3334
1584160104,3343,3343
1584163003,3353,3353
1584164900,3356,3356
1584166826,3368,3368
1584168739,3438,3438
1584170681,3425,3425
1584172576,3416,3416
1584174495,3416,3416
1584176587,3393,3393
1584178575,3388,3388
1584180492,3412,3412
1584182430,3424,3424
1584184362,3434,3434
1584186255,3424,3424
1584188188,3435,3435
1584190100,3435,3435
1584192024,3421,3421
1584193938,3424,3424
1584195858,3430,3430
1584197777,3457,3457
1584199695,3485,3485
1584202575,3506,3506
1584204501,3520,3520
1584206416,3504,3504
1584208332,3505,3505
1584210254,3504,3504
1584212173,3496,3496
1584214094,3497,3497
1584216269,3496,3496
1584218178,3606,3606
1584220120,3604,3604
1584222012,3592,3592
1584223939,3592,3592
1584225855,3603,3603
1584228022,3627,3627
1584229940,3635,3635
1584231854,3639,3639
1584233780,3629,3629
1584235712,3636,3636
1584237920,3625,3625
1584239777,3638,3638
1584241946,3633,3633
1584243871,3623,3623
1584245796,3607,3607
1584247704,3599,3599
1584249614,3617,3617
1584251535,3609,3609
1584253456,3606,3606
1584255407,3557,3557
1584257332,3565,3565
1584259481,3623,3623
1584261375,3645,3645
1584263313,3678,3678
1584265215,3689,3689
1584267147,3733,3733
1584269098,3740,3740
1584271017,3752,3752
1584272895,3775,3775
1584274813,3790,3790
1584276732,3790,3790
1584278682,3792,3792
1584280571,3901,3901
1584282491,3924,3924
1584285403,3946,3946
1584287298,3969,3969
1584289240,3970,3970
1584291134,3980,3980
1584293050,3988,3988
1584295016,3987,3987
1584296891,3965,3965
1584298975,3950,3950
1584300779,3934,3934
1584302712,4005,4005
1584304831,4194,4194
1584306762,4205,4205
1584308656,4208,4208
1584310575,4200,4200
1584312516,4191,4191
1584314412,4171,4171
1584316353,4156,4156
1584318252,4170,4170
1584320186,4170,4170
1584322093,4166,4166
1584324985,4152,4152
1584326914,4139,4139
1584328811,4132,4132
1584330742,4114,4114
1584332674,4095,4095
1584334574,4092,4092
1584336495,4096,4096
1584338470,4105,4105
1584340426,4128,4128
1584343456,4178,4178
1584345393,4139,4139
1584347294,4135,4135
1584350175,4121,4121
1584352096,4114,4114
1584354028,4103,4103
1584355964,4112,4112
1584357875,4128,4128
1584359789,4148,4148
1584361700,4167,4167
1584363731,4312,4312
1584365538,4537,4537
1584367716,4464,4464
1584369622,4482,4482
1584371537,4484,4484
1584373477,4470,4470
1584375350,4521,4521
1584377303,4549,4549
1584379237,4551,4551
1584381133,4611,4611
1584384278,4924,4924
1584386183,5061,5061
1584388134,5060,5060
1584390036,4909,4909
1584391967,4744,4744
1584393852,4776,4776
1584395799,4790,4790
1584397712,4785,4785
1584399761,4813,4813
1584401772,4812,4812
1584403714,4822,4822
1584405615,4820,4820
1584407535,4834,4834
1584409483,4849,4849
1584411402,4839,4839
1584413317,4850,4850
1584415212,4848,4848
1584417131,4845,4845
1584419073,4853,4853
1584420972,4849,4849
1584422890,4830,4830
1584424878,4790,4790
1584426759,4768,4768
1584428690,4750,4750
1584430593,4738,4738
1584432522,4770,4770
1584434418,4754,4754
1584436365,4746,4746
1584438253,4782,4782
1584440184,4778,4778
1584442117,4804,4804
1584444042,4787,4787
1584445950,4783,4783
1584447875,4767,4767
1584449793,4687,4687
1584451704,4419,4419
1584453735,4412,4412
1584455565,4433,4433
1584457507,4420,4420
1584459380,4402,4402
1584461309,4359,4359
1584463464,4366,4366
1584465390,4366,4366
1584467331,4309,4309
1584469214,4146,4146
1584471161,3959,3959
1584473107,3883,3883
1584474973,3967,3967
1584476892,3976,3976
1584479788,3979,3979
1584481720,3981,3981
1584483621,4023,4023
1584485539,4010,4010
1584487474,4034,4034
1584489411,4071,4071
1584491542,4319,4319
1584493511,4345,4345
1584495397,4358,4358
1584497308,4432,4432
1584499395,4615,4615
1584501199,4963,4963
1584503180,5359,5359
1584505150,5745,5745
1584507127,5978,5978
1584509073,6001,6001
1584510971,6096,6096
1584512891,6139,6139
1584514961,6208,6208
1584516990,6213,6213
1584518903,6221,6221
1584520812,6226,6226
1584522792,6270,6270
1584524676,6260,6260
1584526603,6261,6261
1584528516,6267,6267
1584530454,6282,6282
1584532340,6264,6264
1584534299,6270,6270
1584536188,6290,6290
1584538105,6298,6298
1584540235,6274,6274
1584542190,6243,6243
1584544121,6251,6251
1584546018,6260,6260
1584547956,6230,6230
1584550038,6218,6218
1584551900,6214,6214
1584553700,6200,6200
1584555644,6192,6192
1584557576,6229,6229
1584559456,6247,6247
1584561407,6154,6154
1584563295,6156,6156
1584565299,6149,6149
1584567153,6128,6128
1584569327,6079,6079
1584571225,6055,6055
1584573135,6042,6042
1584575086,6034,6034
1584576980,5964,5964
1584578902,5799,5799
1584580830,5787,5787
1584582751,5748,5748
1584584659,5695,5695
1584586590,5398,5398
1584588494,5051,5051
1584591379,4425,4425
1584593313,4084,4084
1584595252,4053,4053
1584597134,3955,3955
1584599053,3921,3921
1584600989,3826,3826
1584602898,3814,3814
1584605780,3792,3792
1584607711,3755,3755
1584609633,3746,3746
1584611537,3750,3750
1584613456,3728,3728
1584615390,3722,3722
1584617299,3718,3718
1584619389,3719,3719
1584621385,3717,3717
1584623322,3710,3710
1584625225,3709,3709
1584627143,3720,3720
1584629081,3745,3745
1584630980,3740,3740
1584632901,3715,3715
1584634829,3715,3715
1584636773,3706,3706
1584638699,3706,3706
1584640605,3721,3721
1584642504,3723,3723
1584644603,3690,3690
1584646580,3668,3668
1584648517,3653,3653
1584650422,3653,3653
1584652339,3656,3656
1584654269,3629,3629
1584656180,3630,3630
1584658108,3615,3615
1584660025,3594,3594
1584661939,3566,3566
1584663862,3556,3556
1584665796,3569,3569
1584667691,3564,3564
1584669774,3564,3564
1584671773,3600,3600
1584673721,3608,3608
1584675618,3644,3644
1584677574,3653,3653
1584679483,3657,3657
1584681406,3660,3660
1584683298,3675,3675
1584685234,3676,3676
1584687158,3628,3628
1584689076,3627,3627
1584691063,3644,3644
1584692903,3610,3610
1584695077,3612,3612
1584696985,3633,3633
1584698930,3628,3628
1584700844,3618,3618
1584702740,3632,3632
1584704678,3649,3649
1584706612,3657,3657
1584708498,3679,3679
1584710449,3673,3673
1584712349,3667,3667
1584714287,3652,3652
1584716196,3647,3647
1584718096,3622,3622
1584720992,3610,3610
1584722937,3613,3613
1584724830,3619,3619
1584726733,3594,3594
1584728664,3584,3584
1584730582,3588,3588
1584732534,3604,3604
1584734471,3616,3616
1584736365,3608,3608
1584738189,3618,3618
1584740186,3638,3638
1584742103,3654,3654
1584744031,3658,3658
1584745944,3699,3699
1584747862,3708,3708
1584749791,3717,3717
1584751707,3739,3739
1584753639,3735,3735
1584755532,3734,3734
1584757457,3686,3686
1584759384,3700,3700
1584761299,3690,3690
1584763276,3693,3693
1584765148,3687,3687
1584767007,3682,3682
1584768972,3782,3782
1584770906,3776,3776
1584772815,3771,3771
1584775009,3764,3764
1584776922,3758,3758
1584778878,3729,3729
1584781017,3744,3744
1584782898,3751,3751
1584785007,3740,3740
1584787226,3759,3759
1584789146,3749,3749
1584791073,3715,3715
1584793023,4090,4090
1584794919,4058,4058
1584796851,4055,4055
1584798748,4064,4064
1584800667,4055,4055
1584802588,4035,4035
1584804509,4049,4049
1584806692,4049,4049
1584808579,4018,4018
1584810508,3985,3985
1584812414,3968,3968
1584814335,3929,3929
1584816271,3904,3904
1584818191,3880,3880
1584820102,3865,3865
1584822088,3941,3941
1584823955,4072,4072
1584825871,4092,4092
1584827793,4093,4093
1584829718,4086,4086
1584832815,4035,4035
1584834729,4033,4033
1584836662,4008,4008
1584838568,3979,3979
1584840501,3954,3954
1584843621,3905,3905
1584845538,3870,3870
1584847467,3862,3862
1584849373,3850,3850
1584851308,3841,3841
1584854411,3854,3854
1584856363,3902,3902
1584858256,3905,3905
1584860172,3911,3911
1584862118,3913,3913
1584864147,3933,3933
1584865971,3932,3932
1584867877,3907,3907
1584870761,3879,3879
1584872670,3866,3866
1584874580,3870,3870
1584876525,3851,3851
1584879418,3854,3854
1584881308,3389,3389
1584883211,3235,3235
1584885130,3212,3212
1584887062,3180,3180
1584888974,3164,3164
1584891136,3165,3165
1584893091,3155,3155
1584894988,3159,3159
1584896908,3190,3190
1584898812,3182,3182
1584900746,3172,3172
1584902663,3179,3179
1584904584,3178,3178
1584906531,3181,3181
1584908434,3091,3091
1584910334,2950,2950
1584912257,2898,2898
1584914183,2870,2870
1584916097,2852,2852
1584918979,2877,2877
1584920927,2856,2856
1584922820,2866,2866
1584924768,2893,2893
1584926671,2925,2925
1584928576,2898,2898
1584930497,2886,2886
1584932546,2891,2891
1584934584,2892,2892
