DateTime,AddedIPs,RemovedIPs
1582338491,2,0
1582341616,0,1
1582343546,3,1
1582347373,4,14
1582351294,0,1
1582353150,5,0
1582354980,0,2
1582363002,8,1
1582370654,1,0
1582372587,0,1
1582374502,5,0
1582378610,1,0
1582380506,2,0
1582382421,4,0
1582384340,1,0
1582390097,1,0
1582395854,1,0
1582399692,0,4
1582405720,4,0
1582409536,0,3
1582411471,0,4
1582415325,0,8
1582417219,4,0
1582419131,0,1
1582421072,5,6
1582422974,9,2
1582424893,0,2
1582429038,1,2
1582430920,0,1
1582434752,11,5
1582436655,5,0
1582438581,5,4
1582442421,1,0
1582448197,0,1
1582450093,0,5
1582452295,2,0
1582454188,2,0
1582458076,1,1
1582461883,0,5
1582465714,0,1
1582467615,0,6
1582469536,0,1
1582473393,1,0
1582477412,0,1
1582481311,2,0
1582483274,0,1
1582490913,0,4
1582494738,20,0
1582496668,3,0
1582503372,1,4
1582505327,1,0
1582507234,5,8
1582509129,5,9
1582511066,7,0
1582515139,0,1
1582517091,1,0
1582518988,1,0
1582520905,11,8
1582522815,0,3
1582524747,3,6
1582526659,2,0
1582528601,9,1
1582536269,2,0
1582538191,0,2
1582540134,0,2
1582545151,0,1
1582559529,0,1
1582567339,10,4
1582570973,4,0
1582574892,15,0
1582576824,4,0
1582580658,0,19
1582582577,1,3
1582584514,3,0
1582588356,8,0
1582590266,1,1
1582592171,14,1
1582594090,1,6
1582596142,4,6
1582598183,0,7
1582603959,0,1
1582605859,3,2
1582607774,6,9
1582609706,0,1
1582611610,2,1
1582613530,0,2
1582615465,0,9
1582623409,0,1
1582633230,1,0
1582640891,1,0
1582652664,0,10
1582656503,0,4
1582662253,0,19
1582668979,0,1
1582670897,0,3
1582674740,1,9
1582676674,1,1
1582678589,1,14
1582680505,0,1
1582682571,1,4
1582684595,4,0
1582686507,5,0
1582692259,0,5
1582694202,0,7
1582698018,5,2
1582699948,2,0
1582704984,5,0
1582706909,1,0
1582708828,0,1
1582718521,0,1
1582726339,0,1
1582754596,1,0
1582760412,1,0
1582762370,0,1
1582764276,0,2
1582770015,0,4
1582771935,2,5
1582773867,3,0
1582785385,6,6
1582787300,1,0
1582789213,0,2
1582791176,0,4
1582793052,0,1
1582816640,5,0
1582820426,1,0
1582839873,0,1
1582843716,1,0
1582847536,1,1
1582849451,1,0
1582853287,4,0
1582857372,0,1
1582859318,0,3
1582861301,0,2
1582865053,1,0
1582866990,1,0
1582870822,0,6
1582874659,0,1
1582878497,1,0
1582884519,4,0
1582894098,5,0
1582899858,1,0
1582901789,0,4
1582906575,0,1
1582918093,3,0
1582931800,0,1
1582935629,0,2
1582939485,0,4
1582941398,1,0
1582943294,4,0
