DateTime,AddedIPs,RemovedIPs
1581196583,1,0
1581198523,2,0
1581200418,0,1
1581204270,0,1
1581206170,0,1
1581208096,0,1
1581210220,2,0
1581214357,0,2
1581216252,0,2
1581222009,1,0
1581227783,0,1
1581232583,1,0
1581238346,1,0
1581250815,0,1
1581256573,1,0
1581262593,1,0
1581268353,1,0
1581274112,0,2
1581279854,1,1
1581285737,0,1
1581291408,2,0
1581293296,0,1
1581297156,0,1
1581301229,1,0
1581308894,0,1
1581310978,0,1
1581313002,2,0
1581316816,0,1
1581320655,0,2
1581324502,1,0
1581326424,0,1
1581328332,1,1
1581330267,1,0
1581332189,1,1
1581336225,1,0
1581342015,0,2
1581347774,1,1
1581353551,0,1
1581357374,0,1
1581359295,1,0
1581361534,1,0
1581365615,0,1
1581367480,1,0
1581369410,2,0
1581375193,0,2
1581377096,0,1
1581394835,1,0
1581400579,0,1
1581402520,0,1
1581420330,1,0
1581422187,0,1
1581424095,1,0
1581433708,1,0
1581445247,0,1
1581452890,0,1
1581454977,0,1
1581456974,0,1
1581458905,0,1
1581462985,1,1
1581481462,0,1
1581492028,0,1
1581499690,1,0
1581501753,1,0
1581505721,1,0
1581521311,1,1
1581538576,0,1
1581540525,0,1
1581546285,1,0
1581554896,1,2
1581566614,1,0
1581568440,1,0
1581572443,1,0
1581574673,1,0
1581578489,1,0
1581584197,0,1
1581590171,2,0
1581592106,1,1
1581595970,1,2
1581601940,1,0
1581607772,0,1
1581619454,1,1
1581630971,0,1
1581632889,0,2
1581636013,1,0
1581645703,2,0
1581647538,2,0
1581653543,0,1
1581657375,1,0
1581661248,0,1
1581665065,0,1
1581668889,1,0
1581674928,0,1
1581678759,0,1
1581680658,1,0
1581684491,2,0
1581694104,0,1
1581697948,0,1
1581705872,0,1
1581707785,1,0
1581711639,0,1
1581723371,0,2
1581727224,1,0
1581733029,0,2
1581734902,0,1
1581738735,1,0
1581749310,1,0
1581758900,1,0
1581760973,1,0
1581776418,0,1
1581778333,0,1
1581786294,1,0
1581793947,1,0
1581797782,1,0
1581801611,1,0
1581803543,1,1
1581805457,0,1
1581809290,1,0
1581811355,1,0
1581813385,2,0
1581815301,1,1
1581817214,2,0
1581821054,1,0
1581836932,2,0
1581840735,1,0
1581844573,1,1
1581846496,0,1
1581850341,0,1
1581852259,1,0
1581854196,2,0
1581856096,2,0
1581860909,0,1
1581864757,1,0
1581866659,1,0
1581873627,0,1
1581877471,1,0
1581889214,1,1
1581891132,1,1
1581898827,1,0
1581900737,1,0
1581904587,0,1
1581924030,0,2
1581929789,0,2
1581935547,1,0
1581937367,1,0
1581941326,0,1
1581943216,1,0
1581950894,0,1
1581960490,0,1
1581962662,0,1
1581964598,0,2
1581966502,1,1
1581970387,0,1
1581974209,0,1
1581976103,0,1
1581987763,1,1
1581989800,1,0
1581991965,0,1
1581997730,1,0
1582007292,1,0
1582009377,0,1
1582019054,0,1
1582020990,2,0
1582024811,0,1
1582028681,0,1
1582032491,1,0
1582034609,1,1
1582051949,1,1
1582053873,1,0
1582055774,1,0
1582065374,1,1
1582073310,2,0
1582084973,0,1
1582092754,0,1
1582102332,0,1
1582106172,0,1
1582112182,0,1
1582133290,1,1
1582135274,1,0
1582139084,0,1
1582149149,1,0
1582151179,0,2
1582152989,0,1
1582158008,1,0
1582167999,0,1
1582170030,1,0
1582187773,0,1
1582195699,2,0
1582208178,1,0
1582212054,1,0
1582219695,0,1
1582221858,1,0
1582231713,1,0
1582235548,0,2
1582241290,1,0
1582243426,2,1
1582245397,1,0
1582247306,0,1
1582256913,0,1
1582258811,1,0
1582264572,1,0
1582288125,0,1
1582292189,1,1
1582297976,0,1
1582301774,0,1
1582322198,1,1
1582327932,0,2
1582329762,0,1
1582331787,0,1
1582337549,0,1
1582345222,0,1
1582351001,0,1
1582360875,1,0
1582364900,1,0
1582368733,1,0
1582374503,0,1
1582376622,3,0
1582378611,3,0
1582388204,1,0
1582403771,1,0
1582405721,1,0
1582407653,0,1
1582409537,1,0
1582415325,0,1
1582417219,0,1
1582424894,0,1
1582436656,1,0
1582452297,0,1
1582463792,0,3
1582465715,0,1
1582467616,1,0
1582469536,1,0
1582487077,1,0
1582490913,0,1
1582494738,1,0
1582498572,0,2
1582507234,0,1
1582511067,2,0
1582512983,1,0
1582522818,0,2
1582532416,1,0
1582549692,3,0
1582551730,1,0
1582553558,1,0
1582555460,0,3
1582563130,1,0
1582571006,1,0
1582576825,1,0
1582584514,0,1
1582588357,1,0
1582598184,0,2
1582617370,0,1
1582619290,0,1
1582627233,1,0
1582635134,1,1
1582637072,0,3
1582638973,0,1
1582648830,0,1
1582656504,0,1
1582658420,0,2
1582662253,0,1
1582664183,1,0
1582669947,1,0
1582671880,1,0
1582673772,0,1
1582677614,2,0
1582681456,1,0
1582708577,1,0
1582714353,2,1
1582716258,2,0
1582750093,0,1
1582757781,0,2
1582759688,0,1
1582765740,2,0
1582792817,1,0
1582800510,0,2
1582810108,0,1
1582816241,0,1
1582818272,1,0
1582824029,1,0
1582831755,0,1
1582840334,1,0
1582844185,1,0
1582849035,1,0
1582850924,2,0
1582852829,1,3
1582898675,3,0
1582902529,0,1
1582906338,0,1
1582925769,0,1
1582927702,1,0
1582939223,0,1
1582956748,0,1
1582960599,1,0
1582968253,1,0
1582976222,0,1
1582981953,0,1
1582983853,0,1
1582985776,0,2
1582997304,1,0
1582999375,1,1
1583007138,0,1
1583010996,1,0
1583014834,0,1
1583018668,1,0
1583055623,0,1
1583069329,0,1
1583071467,2,1
1583075316,0,1
1583077224,1,1
1583090677,1,0
1583092581,1,0
1583103152,2,0
1583127411,0,1
1583131243,0,1
1583154545,1,0
1583166278,0,1
1583170094,1,0
1583179939,0,1
1583189543,1,0
1583193380,2,1
1583238034,0,1
1583239959,0,2
1583243778,1,0
1583253663,1,0
1583257462,1,0
1583268977,1,0
1583270892,2,0
1583275002,0,1
1583278815,0,1
1583301897,1,0
1583305695,0,1
1583315542,1,0
1583319373,0,2
1583329934,0,1
1583339772,0,1
1583343634,0,1
1583345789,0,1
1583347703,1,0
1583365453,1,0
1583375060,1,0
1583388509,0,2
1583398098,1,0
1583415615,1,0
1583432912,1,0
1583435014,0,1
1583436973,1,0
1583442739,0,1
1583444658,0,2
1583450413,0,2
1583452329,0,1
1583454253,2,0
1583473698,1,0
1583483543,1,0
1583489297,1,0
1583491218,1,0
1583518356,1,0
1583522188,1,1
1583526042,2,1
1583545451,0,1
1583547375,0,1
1583549295,1,0
1583555053,0,1
1583561774,0,1
1583563693,0,1
1583565609,0,2
1583571385,0,1
1583576206,1,2
1583578097,0,1
1583580048,1,0
1583581953,0,1
1583583881,1,1
1583585771,0,1
1583597567,3,0
1583599454,1,0
1583619620,0,1
1583623463,0,1
1583635219,1,1
1583639081,0,1
1583662337,1,1
1583668097,0,1
1583670031,0,1
1583684409,0,2
1583690190,2,0
1583694148,1,0
1583695956,1,1
1583711296,1,0
1583742255,1,0
1583763618,0,1
1583777330,0,2
1583779228,0,1
1583792656,1,0
1583800595,0,1
1583804437,0,1
1583837294,2,0
1583841164,0,1
1583846895,1,0
1583849772,1,0
1583853860,2,0
1583869468,0,1
1583871421,0,1
1583873314,1,2
1583875223,1,1
1583886012,1,1
1583889851,2,0
1583918180,0,1
1583925851,2,1
1583933777,0,1
1583935703,0,1
1583937619,1,0
1583945308,0,1
1583962814,0,1
1583966674,0,1
1583974330,1,0
1583976259,0,2
1584003779,1,0
1584007721,0,1
1584017316,0,1
1584026892,1,0
1584028934,3,0
1584030762,1,0
1584044174,0,1
1584048024,1,0
1584055699,1,0
1584059793,0,1
1584078976,0,1
1584080892,1,1
1584094580,1,0
1584100332,0,1
1584104171,0,1
1584106093,0,1
1584108979,1,0
1584114738,0,1
1584116685,1,0
1584118574,0,1
1584158179,0,1
1584160105,1,2
1584164901,1,0
1584166827,0,1
1584180493,0,3
1584186256,0,1
1584192025,2,0
1584195859,2,0
