DateTime,Entries,UniqueIPs
1583973613,871,871
1583975538,869,869
1583977453,862,862
1583979379,862,862
1583981296,861,861
1583983212,855,855
1583985128,857,857
1583987065,850,850
1583989001,849,849
1583990889,832,832
1583992996,828,828
1583994973,825,825
1583996907,825,825
1583998815,809,809
1584000736,807,807
1584002729,808,808
1584004911,804,804
1584006746,794,794
1584008835,824,824
1584011017,921,921
1584013008,985,985
1584014907,995,995
1584016820,1060,1060
1584018773,1045,1045
1584020675,1035,1035
1584022589,1031,1031
1584024531,1034,1034
1584026549,1029,1029
1584028363,1026,1026
1584030271,1030,1030
1584032199,1033,1033
1584034120,1027,1027
1584036282,1033,1033
1584038175,1027,1027
1584040132,1035,1035
1584042081,1026,1026
1584043968,1026,1026
1584045895,1028,1028
1584047807,1018,1018
1584049949,1025,1025
1584051862,1019,1019
1584053791,1022,1022
1584055700,1022,1022
1584057840,1023,1023
1584059793,1015,1015
1584061698,1020,1020
1584063616,1030,1030
1584065543,1029,1029
1584067459,1024,1024
1584069377,1022,1022
1584071304,1010,1010
1584073244,1002,1002
1584075139,1015,1015
1584077072,1021,1021
1584078980,1018,1018
1584080892,1017,1017
1584083093,1024,1024
1584084986,1022,1022
1584086896,1032,1032
1584088817,1044,1044
1584090742,1037,1037
1584092657,1046,1046
1584094580,1038,1038
1584096518,929,929
1584098413,885,885
1584100333,837,837
1584102255,785,785
1584104172,770,770
1584106096,773,773
1584108979,776,776
1584110903,775,775
1584112822,768,768
1584114739,770,770
1584116685,765,765
1584118574,766,766
1584120494,770,770
1584123421,769,769
1584125318,777,777
1584127271,781,781
1584129176,779,779
1584131065,785,785
1584132978,792,792
1584134897,801,801
1584136989,797,797
1584138987,797,797
1584140898,787,787
1584142839,797,797
1584144740,797,797
1584146663,789,789
1584148585,786,786
1584150499,778,778
1584152424,771,771
1584154360,776,776
1584156260,778,778
1584158180,789,789
1584160105,791,791
1584162040,794,794
1584163943,795,795
1584165894,796,796
1584167775,791,791
1584169693,795,795
1584171613,791,791
1584173536,785,785
1584175460,781,781
1584177627,779,779
1584179569,774,774
1584181484,773,773
1584183377,779,779
1584185296,776,776
