DateTime,AddedIPs,RemovedIPs
1583245696,2,0
1583251721,1,0
1583255542,1,0
1583259380,1,0
1583265142,3,0
1583267056,2,0
1583268983,1,1
1583270893,1,0
1583275007,1,0
1583280744,1,0
1583288415,1,0
1583294176,0,2
1583296091,1,0
1583298073,0,2
1583303785,1,0
1583305696,1,0
1583309534,1,0
1583311477,1,0
1583317466,3,0
1583321314,1,0
1583324216,1,1
1583326103,0,1
1583328025,0,1
1583331877,0,2
1583339774,0,1
1583343637,0,1
1583345790,0,1
1583351565,0,2
1583353461,0,2
1583355382,2,2
1583357301,0,1
1583359547,0,1
1583361373,1,1
1583365455,0,1
1583371217,1,0
1583373160,0,1
1583375061,0,1
1583378899,1,1
1583380973,1,0
1583388746,1,0
1583390661,1,1
1583396416,0,1
1583398331,1,1
1583402171,0,2
1583404092,0,1
1583406125,0,1
1583409804,1,1
1583411824,1,0
1583419475,0,1
1583423309,2,0
1583425218,1,0
1583432913,2,1
1583440817,0,2
1583444660,2,0
1583446577,1,1
1583452331,1,0
1583454254,1,1
1583456171,1,0
1583458090,0,1
1583462174,1,0
1583464137,1,0
1583466016,0,2
1583469851,1,0
1583475617,0,2
1583477552,1,0
1583481375,2,0
1583485469,1,1
1583493141,1,0
1583496992,1,1
1583498937,0,1
1583502739,1,0
1583504659,1,0
1583506595,1,0
1583508502,1,0
1583510580,1,1
1583514507,0,1
1583516416,1,0
1583520254,0,1
1583522189,0,1
1583524101,2,0
1583527931,1,0
1583529862,0,2
1583539695,2,1
1583541616,0,1
1583549296,0,1
1583551218,1,1
1583555057,1,1
1583556968,1,0
1583560935,2,0
1583562735,1,0
1583564722,0,1
1583568528,0,2
1583572364,1,1
1583574252,0,1
1583580050,1,1
1583581955,0,1
1583583882,0,1
1583589776,0,1
1583591773,0,1
1583593692,1,1
1583595615,1,0
1583597569,0,1
1583603297,1,1
1583607135,312,0
1583609055,695,0
1583610999,1,3
1583612890,2,0
1583615807,0,1
1583617703,0,1
1583619622,2,0
1583621567,1,0
1583623465,1,0
1583625383,2,1
1583633334,1,0
1583637144,2,0
1583640992,1,0
1583642908,1,1
1583644843,0,1
1583646739,1,2
1583648669,1,1
1583652503,1,0
1583658494,1,1
1583662339,2,1
1583664276,1,0
1583666175,0,1
1583671933,1,1
1583679715,0,1
1583691136,2,0
1583693080,0,165
