DateTime,AddedIPs,RemovedIPs
1582561695,1,0
1582571303,1,0
1582573217,1,0
1582577059,1,0
1582578975,1,0
1582580914,1,2
1582582811,1,0
1582588573,2,0
1582592558,2,1
1582596501,1,1
1582600344,1,0
1582602257,0,1
1582614164,1,0
1582620017,1,1
1582626021,1,1
1582636605,1,0
1582648127,0,1
1582650293,0,1
1582656013,2,0
1582657935,0,2
1582663716,0,1
1582665628,1,0
1582667572,0,1
1582669457,0,1
1582675438,1,3
1582677383,1,0
1582679297,0,2
1582681211,1,0
1582683146,0,1
1582685062,2,0
1582686975,0,1
1582700553,1,1
1582702571,1,0
1582710266,0,1
1582712171,0,1
1582717929,2,0
1582722977,0,1
1582724896,1,0
1582728741,1,0
1582732571,1,0
1582742424,1,2
1582748195,1,0
1582752021,0,1
1582763544,2,1
1582765740,1,0
1582767643,0,1
1582771460,0,2
1582779135,1,0
1582786981,0,1
1582788804,0,1
1582796671,0,1
1582802419,1,0
1582804353,0,1
1582810108,0,1
1582816247,0,1
1582824029,1,1
1582825935,1,0
1582827850,0,1
1582833679,1,0
1582835547,0,1
1582839369,1,0
1582843212,0,1
1582849036,1,0
1582850924,0,2
1582860974,1,0
1582862967,2,0
1582866752,0,1
1582876351,2,0
1582884070,1,0
1582887781,1,0
1582893614,1,0
1582895537,1,0
1582909494,1,0
1582911375,1,1
1582921001,1,1
1582923145,1,0
1582925061,0,1
1582926993,0,1
1582928907,0,1
1582931801,1,0
1582935630,0,1
1582941399,1,0
1582947375,1,1
1582949320,0,2
1582962740,0,1
1582970583,31,0
1582974514,0,3
1582976415,0,1
1582980253,1,1
1582982175,0,1
1582991790,1,0
1582997820,0,2
1583003539,1,0
1583005471,1,0
1583007375,0,1
1583009297,0,1
1583011225,1,0
1583018892,0,1
1583021043,1,0
1583024942,2,0
1583028735,1,1
1583030672,1,0
1583032594,1,1
1583044102,1,0
1583049147,2,0
1583054900,1,0
1583056984,0,31
1583066918,0,1
1583078691,1,1
1583080594,1,0
1583088262,1,0
1583092114,0,1
1583094036,1,0
1583097877,0,1
1583103813,1,0
1583107736,0,1
1583111603,1,2
1583115402,0,1
1583117338,0,1
1583123125,3,0
1583127432,1,0
1583131245,0,1
1583135061,0,3
1583138901,1,0
1583140834,1,1
1583144668,1,0
1583146590,1,0
1583164341,0,1
1583168179,0,1
1583174200,0,1
1583179941,0,1
1583183830,1,0
1583185700,1,0
1583187627,0,1
1583189546,1,0
1583191508,2,1
1583197481,1,1
1583201310,1,0
1583203221,2,0
1583207065,1,0
1583208991,0,2
1583212820,1,1
1583218607,0,1
1583224576,0,1
1583226508,0,1
1583232263,0,2
1583234192,1,0
1583245697,1,0
1583265143,1,0
1583268983,0,1
1583272980,0,1
1583276908,0,2
1583280744,1,0
1583284580,0,1
1583286503,0,2
1583288416,1,1
1583290358,2,1
1583294177,0,1
1583298100,0,1
1583321315,0,1
1583331877,0,1
1583345791,1,0
1583351566,0,1
1583367392,0,1
1583371217,1,0
1583375061,0,1
1583376984,0,2
1583380974,1,0
1583382973,1,0
1583394496,1,0
1583406167,1,0
1583407976,1,0
1583421391,1,0
1583432913,2,1
1583448520,1,0
1583458091,0,1
1583466017,1,0
1583467966,1,1
1583471776,0,1
1583479460,1,1
1583483545,1,0
1583485470,2,0
1583489299,1,0
1583491220,0,1
1583495073,0,1
1583506595,1,0
1583508502,0,1
1583520255,0,2
1583524101,1,0
1583531774,1,0
1583533699,1,0
1583535860,0,1
