DateTime,AddedIPs,RemovedIPs
1583101716,1,1
1583103844,0,2
1583105842,1,0
1583113475,1,0
1583115402,0,1
1583117338,1,1
1583121151,0,1
1583123126,0,1
1583125514,0,1
1583129303,1,0
1583138902,0,2
1583142752,1,1
1583144668,1,0
1583148562,1,0
1583158592,1,1
1583160508,1,0
1583162507,0,1
1583164342,0,1
1583166281,1,1
1583168180,1,1
1583170097,2,0
1583172295,0,1
1583174201,2,0
1583176152,1,0
1583181891,1,2
1583183831,0,1
1583185701,1,0
1583187628,0,1
1583191508,0,1
1583199441,0,1
1583203222,1,0
1583205160,1,1
1583214739,1,0
1583216665,0,1
1583218608,1,0
1583226509,1,0
1583228428,2,1
1583230341,0,1
1583236098,1,1
1583238040,2,0
1583243781,1,0
1583245697,0,2
1583247874,1,0
1583251722,1,1
1583253665,1,0
1583255543,0,2
1583259381,1,1
1583261320,0,2
1583263233,1,0
1583267057,1,1
1583270894,1,1
1583272981,1,0
1583275008,2,0
1583276908,1,0
1583288417,0,1
1583292267,0,1
1583301906,0,1
1583303785,0,1
1583311478,0,1
1583313427,0,2
1583319375,1,0
1583321315,0,1
1583324216,0,1
1583328026,2,0
1583329935,0,1
1583333776,0,1
1583335696,1,0
1583337828,2,1
1583339775,1,0
1583341712,1,1
1583343639,1,0
1583345791,0,1
1583347707,2,0
1583349662,0,1
1583351567,3,0
1583353463,1,1
1583355383,1,0
1583357301,0,1
1583359548,0,1
1583361374,0,2
1583363556,2,1
1583367392,1,0
1583371218,1,0
1583376985,1,0
1583378900,2,0
1583406201,0,1
1583414183,1,2
1583416339,1,0
1583418258,2,0
1583422142,0,1
1583424298,0,2
1583426179,0,1
1583428102,1,1
1583430017,1,1
1583431969,1,0
1583433857,2,0
1583435791,0,2
1583437714,0,1
1583439617,0,3
1583441532,1,1
1583449538,2,1
1583453308,2,0
1583455225,1,1
1583457140,2,1
1583462898,1,1
1583464844,1,2
1583470574,1,0
1583478492,1,0
1583488103,1,0
1583491931,1,0
1583500618,1,1
1583502507,0,1
1583504426,0,1
1583506329,1,1
1583508267,2,0
1583514199,1,1
1583516175,2,1
1583518103,0,1
1583520027,2,2
1583523856,1,0
1583527699,0,1
1583529612,1,0
1583535371,0,2
1583539461,0,2
1583541380,0,1
1583543305,0,2
1583545221,2,0
1583547140,1,0
1583549061,0,1
1583550979,2,1
1583556759,0,1
1583565431,0,1
1583567300,2,0
1583574972,0,1
1583580050,0,1
1583583883,1,0
1583585774,0,1
1583589786,1,0
1583591775,0,1
1583593693,0,1
1583595616,2,1
1583599456,1,0
1583601381,0,3
1583605244,1,1
1583607136,2,1
1583609056,0,1
1583611000,1,0
1583612891,1,0
1583614897,1,1
1583622742,1,0
1583632332,1,2
1583634257,0,1
1583638096,0,2
1583640138,1,0
1583645776,1,0
1583651536,1,0
1583653494,0,2
1583661152,1,0
1583666891,1,0
1583668997,0,1
1583670977,1,0
1583676758,0,1
1583680574,1,0
1583682522,0,2
1583684411,16,0
1583686334,1,1
1583688256,2,0
1583690195,3,0
1583692106,1,2
1583694216,0,1
1583696176,2,0
1583698124,0,1
1583700013,0,1
1583701937,0,1
1583705775,1,0
1583707698,1,0
1583709634,1,1
1583713453,1,0
1583715393,1,0
1583719435,1,1
1583721376,1,0
1583727140,1,2
1583729078,1,0
1583730976,0,1
1583736735,1,1
1583747298,0,1
1583751135,1,0
1583753054,0,1
1583756896,1,0
1583758861,0,1
1583768423,2,0
1583772293,1,1
1583774200,0,2
1583776110,1,3
1583778043,0,1
1583779957,3,0
1583781889,0,1
1583783803,0,1
1583785698,2,0
1583789773,1,0
1583791733,1,1
1583793644,0,1
1583795544,2,1
1583799404,2,1
1583801305,1,0
1583803248,0,1
1583805161,1,1
1583809002,0,1
1583810910,1,0
1583814037,1,1
1583815957,0,1
1583817855,1,0
1583823903,0,1
1583827695,1,1
1583837295,0,1
1583839226,1,0
1583843056,0,1
1583844972,0,1
1583849773,1,0
1583851899,2,0
1583853863,0,1
1583855779,1,1
1583857724,2,0
1583859890,1,1
1583861806,0,1
1583865619,0,2
1583867559,1,1
1583873320,1,2
1583875229,1,1
1583877136,1,0
1583879061,0,1
1583880980,0,1
1583882894,0,1
1583886015,1,3
1583889854,0,1
1583893710,2,0
1583897541,0,1
1583899480,0,1
1583905233,0,1
1583907153,1,0
1583912899,0,1
1583922497,2,0
1583925611,0,1
1583927529,1,0
1583929452,1,0
1583935376,0,1
1583937372,1,1
1583939179,2,1
1583941000,1,0
1583942899,0,1
1583944839,0,2
1583946753,0,1
1583950617,2,0
1583954451,0,1
1583960185,0,1
1583962095,0,1
1583964177,0,1
1583971945,0,1
1583975773,1,0
1583979619,0,1
1583981554,0,1
1583989412,1,0
1583993302,0,1
1583999063,1,0
1584008869,0,2
1584016822,0,1
1584018774,1,0
1584020676,2,0
1584022590,1,1
1584024532,0,2
1584026550,1,0
1584028364,1,1
1584032201,1,0
1584034120,1,0
1584036283,0,1
1584038176,1,1
1584040132,1,0
1584042082,1,0
1584045896,1,0
1584053793,1,0
1584063628,1,1
1584067461,1,0
1584075142,0,1
1584080893,1,0
1584084987,0,1
1584104173,1,1
1584106098,0,1
1584108980,1,2
1584112823,1,1
1584114740,1,1
1584116686,1,0
1584118575,0,1
1584120496,0,1
1584125320,0,1
1584127273,0,2
1584131067,1,1
1584132979,1,0
1584134898,1,0
1584136996,2,0
1584138988,1,1
1584148587,0,1
1584152425,0,1
1584160107,1,0
1584166829,0,1
1584170684,1,0
1584180495,1,0
1584182432,1,0
1584186257,1,0
1584188191,1,0
1584190102,0,1
1584192027,1,0
1584195861,1,0
1584199698,1,2
1584202577,0,1
1584206418,1,0
1584208334,2,0
1584210257,1,0
1584220122,0,1
1584222014,4,1
1584223941,0,23
1584225857,1,1
1584229943,1,0
1584231856,1,0
1584245799,0,1
1584257334,0,1
1584267149,0,1
1584269101,0,1
1584272898,4,1
1584274816,0,1
1584278685,1,1
1584282496,2,1
1584287300,0,1
1584293053,1,2
1584295018,0,2
1584299068,2,0
1584306994,1,1
1584308919,0,3
1584312738,0,1
1584316575,1,1
1584318500,1,1
1584320683,1,0
1584324756,3,0
1584326662,1,0
1584328589,2,0
1584346111,1,0
1584353774,1,0
1584361465,1,0
1584363375,1,0
1584365306,0,1
1584367411,2,0
1584369376,0,2
1584373215,4,0
1584375366,3,0
1584377306,1,0
1584381185,0,1
1584384309,0,1
1584390040,1,0
1584392001,1,0
1584393857,3,0
1584399850,1,0
1584405622,0,1
1584411406,0,1
1584413320,0,2
1584415216,1,1
1584417157,1,0
1584426037,1,0
1584439703,0,1
1584441627,1,0
1584447388,1,0
1584449298,1,0
1584453138,0,2
1584455101,2,0
1584458898,0,1
1584461790,0,5
1584463717,2,1
1584475522,1,0
1584477391,0,2
1584479297,1,2
1584483150,1,0
1584487217,0,1
1584489176,1,0
1584491167,1,0
1584492973,1,0
1584499485,1,0
1584501865,0,1
1584503711,0,1
1584505693,1,0
1584508573,1,0
1584516284,1,0
1584520094,1,0
1584524211,1,0
1584528015,0,1
1584533847,1,1
1584535714,2,1
1584541479,1,2
1584543375,1,0
1584545292,2,0
1584549392,0,2
1584553221,1,0
1584555138,2,0
1584557085,1,0
1584562858,1,1
1584564752,0,1
1584575321,0,1
1584577321,0,1
1584579183,0,1
1584584899,1,1
1584592602,0,1
1584598345,1,0
1584602184,1,1
1584606030,0,1
1584609854,2,0
1584611792,1,1
1584616828,1,0
1584620653,1,0
1584622586,0,2
1584628348,0,1
1584630522,1,1
1584632420,0,1
1584638202,0,1
1584640102,1,0
1584642055,1,2
1584643935,0,1
1584649691,0,1
1584651802,1,0
1584657622,1,0
1584665317,2,0
1584671054,0,1
1584672983,1,0
1584674895,2,0
1584677775,1,0
1584683544,0,1
1584687369,0,1
1584691498,1,0
1584695309,0,1
1584697228,0,1
1584701319,1,0
1584703258,0,1
1584705155,1,0
1584707060,0,1
1584712984,1,0
1584716724,0,1
1584718612,2,0
1584726504,0,1
1584728427,1,1
1584730337,1,0
1584738235,2,1
1584744034,0,1
1584751711,0,2
1584755559,1,0
1584759387,0,1
1584761302,1,2
1584764443,0,1
1584777867,0,1
1584785539,1,0
1584787466,0,1
1584789660,1,0
1584791534,0,1
1584795391,1,0
1584799455,1,0
1584801622,2,0
1584803540,1,1
1584805469,1,1
1584807378,1,0
1584813136,1,0
1584815057,1,1
1584817001,1,1
1584823960,0,1
1584825875,0,1
1584842565,0,1
1584844587,1,0
1584848418,1,1
1584857080,1,0
1584858985,1,0
1584870521,0,1
1584876281,1,1
1584880117,1,0
1584882192,0,1
1584884190,0,1
1584886100,0,1
1584888018,1,1
1584889956,3,1
1584891853,0,1
1584894029,1,1
1584895938,1,0
1584897858,0,1
1584901697,0,1
1584903876,1,1
1584907703,2,0
1584909650,2,0
1584915386,2,0
1584929090,1,0
1584930986,1,1
1584934822,0,1
1584942753,0,1
1584944665,0,1
1584948519,1,0
1584956439,1,0
1584958336,0,1
1584962218,1,0
