DateTime,Entries,UniqueIPs
1573636366,88,88
1573658414,88,88
1573680276,86,86
1573702340,91,91
1573724212,92,92
1573746259,97,97
1573768102,98,98
1573789943,98,98
1573823082,102,102
1573844950,101,101
1573866980,100,100
1573889084,96,96
1573911169,91,91
1573933225,88,88
1573955076,85,85
1573977206,86,86
1573999382,87,87
1574021339,87,87
1574043406,84,84
1574065267,87,87
1574087585,87,87
1574109631,86,86
1574131477,89,89
1574153359,87,87
1574175881,87,87
1574197958,89,89
1574220046,94,94
1574242368,91,91
1574264427,93,93
1574286527,93,93
1574308575,90,90
1574330695,88,88
1574352788,86,86
1574374830,88,88
1574396903,89,89
1574418745,92,92
1574440594,89,89
1574462443,90,90
1574484758,95,95
1574506633,98,98
1574550772,94,94
1574572846,96,96
1574595165,94,94
1574617011,91,91
1574639053,92,92
1574661146,91,91
1574694516,92,92
1574716362,91,91
1574738211,90,90
1574760254,92,92
1574782099,94,94
1574803964,93,93
1574826024,90,90
1574848124,90,90
1574870194,87,87
1574892204,86,86
1574914145,84,84
1574936188,84,84
1574958260,79,79
1574980118,80,80
1575002225,78,78
1575024268,79,79
1575046413,81,81
1575068632,80,80
1575090497,80,80
1575112369,81,81
1575134446,82,82
1575156755,87,87
1575178820,84,84
1575200676,84,84
1575222744,85,85
1575244603,82,82
1575266649,84,84
1575288521,83,83
1575310385,81,81
1575332424,84,84
1575354297,86,86
1575376340,87,87
1575398442,91,91
1575420511,92,92
1575442387,93,93
1575464536,94,94
1575486750,95,95
1575508818,98,98
1575530703,102,102
1575552739,105,105
1575574613,101,101
1575596673,102,102
1575618751,104,104
1575640633,101,101
1575662705,100,100
1575684767,99,99
1575706848,98,98
1575728922,93,93
1575750784,92,92
1575772822,95,95
1575794675,95,95
1575816729,97,97
1575838582,100,100
1575860615,104,104
1575882751,114,114
1575904596,119,119
1575926657,120,120
1575948511,119,119
1575970596,119,119
1575992441,119,119
1576014307,116,116
1576069513,110,110
1576091571,107,107
1576113878,106,106
1576135944,102,102
1576157804,100,100
1576179883,101,101
1576201933,99,99
1576224235,96,96
1576246358,95,95
1576268431,94,94
1576290496,96,96
1576312346,97,97
1576334417,98,98
1576356281,98,98
1576378342,95,95
1576400649,96,96
1576422518,100,100
1576444366,102,102
1576466440,100,100
1576488490,97,97
1576510354,92,92
1576532439,90,90
1576554769,91,91
1576587803,99,99
1576609718,104,104
1576631809,106,106
1576653897,108,108
1576675940,112,112
1576697794,114,114
1576719857,116,116
1576741697,122,122
1576763560,125,125
1576785501,129,129
1576807466,132,132
1576829313,134,134
1576851402,135,135
1576873460,140,140
1576895537,142,142
1576917633,143,143
1576939721,142,142
1576961777,143,143
1576983919,146,146
1577005964,147,147
1577027810,146,146
1577049855,141,141
1577072000,134,134
1577094022,129,129
1577115899,129,129
1577137937,132,132
1577160210,132,132
1577182369,131,131
1577204432,118,118
1577226532,119,119
1577248595,119,119
1577270448,115,115
1577292521,113,113
1577314603,113,113
1577336659,113,113
1577358522,112,112
1577380572,108,108
1577402441,105,105
1577424497,99,99
1577446370,98,98
1577468451,99,99
1577490488,97,97
1577512349,98,98
1577534755,98,98
1577557000,93,93
1577579078,95,95
1577601147,99,99
1577623272,96,96
1577645314,95,95
1577667369,96,96
1577689657,97,97
1577711545,101,101
1577733395,101,101
1577755237,99,99
1577777116,96,96
1577799158,96,96
1577821258,100,100
1577843314,101,101
1577865376,101,101
1577887255,100,100
1577909312,99,99
1577931432,95,95
1577953478,99,99
1577975536,98,98
1577997441,99,99
1578019481,103,103
1578041530,101,101
1578063377,102,102
1578085346,103,103
1578107561,105,105
1578129496,114,114
1578151481,120,120
1578173325,117,117
1578195378,122,122
1578217219,122,122
1578239067,124,124
1578261160,126,126
1578283005,125,125
1578304948,123,123
1578326919,125,125
1578348976,124,124
1578370822,126,126
1578392689,125,125
1578436592,124,124
1578458722,123,123
1578480732,123,123
1578502585,123,123
1578524561,122,122
1578546517,123,123
1578568391,118,118
1578590426,117,117
1578612282,118,118
1578634357,120,120
1578656509,120,120
1578678506,124,124
1578700591,125,125
1578722674,120,120
1578744786,111,111
1578766823,108,108
1578788664,112,112
1578810522,115,115
1578832391,121,121
1578854419,130,130
1578876515,133,133
1578898376,131,131
1578920512,130,130
1578942508,140,140
1578964412,142,142
1578986286,149,149
1579008301,162,162
1579030394,174,174
1579052398,177,177
1579074274,188,188
1579096135,192,192
1579118183,192,192
1579151330,196,196
1579173403,210,210
1579195454,213,213
1579217565,217,217
1579239423,215,215
1579261452,212,212
1579283297,211,211
1579305374,211,211
1579327335,213,213
1579349304,215,215
1579371373,221,221
1579393476,224,224
1579415540,221,221
1579437398,221,221
1579459471,218,218
1579481550,221,221
1579503410,217,217
1579525266,219,219
1579547355,215,215
1579569377,216,216
1579591249,210,210
1579613291,201,201
1579635163,195,195
1579657220,188,188
1579679070,182,182
1579701151,180,180
1579722995,180,180
1579744991,180,180
1579767170,170,170
1579789225,164,164
1579811078,170,170
1579833141,171,171
1579855248,186,186
1579877135,198,198
1579899129,203,203
1579920970,201,201
1579943045,205,205
1579964916,201,201
1579986982,195,195
1580009093,189,189
1580031138,193,193
1580053235,198,198
1580075324,196,196
1580097389,195,195
1580119477,213,213
1580152601,217,217
1580174444,211,211
1580196497,212,212
1580218370,213,213
1580240419,214,214
1580262268,213,213
1580284342,212,212
1580306548,213,213
1580328493,210,210
1580350361,206,206
1580372422,203,203
1580394263,200,200
1580416347,198,198
1580438190,191,191
1580460279,180,180
1580482340,172,172
1580504187,169,169
1580537169,164,164
1580559165,155,155
1580581237,152,152
1580603300,150,150
1580625396,149,149
1580647491,139,139
1580669550,134,134
1580691891,130,130
1580713958,121,121
1580735804,90,90
1580757879,89,89
1580779941,85,85
1580802017,85,85
1580824115,84,84
1580846187,83,83
1580868216,83,83
1580890116,82,82
1580912179,82,82
1580934169,85,85
1580956098,86,86
1580977943,85,85
1580999797,88,88
1581021854,86,86
1581043710,86,86
1581065553,84,84
1581087394,85,85
1581109320,84,84
1581153384,82,82
1581175453,80,80
1581197294,79,79
1581219151,80,80
1581241214,79,79
1581263057,78,78
1581284899,79,79
1581306998,79,79
1581329186,81,81
1581351170,81,81
1581373223,84,84
1581395072,85,85
1581417172,85,85
1581439248,86,86
1581461291,89,89
1581483133,88,88
1581538103,85,85
1581559968,80,80
1581582018,80,80
1581603865,77,77
1581625959,79,79
1581648017,79,79
1581669861,78,78
1581691958,76,76
1581725010,73,73
1581746893,77,77
1581768759,82,82
1581790849,83,83
1581812895,89,89
1581834757,90,90
1581856815,92,92
1581878682,92,92
1581900738,91,91
1581922589,96,96
1581955494,97,97
1581977359,97,97
1581999383,99,99
1582021477,98,98
1582043551,98,98
1582065614,97,97
1582087456,96,96
1582109298,95,95
1582131143,96,96
1582152992,100,100
1582185883,100,100
1582207936,101,101
1582229777,100,100
1582251869,101,101
1582273934,101,101
1582295789,104,104
1582317854,105,105
1582339711,104,104
1582361555,101,101
1582394671,101,101
1582416756,94,94
1582438812,91,91
1582460676,89,89
1582482739,94,94
1582504618,95,95
1582526661,95,95
1582548582,96,96
1582570574,94,94
1582592569,93,93
1582614505,90,90
1582636361,88,88
1582658201,87,87
1582680266,86,86
1582702346,88,88
1582724415,89,89
1582746276,83,83
1582768328,79,79
1582790169,77,77
1582812180,78,78
1582834118,79,79
1582856173,82,82
1582878032,89,89
1582900099,91,91
1582921956,98,98
1582944020,97,97
1582965869,98,98
1582987946,95,95
1583009806,95,95
1583031715,95,95
1583075579,92,92
1583097612,89,89
1583119520,85,85
1583141546,84,84
1583163621,84,84
1583185463,89,89
1583207561,91,91
1583229800,92,92
1583251723,93,93
1583273777,92,92
1583295856,94,94
1583317704,95,95
1583339776,91,91
1583361617,92,92
1583383703,91,91
1583405557,91,91
1583438706,96,96
1583460773,94,94
1583482812,88,88
1583504661,84,84
1583526736,79,79
1583548832,81,81
1583570917,81,81
1583592763,84,84
1583614911,85,85
1583636924,83,83
1583659001,84,84
1583681077,87,87
1583702924,87,87
1583724985,88,88
1583747075,91,91
1583769136,88,88
1583791412,87,87
1583813331,89,89
1583835197,85,85
1583857246,83,83
1583879298,81,81
1583901155,78,78
1583923216,80,80
1583945091,83,83
1583967152,82,82
1583989005,83,83
1584011095,94,94
1584033141,102,102
1584054993,103,103
1584077078,105,105
1584099155,105,105
1584121219,105,105
1584143070,106,106
1584176178,104,104
1584209091,103,103
1584230976,98,98
1584252982,98,98
1584275096,98,98
1584297172,94,94
1584319218,94,94
1584341075,89,89
1584362936,89,89
1584407328,90,90
1584429379,89,89
1584451234,92,92
1584473109,91,91
1584495140,92,92
1584516992,100,100
1584538861,100,100
1584560926,102,102
1584582993,100,100
1584605064,97,97
1584626907,87,87
1584648984,83,83
1584670827,82,82
1584692905,80,80
1584736838,80,80
1584758901,75,75
1584781020,76,76
1584803095,73,73
1584825139,74,74
1584847012,76,76
1584869059,72,72
1584891138,73,73
1584913213,72,72
1584935053,71,71
1584956909,72,72
