DateTime,AddedIPs,RemovedIPs
1583972422,1,5
1583974333,6,3
1583976261,2,6
1583978188,9,5
1583980099,10,7
1583982412,5,8
1583984417,4,6
1583986338,7,9
1583988263,6,9
1583990206,6,3
1583992100,6,6
1583994019,3,3
1583995934,4,11
1583997881,5,6
1583999775,5,4
1584001725,5,5
1584003904,7,8
1584006044,3,6
1584007939,1,7
1584009859,6,1
1584011786,5,0
1584013723,4,15
1584015623,11,2
1584017534,5,3
1584019475,6,3
1584021378,4,3
1584023311,3,4
1584025312,7,8
1584027140,2,0
1584029099,8,3
1584030976,10,11
1584032929,5,4
1584034846,2,5
1584036736,5,5
1584038663,6,6
1584040607,12,5
1584042538,5,5
1584044421,3,2
1584046341,4,2
1584048280,3,8
1584050178,5,4
1584052090,7,3
1584054994,6,12
1584057171,4,7
1584059058,1,2
1584060980,3,3
1584062892,5,2
1584065089,3,12
1584066979,7,6
1584068908,3,4
1584070849,5,3
1584072759,7,7
1584074667,6,6
1584076580,4,3
1584078506,8,6
1584080419,7,2
1584082335,7,7
1584084264,3,5
1584086180,6,5
1584088111,4,5
1584090272,7,7
1584092179,7,5
1584094092,2,2
1584096016,10,5
1584097942,6,5
1584099854,6,2
1584102059,10,9
1584103983,4,4
1584105861,4,6
1584107779,5,7
1584109707,6,4
1584111833,6,7
1584113661,7,2
1584115476,3,9
1584117377,11,10
1584119326,7,4
1584121220,4,2
1584123459,8,7
1584125321,16,9
1584127274,0,6
1584129178,5,6
1584131068,8,4
1584132981,4,3
1584134899,1,4
1584136999,3,10
1584138990,4,4
1584140901,10,6
1584142842,1,4
1584144742,4,5
1584146668,9,2
1584148588,8,1
1584150502,8,5
1584152426,7,3
1584154363,4,6
1584156263,8,4
1584158182,8,8
1584160108,8,5
1584163006,8,9
1584164903,4,9
1584166830,5,5
1584168742,7,5
1584170684,1,3
1584172595,5,5
1584174498,1,4
1584176630,4,7
1584178577,6,7
1584180496,4,3
1584182432,2,9
1584184367,3,5
1584186258,6,5
1584188192,2,8
1584190103,7,5
1584192028,5,7
1584193941,10,5
1584195862,8,6
1584197781,5,7
1584199699,9,6
1584202577,6,5
1584204503,4,11
1584206419,3,5
1584208335,2,1
1584210257,7,18
1584212177,4,4
1584214097,5,3
1584216280,3,6
1584218181,13,6
1584220123,1,3
1584222014,7,2
1584223942,1,4
1584225858,5,4
1584228025,9,8
1584229944,3,2
1584231857,2,3
1584233786,5,10
1584235717,6,7
1584237932,12,8
1584239781,3,3
1584241949,11,6
1584243925,4,12
1584245800,6,6
1584247708,4,5
1584249618,20,5
1584251538,6,5
1584253460,1,4
1584255413,9,7
1584257336,2,2
1584259486,2,5
1584261379,10,1
1584263319,3,8
1584265221,7,5
1584267150,10,5
1584269113,7,4
1584271046,4,6
1584272900,10,5
1584274832,6,2
1584276747,2,6
1584278686,22,7
1584280574,8,8
1584282497,4,6
1584285406,13,12
1584287302,3,4
1584289245,3,4
1584291138,5,4
1584293055,5,3
1584295020,14,2
1584296894,3,7
1584299072,8,4
1584301262,5,7
1584303180,4,8
1584305079,13,7
1584306995,11,1
1584308920,14,6
1584310840,11,3
1584312739,8,5
1584314685,5,7
1584316592,5,5
1584318501,4,3
1584320697,3,4
1584322824,2,8
1584324757,6,12
1584326664,7,4
1584328590,4,10
1584330519,0,5
1584332414,3,5
1584334330,3,4
1584336256,3,19
1584338195,5,6
1584340123,8,4
1584342284,5,8
1584344177,5,2
1584346113,5,3
1584348024,1,12
1584349936,10,2
1584351870,5,6
1584353776,3,12
1584355723,6,6
1584357667,7,4
1584359538,14,11
1584361468,5,5
1584363376,10,1
1584365308,8,24
1584367455,9,6
1584369379,12,6
1584371330,2,3
1584373217,13,6
1584375368,10,4
1584377308,8,5
1584379241,11,4
1584381186,6,14
1584384313,19,7
1584386187,6,11
1584388138,6,3
1584390041,2,4
1584392005,5,16
1584393859,4,6
1584395804,32,15
1584397718,12,15
1584399871,7,4
1584401777,3,4
1584403721,7,4
1584405623,7,2
1584407539,6,3
1584409491,7,3
1584411407,3,4
1584413322,8,6
1584415217,6,4
1584417159,2,1
1584419083,8,5
1584420977,5,3
1584422895,2,5
1584426039,1,6
1584427941,3,10
1584429885,1,3
1584431826,2,6
1584433944,11,1
1584435885,7,8
1584437796,9,5
1584439704,11,2
1584441629,2,9
1584443556,12,5
1584445457,13,14
1584447407,11,5
1584449300,22,11
1584451236,8,8
1584453139,13,12
1584455106,10,7
1584456994,7,5
1584458900,5,13
1584461791,5,13
1584463718,2,7
1584465624,18,14
1584467535,6,6
1584469557,7,15
1584471390,4,6
1584473489,4,7
1584475538,21,1
1584477392,3,0
1584479299,7,4
1584481214,11,12
1584483151,9,32
1584485057,9,4
1584487218,1,10
1584489177,1,3
1584491188,3,9
1584494174,10,8
1584496131,6,5
1584498035,23,3
1584499965,6,7
1584501878,21,9
1584503725,5,1
1584505695,14,7
1584508574,19,5
1584510532,10,2
1584512415,4,0
1584514365,13,4
1584516285,11,1
1584518194,14,4
1584520095,12,9
1584522330,8,8
1584524212,8,7
1584526094,15,11
1584528016,15,3
1584529990,20,12
1584531886,8,13
1584533848,9,11
1584535715,5,20
1584537653,5,8
1584539541,6,13
1584541480,6,10
1584543377,7,6
1584545294,8,7
1584547510,4,4
1584549394,8,1
1584551360,12,13
1584553223,9,7
1584555140,7,6
1584557087,7,7
1584558985,5,2
1584560927,8,13
1584562860,5,12
1584564753,9,8
1584566658,7,10
1584568594,4,3
1584570513,12,6
1584573385,16,11
1584575324,14,1
1584577323,17,4
1584579184,4,8
1584581061,9,5
1584582994,16,10
1584584900,1,16
1584588027,10,26
1584589934,1,5
1584591854,0,12
1584593708,2,14
1584595722,8,6
1584597678,4,7
1584599583,10,4
1584601514,9,15
1584603621,6,14
1584605560,10,24
1584607475,4,10
1584609377,7,5
1584611297,8,6
1584613227,10,16
1584615130,13,19
1584617053,12,11
1584618984,9,12
1584620888,7,8
1584623074,9,6
1584625227,8,9
1584627144,11,2
1584629082,5,9
1584630981,18,4
1584632902,6,5
1584634830,5,6
1584636775,7,12
1584638700,1,15
1584640606,18,5
1584642505,16,5
1584645626,15,11
1584647531,3,8
1584649460,8,7
1584651385,7,8
1584653292,0,7
1584655382,6,6
1584657377,2,14
1584659329,3,9
1584661217,8,16
1584663141,3,17
1584665082,4,6
1584666973,1,9
1584668901,9,12
1584670828,19,5
1584672734,8,3
1584674678,1,7
1584676601,8,1
1584678512,4,0
1584681410,21,9
1584683301,2,2
1584685236,5,0
1584687163,24,17
1584689080,7,6
1584691085,7,3
1584692905,6,12
1584695090,10,7
1584696989,27,6
1584698937,9,4
1584700849,13,8
1584702745,11,19
1584704681,10,7
1584706617,9,5
1584708501,2,8
1584710451,10,5
1584712351,9,4
1584714289,5,10
1584716198,12,9
1584718099,2,14
1584720997,14,7
1584722943,12,8
1584724833,28,2
1584726739,16,18
1584728671,20,15
1584730584,20,3
1584732540,18,9
1584734569,11,5
1584736571,10,6
1584739484,33,6
1584741382,17,1
1584743290,12,3
1584746200,30,2
1584748098,1,9
1584750025,15,2
1584751931,10,3
1584753855,25,7
1584755869,16,8
1584757694,15,46
1584760575,22,8
1584762495,7,7
1584764444,23,1
