DateTime,AddedIPs,RemovedIPs
1573760665,5,10
1573782512,6,5
1573804355,3,2
1573826634,4,5
1573848761,2,5
1573870614,4,7
1573892676,2,11
1573914761,0,1
1573936830,3,1
1573958903,1,2
1573980986,5,5
1574003106,1,5
1574025154,5,6
1574047001,0,8
1574068890,1,6
1574091149,1,7
1574112995,5,7
1574134836,3,5
1574156911,3,1
1574178757,4,3
1574212138,6,4
1574234445,4,5
1574256522,1,5
1574278362,3,5
1574300447,4,2
1574322521,2,2
1574344600,2,1
1574366486,1,4
1574388556,5,6
1574410825,5,2
1574432680,3,4
1574454562,6,3
1574476837,2,4
1574498914,2,1
1574521012,2,1
1574543094,3,3
1574565178,3,3
1574587508,2,2
1574609790,2,4
1574631689,2,6
1574653969,5,2
1574676275,7,2
1574698135,3,2
1574720431,4,5
1574742287,4,0
1574764365,6,3
1574786448,1,5
1574808499,7,5
1574830620,5,1
1574863720,4,3
1574885565,2,4
1574907630,2,3
1574929502,3,4
1574951562,3,1
1574973622,3,1
1574995487,3,5
1575017335,4,2
1575039747,0,4
1575062046,3,2
1575084019,7,3
1575105931,1,2
1575127945,3,3
1575150046,2,4
1575172121,3,2
1575193968,1,6
1575216149,3,1
1575238128,1,2
1575260224,3,4
1575282256,4,6
1575304345,2,2
1575326194,1,5
1575348260,1,3
1575370370,5,6
1575403728,2,6
1575425789,4,5
1575447855,4,3
1575469705,3,3
1575491578,6,2
1575513629,3,6
1575535714,3,4
1575557804,1,2
1575590777,7,8
1575613006,4,2
1575635084,3,2
1575657186,3,1
1575679223,2,7
1575701329,4,3
1575723389,2,1
1575745379,2,4
1575767319,7,1
1575789405,3,0
1575811463,5,4
1575833312,5,1
1575855167,7,2
1575877007,2,5
1575899082,2,1
1575921136,7,2
1575943022,1,2
1575976121,7,6
1575997969,2,3
1576019835,1,1
1576041884,2,4
1576063941,5,5
1576086285,6,5
1576108584,3,2
1576152342,7,5
1576174377,4,2
1576196410,6,4
1576218274,4,4
1576240350,3,3
1576262528,4,4
1576284513,7,2
1576306359,7,3
1576328489,8,1
1576350538,4,1
1576372834,4,5
1576394687,2,3
1576416767,4,7
1576438811,0,5
1576460661,1,6
1576482510,4,1
1576504355,5,3
1576526210,2,6
1576548206,2,1
1576570184,5,6
1576592426,3,1
1576614515,3,0
1576636596,4,2
1576658444,2,2
1576680497,5,8
1576702513,4,4
1576724750,2,3
1576746745,5,4
1576768591,5,2
1576790660,6,4
1576812759,4,3
1576834827,2,4
1576856698,4,2
1576878754,1,6
1576911939,4,8
1576934189,1,12
1576956283,5,7
1576978346,1,3
1577000416,0,4
1577022275,3,5
1577044349,2,0
1577066206,3,1
1577088319,2,3
1577110594,7,4
1577132435,2,2
1577154282,4,3
1577176342,6,4
1577198194,1,2
1577220281,2,3
1577242137,5,2
1577264191,0,3
1577286329,3,4
1577308358,1,5
1577330429,11,3
1577352308,3,4
1577374339,3,4
1577396431,4,7
1577418280,4,3
1577440336,0,1
1577462203,3,4
1577484158,4,2
1577506122,3,5
1577528193,2,3
1577550276,1,3
1577572372,4,1
1577594434,2,0
1577616276,3,2
1577638347,5,0
1577660486,0,3
1577682538,2,3
1577704621,3,5
1577726658,2,3
1577748550,3,3
1577770592,6,5
1577792673,2,2
1577814737,3,3
1577837191,0,4
1577859376,3,4
1577881227,0,4
1577903306,3,1
1577925384,4,10
1577947504,1,2
1577969352,4,2
1577991395,3,1
1578013491,2,4
1578035586,4,3
1578057457,2,2
1578079488,6,1
1578101564,3,5
1578123629,2,2
1578145702,5,1
1578167771,4,1
1578200752,9,4
1578222753,3,4
1578244833,2,5
1578266916,2,1
1578288992,1,1
1578311085,2,3
1578333155,6,2
1578366531,10,7
1578388599,1,3
1578410444,8,2
1578432296,5,3
1578454337,4,3
1578476179,9,2
1578498285,8,1
1578520355,4,4
1578542732,13,1
1578564758,1,4
1578586824,6,1
1578608923,1,3
1578630784,2,2
1578652872,3,5
1578675149,1,1
1578697000,3,5
