DateTime,AddedIPs,RemovedIPs
1573843224,10,5
1573865323,9,22
1573887371,8,52
1573909502,7,73
1573931563,3,33
1573953621,4,8
1573975705,6,7
1573997559,2,6
1574019629,2,3
1574041487,6,11
1574063593,4,46
1574085671,13,10
1574107717,2,113
1574129803,3,9
1574151878,1,8
1574173952,6,11
1574195802,4,6
1574217857,4,33
1574239708,5,14
1574261560,6,11
1574283762,6,5
1574305775,18,305
1574327823,8110,5
1574350105,256,8
1574371968,6,4
1574394017,9,12
1574416114,6,6
1574438171,85,4
1574460174,99,1345
1574482130,10,5
1574504193,7,10
1574526069,9,5
1574548098,9,4
1574570183,10,27
1574592277,10,3
1574614346,6,6
1574636187,8,6
1574658125,15,3
1574680368,21,17
1574702429,86,1
1574724276,89,4
1574746334,38,3
1574768175,6,5
1574790055,4,7
1574812178,6,3
1574834171,7,6
1574856372,7,5
1574878349,3,5
1574900444,6,28
1574922510,9,1199
1574944581,6,7176
1574966429,6,5
1574988281,8,4
1575010363,11,8
1575043576,7,90
1575065803,9,75
1575087878,7,7
1575109949,20,9
1575132017,13,12
1575153882,6,3
1575175965,7,5
1575198285,5,66
1575220129,66,5
1575241970,6,5
1575264028,8,366
1575286099,373,485
1575308035,464,95
1575330055,7,110
1575351899,9,40
1575373964,9,8
1575396162,1414,5
1575418378,10,6
1575440449,4635,8
1575462343,7676,6
1575484346,11,3
1575506192,2,6
1575528276,7,8
1575550123,8,9
1575572195,11,6
1575594211,5,5
1575616144,6,11
1575638447,10048,7
1575660535,10617,1
1575682612,6,6
1575704462,12,16
1575726518,9,6
1575748363,5,7
1575770215,14,7
1575792311,9,6
1575814343,12,8
1575836452,3,3
1575858512,11,7
1575880369,6,6
1575902436,12,6
1575924523,11,8
1575946606,7,4
1575968508,38,5
1575990630,7,3
1576012586,12,1
1576034659,17,1523
1576056780,7,6281
1576079069,12,2133
1576100918,86,3
1576122804,21,5
1576145003,3,3
1576166895,5,12
1576188776,7,3
1576210827,21,8
1576232908,14,4107
1576254987,10,14205
1576276827,111,4701
1576298918,55,14
1576320970,46,12
1576343004,4,10
1576364972,7,5
1576387003,9,7
1576409060,5,7
1576431167,6,7
1576453246,5,3
1576475325,12,17
1576497403,10,15
1576519482,8,1370
1576541560,7,4
1576563623,7,56
1576585709,7,4
1576607798,6,13
1576629855,9,20
1576651729,12,12
1576673575,713,8
1576706731,2252,61
1576728764,1485,9
1576750834,436,55
1576772920,10,8
1576794803,7,7
1576816811,1,9
1576838655,4,15
1576860739,7,28
1576882606,3,80
1576915492,2388,108
1576937585,7281,7
1576959624,299,8
1576981707,8,10
1577003562,5,2
1577025616,5,5
1577047473,4,6
1577069531,4,25
1577091413,26,11
1577113414,3,5
1577135569,4,6
1577157621,8,3
1577179495,10,7
1577201550,10,9
1577223645,5,11
1577245711,4,9
1577267797,6,10
1577289823,4,1115
1577311722,24,1031
1577334034,2,939
1577356117,6,308
1577377961,2,6
1577400021,6,5
1577421885,6,0
1577443945,9,4
1577466294,4,6
1577488349,7,4
1577510423,7,2
1577532502,4,7733
1577554351,20,3794
1577576196,17,7
1577598267,14,9
1577620351,8,10
1577642680,3,9
1577664759,7,18
1577686853,42,360
1577708897,341,752
1577730763,739,6
1577752828,930,6
1577774924,4,4
1577796991,4,18
1577818925,11,10
1577841203,16,5
1577863210,11,6
1577885056,11,4
1577907166,6,53
1577929268,9,3
1577951311,294,7
1577973390,5723,18
1577995263,10662,3
1578017130,6,14
1578039154,6,6
1578061045,12,4
1578083083,12,1
1578105160,7,15
1578127242,7,1
1578149295,7,5
1578171158,12,11
1578204302,18,6
1578226395,5,6
1578248419,8,123
1578270264,33,6
1578292349,30,21
1578314194,15,6
1578336036,5,2
1578358114,10,854
1578379958,6,6
1578402309,4447,1
1578435402,7,29
1578457260,9,8
1578479316,11,9
1578501188,614,6
1578523311,365,6
1578545499,5,5
1578567381,1441,4
1578589409,4683,7203
1578611600,2241,1
1578633641,3,2
1578655795,10,4
1578677786,12,8
1578699641,5,6
1578721945,5,4
1578743797,3,5
1578765789,7,9
1578787953,3,10
1578809815,5,5
1578831666,1,4
1578853952,9,7
1578875814,7,27
1578897858,24,286
1578919729,282,474
1578941798,469,4
1578964024,5,5
1578986312,4,3
1579008315,8,10781
1579030396,17,3
1579052442,25,6
1579074526,56,1
1579096592,59,8
1579129629,9,963
1579151556,4,4
1579173404,6,2485
1579195455,6,6294
1579217587,5,2695
1579239630,1,6
1579261749,9,16
1579283777,5,13
1579305756,4,6
1579327735,14,13
1579349801,6,9
1579371856,43,10
1579393797,1764,4
1579415792,6467,3
1579437855,3262,0
1579459706,6,6
1579481551,8,4
1579503412,4,6
1579525298,8,11
1579547376,6,1
1579569378,12,3
1579591250,5,4
1579613293,4021,4
1579635165,4032,13
1579657221,4,34
1579679073,7,66
1579701162,4,52
1579723360,6,4
1579745333,4,3
1579767380,7,6
1579789242,15,9
1579811292,22,2
1579833142,46,1
1579855250,48,5
1579877137,29,8
1579899131,3,3
1579920972,5,4
1579943145,5,7
1579965166,3,7
1579987227,5,75
1580009095,2,4504
1580031139,4,6488
1580053237,191,388
1580075326,8,9
1580097390,11,1741
1580119492,9,2114
1580152603,16,1510
1580174446,9,13
1580196501,8,8
1580218371,7,4324
1580240420,1373,3927
1580262269,31,7
1580284343,9,7
1580306600,3,5
1580328494,2,4
1580350362,5,1
1580372424,3,10
1580394265,2851,11
1580416349,5562,9
1580438191,1250,2
1580460306,15,6
1580482341,2311,7
1580504189,7,3
1580537170,73,7
1580559185,41,11
1580581239,19,6
1580603302,4,2
1580625397,8,2
1580647492,43,57
1580669551,46,13
1580691911,21,18
1580713959,8,22
1580735808,12,27
1580757880,14,90
1580779942,10,61
1580802019,5,4
1580824149,2,10
1580846188,4,961
1580868247,12,6
1580890118,9,5
1580912181,5,1
1580934189,2,2
1580956100,5,13
1580977945,7,6
1580999798,9,4
1581021857,7,8
1581043711,6,24
1581065554,5,21
1581087397,8,10
1581109364,8,6
1581131426,7,4
1581153385,8,49
1581175226,4,13
1581197078,7,11
1581219153,5,11
1581241215,7,51
1581263059,5,11
1581284900,6,7
1581307001,1357,7
1581329188,1689,10
1581351172,1572,6
1581373244,6,10
1581395297,2,9
1581417173,7,3
1581439249,3,5
1581461293,12,6
1581483135,13,12
1581504994,788,4
1581526943,7,5
1581548928,7,1
1581571014,3,14
1581593055,8,3
1581615149,8,4
1581637228,3,4
1581659305,6,4
1581681390,6,5
1581703310,6,9
1581725331,9,5
1581747390,6,5
1581769232,3,6
1581791295,12,5
1581813396,3,8
1581835478,9,4
1581857564,7,14
1581879817,8,7
1581901716,12,7
1581923796,7,13
1581945673,17,7239
1581967693,11,4142
1581989535,5,7
1582011430,9,5
1582033456,7,22
1582055310,1433,5
1582077391,5,15
1582099404,9,6
1582121339,4,933
1582143398,12,4
1582165473,10,8
1582187551,6,4
1582209617,7,10
1582231718,8,7
1582253772,4,3
1582286740,12,10
1582308755,3,10
1582330815,4,42
1582352679,6,5
1582374756,9,3
1582396825,5,10
1582418915,11,4
1582440970,8,82
1582462947,13,9
1582484905,14,4
1582506771,16,17
1582528827,10,28
1582550678,25,14
1582572733,4,12
1582594608,29,6
1582616670,9,10
1582638530,2,6
1582660586,4,1433
1582682593,7,6
1582704528,4,10
1582726579,6,1
1582748433,4,12
1582770496,7,11
1582792338,7,6
1582814212,4,6
1582836268,7,7
1582858356,11,5
1582880686,7,5
1582902531,1,5
1582924587,11,3
1582946668,4,11
1582968746,6,10
1582990597,3,5
1583012668,10,206
1583034735,9425,9
1583056578,2236,11
1583078698,5,6
1583100786,2,10
1583122863,10,451
1583144893,441,563
1583166749,557,117
1583188819,118,11
1583210960,2,14
1583233021,6,7
1583255061,13,3
1583276910,16,5
1583298763,4,4
1583320815,13,4
1583342659,8,7
1583364736,4,4
1583386822,12,4
1583408901,5,9
1583430983,1,3
1583453071,3,12
1583475144,4,9
1583496995,3,2
1583519072,2,4
1583541132,4,4
1583562976,6,7
1583585068,4,1
1583607139,23,3
1583629495,58,4578
1583651537,5,6985
1583673378,15,6
1583695241,7,6
1583717294,18,7
1583739170,10,10
1583761239,13,4
1583783297,18,11
1583805162,6,4
1583838298,123,6
1583860610,1104,7
1583882654,719,12
1583904496,928,4
1583926578,875,10
1583948657,567,8
1583970505,822,3
1583992577,8,18
1584014674,9,3
1584036541,6,0
1584058582,114,2
1584080661,0,3
1584102745,6,3
1584124606,6,3
1584146671,3,3
1584168745,4,7
1584191015,2,7
1584212897,8,64
1584234739,11,127
1584256868,3,5
1584278894,3,6
1584300781,10,6
1584322827,13,132
1584344677,111,174
1584366745,169,410
1584388640,396,16
1584410534,12231,4
1584432562,6591,4
1584454603,1650,405
1584476672,2,554
1584498887,4,478
1584520815,1,521
1584542677,5,387
1584564757,828,372
1584587035,8,297
1584608944,2,6
1584630983,9,5
1584653090,5,26
1584675152,6,67
1584697238,2,1
1584719108,4,3
1584741189,11,4
1584774262,5,3
1584796345,4,0
1584818195,5,6
1584840275,0,4
1584862147,1,4
1584884201,8,1
1584906266,4,6
1584928339,8,11
1584950183,11,7
