DateTime,Entries,UniqueIPs
1573843224,8908,8908
1573865323,8895,8895
1573887371,8851,8851
1573909502,8785,8785
1573931563,8755,8755
1573953621,8751,8751
1573975705,8750,8750
1573997559,8746,8746
1574019629,8745,8745
1574041487,8740,8740
1574063593,8698,8698
1574085671,8701,8701
1574107717,8590,8590
1574129803,8584,8584
1574151878,8577,8577
1574173952,8572,8572
1574195802,8570,8570
1574217857,8541,8541
1574239708,8532,8532
1574261560,8527,8527
1574283762,8528,8528
1574305775,8241,8241
1574327823,16346,16346
1574350105,16594,16594
1574371968,16596,16596
1574394017,16593,16593
1574416114,16593,16593
1574438171,16674,16674
1574460174,15428,15428
1574482130,15433,15433
1574504193,15430,15430
1574526069,15434,15434
1574548098,15439,15439
1574570183,15422,15422
1574592277,15429,15429
1574614346,15429,15429
1574636187,15431,15431
1574658125,15443,15443
1574680368,15447,15447
1574702429,15532,15532
1574724276,15617,15617
1574746334,15652,15652
1574768175,15653,15653
1574790055,15650,15650
1574812178,15653,15653
1574834171,15654,15654
1574856372,15656,15656
1574878349,15654,15654
1574900444,15632,15632
1574922510,14442,14442
1574944581,7272,7272
1574966429,7273,7273
1574988281,7277,7277
1575010363,7280,7280
1575043576,7197,7197
1575065803,7131,7131
1575087878,7131,7131
1575109949,7142,7142
1575132017,7143,7143
1575153882,7146,7146
1575175965,7148,7148
1575198285,7087,7087
1575220129,7148,7148
1575241970,7149,7149
1575264028,6791,6791
1575286099,6679,6679
1575308035,7048,7048
1575330055,6945,6945
1575351899,6914,6914
1575373964,6915,6915
1575396162,8324,8324
1575418378,8328,8328
1575440449,12955,12955
1575462343,20625,20625
1575484346,20633,20633
1575506192,20629,20629
1575528276,20628,20628
1575550123,20627,20627
1575572195,20632,20632
1575594211,20632,20632
1575616144,20627,20627
1575638447,30668,30668
1575660535,41284,41284
1575682612,41284,41284
1575704462,41280,41280
1575726518,41283,41283
1575748363,41281,41281
1575770215,41288,41288
1575792311,41291,41291
1575814343,41295,41295
1575836452,41295,41295
1575858512,41299,41299
1575880369,41299,41299
1575902436,41305,41305
1575924523,41308,41308
1575946606,41311,41311
1575968508,41344,41344
1575990630,41348,41348
1576012586,41359,41359
1576034659,39853,39853
1576056780,33579,33579
1576079069,31458,31458
1576100918,31541,31541
1576122804,31557,31557
1576145003,31557,31557
1576166895,31550,31550
1576188776,31554,31554
1576210827,31567,31567
1576232908,27474,27474
1576254987,13279,13279
1576276827,8689,8689
1576298918,8730,8730
1576320970,8764,8764
1576343004,8758,8758
1576364972,8760,8760
1576387003,8762,8762
1576409060,8760,8760
1576431167,8759,8759
1576453246,8761,8761
1576475325,8756,8756
1576497403,8751,8751
1576519482,7389,7389
1576541560,7392,7392
1576563623,7343,7343
1576585709,7346,7346
1576607798,7339,7339
1576629855,7328,7328
1576651729,7328,7328
1576673575,8033,8033
1576706731,10224,10224
1576728764,11700,11700
1576750834,12081,12081
1576772920,12083,12083
1576794803,12083,12083
1576816811,12075,12075
1576838655,12064,12064
1576860739,12043,12043
1576882606,11966,11966
1576915492,14246,14246
1576937585,21520,21520
1576959624,21811,21811
1576981707,21809,21809
1577003562,21812,21812
1577025616,21812,21812
1577047473,21810,21810
1577069531,21789,21789
1577091413,21804,21804
1577113414,21802,21802
1577135569,21800,21800
1577157621,21805,21805
1577179495,21808,21808
1577201550,21809,21809
1577223645,21803,21803
1577245711,21798,21798
1577267797,21794,21794
1577289823,20683,20683
1577311722,19676,19676
1577334034,18739,18739
1577356117,18437,18437
1577377961,18433,18433
1577400021,18434,18434
1577421885,18440,18440
1577443945,18445,18445
1577466294,18443,18443
1577488349,18446,18446
1577510423,18451,18451
1577532502,10722,10722
1577554351,6948,6948
1577576196,6958,6958
1577598267,6963,6963
1577620351,6961,6961
1577642680,6955,6955
1577664759,6944,6944
1577686853,6626,6626
1577708897,6215,6215
1577730763,6948,6948
1577752828,7872,7872
1577774924,7872,7872
1577796991,7858,7858
1577818925,7859,7859
1577841203,7870,7870
1577863210,7875,7875
1577885056,7882,7882
1577907166,7835,7835
1577929268,7841,7841
1577951311,8128,8128
1577973390,13833,13833
1577995263,24492,24492
1578017130,24484,24484
1578039154,24484,24484
1578061045,24492,24492
1578083083,24503,24503
1578105160,24495,24495
1578127242,24501,24501
1578149295,24503,24503
1578171158,24504,24504
1578204302,24516,24516
1578226395,24515,24515
1578248419,24400,24400
1578270264,24427,24427
1578292349,24436,24436
1578314194,24445,24445
1578336036,24448,24448
1578358114,23604,23604
1578379958,23604,23604
1578402309,28050,28050
1578435402,28028,28028
1578457260,28029,28029
1578479316,28031,28031
1578501188,28639,28639
1578523311,28998,28998
1578545499,28998,28998
1578567381,30435,30435
1578589409,27915,27915
1578611600,30155,30155
1578633641,30156,30156
1578655795,30162,30162
1578677786,30166,30166
1578699641,30165,30165
1578721945,30166,30166
1578743797,30164,30164
1578765789,30162,30162
1578787953,30155,30155
1578809815,30155,30155
1578831666,30152,30152
1578853952,30154,30154
1578875814,30134,30134
1578897858,29872,29872
1578919729,29680,29680
1578941798,30145,30145
1578964024,30145,30145
1578986312,30146,30146
1579008315,19373,19373
1579030396,19387,19387
1579052442,19406,19406
1579074526,19461,19461
1579096592,19512,19512
1579129629,18558,18558
1579151556,18558,18558
1579173404,16079,16079
1579195455,9791,9791
