DateTime,Entries,UniqueIPs
1583979621,20942,20942
1583981557,20501,20501
1583983465,20118,20118
1583985379,19684,19684
1583987295,19296,19296
1583989461,18861,18861
1583991385,18396,18396
1583993304,18019,18019
1583995240,17551,17551
1583997140,17189,17189
1583999065,16761,16761
1584000982,16395,16395
1584002909,15969,15969
1584004914,15584,15584
1584006751,15204,15204
1584008892,14838,14838
1584011111,14411,14411
1584013032,14019,14019
1584014910,13674,13674
1584016823,13289,13289
1584018775,12909,12909
1584020677,12557,12557
1584022592,12283,12283
1584024534,11946,11946
1584026551,11655,11655
1584028365,11356,11356
1584030276,11116,11116
1584032204,10800,10800
1584034123,10480,10480
1584036286,10161,10161
1584038178,9833,9833
1584040135,9547,9547
1584042087,9224,9224
1584043970,8845,8845
1584045898,8436,8436
1584047810,8127,8127
1584049953,7608,7608
1584051866,7230,7230
1584053795,6763,6763
1584055702,6362,6362
1584057852,6269,6269
1584059796,6266,6266
1584061700,6256,6256
1584063631,6253,6253
1584065547,6259,6259
1584067463,6262,6262
1584069381,6250,6250
1584071308,6243,6243
1584073247,6242,6242
1584075146,6241,6241
1584077080,6234,6234
1584078987,6228,6228
1584080895,6222,6222
1584083136,6182,6182
1584084990,6178,6178
1584086899,6163,6163
1584088822,6175,6175
1584090747,6174,6174
1584092685,6162,6162
1584094584,6160,6160
1584096521,6169,6169
1584098422,6207,6207
1584100336,6191,6191
1584102258,6193,6193
1584104175,6172,6172
1584106100,6178,6178
1584108982,6191,6191
1584110906,6212,6212
1584112825,6217,6217
1584114742,6202,6202
1584116688,6195,6195
1584118577,6197,6197
1584120498,6198,6198
1584123463,6149,6149
1584125323,6143,6143
1584127277,6128,6128
1584129181,6148,6148
1584131071,6146,6146
1584132984,6130,6130
1584134902,6111,6111
1584137005,6080,6080
1584138993,6081,6081
1584140903,6087,6087
1584142844,6063,6063
1584144769,6020,6020
1584146672,5995,5995
1584148591,5960,5960
1584150505,5948,5948
1584152429,5921,5921
1584154365,5913,5913
1584156266,5897,5897
1584158185,5860,5860
1584160120,5841,5841
1584162143,5847,5847
1584163965,5835,5835
1584165898,5812,5812
1584167777,5774,5774
1584169696,5755,5755
1584171616,5748,5748
1584173538,5722,5722
1584175463,5713,5713
