DateTime,AddedIPs,RemovedIPs
1583971947,3,2
1583973856,1,2
1583975778,1,3
1583977700,1,1
1583979622,3,0
1583981557,5,2
1583983467,3,3
1583985380,4,4
1583987296,4,1
1583989510,7,4
1583991386,2,0
1583993305,2,0
1583995241,0,1
1583997141,2,1
1583999067,7,2
1584000983,4,2
1584002910,3,1
1584004915,3,5
1584006752,4,5
1584008928,5,2
1584011114,2,1
1584013033,2,3
1584014912,2,2
1584016824,1,7
1584018776,2,3
1584020678,3,3
1584022592,4,7
1584024535,2,1
1584026553,5,4
1584028366,2,1
1584030277,1,1
1584032205,1,1
1584034124,4,2
1584036287,5,0
1584038179,1,1
1584040136,1,0
1584042088,3,3
1584043971,1,2
1584045899,1,1
1584047811,1,8
1584049954,0,2
1584051867,4,5
1584053796,2,2
1584055703,2,3
1584057853,6,2
1584059797,5,2
1584061701,2,0
1584063632,1,2
1584065548,1,3
1584067464,0,4
1584069382,2,2
1584071308,2,5
1584073248,3,3
1584075147,2,7
1584077084,5,3
1584078988,1,2
1584080896,3,1
1584083137,2,0
1584084990,2,9
1584086900,2,3
1584088823,0,2
1584090747,2,3
1584092686,1,4
1584094585,6,4
1584096522,1,4
1584098423,1,1
1584100337,0,2
1584102259,1,2
1584104176,3,3
1584106101,2,1
1584108983,3,6
1584110907,4,2
1584112826,1,5
1584114743,0,2
1584116689,1,1
1584118578,3,1
1584120499,0,3
1584123465,4,6
1584125325,3,2
1584127278,7,0
1584129183,3,3
1584131072,0,1
1584132985,4,2
1584134903,3,0
1584137010,7,0
1584138994,5,6
1584140905,1,0
1584142855,0,5
1584144770,1,5
1584146673,0,3
1584148592,3,2
1584150506,3,1
1584152430,2,1
1584154367,2,1
1584156267,10,2
1584158217,7,3
1584160122,1,2
1584162183,0,1
1584164181,4,6
1584166123,4,0
1584168016,6,4
1584169938,1,1
1584171859,1,3
1584173779,3,1
1584175699,8,0
1584177637,4,3
1584179574,2,2
1584181489,3,4
1584183381,3,2
1584185337,4,0
1584187526,2,0
1584189628,6,3
1584191590,2,2
1584193467,2,2
1584195392,2,2
1584197576,0,4
1584199460,5,1
1584201405,3,0
1584203314,2,1
1584205399,4,3
1584207383,2,0
1584209301,3,3
1584211215,5,2
1584213134,3,6
1584215065,5,5
1584216982,0,1
1584218900,2,3
1584221058,2,4
1584223104,2,6
1584225246,3,6
1584227156,5,1
1584228989,3,0
1584230979,16,0
1584232824,3,1
1584234742,8,3
1584236664,2,3
1584238603,6,2
1584240505,2,2
1584242434,4,9
1584244354,3,5
1584246263,3,4
1584248180,4,0
1584250111,0,3
1584252268,5,5
1584254178,5,5
1584256095,3,2
1584258043,4,1
1584259936,4,2
1584261880,7,8
1584263782,4,5
1584265699,3,2
1584267639,3,2
1584269564,4,4
1584271470,2,4
1584273396,4,2
1584275298,5,5
1584277458,5,2
1584279398,4,3
1584281337,9,2
1584283216,1,0
1584285138,4,4
1584287071,6,2
1584288997,5,4
1584290904,2,2
1584292841,2,3
1584294735,3,3
1584296654,2,3
1584298595,4,5
1584300495,0,1
1584302575,3,5
1584304518,23,1
1584306350,12,2
1584308196,5,2
1584310115,6,2
1584312021,2,3
1584313952,6,4
1584315855,8,3
1584317793,4,18
1584319699,8,5
1584321633,6,5
1584323559,4,1
1584325476,10,8
1584327378,5,0
1584329304,7,5
1584331404,3,2
1584333393,4,5
1584335315,2,2
1584337216,3,2
1584339148,11,3
1584341077,3,6
1584343053,3,4
1584344905,9,4
1584346848,5,5
1584348768,2,4
1584350661,5,4
1584352629,9,4
1584354497,4,3
1584356590,9,3
1584358598,5,5
1584360762,6,3
1584362657,6,4
1584364773,5,7
1584366750,6,3
1584368659,12,8
1584370630,5,2
1584372495,5,5
1584375655,2,8
1584377539,5,3
1584379458,1,1
1584381391,4,3
1584384353,4,5
1584386192,3,1
1584388144,4,3
1584390046,0,10
1584392012,4,20
1584393869,2,6
1584395844,1,8
1584397733,7,2
1584399913,7,7
1584401784,3,5
1584403726,8,6
1584405630,6,9
1584407545,0,5
1584409508,3,4
1584411414,1,10
1584413328,6,6
1584415224,4,5
1584417166,8,6
1584419091,0,4
1584420994,2,2
1584422901,5,2
1584426045,6,13
1584427957,6,2
1584429927,1,5
1584431850,4,10
1584433984,12,4
1584435893,5,1
1584437801,3,6
1584439710,7,7
1584441638,1,10
1584443560,4,5
1584445462,3,3
1584447412,4,7
1584449305,1,5
1584451243,0,5
1584453144,4,6
1584455113,6,12
1584456999,3,5
1584458904,1,5
1584461797,4,2
1584463723,0,4
1584465630,4,2
1584467539,9,4
1584469562,8,2
1584471396,4,4
1584473525,6,1
1584475548,12,4
1584477397,6,1
1584479304,3,3
1584481220,2,3
1584483155,6,4
1584485063,2,7
1584487226,6,4
1584489184,4,2
1584491261,5,12
1584494186,4,2
1584496137,3,3
1584498041,5,2
1584500046,6,6
1584502939,10,9
1584504833,3,2
1584506653,5,1
1584508579,3,3
1584510537,6,6
1584512420,1,3
1584514369,4,6
1584516289,6,1
1584518207,4,3
1584520100,7,12
1584522379,1,6
1584524216,1,3
1584526098,2,7
1584528021,5,1
1584529995,3,4
1584531890,2,3
1584533852,4,4
1584535719,3,1
1584537658,2,0
