DateTime,AddedIPs,RemovedIPs
1583835378,1,1
1583837298,1,3
1583841174,1,2
1583844976,1,1
1583846926,0,1
1583849777,4,1
1583857727,1,2
1583861809,2,0
1583863704,0,2
1583865623,1,1
1583867563,2,2
1583869473,2,0
1583871428,1,2
1583875232,0,1
1583877139,2,1
1583879064,1,2
1583880984,1,5
1583882897,3,1
1583885019,0,1
1583886972,1,1
1583888894,4,0
1583890830,1,0
1583892739,1,0
1583896583,3,4
1583898493,0,3
1583902332,0,1
1583908098,1,1
1583910232,0,1
1583912174,0,3
1583914103,2,2
1583916017,0,1
1583917942,1,1
1583921775,1,1
1583923699,0,1
1583931375,1,1
1583933295,1,0
1583935452,1,3
1583937376,1,1
1583939182,1,0
1583941004,0,1
1583942902,3,0
1583944843,2,0
1583946756,1,2
1583948659,1,1
1583950620,0,1
1583952514,1,0
1583954455,0,1
1583956336,0,1
1583958278,2,1
1583960188,1,0
1583962098,1,0
1583964197,1,2
1583966200,3,2
1583968093,1,3
1583970015,1,0
1583971947,2,0
1583973856,2,0
1583975778,3,3
1583977700,1,1
1583979622,1,0
1583981558,2,1
1583983467,0,1
1583985381,1,1
1583987296,1,0
1583989535,6,0
1583991386,1,0
1583995241,1,1
1583997141,1,1
1583999068,1,1
1584002936,1,0
1584004916,2,1
1584006752,1,1
1584008938,1,0
1584013033,1,0
1584014912,1,0
1584016825,1,1
1584018776,1,0
1584020679,0,1
1584024535,1,0
1584026554,2,1
1584028367,1,3
1584030277,0,1
1584032205,0,1
1584034124,0,1
1584036287,0,1
1584038179,2,1
1584042089,1,0
1584043971,4,0
1584045899,1,4
1584049954,0,1
1584051868,0,2
1584053796,3,0
1584055704,2,1
1584057853,1,2
1584059798,2,3
1584061701,3,1
1584065549,2,1
1584067465,1,1
1584069382,0,1
1584071309,0,1
1584073248,1,0
1584075147,2,0
1584077084,1,1
1584078989,1,0
1584083151,2,0
1584084991,0,3
1584086900,1,2
1584088823,1,0
1584090748,0,1
1584092687,0,1
1584094585,5,2
1584096522,0,1
1584100337,1,0
1584102260,1,2
1584104176,5,0
1584106102,1,0
1584108983,0,1
1584112826,1,2
1584114744,1,1
1584116690,0,1
1584123465,1,0
1584125325,1,1
1584127289,1,0
1584129183,0,2
1584131073,0,2
1584132985,0,1
1584137011,2,0
1584138995,4,0
1584140905,0,3
1584142855,1,0
1584144770,0,1
1584146673,3,2
1584148592,1,2
1584150506,3,0
1584152430,1,4
1584154367,1,4
1584156267,1,2
1584158219,1,2
1584162194,0,3
1584164182,1,1
1584166124,1,0
1584169938,1,2
1584175699,1,1
1584181489,1,3
1584183382,1,0
1584187527,2,3
1584189628,2,0
1584191590,2,6
1584193468,2,3
1584195392,0,2
1584199460,1,1
1584201405,2,0
1584203314,1,0
1584205413,1,0
1584207383,1,0
1584209301,0,1
1584211215,1,1
1584213134,0,3
