DateTime,AddedIPs,RemovedIPs
1572120515,1,0
1572142373,1,1
1572164430,0,1
1572186516,3,2
1572230490,3,4
1572252520,1,7
1572274596,1,2
1572296532,1,3
1572340637,3,1
1572362682,1,2
1572384761,0,1
1572406835,1,2
1572428677,3,2
1572450538,4,3
1572472601,1,0
1572494473,0,2
1572516529,1,31
1572538611,1,0
1572560483,1,0
1572582334,2,1
1572604388,3,2
1572626456,1,2
1572648548,0,1
1572670599,1,1
1572692512,4,1
1572714524,3,1
1572758674,2,2
1572780751,3,2
1572802833,0,2
1572824677,1,1
1572846748,1,1
1572880012,0,3
1572902241,1,1
1572946480,1,1
1572969056,3,1
1573013551,0,1
1573035410,0,3
1573057395,1,2
1573123487,0,1
1573178758,1,2
1573201028,2,2
1573245161,1,1
1573267221,2,0
1573289315,2,5
1573311184,1,1
1573333555,0,4
1573355539,0,2
1573377641,2,2
1573399490,1,1
1573421555,2,0
1573443466,2,1
1573465473,1,0
1573487351,2,1
1573509405,1,0
1573575144,0,1
1573618851,1,0
1573662987,2,1
1573684892,1,0
1573706916,1,0
1573794988,1,0
1573817077,0,2
1573839182,0,2
1573861220,1,0
1573883090,0,2
1573905139,0,1
1573926988,0,7
1573948912,1,0
1573970919,1,0
1573993002,4,0
1574015064,0,2
1574036908,1,1
1574058752,0,2
1574080624,3,2
1574102673,0,4
1574124739,2,0
1574146582,2,1
1574168597,2,0
1574190549,1,0
1574212723,3,0
1574234673,2,2
1574256525,1,2
1574278365,1,0
1574322522,1,1
1574344608,4,0
1574388557,2,0
1574410827,0,1
1574432683,3,0
1574454565,1,1
1574521015,1,0
1574543100,1,0
1574565180,2,0
1574609795,0,1
1574631691,4,1
1574653971,1,0
1574676276,0,1
1574698139,1,1
1574720433,1,1
1574742289,0,2
1574764366,1,2
1574786449,1,1
1574808501,1,1
1574830622,2,1
1574852612,1,1
1574874763,0,2
1574896826,1,8
1574918683,1,1
1574940769,0,4
1574962843,2,1
1574984913,0,2
1575006759,1,1
1575029039,1,2
1575051035,0,2
1575095115,2,0
1575117153,1,2
1575139253,1,3
1575161302,4,2
1575205494,8,0
1575227812,0,1
1575249877,3,3
1575271979,8,0
1575294019,0,1
1575337972,1,2
1575360120,1,0
1575382128,5,0
1575404387,3,1
1575448137,0,2
1575470207,2,0
1575536170,2,1
1575580374,1,1
1575624559,3,2
1575646595,1,1
1575668664,1,0
1575690773,0,2
1575723894,1,2
1575745738,1,1
1575768037,1,3
1575790111,0,1
1575811965,0,7
1575834019,1,1
1575855868,0,8
1575877736,0,2
1575921854,4,0
1575943717,1,1
1575965563,1,0
1575987742,1,4
1576009693,1,2
1576075960,0,1
1576120134,0,2
1576142445,0,3
1576164292,3,1
1576186364,0,2
1576208425,4,0
1576230292,3,1
1576252370,0,2
1576274623,0,1
1576318587,0,1
1576362543,0,1
1576407169,3,1
1576429020,2,0
1576451019,3,0
1576473175,5,0
1576495245,4,0
1576517296,4,1
1576539171,1,6
1576561215,1,2
1576583097,4,0
1576605138,0,2
1576715078,0,1
1576736918,1,0
1576758994,1,3
1576780855,3,0
1576802915,1,1
1576825003,1,6
1576846953,3,0
1576891219,4,0
1576913074,3,0
1576935191,1,0
1576957256,2,0
1577001412,3,1
1577023530,6,0
1577045544,1,3
1577067632,1,7
1577089706,1,0
