DateTime,AddedIPs,RemovedIPs
1581329549,18,19
1581337465,17,23
1581344664,17,25
1581351878,17,23
1581359782,26,27
1581366980,22,20
1581374182,11,21
1581381385,16,27
1581389300,43,55
1581396504,44,45
1581403704,26,18
1581411151,17,20
1581418579,18,19
1581425779,32,17
1581432981,20,15
1581440904,21,27
1581448111,25,21
1581455312,15,27
1581462515,29,19
1581470436,24,28
1581477618,47,54
1581485552,30,46
1581492264,28,18
1581500169,22,23
1581507370,21,27
1581515302,15,20
1581522022,13,7
1581529700,21,26
1581536905,24,18
1581544120,20,23
1581552022,18,24
1581559211,27,32
1581559962,2,9
1581566003,0,59
1581566897,53,6
1581574098,27,28
1581582006,21,15
1581589238,19,18
1581596419,11,23
1581604333,30,31
1581611559,22,21
1581618732,18,18
1581625934,19,22
1581633369,14,20
1581640597,18,27
1581648487,39,46
1581655449,37,64
1581662652,28,26
1581670566,21,21
1581677766,15,22
1581684968,13,20
1581692171,15,21
1581699611,23,22
1581707778,23,37
1581714504,19,25
1581721711,20,29
1581729620,25,27
1581736353,47,70
1581744261,34,42
1581751462,17,20
1581759381,25,26
1581766581,17,16
1581774503,23,18
1581781703,21,10
1581788908,21,26
1581796826,21,24
1581804511,18,30
1581811946,9,23
1581819927,28,35
1581823117,20,28
1581826834,0,21
1581827660,23,5
1581834747,26,29
1581842664,15,11
1581849861,22,38
1581857064,16,14
1581864270,13,22
1581872179,30,22
1581879383,22,14
1581886580,23,12
1581894510,12,27
1581901702,25,24
1581908916,37,52
1581916818,40,49
1581924019,11,11
1581931947,16,18
1581939146,13,21
1581947066,16,15
1581954269,14,20
1581961710,20,27
1581968910,20,10
1581976353,16,19
1581983791,11,32
1581991235,37,41
1581999155,47,68
1582006352,34,31
1582013571,21,18
1582021467,18,24
1582028669,17,18
1582036589,20,19
1582044507,19,16
1582051704,19,18
1582058909,16,12
1582066581,16,16
1582074025,27,27
1582081232,41,45
1582088433,37,38
1582095635,17,21
1582103797,17,18
1582111219,18,34
1582119152,18,18
1582126345,14,0
1582133546,17,37
1582140749,23,0
1582148661,24,39
1582155385,15,0
1582162583,30,37
1582170023,42,60
1582177466,34,30
1582184667,18,18
1582192578,12,33
1582199778,19,0
1582206980,20,31
1582214906,21,36
1582222115,26,19
1582229542,24,0
1582236745,14,40
1582244664,16,34
1582251863,30,63
1582259300,48,18
1582266747,24,16
1582274182,15,14
1582281385,19,0
1582289306,18,39
1582296520,16,13
1582303707,11,12
1582310901,25,20
1582318106,26,23
1582325310,15,25
1582333223,29,44
1582340423,32,43
1582347633,37,21
1582355542,18,16
1582362993,19,18
1582370422,17,27
1582377621,8,14
1582385550,18,13
1582392743,17,21
1582399945,15,26
1582407144,20,44
1582414582,14,27
1582422502,21,44
1582429707,45,39
1582437644,30,22
1582445543,7,17
1582453493,20,18
1582459971,14,15
1582467860,20,18
1582475785,14,14
1582483701,18,11
1582490904,22,20
1582498899,13,22
1582506742,24,31
1582514664,37,50
1582521870,42,30
1582529782,18,15
1582536982,11,13
1582544910,16,30
1582551717,17,0
1582559058,21,19
1582566261,21,22
1582573702,20,14
1582580904,21,16
1582588827,20,22
1582596027,23,31
1582603950,42,53
1582611142,28,24
1582618343,19,9
1582625545,16,12
1582632748,13,22
1582639952,16,21
1582647851,21,23
1582655051,23,19
1582662492,22,20
1582669688,15,18
1582677136,20,25
1582685054,30,91
1582692252,48,21
1582700167,14,15
1582707382,10,13
1582714582,17,16
1582722017,10,19
1582729227,22,12
1582737131,13,17
1582744331,15,13
1582751533,17,18
1582758739,21,30
1582766179,23,45
1582773158,34,40
1582781064,40,18
1582788982,17,16
1582796183,11,14
1582804104,17,16
1582811303,21,20
1582818983,14,17
1582826902,20,13
1582834109,20,24
1582841304,15,19
1582848511,13,38
1582856422,28,52
1582863610,40,34
1582870813,25,17
1582878023,18,13
1582885940,21,9
1582893143,19,18
1582900345,16,18
1582907542,13,25
1582914743,17,16
1582922665,17,16
1582929862,13,17
1582937779,22,45
1582944978,30,57
1582952178,48,28
1582959385,15,10
1582967303,23,12
1582974508,21,14
1582981227,23,26
1582988917,18,17
1582996818,16,22
