DateTime,AddedIPs,RemovedIPs
1581359782,137,103
1581366980,123,95
1581374182,76,129
1581381385,84,92
1581389300,97,104
1581396504,120,152
1581403704,110,120
1581411151,129,103
1581418579,108,96
1581425779,108,119
1581432981,142,105
1581440904,110,165
1581448111,184,102
1581455312,96,99
1581462515,84,150
1581470436,105,128
1581477618,120,127
1581485552,81,144
1581492264,112,92
1581500169,116,84
1581507370,105,96
1581515302,115,79
1581522022,98,136
1581529700,136,98
1581536905,115,97
1581544120,91,130
1581552022,81,151
1581559211,147,115
1581559962,38,38
1581566003,38,38
1581566897,137,144
1581574098,103,123
1581582006,119,106
1581589238,99,85
1581596419,87,155
1581604333,168,112
1581611559,121,94
1581618732,106,125
1581625934,157,114
1581633369,112,123
1581640597,85,108
1581648487,99,112
1581655449,82,1576
1581662652,1068,83
1581670566,193,182
1581677766,169,127
1581684968,174,108
1581692171,176,138
1581699611,152,127
1581707778,134,126
1581714504,130,130
1581721711,137,111
1581729620,125,111
1581736353,152,170
1581744261,171,125
1581751462,129,114
1581759381,119,131
1581766581,136,110
1581774503,133,111
1581781703,124,123
1581788908,136,117
1581796826,148,118
1581804511,104,143
1581811946,98,127
1581819927,109,148
1581823117,91,64
1581826834,64,91
1581827660,187,125
1581834747,97,107
1581842664,99,111
1581849861,128,123
1581857064,132,136
1581864270,134,97
1581872179,147,135
1581879383,126,131
1581886580,144,135
1581894510,134,130
1581901702,113,146
1581908916,118,122
1581916818,119,112
1581924019,117,114
1581931947,131,94
1581939146,84,136
1581947066,158,89
1581954269,108,123
1581961710,132,124
1581968910,136,79
1581976353,100,114
1581983791,81,94
1581991235,109,142
1581999155,130,196
1582006352,139,117
1582013571,130,108
1582021467,151,95
1582028669,102,116
1582036589,141,106
1582044507,110,92
1582051704,103,132
1582058909,109,111
1582066581,115,124
1582074025,113,200
1582081232,182,128
1582088433,138,132
1582095635,107,121
1582103797,116,115
1582111219,106,112
1582119152,130,101
1582126345,115,131
1582133546,166,109
1582140749,126,78
1582148661,87,122
1582155385,106,95
1582162583,92,126
1582170023,149,122
1582177466,108,147
1582184667,103,101
1582192578,104,103
1582199778,101,98
1582206980,120,132
1582214906,142,154
1582222115,146,122
1582229542,144,131
1582236745,109,148
1582244664,126,129
1582251863,117,111
1582259300,152,125
1582266747,116,123
1582274182,123,121
1582281385,127,111
1582289306,102,110
1582296520,137,125
1582303707,112,108
1582310901,129,97
1582318106,101,119
1582325310,110,111
1582333223,101,104
1582340423,100,121
1582347633,127,111
1582355542,99,91
1582362993,117,95
1582370422,107,103
1582377621,111,118
1582385550,122,94
1582392743,103,93
1582399945,103,99
1582407144,91,123
1582414582,113,111
1582422502,110,109
1582429707,123,119
1582437644,89,178
1582445543,151,94
1582453493,111,88
1582459971,100,85
1582467860,116,90
1582475785,100,106
1582483701,123,95
1582490904,118,95
1582498899,92,129
1582506742,107,147
1582514664,105,153
1582521870,169,119
1582529782,119,107
1582536982,95,69
1582544910,82,108
1582551717,118,103
1582559058,104,145
1582566261,144,92
1582573702,117,119
1582580904,115,106
1582588827,102,120
1582596027,92,83
1582603950,95,115
1582611142,98,110
1582618343,97,111
1582625545,112,111
1582632748,110,100
1582639952,111,116
1582647851,110,119
1582655051,125,85
1582662492,99,104
1582669688,96,138
1582677136,110,140
1582685054,136,115
1582692252,125,134
1582700167,92,117
1582707382,112,77
1582714582,83,101
1582722017,129,83
1582729227,109,139
1582737131,101,88
1582744331,94,93
1582751533,102,94
1582758739,95,100
1582766179,92,301
1582773158,99,142
1582781064,135,116
1582788982,110,97
1582796183,99,81
1582804104,102,81
1582811303,109,87
1582818983,84,97
1582826902,98,145
1582834109,166,128
1582841304,128,128
1582848511,115,462
1582856422,101,107
1582863610,122,134
1582870813,105,119
1582878023,136,114
1582885940,94,84
1582893143,97,112
1582900345,107,121
1582907542,118,90
1582914743,121,110
1582922665,114,109
1582929862,95,96
1582937779,101,143
1582944978,133,104
1582952178,141,122
1582959385,91,101
1582967303,110,117
1582974508,132,89
1582981227,120,151
1582988917,149,121
1582996818,111,108
1583004017,91,98
1583011219,99,101
1583019144,95,139
1583026343,119,132
1583033547,118,115
1583040749,97,124
1583048661,94,94
1583055866,114,97
1583063779,102,132
1583070506,154,81
1583078427,125,99
1583085626,115,111
1583093541,105,114
1583100267,99,122
1583107716,84,126
1583115619,89,156
1583122817,159,102
1583130261,85,124
1583136753,96,135
1583144648,127,94
1583151618,106,104
1583159544,105,80
1583166990,109,105
1583174192,119,96
1583181611,90,126
1583189079,141,107
1583196968,90,130
1583204175,136,105
1583211615,131,95
1583219532,89,114
1583226980,87,119
1583233705,129,81
1583240920,69,99
1583248109,119,77
1583255534,84,112
1583263449,108,133
1583270649,128,112
1583277855,85,109
1583285772,92,91
1583292487,102,133
