DateTime,Entries,UniqueIPs
1581359782,7886,7886
1581366980,7914,7914
1581374182,7861,7861
1581381385,7853,7853
1581389300,7846,7846
1581396504,7814,7814
1581403704,7804,7804
1581411151,7830,7830
1581418579,7842,7842
1581425779,7831,7831
1581432981,7868,7868
1581440904,7813,7813
1581448111,7895,7895
1581455312,7892,7892
1581462515,7826,7826
1581470436,7803,7803
1581477618,7796,7796
1581485552,7733,7733
1581492264,7753,7753
1581500169,7785,7785
1581507370,7794,7794
1581515302,7830,7830
1581522022,7792,7792
1581529700,7830,7830
1581536905,7848,7848
1581544120,7809,7809
1581552022,7739,7739
1581559211,7771,7771
1581559962,7771,7771
1581566003,7771,7771
1581566897,7764,7764
1581574098,7744,7744
1581582006,7757,7757
1581589238,7771,7771
1581596419,7703,7703
1581604333,7759,7759
1581611559,7786,7786
1581618732,7767,7767
1581625934,7810,7810
1581633369,7799,7799
1581640597,7776,7776
1581648487,7763,7763
1581655449,6269,6269
1581662652,7254,7254
1581670566,7265,7265
1581677766,7307,7307
1581684968,7373,7373
1581692171,7411,7411
1581699611,7436,7436
1581707778,7444,7444
1581714504,7444,7444
1581721711,7470,7470
1581729620,7484,7484
1581736353,7466,7466
1581744261,7512,7512
1581751462,7527,7527
1581759381,7515,7515
1581766581,7541,7541
1581774503,7563,7563
1581781703,7564,7564
1581788908,7583,7583
1581796826,7613,7613
1581804511,7574,7574
1581811946,7545,7545
1581819927,7506,7506
1581823117,7533,7533
1581826834,7506,7506
1581827660,7568,7568
1581834747,7558,7558
1581842664,7546,7546
1581849861,7551,7551
1581857064,7547,7547
1581864270,7584,7584
1581872179,7596,7596
1581879383,7591,7591
1581886580,7600,7600
1581894510,7604,7604
1581901702,7571,7571
1581908916,7567,7567
1581916818,7574,7574
1581924019,7577,7577
1581931947,7614,7614
1581939146,7562,7562
1581947066,7631,7631
1581954269,7616,7616
1581961710,7624,7624
1581968910,7681,7681
1581976353,7667,7667
1581983791,7654,7654
1581991235,7621,7621
1581999155,7555,7555
1582006352,7577,7577
1582013571,7599,7599
1582021467,7655,7655
1582028669,7641,7641
1582036589,7676,7676
1582044507,7694,7694
1582051704,7665,7665
1582058909,7663,7663
1582066581,7654,7654
1582074025,7567,7567
1582081232,7621,7621
1582088433,7627,7627
1582095635,7613,7613
1582103797,7614,7614
1582111219,7608,7608
1582119152,7637,7637
1582126345,7621,7621
1582133546,7678,7678
1582140749,7726,7726
1582148661,7691,7691
1582155385,7702,7702
1582162583,7668,7668
1582170023,7695,7695
1582177466,7656,7656
1582184667,7658,7658
1582192578,7659,7659
1582199778,7662,7662
1582206980,7650,7650
1582214906,7638,7638
1582222115,7662,7662
1582229542,7675,7675
1582236745,7636,7636
1582244664,7633,7633
1582251863,7639,7639
1582259300,7666,7666
1582266747,7659,7659
1582274182,7661,7661
1582281385,7677,7677
1582289306,7669,7669
1582296520,7681,7681
1582303707,7685,7685
1582310901,7717,7717
1582318106,7699,7699
1582325310,7698,7698
1582333223,7695,7695
1582340423,7674,7674
1582347633,7690,7690
1582355542,7698,7698
1582362993,7720,7720
1582370422,7724,7724
1582377621,7717,7717
1582385550,7745,7745
1582392743,7755,7755
1582399945,7759,7759
1582407144,7727,7727
1582414582,7729,7729
1582422502,7730,7730
1582429707,7734,7734
1582437644,7645,7645
1582445543,7702,7702
1582453493,7725,7725
1582459971,7740,7740
1582467860,7766,7766
1582475785,7760,7760
1582483701,7788,7788
1582490904,7811,7811
1582498899,7774,7774
1582506742,7734,7734
1582514664,7686,7686
1582521870,7736,7736
1582529782,7748,7748
1582536982,7774,7774
1582544910,7748,7748
1582551717,7763,7763
1582559058,7722,7722
1582566261,7774,7774
1582573702,7772,7772
1582580904,7781,7781
1582588827,7763,7763
1582596027,7772,7772
1582603950,7752,7752
1582611142,7740,7740
1582618343,7726,7726
1582625545,7727,7727
1582632748,7737,7737
1582639952,7732,7732
1582647851,7723,7723
1582655051,7763,7763
1582662492,7758,7758
1582669688,7716,7716
1582677136,7686,7686
1582685054,7707,7707
1582692252,7698,7698
1582700167,7673,7673
1582707382,7708,7708
1582714582,7690,7690
1582722017,7736,7736
1582729227,7706,7706
1582737131,7719,7719
1582744331,7720,7720
1582751533,7728,7728
1582758739,7723,7723
1582766179,7514,7514
1582773158,7471,7471
1582781064,7490,7490
1582788982,7503,7503
1582796183,7521,7521
1582804104,7542,7542
1582811303,7564,7564
1582818983,7551,7551
1582826902,7504,7504
1582834109,7542,7542
1582841304,7542,7542
1582848511,7195,7195
1582856422,7189,7189
1582863610,7177,7177
1582870813,7163,7163
1582878023,7185,7185
1582885940,7195,7195
1582893143,7180,7180
1582900345,7166,7166
1582907542,7194,7194
1582914743,7205,7205
1582922665,7210,7210
1582929862,7209,7209
1582937779,7167,7167
1582944978,7196,7196
1582952178,7215,7215
1582959385,7205,7205
1582967303,7198,7198
1582974508,7241,7241
1582981227,7210,7210
1582988917,7238,7238
1582996818,7241,7241
1583004017,7234,7234
1583011219,7232,7232
1583019144,7188,7188
1583026343,7175,7175
1583033547,7178,7178
1583040749,7151,7151
1583048661,7151,7151
1583055866,7168,7168
1583063779,7138,7138
1583070506,7211,7211
1583078427,7237,7237
1583085626,7241,7241
1583093541,7232,7232
1583100267,7209,7209
1583107716,7167,7167
1583115619,7100,7100
1583122817,7157,7157
1583130261,7118,7118
1583136753,7079,7079
1583144648,7112,7112
1583151618,7114,7114
1583159544,7139,7139
1583166990,7143,7143
1583174192,7166,7166
1583181611,7130,7130
1583189079,7164,7164
1583196968,7124,7124
1583204175,7155,7155
1583211615,7191,7191
