DateTime,Entries,UniqueIPs
1584290115,1975,1975
1584291316,1992,1992
1584292454,1985,1985
1584293294,1996,1996
1584294542,1981,1981
1584295245,1978,1978
1584296419,1977,1977
1584297735,1969,1969
1584299418,1971,1971
1584300624,1973,1973
1584301763,1980,1980
1584303254,1987,1987
1584304097,1992,1992
1584305416,2000,2000
1584306621,1990,1990
1584306854,1991,1991
1584308537,1984,1984
1584309375,1991,1991
1584310520,1973,1973
1584311298,1983,1983
1584312977,1951,1951
1584314121,1939,1939
1584314897,1975,1975
1584315737,1957,1957
1584316576,1961,1961
1584317720,1967,1967
1584318495,1979,1979
1584319338,1950,1950
1584320176,1960,1960
1584321255,1945,1945
1584322099,1980,1980
1584323422,1961,1961
1584324630,1953,1953
1584325832,1945,1945
1584327324,1952,1952
1584328464,1937,1937
1584330047,1947,1947
1584331826,1939,1939
1584332060,1940,1940
1584332902,1940,1940
1584334003,1925,1925
1584335384,1927,1927
1584336629,1924,1924
1584338185,1932,1932
1584339257,1947,1947
1584340932,1928,1928
1584342861,1939,1939
1584344446,1955,1955
1584346528,1957,1957
1584347719,1958,1958
1584349488,1975,1975
1584350062,1978,1978
1584350899,1981,1981
1584352342,1973,1973
1584353481,1972,1972
1584355364,1972,1972
1584357257,1990,1990
1584358097,2015,2015
1584359783,1985,1985
1584360924,1980,1980
1584362443,1968,1968
1584364464,1978,1978
1584365298,1978,1978
1584366795,1970,1970
1584368124,1971,1971
1584369759,1979,1979
1584370580,1998,1998
1584371729,1987,1987
1584372501,1993,1993
1584373346,1995,1995
1584374667,1982,1982
1584375980,1989,1989
1584376963,1990,1990
1584377778,2008,2008
1584378924,1998,1998
1584380124,1998,1998
1584381315,2000,2000
1584382523,1984,1984
1584384023,1994,1994
1584385469,2002,2002
1584386898,2034,2034
1584388541,2031,2031
1584389720,2027,2027
1584390921,2042,2042
1584392120,2055,2055
1584393259,2059,2059
1584394100,2061,2061
1584394939,2054,2054
1584396860,2087,2087
1584398423,2074,2074
1584400524,2075,2075
1584401298,2111,2111
1584402402,2100,2100
1584403822,2106,2106
1584405024,2124,2124
1584407423,2113,2113
1584409348,2139,2139
1584411262,2146,2146
1584412519,2163,2163
1584415224,2174,2174
1584415703,2198,2198
1584416540,2201,2201
1584418224,2206,2206
1584419298,2224,2224
1584420161,2222,2222
1584421831,2238,2238
1584423752,2263,2263
1584425662,2287,2287
1584427340,2313,2313
1584429260,2317,2317
1584430524,2338,2338
1584431688,2359,2359
1584432924,2352,2352
1584434543,2360,2360
1584435382,2369,2369
1584436523,2373,2373
1584438139,2389,2389
1584439824,2393,2393
1584440982,2399,2399
1584443427,2139,2139
1584445522,2135,2135
1584446457,2134,2134
1584447258,2136,2136
1584448100,2137,2137
1584448943,2141,2141
1584450862,2140,2140
1584452330,2128,2128
1584454461,2113,2113
1584455722,2114,2114
1584456919,2134,2134
1584458057,2119,2119
1584458900,2122,2122
1584459744,2111,2111
1584461422,2108,2108
1584463348,2103,2103
1584465257,2113,2113
1584466669,2099,2099
1584467942,2100,2100
1584468857,2098,2098
1584470037,2085,2085
1584471317,2086,2086
1584472523,2068,2068
1584473723,2063,2063
1584475127,2056,2056
1584476059,2055,2055
1584477643,2036,2036
1584478579,2048,2048
1584479662,2037,2037
1584480923,2042,2042
1584482118,2046,2046
1584483263,2043,2043
1584484102,2054,2054
1584485421,2024,2024
1584486866,2027,2027
1584487699,2028,2028
1584489019,2030,2030
1584490457,2029,2029
1584491299,2033,2033
1584492978,2017,2017
1584494124,2002,2002
1584494899,2014,2014
1584495740,1999,1999
1584497428,2000,2000
1584498497,2023,2023
1584499990,1997,1997
1584501275,1991,1991
1584502519,2009,2009
1584503723,2024,2024
1584504925,2003,2003
1584505705,2004,2004
1584507319,2010,2010
1584508523,1995,1995
1584510147,1979,1979
1584510979,1980,1980
1584512058,1988,1988
1584513319,1990,1990
1584515202,1956,1956
1584516919,1948,1948
1584518520,1923,1923
1584519630,1925,1925
1584520844,1906,1906
1584521778,1920,1920
1584522927,1902,1902
1584523700,1903,1903
1584525384,1886,1886
1584526523,1883,1883
1584528043,1862,1862
1584530057,1846,1846
1584531318,1821,1821
1584533011,1811,1811
1584535337,1802,1802
1584537262,1796,1796
1584539419,1768,1768
1584540633,1751,1751
1584541705,1761,1761
1584544458,1732,1732
1584547488,1701,1701
1584548058,1707,1707
1584549649,1719,1719
1584551659,1720,1720
1584553340,1697,1697
1584554177,1702,1702
1584555257,1692,1692
1584556939,1661,1661
1584558135,1653,1653
1584559703,1663,1663
1584561020,1614,1614
1584562231,1581,1581
1584564145,1572,1572
1584565822,1574,1574
1584567002,1571,1571
1584568251,1564,1564
1584569421,1559,1559
1584570926,1538,1538
1584572605,1548,1548
1584574231,1534,1534
1584574938,1528,1528
1584576356,1531,1531
1584577520,1533,1533
1584578538,1502,1502
1584580462,1509,1509
1584582020,1500,1500
1584583587,1492,1492
1584584720,1490,1490
1584585739,1444,1444
1584587425,1441,1441
1584589342,1425,1425
1584591258,1424,1424
1584592942,1398,1398
1584594631,1400,1400
1584595837,1380,1380
1584598461,1371,1371
1584599299,1392,1392
1584600143,1354,1354
1584600978,1366,1366
1584602061,1331,1331
1584602901,1329,1329
1584603737,1314,1314
1584605659,1279,1279
1584606499,1294,1294
1584608120,1282,1282
1584609260,1270,1270
1584610941,1259,1259
1584611779,1265,1265
1584612922,1253,1253
1584613704,1265,1265
1584614539,1248,1248
1584616228,1261,1261
1584618140,1270,1270
1584618978,1273,1273
1584620124,1271,1271
1584621382,1277,1277
1584622525,1297,1297
1584623725,1293,1293
1584624921,1285,1285
1584626796,1300,1300
1584627942,1314,1314
1584629423,1321,1321
1584630625,1334,1334
1584631831,1346,1346
