DateTime,AddedIPs,RemovedIPs
1584291304,61,31
1584292443,42,48
1584293282,33,0
1584295226,82,162
1584296404,39,0
1584297723,55,87
1584299405,64,44
1584300604,51,107
1584301752,37,24
1584303242,47,31
1584304082,110,0
1584305403,245,68
1584306604,194,55
1584306842,47,0
1584308523,247,106
1584309363,104,0
1584311283,170,77
1584312963,140,129
1584314103,104,52
1584314882,108,2
1584315723,83,92
1584316564,60,0
1584317703,100,54
1584318483,40,1
1584319323,66,99
1584320163,57,0
1584322083,158,68
1584323407,95,102
1584324604,86,69
1584325806,67,57
1584327304,92,20
1584328444,56,57
1584330004,106,73
1584331804,99,105
1584332043,8,0
1584332885,58,0
1584333983,76,88
1584335370,76,48
1584336606,67,68
1584338163,94,21
1584339243,61,55
1584340924,95,95
1584342843,86,46
1584344406,94,87
1584346504,81,83
1584347704,76,58
1584349472,98,68
1584350045,25,0
1584350884,32,1
1584352317,77,79
1584353459,44,37
1584355325,90,91
1584357244,118,46
1584358084,39,1
1584359764,84,108
1584360904,247,42
1584362403,71,66
1584364444,87,61
1584365283,27,0
1584366778,54,87
1584368104,66,37
1584369727,74,90
1584370564,39,0
1584372484,75,46
1584373328,40,98
1584374652,43,47
1584375959,42,0
1584376926,50,90
1584377764,39,0
1584378903,44,44
1584380105,60,67
1584381294,58,29
1584382503,46,70
1584384003,78,57
1584385454,71,71
1584386884,76,1
1584388525,74,86
1584389703,55,40
1584390903,51,63
1584392103,75,20
1584393244,66,17
1584394083,33,0
1584394925,35,76
1584396843,83,38
1584398404,71,148
1584400504,76,61
1584401283,40,0
1584402378,48,81
1584403803,66,44
1584405005,48,55
1584407403,120,72
1584409324,87,102
1584411243,88,35
1584412504,48,44
1584414031,55,52
1584415686,82,1
1584416523,39,76
1584418206,89,51
1584419283,31,2
1584420127,39,72
1584421803,79,56
1584423723,86,113
1584425643,96,44
1584427324,68,86
1584429243,87,45
1584430504,60,70
1584431674,58,27
1584432903,37,56
1584434524,84,93
1584435364,43,1
1584436504,34,40
1584438124,72,99
1584439804,68,51
1584440967,61,60
1584443404,115,336
1584446429,130,165
1584447243,34,4
1584448083,31,1
1584448924,30,103
1584450843,68,93
1584452315,59,96
1584454444,79,77
1584455703,48,93
1584456903,68,38
1584458044,42,77
1584458883,38,1
1584459726,25,140
1584461405,43,88
1584463326,40,119
1584465243,88,78
1584466655,150,100
1584467927,122,108
1584468843,56,9
1584470022,99,92
1584471303,80,32
1584472503,88,53
1584473703,56,92
1584475061,89,38
1584476043,72,72
1584477604,114,113
1584478564,67,25
1584479644,56,86
1584480904,86,119
1584482104,75,26
1584483244,76,58
1584484083,41,0
1584485404,80,154
1584486844,91,75
1584487683,37,0
1584489004,76,118
1584490443,89,69
1584491283,45,0
1584492963,92,155
1584494104,55,62
1584494884,30,1
1584495724,41,125
1584497405,73,67
1584498483,58,0
1584499974,76,138
1584501258,59,60
1584502504,65,120
1584503704,54,57
1584504904,38,76
1584505687,33,0
1584507304,102,111
1584508503,45,61
1584510126,73,112
1584510963,28,0
1584512044,60,56
1584513305,57,95
1584515186,79,112
1584515643,11,0
1584516904,39,95
1584518491,66,107
1584519604,26,2
1584520806,43,82
1584521763,53,25
1584522903,35,69
1584523684,32,0
1584525364,67,127
1584526504,45,70
1584528004,54,86
1584530044,68,120
1584531304,50,325
1584532996,61,82
1584533644,23,0
1584535323,74,95
1584537243,73,56
1584538084,37,0
1584539404,52,113
1584540605,43,54
1584541686,55,2
1584544443,91,137
1584547474,85,147
1584548043,36,0
1584549603,62,67
1584551643,95,86
1584553324,102,108
1584554163,37,0
1584555243,46,62
1584556924,82,118
1584558114,61,78
1584559683,90,1
1584561004,71,113
1584562203,51,84
1584564124,91,103
1584565805,57,57
1584566985,60,93
1584568236,47,24
1584569403,40,60
1584570906,54,80
1584572582,66,86
1584574204,72,75
1584574924,22,32
1584576341,51,64
1584577504,42,2
