DateTime,AddedIPs,RemovedIPs
1583982855,1,1
1583984536,1,3
1583985374,1,0
1583988137,1,0
1583990056,2,0
1583990892,1,0
1583991734,1,0
1583993414,0,2
1583998937,0,1
1584000853,0,1
1584002014,0,1
1584003646,1,0
1584006976,1,1
1584008119,1,0
1584011423,0,1
1584012619,0,1
1584013906,0,1
1584015019,1,0
1584020434,1,0
1584022455,0,1
1584025816,0,1
1584026973,0,1
1584033256,0,3
1584039702,1,0
1584040814,1,0
1584042132,0,3
1584044052,0,2
1584045313,1,2
1584046852,1,1
1584048014,1,0
1584049229,1,3
1584051315,1,0
1584052937,1,2
1584054624,0,1
1584056532,4,2
1584060134,1,3
1584062055,1,2
1584063734,1,1
1584065717,1,1
1584066494,1,0
1584067335,2,2
1584068174,1,0
1584069253,1,0
1584070396,0,1
1584072349,1,0
1584073694,1,0
1584075315,2,1
1584076518,0,1
1584083652,1,1
1584085228,0,1
1584087258,0,2
1584090499,0,1
1584092532,1,4
1584094454,1,0
1584095293,1,1
1584096136,1,2
1584099735,2,0
1584101656,2,1
1584105259,1,0
1584106700,0,2
1584108918,0,1
1584114136,2,0
1584117734,1,0
1584119653,2,2
1584121227,0,4
1584125772,2,2
1584126853,1,0
1584127696,1,0
1584129416,0,1
1584130455,1,0
1584132135,0,3
1584133819,1,1
1584135016,1,4
1584137675,1,13
1584138915,0,1
1584142094,1,0
1584142938,0,3
1584144855,1,0
1584145695,1,0
1584147012,0,1
1584148181,1,0
1584149293,1,0
1584150593,1,1
1584152052,3,1
1584153630,1,1
1584155006,0,3
1584155654,1,0
1584157334,1,1
1584159019,0,1
1584160830,1,1
1584162855,1,1
1584164032,1,1
1584165222,2,0
1584171734,1,0
1584173422,0,1
1584177315,1,1
1584178935,0,1
1584180616,2,1
1584183639,2,0
1584186133,0,1
1584191416,1,0
1584195023,1,0
1584196934,2,0
1584198916,1,0
1584211666,1,1
1584214178,1,1
1584215712,3,0
1584219373,1,1
1584225417,0,2
1584226571,0,2
1584227655,1,1
1584228912,2,1
1584231252,0,1
1584232933,1,1
1584234616,1,0
1584235693,1,0
1584236923,1,3
1584238221,0,1
1584239419,1,0
1584241815,0,1
1584245053,1,4
1584250933,1,0
1584252851,0,1
1584256452,1,1
1584260052,1,2
1584262578,1,0
1584267015,0,1
1584268220,0,2
1584269712,0,1
1584270914,1,0
1584272536,0,1
1584274455,1,0
1584284117,0,1
1584288852,0,2
1584290112,2,0
1584291314,1,0
1584292452,1,2
1584293291,1,0
1584294540,0,2
1584297732,1,1
1584299415,1,1
1584300618,0,1
1584301761,1,1
1584303252,1,1
1584305413,0,2
1584306618,1,1
1584308534,2,1
1584310517,1,0
1584311295,1,0
1584312974,0,1
1584314118,3,1
1584314894,1,0
1584315733,0,1
1584317716,2,0
1584319335,3,3
1584320173,1,0
1584321250,1,0
1584325825,1,1
1584327320,0,1
1584331821,3,2
1584333999,0,2
1584335381,1,0
1584337821,1,2
1584338181,1,0
1584339254,1,1
1584342196,1,0
1584342857,1,0
1584346524,2,1
1584349484,0,1
1584350895,1,0
1584352338,1,1
1584353477,1,2
1584360921,2,0
1584362420,0,1
1584364460,2,0
1584366792,1,0
1584368118,2,0
1584369750,1,3
1584380120,0,1
1584384019,0,3
1584385465,1,2
1584392117,1,0
1584394096,1,0
1584394936,0,2
1584396857,1,0
1584398420,5,2
1584400520,2,1
1584405019,1,1
1584407419,1,2
1584409344,3,3
1584414053,1,1
1584416537,3,0
1584418220,1,0
1584419294,1,0
1584420146,0,1
1584421828,3,0
1584423741,1,0
1584425658,1,0
1584427337,0,1
1584429257,1,0
1584430520,0,2
1584432920,0,1
1584434539,2,0
1584438135,1,0
1584439820,2,1
1584440979,1,0
1584443423,2,0
1584445519,0,1
1584448097,1,0
1584455719,1,0
1584456915,1,1
1584459741,0,2
1584461419,1,0
1584463344,1,0
1584465254,0,1
1584466665,1,0
1584467938,0,1
1584470033,0,1
1584471313,2,1
1584472520,2,0
1584473720,4,1
1584476056,1,0
1584477621,0,2
1584478576,1,0
1584479659,1,1
1584480919,0,1
1584483259,3,0
1584485416,0,3
1584486862,3,2
1584489016,0,3
1584490454,1,2
1584492974,1,1
1584494119,0,1
1584495737,0,1
1584497424,1,0
1584499986,2,0
1584501271,0,1
1584502515,2,2
1584503720,1,0
1584507316,3,1
1584508520,0,1
1584510144,1,1
1584510975,1,0
1584513316,0,5
1584515199,1,0
1584516915,0,1
1584518509,2,0
1584520820,0,1
1584521774,2,1
1584522922,1,0
1584525378,1,1
1584526519,1,0
1584528020,2,0
1584530054,1,0
1584531315,1,1
1584533007,1,2
1584535334,0,2
1584538097,2,0
1584539415,0,1
1584544455,1,2
1584547484,0,1
1584549620,1,0
1584555254,0,1
1584556935,0,1
1584558132,2,0
1584559699,3,0
1584561016,1,0
1584562228,2,1
1584564141,1,0
1584565818,0,1
1584566997,1,2
1584568247,1,2
1584570921,1,1
1584572601,0,3
1584574221,0,1
1584576352,1,1
1584577516,2,0
1584578535,0,1
1584580458,1,2
1584582016,1,0
1584583583,2,1
1584584717,1,0
1584585736,1,1
1584587421,3,2
1584589338,0,1
1584591255,0,2
1584592939,2,2
1584594627,0,1
1584595827,2,0
1584600139,0,1
1584603734,0,1
1584605656,1,0
1584606496,1,0
1584608116,0,1
1584609257,0,2
1584610937,1,1
1584612918,1,1
1584613700,3,0
1584614536,1,0
1584618136,0,1
1584618974,1,0
1584620120,2,0
1584621378,1,0
1584622520,1,0
1584623721,0,1
1584624917,1,0
1584626793,2,1
1584629419,1,0
1584630621,0,1
1584631823,0,1
1584639621,1,1
1584640890,0,3
1584643335,0,5
1584645255,5,0
1584646940,2,1
1584648127,1,1
1584649818,0,2
1584652519,1,3
1584654978,3,0
1584656120,1,0
1584657318,0,1
1584659426,4,1
1584660618,0,1
1584662175,2,0
1584663318,1,2
1584665487,1,0
1584666854,0,1
1584669317,1,1
1584672141,2,2
1584674059,3,2
1584675920,0,1
1584679335,0,3
1584681025,3,1
1584684861,1,0
1584687707,0,1
1584688821,2,0
1584690616,1,0
1584691824,3,1
1584693740,1,1
1584697519,1,4
1584699257,1,2
1584700938,0,1
1584709307,0,3
1584710898,1,0
1584711735,1,1
1584713423,1,0
1584718935,0,1
1584720858,2,0
1584727817,3,0
1584729739,1,2
1584731419,2,3
1584733340,0,3
1584735025,1,2
1584738617,1,2
1584739820,1,0
1584742455,1,0
1584744134,1,1
1584747315,2,0
1584749720,5,0
1584750494,7,0
1584751336,4,3
1584753255,18,1
1584754817,16,1
1584756923,11,3
1584757699,8,0
1584758536,6,1
1584759376,9,0
1584760521,3,2
1584761296,6,0
1584762141,7,1
1584762977,4,0
1584765252,14,2
1584766409,7,0
1584767719,4,0
1584769334,6,1
1584770177,1,0
1584771254,4,0
1584772935,4,0
1584774621,8,0
1584776536,8,0
1584778459,4,0
1584780139,5,1
1584781821,5,0
1584782895,2,0
1584784214,0,4
1584785654,1,0
1584786911,3,0
1584788442,6,1
1584789546,2,0
1584790099,1,0
1584790934,1,2
1584792618,5,0
1584794536,9,0
1584796218,2,1
1584797297,1,0
1584799824,1,2
1584801020,1,0
1584803417,2,0
1584806564,0,1
1584810624,1,0
1584811700,1,0
1584814458,2,0
1584815716,0,3
1584816845,0,1
1584818079,1,1
1584819736,2,1
1584820574,2,0
1584821657,3,0
1584823339,1,1
1584825019,0,1
1584826096,2,0
1584827719,1,2
1584828857,0,1
1584830117,1,1
1584831772,1,2
1584832458,3,0
1584834917,5,1
1584836119,2,0
1584836900,2,0
1584838218,3,0
1584838844,3,1
1584840021,5,0
1584841335,4,1
1584843324,7,1
1584844465,1,1
1584845776,1,0
1584846922,3,0
1584848422,7,0
1584849375,3,1
1584850519,4,1
1584852139,1,0
1584853824,3,0
1584855024,4,0
1584856276,2,0
1584857663,4,0
1584858494,1,0
1584859816,5,1
1584860950,1,1
1584862187,1,2
1584863715,1,0
1584864917,2,1
1584868816,3,0
1584870021,2,1
1584871817,2,0
1584873918,2,1
1584875656,2,0
1584876498,1,0
1584877338,3,0
1584882121,1,1
1584883223,1,0
1584884537,1,0
1584886122,2,1
1584887663,1,0
1584891314,1,0
1584892496,1,0
1584898821,1,5
1584899778,2,0
1584900918,0,1
1584902419,1,0
1584903374,1,0
1584906015,0,1
1584907720,5,1
1584909020,1,2
1584910215,2,0
1584911417,0,1
1584911655,1,0
1584913079,1,0
1584916098,2,0
1584916939,1,1
1584918404,1,0
1584921314,1,0
1584922520,5,9
1584924015,3,5
1584924977,4,2
1584926118,2,3
1584926898,7,0
1584928577,9,14
1584929720,9,6
1584930915,4,6
1584932175,2,4
1584933255,7,1
1584934096,5,0
1584936859,4,12
1584938442,2,6
1584940223,2,3
1584942147,7,6
1584943817,4,2
1584945738,1,12
1584947418,4,6
1584949334,7,3
1584950698,4,2
1584952101,2,0
1584952939,2,3
1584953775,1,0
1584954856,0,2
1584955699,1,0
1584957319,2,4
1584958520,1,4
1584960615,2,4
1584961823,1,5
