DateTime,AddedIPs,RemovedIPs
1584288851,6,23
1584290112,14,21
1584291313,9,8
1584292451,4,1
1584293291,5,1
1584294539,10,14
1584295239,4,5
1584296415,7,1
1584297731,9,10
1584299414,13,7
1584300617,11,34
1584301760,4,13
1584303251,8,12
1584304093,6,2
1584305412,6,17
1584306617,10,7
1584306850,4,0
1584308533,2,14
1584309372,9,4
1584310516,4,26
1584311294,5,3
1584312973,16,30
1584314116,6,7
1584314893,4,10
1584315732,10,12
1584316572,8,1
1584317715,8,8
1584318492,3,8
1584319334,12,7
1584320173,9,2
1584321249,5,2
1584322095,3,12
1584323418,6,9
1584324624,7,22
1584325823,15,9
1584327319,11,6
1584328460,3,11
1584330021,12,16
1584331820,15,10
1584332055,1,2
1584332898,3,1
1584333998,6,9
1584335380,13,3
1584337820,10,11
1584338180,1,0
1584339253,6,10
1584342195,20,22
1584342856,6,2
1584344421,14,22
1584346523,11,18
1584347715,15,5
1584349483,17,19
1584350057,2,4
1584350894,7,1
1584352337,14,13
1584353474,9,9
1584355344,18,14
1584357253,16,6
1584358093,7,9
1584359778,14,12
1584360920,13,16
1584362419,14,9
1584364459,18,14
1584365293,5,1
1584366789,10,12
1584368117,11,11
1584369749,8,19
1584370575,2,2
1584371723,15,8
1584372496,3,2
1584373341,5,16
1584374663,14,6
1584375975,5,4
1584376944,6,16
1584377774,6,2
1584378919,7,2
1584380119,6,10
1584381307,16,15
1584382518,5,24
1584384018,15,24
1584385465,8,12
1584386893,6,6
1584388536,13,18
1584389715,12,8
1584390917,6,10
1584392116,16,6
1584393254,11,3
1584394096,10,1
1584394935,2,6
1584396856,6,11
1584398419,19,9
1584400519,21,15
1584401293,7,12
1584402396,18,6
1584403818,14,7
1584405018,12,12
1584407418,41,11
1584409341,19,21
1584411258,19,9
1584412514,3,11
1584414050,9,10
1584415698,7,7
1584416536,7,8
1584418219,28,14
1584419293,11,2
1584420145,10,4
1584421825,10,13
1584423739,14,7
1584425657,12,6
1584427336,11,9
1584429256,23,8
1584430519,14,11
1584431684,4,12
1584432919,12,11
1584434539,18,18
1584435378,14,4
1584436519,3,5
1584438134,21,29
1584439819,16,5
1584440977,7,11
1584443422,29,13
1584445518,6,17
1584446444,6,4
1584447254,3,3
1584448096,9,2
1584448938,3,19
1584450856,24,14
1584452326,7,9
1584454456,11,10
1584455718,4,14
1584456914,9,5
1584458053,19,3
1584458895,4,1
1584459740,0,15
1584461418,8,17
1584463343,14,16
1584465253,9,10
1584466665,9,4
1584467937,0,8
1584468853,5,3
1584470032,5,11
1584472519,9,6
1584473719,4,14
1584475123,13,5
1584476055,8,0
1584477620,8,8
1584478575,7,4
1584479658,9,7
1584480918,6,10
1584482114,11,5
1584483258,21,6
1584484098,5,3
1584485415,19,7
1584486861,5,9
1584487695,1,2
1584489015,6,12
1584490453,21,6
1584491295,4,1
1584492973,6,11
1584494118,9,3
1584494894,3,3
1584495736,7,12
1584497423,12,9
1584498493,15,9
1584499985,12,12
1584501270,32,7
1584502514,8,6
1584503719,10,8
1584504919,14,4
1584505700,5,0
1584507315,18,14
1584508519,10,3
1584510143,10,12
1584510974,6,2
1584512054,17,10
1584513315,5,18
1584515198,10,5
1584515655,6,3
1584516914,8,14
1584518504,16,15
1584519622,9,3
1584520819,13,11
1584521773,7,10
1584522921,13,7
1584523694,15,0
1584525377,9,16
1584526519,7,11
1584528019,7,16
1584530053,16,6
1584531314,15,10
1584533006,14,11
1584533657,8,2
1584535333,15,12
1584537257,13,6
1584538096,9,0
1584539414,7,12
1584540624,9,3
1584541699,6,2
1584544454,8,16
1584547484,11,18
1584548054,5,2
1584549619,10,19
1584551655,13,15
1584553336,18,15
