DateTime,AddedIPs,RemovedIPs
1584293292,2,3
1584294540,2,8
1584295241,2,3
1584296416,3,2
1584297732,5,1
1584299415,4,8
1584300619,0,1
1584301761,2,3
1584303252,2,3
1584304095,1,0
1584305413,5,2
1584306619,1,4
1584306852,2,0
1584308535,8,5
1584309373,3,1
1584310518,4,7
1584311295,5,4
1584312974,5,12
1584314118,8,2
1584314894,6,1
1584315733,1,7
1584316574,1,5
1584317717,3,3
1584318493,3,2
1584319336,5,3
1584320174,3,2
1584321250,5,2
1584322096,6,4
1584323419,6,7
1584324627,3,5
1584325827,4,4
1584327320,1,2
1584328461,2,6
1584330042,2,4
1584331822,2,3
1584332056,0,1
1584332899,406,2
1584334000,326,24
1584335381,1,43
1584337821,6,42
1584338181,3,11
1584339254,8,24
1584342197,7,45
1584342858,0,14
1584344441,2,18
1584346525,1,31
1584347716,2,15
1584349485,4,24
1584350058,3,3
1584350895,2,7
1584352338,4,15
1584353477,2,12
1584355350,3,18
1584357254,5,23
1584358094,2,9
1584359779,0,18
1584360922,1148,6
1584362420,33,108
1584364460,6,69
1584365295,4,32
1584366792,3,42
1584368119,3,46
1584369755,2,37
1584370576,2,28
1584371724,1,29
1584372497,3,21
1584373343,0,22
1584374664,3,36
1584375977,2,24
1584376949,2,18
1584377775,1,10
1584378921,4,18
1584380121,1,26
1584381312,3,28
1584382520,2,32
1584384020,3,13
1584385466,2,31
1584386894,5,12
1584388537,4,22
1584389717,4,18
1584390918,1,14
1584392117,1,21
1584393255,4,16
1584394097,0,14
1584394936,4,14
1584396857,2,29
1584398420,0,15
1584400520,4,21
1584401295,2,6
1584402399,1,15
1584403819,4,13
1584405020,2,10
1584407419,2,23
1584409344,3,21
1584411259,2,18
1584412516,3,13
1584414056,4,12
1584415700,5,15
1584416537,1,10
1584418220,5,10
1584419295,3,5
1584420149,5,7
1584421828,5,17
1584423744,2,10
1584425658,4,14
1584427337,3,9
1584429257,4,8
1584430520,1,9
1584431685,1,6
1584432921,3,9
1584434540,1,10
1584435379,3,6
1584436520,3,5
1584438136,2,13
1584439821,5,13
1584440979,4,5
1584443424,4,14
1584445519,2,9
1584446447,2,3
1584447255,7,3
1584448097,0,3
1584448939,3,3
1584450858,4,7
1584452327,6,5
1584454457,3,9
1584455719,6,4
1584456916,4,3
1584458054,1,7
1584458896,4,2
1584459741,1,4
1584461419,2,3
1584463345,0,3
1584465254,0,10
1584466666,4,24
1584467938,3,20
1584468854,3,13
1584470033,3,16
1584471313,7,15
1584472520,4,13
1584473721,8,8
1584475123,11,16
1584476056,8,16
1584477621,11,17
1584478576,5,7
1584479659,5,6
1584480920,9,11
1584482115,14,9
1584483260,6,7
1584484099,6,9
1584485417,8,13
1584486862,9,7
1584487696,4,11
1584489017,8,7
1584490454,6,12
1584491296,6,4
1584492974,15,12
1584494120,5,11
1584494895,7,5
1584495737,7,8
1584497424,14,10
1584498495,5,7
1584499986,2,15
1584501272,5,9
1584502515,5,51
1584503720,2,36
1584504922,1,8
1584505702,5,3
1584507316,7,7
1584508520,3,5
1584510144,7,5
1584510975,1,3
1584512055,3,4
1584513316,4,7
1584515199,10,4
1584515656,3,2
1584516915,8,4
1584518512,6,6
1584519624,2,4
1584520821,3,7
1584521774,4,5
1584522923,4,2
1584523696,6,1
1584525378,6,14
1584526520,6,5
1584528021,3,5
1584530054,5,34
1584531315,8,241
1584533007,10,7
1584533659,3,1
1584535334,4,10
1584537258,9,6
1584538097,3,1
1584539416,3,8
1584540627,9,5
1584541701,2,2
1584544455,8,5
1584547485,1,5
1584548056,0,2
1584549621,2,2
1584551656,1,6
1584553337,7,12
1584554174,1,1
1584555254,5,3
1584556935,4,2
1584558132,2,0
1584559700,4,5
1584561017,9,5
1584562228,8,8
1584564141,3,5
1584565818,11,6
1584566997,4,4
1584568247,6,4
1584569418,10,5
1584570922,8,7
1584572602,2,5
1584574222,7,8
1584574935,3,2
1584576353,6,5
1584577516,4,3
1584578535,2,2
1584580459,9,8
1584582016,6,9
1584583583,13,7
1584584717,8,6
1584585736,5,4
1584587421,5,5
1584589339,4,10
1584591255,9,7
1584592939,9,7
1584594627,6,7
1584595829,6,3
1584598458,8,6
1584599296,4,7
1584600139,3,3
1584600975,2,1
1584602058,4,6
1584602899,3,4
1584603734,4,2
1584605656,3,0
1584606496,3,2
1584608117,1,2
1584609257,26,2
1584610937,0,20
1584611776,0,5
1584612918,4,8
1584613700,1,3
1584614536,3,4
1584616224,11,2
1584618136,10,13
1584618974,5,2
1584620120,7,3
1584621378,10,8
1584622521,11,5
1584623721,3,10
1584624917,5,7
1584626793,8,10
1584627938,6,7
1584629419,7,10
1584630622,4,2
1584631825,7,3
1584633378,2,6
1584634520,5,2
1584636137,8,7
1584638054,10,10
1584639622,8,9
1584640892,2,4
1584641660,9,6
1584643335,8,4
1584645255,7,11
1584646940,8,12
1584648129,4,10
1584649820,9,7
1584651375,8,7
1584652519,5,8
1584653297,3,5
1584654978,7,9
1584656121,5,4
1584657318,4,2
1584659427,7,7
1584660620,5,6
1584662176,6,4
1584663318,1,2
1584664099,4,1
1584665487,7,8
1584666854,7,4
1584669317,14,9
1584670455,6,7
1584672141,8,9
1584674059,17,8
1584675920,12,8
1584677419,10,8
1584679335,8,11
1584681025,3,5
1584682697,7,9
1584683820,8,5
1584684861,4,5
1584685699,3,2
1584686546,1,5
1584687708,6,4
1584688822,5,4
1584690616,6,9
1584691824,11,8
1584693741,5,8
1584695655,5,11
1584697519,11,6
1584699257,8,8
1584700938,6,12
1584702857,5,7
1584703694,5,2
1584705432,7,9
1584707299,10,4
1584709309,18,15
1584710898,2,1
1584711735,1,1
1584713424,1,2
1584715336,3,3
1584716178,2,2
1584717319,1,1
1584718094,2,0
1584718935,3,8
1584720859,4,11
1584722536,9,3
1584723374,4,3
1584724519,2,3
1584726016,6,14
1584727818,7,14
1584729739,1,9
1584731419,5,6
1584733341,2,5
1584735027,12,9
1584736094,4,4
1584738618,33,11
1584739821,8,14
1584742455,8,15
1584744135,11,9
1584746058,8,8
1584747315,16,4
1584748577,16,5
1584749721,6,18
1584750494,4,6
1584751337,7,2
1584753255,12,15
1584754818,13,13
1584756923,11,10
1584757699,7,5
1584758536,6,5
1584759376,10,3
1584760521,14,12
1584761296,8,3
1584762141,8,3
1584762977,3,3
1584765252,9,10
1584766409,4,12
1584767719,136,7
1584769334,112,29
1584770177,8,38
1584771254,10,18
1584772936,8,23
1584774621,4,33
1584776536,4,26
1584778459,5,31
1584780139,11,15
1584781821,10,20
1584782895,82,6
1584784214,31,29
1584785654,6,18
1584786911,2,11
1584788443,6,17
1584789548,3,13
1584790099,1,4
1584790934,2,3
1584792619,10,16
1584794536,14,16
1584796218,7,15
1584797297,7,10
1584799825,12,19
1584801021,3,3
1584802221,12,5
1584803418,6,4
1584804499,7,7
1584806564,17,21
1584808096,4,12
1584810624,10,20
1584811701,9,5
1584814458,8,11
1584815716,1,4
1584816845,5,8
1584818079,4,4
1584819737,11,6
1584820574,1,6
1584821657,5,4
1584823339,8,14
1584825019,10,3
1584826096,5,8
1584827719,9,14
1584828858,15,11
1584830118,5,10
1584831773,8,4
1584832458,2,2
1584833720,13,7
1584834917,6,13
1584836120,1,3
1584836901,3,2
1584838219,3,11
1584838844,0,1
1584840021,3,2
1584841336,6,5
1584842171,2,3
1584843326,6,7
1584844466,10,4
1584845776,3,4
1584846922,4,4
1584848441,4,6
1584849375,4,3
1584850519,5,6
1584852140,5,4
1584853827,16,3
1584855027,10,13
1584856276,7,8
1584857663,5,9
1584858495,4,2
1584859817,7,3
1584860952,8,5
1584862188,4,7
1584863715,3,11
1584864918,156,5
1584866118,31,27
1584867377,6,24
1584868817,10,24
1584870021,4,13
1584871817,4,22
1584873918,4,18
1584875656,3,15
1584876498,0,6
1584877338,2,6
1584879254,6,12
1584880938,3,5
1584882121,4,0
1584883223,4,3
1584884538,2,2
1584886122,1,5
1584887663,0,10
1584889480,0,22
1584890057,1,5
1584891315,0,8
1584892497,8,5
1584893718,5,4
1584894918,6,8
1584896180,4,7
1584897319,5,5
1584898821,5,12
1584899778,10,6
1584900918,12,11
1584902420,6,12
1584903375,7,8
1584904458,3,6
1584906015,8,10
1584907720,4,13
1584909020,6,6
1584910216,12,7
1584911418,11,6
1584911655,1,0
