DateTime,AddedIPs,RemovedIPs
1584293288,17,3
1584294536,24,51
1584295233,17,32
1584296409,27,3
1584297728,30,57
1584299410,43,32
1584300610,20,35
1584301757,17,10
1584303248,26,12
1584304088,76,1
1584305408,213,33
1584306611,170,17
1584306847,37,2
1584308530,219,44
1584309368,87,2
1584310509,82,23
1584311288,49,3
1584312968,129,51
1584314108,84,23
1584314889,74,8
1584315729,71,45
1584316569,46,1
1584317708,67,21
1584318488,25,4
1584319329,49,47
1584320169,41,3
1584322089,104,34
1584323412,69,37
1584324618,68,24
1584325813,41,26
1584327311,60,7
1584328450,42,31
1584330011,62,38
1584331812,62,43
1584332049,5,0
1584332893,22,369
1584333990,60,361
1584335375,79,18
1584336613,76,31
1584338172,73,16
1584339248,54,29
1584342187,120,59
1584342850,27,0
1584344412,63,36
1584346512,73,37
1584347710,48,24
1584349478,60,36
1584350052,13,1
1584350890,18,2
1584352324,39,28
1584353464,36,20
1584355332,47,47
1584357249,74,26
1584358089,23,3
1584359770,59,38
1584360912,27,948
1584362411,131,51
1584364450,106,29
1584365289,47,3
1584366783,67,35
1584368110,78,16
1584369736,64,44
1584370570,46,1
1584371712,51,25
1584372490,39,3
1584373334,39,43
1584374658,60,23
1584375965,51,2
1584376934,41,46
1584377770,28,1
1584378910,42,26
1584380111,53,28
1584381298,53,10
1584382509,64,23
1584384011,49,21
1584385459,67,38
1584386888,49,7
1584388531,61,36
1584389710,41,19
1584390912,22,38
1584392109,45,9
1584393249,44,13
1584394089,23,0
1584394930,31,35
1584396848,66,23
1584398411,47,124
1584400510,48,40
1584401288,25,2
1584402388,34,38
1584403811,37,25
1584405012,23,27
1584407409,58,36
1584409331,49,50
1584411250,58,19
1584412510,26,27
1584414036,37,24
1584415692,52,6
1584416529,22,49
1584418213,47,29
1584419288,17,5
1584420134,17,41
1584421819,44,35
1584423731,39,59
1584425649,53,31
1584427330,31,50
1584429248,43,32
1584430511,23,41
1584431679,27,14
1584432909,22,35
1584434532,40,49
1584435370,14,2
1584436510,16,24
1584438129,36,56
1584439811,48,38
1584440973,34,36
1584443418,56,45
1584445509,68,64
1584446434,26,34
1584447248,26,8
1584448089,17,1
1584448930,16,70
1584450849,36,54
1584452321,38,57
1584454449,58,46
1584455709,20,69
1584456908,27,30
1584458049,24,51
1584458889,19,0
1584459734,13,83
1584461411,21,49
1584463336,20,80
1584465248,57,41
1584466660,151,71
1584467932,125,85
1584468849,52,10
1584470027,87,57
1584471309,73,15
1584472511,75,27
1584473710,47,48
1584475076,73,31
1584476049,71,55
1584477611,103,72
1584478570,54,24
1584479650,43,61
1584480911,63,75
1584482109,55,33
1584483251,52,49
1584484089,29,4
1584485409,62,96
1584486851,64,43
1584487689,39,4
1584489010,52,86
1584490449,65,44
1584491288,31,5
1584492968,61,95
1584494110,44,37
1584494889,20,8
1584495732,28,78
1584497418,45,58
1584498488,37,5
1584499980,51,76
1584501264,32,39
1584502509,41,50
1584503710,29,17
1584504912,31,41
1584505693,21,4
1584507310,55,63
1584508509,38,42
1584510134,44,50
1584510969,19,1
1584512050,26,31
1584513311,38,49
1584515193,48,58
1584515649,6,3
1584516909,23,57
1584518497,37,41
1584519613,11,2
1584520813,23,35
1584521768,27,12
1584522913,24,35
1584523689,17,6
1584525371,46,60
1584526511,27,40
1584528012,24,40
1584530049,41,46
1584531310,25,47
1584533001,34,50
1584533651,10,3
1584535329,45,55
1584537249,43,40
1584538091,20,3
1584539409,33,50
1584540618,23,30
1584541693,33,4
1584544449,44,74
1584547479,41,71
1584548049,22,0
1584549611,27,35
1584551650,62,34
1584553331,73,59
1584554168,21,1
1584555249,38,40
1584556930,51,65
1584558123,34,32
1584559691,47,5
1584561010,50,45
1584562219,38,35
1584564132,50,52
1584565811,36,34
1584566990,40,46
1584568241,27,16
1584569410,27,34
1584570911,32,38
1584572590,29,37
1584574211,36,30
1584574929,10,8
1584576347,25,26
1584577510,19,5
1584578530,24,33
1584580452,46,34
1584582009,31,38
1584583576,55,48
1584584710,21,7
1584585730,20,54
1584587411,39,23
1584589331,48,44
1584591249,30,29
1584592931,32,48
1584594619,34,28
1584595814,24,31
1584598451,51,41
1584599289,19,4
1584600132,16,41
1584600969,10,1
1584602051,22,33
1584602890,22,3
1584603729,9,53
1584605649,27,21
1584606489,13,3
1584608109,15,46
1584609249,22,57
1584610931,61,49
1584611769,42,0
1584612911,56,30
1584613691,21,2
1584614530,19,76
1584616218,47,39
1584618130,66,57
1584618969,27,6
1584620110,22,29
1584621373,31,54
1584622511,40,21
1584623711,44,48
1584624911,37,44
1584626787,57,49
1584627925,29,5
1584629412,49,56
1584630614,28,26
1584631812,28,26
1584633369,33,10
1584634509,27,21
1584636130,44,60
1584638048,51,39
1584639612,40,40
1584640884,40,58
1584641651,34,8
1584643328,46,48
1584645248,66,37
1584646931,45,56
1584648120,34,28
1584649809,45,48
1584651369,46,20
1584652511,33,30
1584653289,23,6
1584654970,38,64
1584656111,25,31
1584657309,22,40
1584659419,53,55
1584660610,30,46
1584662169,35,21
1584663310,26,33
1584664091,16,4
1584665481,32,45
1584666849,22,32
1584668110,23,39
1584669310,30,16
1584670449,29,27
1584672133,41,47
1584674051,50,42
1584675912,50,55
1584677410,38,39
1584679330,44,44
1584681019,20,19
1584682686,25,50
1584683814,18,27
1584684851,21,33
1584685692,10,3
1584686539,19,41
1584687677,16,36
1584688810,25,6
1584690610,34,54
1584691818,26,34
1584693732,39,50
1584695649,44,44
1584697510,39,54
1584699249,36,36
1584700931,34,50
1584702850,55,30
1584703688,15,5
1584705421,45,67
1584706811,27,44
1584707291,7,4
1584709281,40,103
1584710890,25,2
1584711730,13,46
1584713418,26,19
1584715329,28,35
1584716170,15,1
1584717309,15,23
1584718088,14,2
1584718928,92,56
1584720850,165,23
1584722529,47,59
1584723368,25,5
1584724511,35,24
1584726010,129,36
1584727809,127,50
1584729730,113,47
1584731410,76,32
1584733333,58,51
1584735017,75,38
1584736088,33,4
1584738609,63,109
1584739810,42,33
1584742449,80,39
1584744129,38,52
1584746048,39,33
1584747309,34,47
1584748570,25,32
1584749711,37,30
1584750489,23,4
1584751331,15,75
1584753249,51,62
1584754809,38,52
1584756912,41,57
1584757690,16,8
1584759370,40,62
1584760510,29,40
1584761289,9,8
1584762131,14,49
1584762970,8,6
1584764051,24,33
1584765242,30,37
1584766403,25,22
1584767710,26,162
1584769329,50,149
1584770169,51,7
1584771248,31,43
1584772930,52,67
1584774613,65,39
1584776529,58,44
1584778451,49,34
1584780131,38,52
1584781812,39,31
1584782889,23,80
1584784208,51,80
1584785648,35,41
1584786902,34,47
1584788432,43,48
1584789538,39,3
1584790088,11,1
1584790929,10,33
1584792609,40,36
1584794530,56,67
1584796210,41,29
1584797289,27,6
1584799818,46,100
1584801012,16,38
1584802215,31,25
1584803409,14,31
1584804490,29,6
1584806558,64,94
1584808089,44,4
1584810617,56,80
1584811691,28,7
1584814449,42,74
1584815709,23,42
1584816839,30,17
1584818074,18,28
1584819731,35,66
1584820568,24,0
1584821648,16,38
1584823334,41,55
1584825010,22,36
1584826089,27,5
1584827710,30,58
1584828849,26,49
1584830111,30,47
1584831767,29,53
1584832450,15,2
1584833710,25,66
1584834910,31,18
1584836108,16,24
1584836891,16,3
1584838209,41,56
1584838831,9,35
1584840014,15,2
1584841330,20,76
1584843313,30,50
1584844459,19,55
1584845768,25,15
1584846911,24,42
1584848414,25,51
1584849369,18,35
1584850512,23,36
1584852131,20,62
1584853818,25,53
1584855016,29,65
1584856267,22,22
1584857656,28,32
1584858489,14,4
1584859809,13,75
1584860939,20,54
1584862182,21,68
1584863709,35,12
1584864909,24,181
1584866109,43,102
1584867371,37,35
1584868809,41,53
1584870014,27,92
1584871809,47,87
1584873909,50,105
1584875649,38,61
1584876491,24,0
1584877329,17,130
1584879248,69,85
1584880930,26,61
1584882105,20,29
1584883214,33,5
1584884532,25,35
1584886116,29,27
1584887657,60,34
1584889474,140,58
1584890052,31,2
1584891309,79,41
1584892491,63,11
1584893710,39,23
1584894912,63,38
1584896174,58,17
1584897310,42,44
1584898811,66,44
1584899769,45,27
1584900909,61,32
1584902409,60,38
1584903369,44,14
1584904453,46,25
1584906008,67,37
1584907714,54,35
1584909011,39,45
1584910209,55,26
1584911409,62,33
1584911649,7,2
1584913074,47,44
1584914171,29,18
1584915250,34,29
1584916089,25,6
1584916933,26,31
1584918399,53,33
1584919692,27,7
1584921309,43,55
1584922510,34,27
1584924008,33,26
1584924971,23,7
1584926109,32,21
1584926889,19,4
1584928569,35,54
1584929713,25,31
1584930909,20,29
1584932169,26,10
1584933249,27,17
1584934089,20,8
1584936851,63,73
1584938411,34,37
1584940218,49,41
1584942141,33,51
1584943809,28,41
1584945732,46,52
1584947409,50,32
1584949329,46,46
1584950693,30,39
1584952091,36,6
1584952929,14,52
1584953769,16,5
1584954849,28,28
1584955692,16,3
1584957312,26,50
1584958510,19,35
1584959289,20,4
1584960609,31,50
1584961817,25,20
