DateTime,Entries,UniqueIPs
1584293288,12209,12209
1584294536,12182,12182
1584295233,12167,12167
1584296409,12191,12191
1584297728,12164,12164
1584299410,12175,12175
1584300610,12160,12160
1584301757,12167,12167
1584303248,12181,12181
1584304088,12256,12256
1584305408,12436,12436
1584306611,12589,12589
1584306847,12624,12624
1584308530,12799,12799
1584309368,12884,12884
1584310509,12943,12943
1584311288,12989,12989
1584312968,13067,13067
1584314108,13128,13128
1584314889,13194,13194
1584315729,13220,13220
1584316569,13265,13265
1584317708,13311,13311
1584318488,13332,13332
1584319329,13334,13334
1584320169,13372,13372
1584322089,13442,13442
1584323412,13474,13474
1584324618,13518,13518
1584325813,13533,13533
1584327311,13586,13586
1584328450,13597,13597
1584330011,13621,13621
1584331812,13640,13640
1584332049,13645,13645
1584332893,13298,13298
1584333990,12997,12997
1584335375,13058,13058
1584336613,13103,13103
1584338172,13160,13160
1584339248,13185,13185
1584342187,13246,13246
1584342850,13273,13273
1584344412,13300,13300
1584346512,13336,13336
1584347710,13360,13360
1584349478,13384,13384
1584350052,13396,13396
1584350890,13412,13412
1584352324,13423,13423
1584353464,13439,13439
1584355332,13439,13439
1584357249,13487,13487
1584358089,13507,13507
1584359770,13528,13528
1584360912,12607,12607
1584362411,12687,12687
1584364450,12764,12764
1584365289,12808,12808
1584366783,12840,12840
1584368110,12902,12902
1584369736,12922,12922
1584370570,12967,12967
1584371712,12993,12993
1584372490,13029,13029
1584373334,13025,13025
1584374658,13062,13062
1584375965,13111,13111
1584376934,13106,13106
1584377770,13133,13133
1584378910,13149,13149
1584380111,13174,13174
1584381298,13217,13217
1584382509,13258,13258
1584384011,13286,13286
1584385459,13315,13315
1584386888,13357,13357
1584388531,13382,13382
1584389710,13404,13404
1584390912,13388,13388
1584392109,13424,13424
1584393249,13455,13455
1584394089,13478,13478
1584394930,13474,13474
1584396848,13517,13517
1584398411,13440,13440
1584400510,13448,13448
1584401288,13471,13471
1584402388,13467,13467
1584403811,13479,13479
1584405012,13475,13475
1584407409,13497,13497
1584409331,13496,13496
1584411250,13535,13535
1584412510,13534,13534
1584414036,13547,13547
1584415692,13593,13593
1584416529,13566,13566
1584418213,13584,13584
1584419288,13596,13596
1584420134,13572,13572
1584421819,13581,13581
1584423731,13561,13561
1584425649,13583,13583
1584427330,13564,13564
1584429248,13575,13575
1584430511,13557,13557
1584431679,13570,13570
1584432909,13557,13557
1584434532,13548,13548
1584435370,13560,13560
1584436510,13552,13552
1584438129,13532,13532
1584439811,13542,13542
1584440973,13540,13540
1584443418,13551,13551
1584445509,13555,13555
1584446434,13547,13547
1584447248,13565,13565
1584448089,13581,13581
1584448930,13527,13527
1584450849,13509,13509
1584452321,13490,13490
1584454449,13502,13502
1584455709,13453,13453
1584456908,13450,13450
1584458049,13423,13423
1584458889,13442,13442
1584459734,13372,13372
1584461411,13344,13344
1584463336,13284,13284
1584465248,13300,13300
1584466660,13380,13380
1584467932,13420,13420
1584468849,13462,13462
1584470027,13492,13492
1584471309,13550,13550
1584472511,13598,13598
1584473710,13597,13597
1584475076,13639,13639
1584476049,13655,13655
1584477611,13686,13686
1584478570,13716,13716
1584479650,13698,13698
1584480911,13686,13686
1584482109,13708,13708
1584483251,13711,13711
1584484089,13736,13736
1584485409,13702,13702
1584486851,13723,13723
1584487689,13758,13758
1584489010,13724,13724
1584490449,13745,13745
1584491288,13771,13771
1584492968,13737,13737
1584494110,13744,13744
1584494889,13756,13756
1584495732,13706,13706
1584497418,13693,13693
1584498488,13725,13725
1584499980,13700,13700
1584501264,13693,13693
1584502509,13684,13684
1584503710,13696,13696
1584504912,13686,13686
1584505693,13703,13703
1584507310,13695,13695
1584508509,13691,13691
1584510134,13685,13685
1584510969,13703,13703
1584512050,13698,13698
1584513311,13687,13687
1584515193,13677,13677
1584515649,13680,13680
1584516909,13646,13646
1584518497,13642,13642
1584519613,13651,13651
1584520813,13639,13639
1584521768,13654,13654
1584522913,13643,13643
1584523689,13654,13654
1584525371,13640,13640
1584526511,13627,13627
1584528012,13611,13611
1584530049,13606,13606
1584531310,13584,13584
1584533001,13568,13568
1584533651,13575,13575
1584535329,13565,13565
1584537249,13568,13568
1584538091,13585,13585
1584539409,13568,13568
1584540618,13561,13561
1584541693,13590,13590
1584544449,13560,13560
1584547479,13530,13530
1584548049,13552,13552
1584549611,13544,13544
1584551650,13572,13572
1584553331,13586,13586
1584554168,13606,13606
1584555249,13604,13604
1584556930,13590,13590
1584558123,13592,13592
1584559691,13634,13634
1584561010,13639,13639
1584562219,13642,13642
1584564132,13640,13640
1584565811,13642,13642
1584566990,13636,13636
1584568241,13647,13647
1584569410,13640,13640
1584570911,13634,13634
1584572590,13626,13626
1584574211,13632,13632
1584574929,13634,13634
1584576347,13633,13633
1584577510,13647,13647
1584578530,13638,13638
1584580452,13650,13650
1584582009,13643,13643
1584583576,13650,13650
1584584710,13664,13664
1584585730,13630,13630
1584587411,13646,13646
1584589331,13650,13650
1584591249,13651,13651
1584592931,13635,13635
1584594619,13641,13641
1584595814,13634,13634
1584598451,13644,13644
1584599289,13659,13659
1584600132,13634,13634
1584600969,13643,13643
1584602051,13632,13632
1584602890,13651,13651
1584603729,13607,13607
1584605649,13613,13613
1584606489,13623,13623
1584608109,13592,13592
1584609249,13557,13557
1584610931,13569,13569
1584611769,13611,13611
1584612911,13637,13637
1584613691,13656,13656
1584614530,13599,13599
1584616218,13607,13607
1584618130,13616,13616
1584618969,13637,13637
1584620110,13630,13630
1584621373,13607,13607
1584622511,13626,13626
1584623711,13622,13622
1584624911,13615,13615
1584626787,13623,13623
1584627925,13647,13647
1584629412,13640,13640
1584630614,13642,13642
1584631812,13644,13644
1584633369,13667,13667
1584634509,13673,13673
1584636130,13657,13657
1584638048,13669,13669
1584639612,13669,13669
1584640884,13651,13651
1584641651,13677,13677
1584643328,13675,13675
1584645248,13704,13704
1584646931,13693,13693
1584648120,13699,13699
1584649809,13696,13696
1584651369,13722,13722
1584652511,13725,13725
1584653289,13742,13742
1584654970,13716,13716
1584656111,13710,13710
1584657309,13692,13692
1584659419,13690,13690
1584660610,13674,13674
1584662169,13688,13688
1584663310,13681,13681
1584664091,13693,13693
1584665481,13680,13680
1584666849,13670,13670
1584668110,13654,13654
1584669310,13668,13668
1584670449,13670,13670
1584672133,13664,13664
1584674051,13672,13672
1584675912,13667,13667
1584677410,13666,13666
1584679330,13666,13666
1584681019,13667,13667
1584682686,13642,13642
1584683814,13633,13633
1584684851,13621,13621
1584685692,13628,13628
1584686539,13606,13606
1584687677,13586,13586
1584688810,13605,13605
1584690610,13585,13585
1584691818,13577,13577
1584693732,13566,13566
1584695649,13566,13566
1584697510,13551,13551
1584699249,13551,13551
1584700931,13535,13535
1584702850,13560,13560
1584703688,13570,13570
1584705421,13548,13548
1584706811,13531,13531
1584707291,13534,13534
1584709281,13471,13471
1584710890,13494,13494
1584711730,13461,13461
1584713418,13468,13468
1584715329,13461,13461
1584716170,13475,13475
1584717309,13467,13467
1584718088,13479,13479
1584718928,13515,13515
1584720850,13657,13657
1584722529,13645,13645
1584723368,13665,13665
1584724511,13676,13676
1584726010,13769,13769
1584727809,13846,13846
1584729730,13912,13912
1584731410,13956,13956
1584733333,13963,13963
1584735017,14000,14000
1584736088,14029,14029
1584738609,13983,13983
1584739810,13992,13992
1584742449,14033,14033
1584744129,14019,14019
1584746048,14025,14025
1584747309,14012,14012
1584748570,14005,14005
1584749711,14012,14012
1584750489,14031,14031
1584751331,13971,13971
1584753249,13960,13960
1584754809,13946,13946
1584756912,13930,13930
1584757690,13938,13938
1584759370,13916,13916
1584760510,13905,13905
1584761289,13906,13906
1584762131,13871,13871
1584762970,13873,13873
1584764051,13864,13864
1584765242,13857,13857
1584766403,13860,13860
1584767710,13724,13724
1584769329,13625,13625
1584770169,13669,13669
1584771248,13657,13657
1584772930,13642,13642
1584774613,13668,13668
1584776529,13682,13682
1584778451,13697,13697
1584780131,13683,13683
1584781812,13691,13691
1584782889,13634,13634
1584784208,13605,13605
1584785648,13599,13599
1584786902,13586,13586
1584788432,13581,13581
1584789538,13617,13617
1584790088,13627,13627
1584790929,13604,13604
1584792609,13608,13608
1584794530,13597,13597
1584796210,13609,13609
1584797289,13630,13630
1584799818,13576,13576
1584801012,13554,13554
1584802215,13560,13560
1584803409,13543,13543
1584804490,13566,13566
1584806558,13536,13536
1584808089,13576,13576
1584810617,13552,13552
1584811691,13573,13573
1584814449,13541,13541
1584815709,13522,13522
1584816839,13535,13535
1584818074,13525,13525
1584819731,13494,13494
1584820568,13518,13518
1584821648,13496,13496
1584823334,13482,13482
1584825010,13468,13468
1584826089,13490,13490
1584827710,13462,13462
1584828849,13439,13439
1584830111,13422,13422
1584831767,13398,13398
1584832450,13411,13411
1584833710,13370,13370
1584834910,13383,13383
1584836108,13375,13375
1584836891,13388,13388
1584838209,13373,13373
1584838831,13347,13347
1584840014,13360,13360
1584841330,13304,13304
1584843313,13284,13284
1584844459,13248,13248
1584845768,13258,13258
1584846911,13240,13240
1584848414,13214,13214
1584849369,13197,13197
1584850512,13184,13184
1584852131,13142,13142
1584853818,13114,13114
1584855016,13078,13078
1584856267,13078,13078
1584857656,13074,13074
1584858489,13084,13084
1584859809,13022,13022
1584860939,12988,12988
1584862182,12941,12941
1584863709,12964,12964
1584864909,12807,12807
1584866109,12748,12748
1584867371,12750,12750
1584868809,12738,12738
1584870014,12673,12673
1584871809,12633,12633
1584873909,12578,12578
1584875649,12555,12555
1584876491,12579,12579
1584877329,12466,12466
1584879248,12450,12450
1584880930,12415,12415
1584882105,12406,12406
1584883214,12434,12434
1584884532,12424,12424
1584886116,12426,12426
1584887657,12452,12452
1584889474,12534,12534
1584890052,12563,12563
1584891309,12601,12601
1584892491,12653,12653
1584893710,12669,12669
1584894912,12694,12694
1584896174,12735,12735
1584897310,12733,12733
1584898811,12755,12755
1584899769,12773,12773
1584900909,12802,12802
1584902409,12824,12824
1584903369,12854,12854
1584904453,12875,12875
1584906008,12905,12905
1584907714,12924,12924
1584909011,12918,12918
1584910209,12947,12947
1584911409,12976,12976
1584911649,12981,12981
1584913074,12984,12984
1584914171,12995,12995
1584915250,13000,13000
1584916089,13019,13019
1584916933,13014,13014
1584918399,13034,13034
1584919692,13054,13054
1584921309,13042,13042
1584922510,13049,13049
1584924008,13056,13056
1584924971,13072,13072
1584926109,13083,13083
1584926889,13098,13098
1584928569,13079,13079
1584929713,13073,13073
1584930909,13064,13064
1584932169,13080,13080
1584933249,13090,13090
1584934089,13102,13102
1584936851,13092,13092
1584938411,13089,13089
1584940218,13097,13097
1584942141,13079,13079
1584943809,13066,13066
1584945732,13060,13060
1584947409,13078,13078
1584949329,13078,13078
1584950693,13069,13069
1584952091,13099,13099
1584952929,13061,13061
1584953769,13072,13072
1584954849,13072,13072
1584955692,13085,13085
1584957312,13061,13061
1584958510,13045,13045
1584959289,13061,13061
1584960609,13042,13042
1584961817,13047,13047
