DateTime,AddedIPs,RemovedIPs
1583741657,2,0
1583743335,1,0
1583744178,1,0
1583745254,1,1
1583747338,1,3
1583748439,1,0
1583749826,1,3
1583751377,0,1
1583752519,0,1
1583753295,1,0
1583754137,2,0
1583756057,3,0
1583756897,1,0
1583757742,1,1
1583760497,3,0
1583763318,0,1
1583764515,0,1
1583765774,1,0
1583766924,0,1
1583768117,1,1
1583772140,1,2
1583777416,4,1
1583778624,1,0
1583780838,1,1
1583782514,2,0
1583783713,1,0
1583784856,0,2
1583787315,0,1
1583788456,0,1
1583790137,2,0
1583791817,1,0
1583793023,4,1
1583795239,1,1
1583796496,3,0
1583798115,1,2
1583799318,2,1
1583800829,2,1
1583803824,2,0
1583805015,1,0
1583806454,1,3
1583808134,1,2
1583810060,4,0
1583811387,0,2
1583817256,2,0
1583818096,1,0
1583818938,0,2
1583820859,0,1
1583822118,2,2
1583823315,0,1
1583824520,1,0
1583825295,0,1
1583829321,1,2
1583830719,0,1
1583833232,0,1
1583834437,0,2
1583835621,1,0
1583836832,1,2
1583838624,0,2
1583840537,14,4
1583842458,3,0
1583844317,3,2
1583847634,0,1
1583849130,1,1
1583850239,1,0
1583853021,3,1
1583855231,1,2
1583857823,1,0
1583861294,1,0
1583863521,2,0
1583865028,1,1
1583867421,6,0
1583868493,2,0
1583870115,2,1
1583872936,1,0
1583874539,0,1
1583875697,2,0
1583876533,0,1
1583878516,1,0
1583884515,1,1
1583889255,0,1
1583890934,1,0
1583892625,1,3
1583894534,1,0
1583896457,1,0
1583898135,1,1
1583900055,3,0
1583900895,1,0
1583902636,3,0
1583904019,0,1
1583908096,1,0
1583909592,0,1
1583916138,0,1
1583916977,1,0
1583919736,1,0
1583923339,1,0
1583925025,1,0
1583928856,0,1
1583930534,0,1
1583941234,1,1
1583943256,0,1
1583945925,0,2
1583948535,2,0
1583950217,1,0
1583951420,0,2
1583953817,1,0
1583955736,1,0
1583957653,1,0
1583961255,0,2
1583964856,1,0
1583966717,1,0
1583968455,5,0
1583979026,0,4
1583982856,3,2
1583984537,0,1
1583986522,0,1
1583988139,0,1
1583990057,1,1
1583990894,1,0
1583991737,0,1
1583993416,0,1
1583994626,0,1
1583996685,0,2
1583998939,0,4
1584003650,2,6
1584008121,1,0
1584009325,2,0
1584009737,0,1
1584015021,0,1
1584020436,0,1
1584022457,0,1
1584023835,1,1
1584026975,1,1
1584031337,1,1
1584033258,1,1
1584034935,0,1
1584036618,1,1
1584038533,0,2
1584039704,1,0
1584040817,1,0
1584042134,1,0
1584044053,0,1
1584046854,0,1
1584052938,0,1
1584054625,1,0
1584056534,1,0
1584062056,0,1
1584063735,1,1
1584065720,0,1
1584067337,1,1
1584068176,5,0
1584069255,1,0
1584070398,0,1
1584076520,0,1
1584078031,1,1
1584079641,0,1
1584083653,0,1
1584085230,1,1
1584092534,1,0
1584095294,1,0
1584101658,0,2
1584103338,0,1
1584111644,0,1
1584114138,0,3
1584125774,1,0
1584129418,1,0
1584138917,3,6
1584140116,2,0
1584142940,0,1
1584144856,1,0
1584147015,0,1
1584148182,0,2
1584150595,1,0
1584152054,0,2
1584153632,1,0
1584155007,0,1
1584157335,2,0
1584159022,0,1
1584160832,0,1
1584162856,1,0
1584164034,0,1
1584171736,0,2
1584173423,0,1
1584174618,0,2
1584176165,1,0
1584177316,1,0
1584180617,0,2
1584182537,1,0
1584186134,1,1
1584186975,1,0
1584188118,0,2
1584191418,0,1
1584193338,0,2
1584196935,1,1
1584198918,0,1
1584200116,0,1
1584201373,2,0
1584204138,0,1
1584213017,0,1
1584215713,1,0
1584216904,0,1
1584225418,2,3
1584228914,0,2
1584230173,1,1
1584232097,1,0
1584232934,0,1
1584234617,2,1
1584238222,0,1
1584239422,0,1
1584240618,1,0
1584241816,0,1
1584242897,1,0
1584245054,3,3
1584246887,0,1
1584249023,0,1
1584250934,0,1
1584251777,1,0
1584252853,0,1
1584256454,2,2
1584257288,1,0
1584261733,2,3
1584262579,1,0
1584263656,1,1
1584268223,0,1
1584270915,0,1
