DateTime,Entries,UniqueIPs
1583920814,18293,19016
1583922732,18295,19018
1583924656,18286,19009
1583926571,18279,19002
1583928490,18289,19013
1583930410,18287,19011
1583932330,18299,19023
1583934275,18282,19008
1583936174,18296,19022
1583938091,18308,19034
1583940009,18288,19014
1583941930,18281,19007
1583943876,18293,19019
1583947686,18294,19019
1583949608,18307,19032
1583953700,18286,19011
1583955650,18273,18997
1583959449,18281,19005
1583961372,18271,18996
1583963289,18285,19010
1583965236,18272,18997
1583967126,18283,19008
1583969050,18284,19009
1583970988,18280,19006
1583972886,18279,19006
1583974806,18290,19018
1583976774,18282,19013
1583978893,18277,19009
1583980811,18274,19007
1583982730,18268,19002
1583986568,18269,19001
1583988489,18269,19000
1583990407,18270,18999
1583992327,18258,18987
1583994248,18263,18994
1583996167,18254,18985
1583998086,18244,18975
1584000010,18244,18975
1584002896,18242,18971
1584006017,18227,18956
1584007933,18219,18949
1584009846,18198,18928
1584011775,18182,18912
1584013717,18175,18904
1584015607,18185,18914
1584017524,18181,18911
1584019466,18172,18904
1584021366,18175,18906
1584023284,18176,18908
1584025226,18172,18904
1584027130,18172,18904
1584029318,18163,18895
1584031208,18141,18873
1584033129,18132,18864
1584035045,18144,18876
1584036998,18142,18875
1584038889,18122,18855
1584040808,18117,18851
1584042725,18108,18842
1584044675,18105,18840
1584046566,18105,18841
1584050434,18103,18838
1584052330,18093,18828
1584054252,18083,18819
1584056168,18078,18813
1584060010,18073,18805
1584061930,18072,18804
1584063850,18071,18802
1584065770,18064,18794
1584067689,18057,18787
1584069606,18054,18785
1584071548,18054,18785
1584073450,18049,18780
1584075364,18041,18772
1584077284,18039,18769
1584079208,18040,18770
1584081156,18031,18761
1584083297,18026,18756
1584085210,18036,18766
1584087136,18029,18757
1584090970,18001,18729
1584092890,18004,18734
1584094806,17992,18721
1584098646,17965,18694
1584100566,17944,18671
1584102485,17930,18657
1584104408,17925,18651
1584106331,17914,18641
1584108249,17911,18639
1584110167,17900,18628
1584112106,17895,18623
1584114015,17894,18622
1584115934,17897,18625
1584117852,17898,18625
1584119773,17873,18602
1584121694,17875,18604
1584123605,17861,18589
1584125528,17869,18598
1584127450,17849,18578
1584129367,17834,18563
