DateTime,AddedIPs,RemovedIPs
1583920814,13,10
1583922732,10,14
1583924656,5,8
1583926571,19,0
1583928490,13,18
1583930410,19,0
1583932330,16,20
1583934275,23,6
1583936174,18,17
1583938091,13,10
1583940009,19,0
1583941930,12,9
1583943876,18,9
1583947686,24,9
1583949608,18,11
1583953700,12,25
1583955650,18,16
1583959449,21,19
1583961372,24,18
1583963289,20,28
1583965236,17,16
1583967126,14,19
1583969050,23,19
1583970988,18,22
1583972886,20,19
1583974806,16,18
1583976774,15,0
1583978893,13,17
1583980811,12,16
1583982730,11,23
1583986568,21,22
1583988489,25,14
1583990407,21,16
1583992327,11,19
1583994248,24,13
1583996167,11,18
1583998086,17,24
1584000010,11,14
1584002896,12,35
1584006017,11,6
1584007933,13,6
1584009846,6,9
1584011775,10,9
1584013717,11,9
1584015607,22,16
1584017524,10,19
1584019466,13,10
1584021366,18,9
1584023284,16,12
1584025226,13,20
1584027130,14,14
1584029318,10,8
1584031208,6,17
1584033129,14,16
1584035045,20,10
1584036998,21,26
1584038889,16,17
1584040808,15,17
1584042725,14,16
1584044675,12,13
1584046566,10,15
1584050434,20,18
1584052330,15,8
1584054252,9,8
1584056168,20,0
1584060010,22,29
1584061930,20,23
1584063850,16,20
1584065770,15,19
1584067689,11,16
1584069606,20,18
1584071548,20,16
1584073450,14,18
1584075364,12,15
1584077284,11,14
1584079208,14,14
1584081156,13,20
1584083297,11,17
1584085210,10,15
1584087136,16,0
1584090970,8,42
1584092890,11,7
1584094806,3,10
1584098646,14,15
1584100566,3,9
1584102485,16,8
1584104408,19,18
1584106331,11,5
1584108249,17,19
1584110167,12,8
1584112106,10,9
1584114015,7,0
1584115934,19,0
1584117852,17,9
1584119773,13,5
1584121694,15,12
1584123605,23,13
1584125528,10,15
1584127450,14,17
1584129367,13,17
1584133211,15,22
1584135139,13,16
1584137322,13,25
1584139209,10,16
1584143050,19,38
1584144972,15,18
1584146890,16,0
1584148812,20,51
1584150726,11,0
1584152648,17,35
1584154567,18,0
1584156484,14,22
1584158411,11,15
1584160329,21,18
1584162495,18,16
1584164412,8,40
1584166331,22,0
1584168261,18,35
1584170170,15,0
1584172120,10,30
1584174008,15,0
1584175929,14,13
1584177846,5,18
1584179769,8,18
1584181685,10,0
1584183617,13,14
1584185528,12,0
1584187703,17,25
1584189612,13,15
1584191535,11,22
1584193451,13,6
1584197531,13,27
1584199446,17,6
1584201366,8,2
1584203287,8,27
1584205225,7,13
1584207130,10,17
1584209060,12,14
1584210969,10,10
1584212888,8,17
1584214808,11,0
1584216730,9,15
1584218647,10,0
1584220680,14,24
1584222484,16,0
1584224406,13,10
1584226355,13,30
1584228248,27,0
1584230164,12,12
1584232085,17,19
1584234012,19,17
1584235930,17,0
1584238097,10,23
1584240008,12,9
1584241938,18,27
1584243852,10,0
1584245771,14,22
1584247695,20,22
1584249607,15,0
1584251526,16,11
1584253446,9,9
1584255371,13,20
1584257306,17,29
1584259213,8,0
1584261150,9,32
1584263051,12,0
1584264968,6,0
1584266906,7,26
1584268809,10,0
1584270735,13,21
1584272669,15,26
1584274582,4,0
1584276513,13,29
1584278429,19,0
1584280325,11,21
1584282246,10,16
1584284181,10,14
1584286087,9,0
1584288008,7,12
1584289950,23,32
1584291853,18,0
1584294015,23,45
1584295934,10,0
1584297863,16,14
1584299773,17,17
1584301691,12,10
1584303623,9,12
1584305524,10,12
1584307463,17,14
1584309364,10,12
1584311287,14,14
1584313229,9,8
1584315131,12,17
1584317313,16,9
1584323065,18,34
1584324969,13,17
1584326906,14,0
1584328804,11,14
1584330725,18,13
1584332666,9,11
1584334566,8,15
1584336487,12,14
1584338413,19,9
1584341292,11,25
1584343223,7,14
