DateTime,AddedIPs,RemovedIPs
1579530232,6,3
1579541184,3,1
1579552015,2,2
1579562829,2,4
1579573907,4,5
1579584629,1,0
1579595189,2,1
1579606217,4,2
1579617278,3,0
1579628205,4,3
1579639058,5,4
1579649468,2,1
1579660295,3,3
1579671034,2,1
1579682042,2,0
1579692800,1,0
1579703864,1,1
1579714730,2,2
1579725826,4,2
1579736458,1,1
1579746723,1,0
1579757614,2,1
1579768238,1,1
1579778479,0,1
1579789283,3,1
1579810286,1,2
1579821483,9,2
1579832071,3,1
1579842934,3,2
1579852993,0,1
1579864004,2,3
1579875072,2,3
1579886057,2,3
1579897293,2,3
1579908219,5,3
1579919287,1,3
1579929395,2,3
1579939451,4,2
1579950339,3,4
1579961202,2,3
1579972140,1,1
1579982595,1,3
1579993530,2,5
1580003971,3,2
1580014950,0,1
1580026053,2,4
1580035084,1,0
1580045916,2,1
1580056424,2,3
1580066947,2,0
1580077450,4,2
1580088305,1,3
1580099110,1,2
1580109910,1,0
1580120489,3,2
1580131137,4,1
1580141148,0,1
1580151403,2,2
1580162422,3,1
1580172963,2,1
1580183748,3,1
1580194221,4,0
1580204729,1,3
1580215317,2,4
1580225950,0,1
1580236941,5,3
1580247805,2,1
1580258645,2,2
1580269205,3,3
1580279140,1,0
1580289798,3,2
1580300767,3,0
1580311860,3,2
1580322886,1,1
1580333156,1,3
1580343737,4,3
1580354802,1,1
1580365572,2,1
1580376687,2,2
1580387702,3,0
1580398642,1,1
1580409610,4,0
1580420464,0,1
1580430640,0,1
1580441066,1,3
1580452047,3,0
1580462618,0,1
1580471398,1,3
1580482300,2,1
1580492599,5,0
1580502744,4,2
1580512923,1,1
1580523060,6,1
1580534014,1,1
1580544135,3,0
1580555121,2,1
1580565552,4,4
1580576576,4,3
1580587105,4,1
1580598024,2,1
1580608859,0,2
1580618657,0,1
1580629652,2,0
1580640382,2,0
1580651032,3,1
1580661969,3,7
1580673065,1,6
1580684002,3,8
1580694409,5,10
1580705517,8,3
1580715981,8,6
1580727084,3,5
1580738048,4,1
1580748214,2,9
1580759222,9,4
1580770100,4,1
1580779951,6,3
1580790906,7,7
1580801859,5,0
1580811547,2,1
1580822120,14,2
1580832289,3,3
1580843229,1,4
1580854132,9,1
1580865106,9,4
1580876126,11,3
1580886914,5,4
1580897571,3,1
1580908337,3,2
1580919313,3,1
1580930082,8,1
1580940966,6,3
1580951966,6,6
1580962758,4,1
1580973798,1,3
1580984832,1,4
1580996065,1,4
1581007069,3,2
1581017835,4,2
1581028771,4,1
1581039768,3,2
1581050798,3,0
1581061833,0,2
1581072953,2,4
1581083957,5,3
1581095260,5,5
1581106025,1,4
1581117091,3,3
1581128159,1,10
1581138555,2,5
1581149513,0,4
1581160184,1,0
1581171052,2,3
1581180840,4,4
1581191118,0,1
1581201858,3,3
1581212682,2,3
1581223671,3,0
1581234677,2,6
1581245630,3,4
1581256552,0,3
1581267552,2,1
1581278701,12,3
1581289718,3,3
1581300628,4,6
1581311743,0,4
1581322725,1,3
1581333810,0,1
1581344754,2,1
1581354602,1,0
1581365433,5,4
1581376223,1,4
1581386801,0,4
1581397818,2,2
1581408036,1,4
1581418015,2,2
1581429106,4,2
1581440100,7,3
1581451115,2,3
1581462470,3,7
1581472832,2,2
1581483508,2,2
1581493528,2,7
1581504401,3,6
1581515492,0,3
1581525572,1,3
1581536477,2,7
1581547117,1,2
1581558101,1,2
1581568797,3,3
1581579796,0,7
1581590377,1,2
1581601044,5,4
1581611672,4,1
1581622718,0,2
1581633834,8,4
1581644475,2,1
