DateTime,AddedIPs,RemovedIPs
1578719041,1386,1386
1578729841,1178,1178
1578740641,874,874
1578751441,801,801
1578762241,705,705
1578773041,1299,1299
1578783841,1784,1784
1578794641,3029,3029
1578805441,1064,1064
1578816241,880,880
1578827041,784,784
1578837841,749,749
1578848641,875,875
1578859441,865,865
1578870241,1480,1480
1578881041,2902,2902
1578891841,1315,1315
1578902641,1208,1208
1578913441,1090,1090
1578924241,1089,1089
1578935041,1348,1348
1578945841,2099,2099
1578956641,2642,2642
1578967441,3607,3607
1578978241,1462,1462
1578989041,1321,1321
1578999841,1249,1249
1579010641,1144,1144
1579021441,1876,1876
1579032241,2324,2324
1579043041,3083,3083
1579053841,3999,3999
1579064641,1622,1622
1579075441,1445,1445
1579086241,1409,1409
1579097041,1460,1460
1579107841,2302,2302
1579118641,2900,2900
1579129441,3354,3354
1579140241,4382,4382
1579151041,1661,1661
1579161842,1459,1459
1579172641,1429,1429
1579183441,1585,1585
1579194241,2437,2437
1579205041,3076,3076
1579215841,3264,3264
1579226641,4321,4321
1579237441,1765,1765
1579248241,1582,1582
1579259041,1510,1510
1579269841,1915,1915
1579280641,2709,2709
1579291441,3391,3391
1579302241,3940,3940
1579313041,4793,4793
1579323841,1942,1942
1579334641,1728,1728
1579345441,1588,1588
1579356241,2375,2375
1579367041,3169,3169
1579377841,3790,3790
1579388641,4219,4219
1579399441,5059,5059
1579410241,1956,1956
1579421041,1932,1932
1579431841,1671,1671
1579442641,2564,2564
1579453441,3340,3340
1579464241,3996,3996
1579475041,4468,4468
1579485841,5213,5213
1579496641,1870,1870
1579507441,1807,1807
1579518241,1710,1710
1579529041,2547,2547
1579539841,3362,3362
1579550641,3982,3982
1579561441,4421,4421
1579583041,5281,5281
1579593841,1691,1691
1579604641,1475,1475
1579615441,1781,1781
1579637041,3491,3491
1579647841,3907,3907
1579658641,4804,4804
1579669441,1700,1700
1579680241,1520,1520
1579691041,1377,1377
1579701841,1707,1707
1579712641,2555,2555
1579723441,2978,2978
1579734241,3738,3738
1579745041,4647,4647
1579755841,1609,1609
1579766641,1571,1571
1579777441,1443,1443
1579788241,1642,1642
1579799041,2422,2422
1579809841,3099,3099
1579820641,3739,3739
1579831441,4782,4782
1579842242,1548,1548
1579853041,1462,1462
1580083441,6481,6481
1580094241,4756,4756
1580105041,1555,1555
1580115841,1522,1522
1580126641,1336,1336
1580137441,1873,1873
1580169841,3616,3616
1580180641,4417,4417
1580191441,1471,1471
1580202241,1380,1380
1580213041,1287,1287
1580223841,1692,1692
1580234641,2459,2459
1580245441,2994,2994
1580256241,3423,3423
1580267041,4494,4494
1580277841,1406,1406
1580288641,1314,1314
1580299441,1160,1160
1580310241,1234,1234
1580321041,2066,2066
1580331841,2670,2670
1580342641,3193,3193
1580353441,4303,4303
1580364241,1572,1572
1580375041,1386,1386
1580385841,1315,1315
1580396641,1658,1658
1580407441,2366,2366
1580418241,2931,2931
1580429041,3379,3379
1580439841,4329,4329
1580450641,1561,1561
1580461441,1359,1359
1580472241,1233,1233
1580483041,1648,1648
1580493841,2366,2366
1580504642,2934,2934
1580515441,3444,3444
1580526241,4492,4492
1580537041,1615,1615
1580547841,1472,1472
1580558641,1200,1200
1580569441,1920,1920
1580580241,2609,2609
1580591041,3059,3059
1580601841,3503,3503
1580612641,4233,4233
1580623441,1281,1281
1580634241,1197,1197
1580645041,1152,1152
1580655841,1327,1327
1580666641,2092,2092
1580677441,2537,2537
1580688241,2938,2938
1580699041,3809,3809
1580709841,1301,1301
1580720641,1179,1179
1580731441,1060,1060
1580742241,936,936
1580753041,1660,1660
1580763841,2204,2204
1580774641,2595,2595
1580785441,3908,3908
1580796241,1237,1237
1580807041,1042,1042
1580817841,924,924
1580828641,851,851
1580839441,1163,1163
1580850241,1825,1825
1580861041,2372,2372
1580871841,3702,3702
1580882641,1234,1234
1580893441,1035,1035
1580904241,972,972
1580915041,892,892
1580925841,1425,1425
1580936641,1900,1900
1580947441,2399,2399
1580958241,3583,3583
1580969041,1108,1108
1580979841,984,984
1580990641,854,854
1581001441,812,812
1581012241,787,787
1581023041,1319,1319
1581033841,1878,1878
1581044641,3366,3366
1581055441,1156,1156
1581066241,915,915
1581077041,903,903
1581087841,872,872
1581098641,944,944
1581109441,1510,1510
1581120241,1995,1995
1581131041,3343,3343
1581141841,1190,1190
1581152641,1067,1067
1581163441,965,965
1581174241,946,946
1581185041,1208,1208
1581195841,1808,1808
1581206641,2293,2293
1581217441,3638,3638
1581228241,1436,1436
1581239041,1493,1493
1581249841,1312,1312
1581260641,1704,1704
1581271441,2543,2543
1581282241,3161,3161
1581293041,3593,3593
1581303841,4507,4507
1581314641,1664,1664
1581325441,1434,1434
1581336241,1319,1319
1581347041,2156,2156
1581357841,2864,2864
1581368641,3542,3542
1581379441,3934,3934
1581390241,4609,4609
1581401041,1685,1685
1581411841,1445,1445
1581422641,1334,1334
1581433441,2184,2184
1581444241,2867,2867
1581455041,3399,3399
1581465841,3834,3834
1581476641,4415,4415
1581487441,1721,1721
1581498241,1656,1656
1581509041,676,676
1581519841,1172,1172
1581530641,3287,3287
1581541441,3989,3989
1581552241,4335,4335
1581563041,5022,5022
1581573841,2051,2051
1581584641,1827,1827
1581595441,2286,2286
1581606241,3179,3179
1581617041,3864,3864
1581627841,4465,4465
1581638641,4926,4926
1581649441,5554,5554
1581660241,2717,2717
1581671041,2160,2160
1581681841,3310,3310
1581692641,4163,4163
1581703441,4747,4747
1581714241,5278,5278
1581725041,5648,5648
1581735841,5973,5973
