DateTime,AddedIPs,RemovedIPs
1583042787,5,2
1583046393,2,0
1583049991,1,1
1583053589,3,2
1583057195,4,0
1583064393,0,1
1583067996,4,1
1583071598,2,2
1583075192,0,1
1583078798,4,1
1583082398,2,0
1583085996,0,3
1583089596,2,1
1583093195,2,2
1583096797,4,1
1583100393,2,6
1583103991,0,4
1583107586,1,4
1583111185,1,0
1583114781,1,21
1583118382,1,0
1583121982,0,1
1583125592,20,0
1583129193,1,0
1583132796,2,2
1583139993,0,1
1583143596,1,1
1583150790,0,2
1583154389,0,1
1583158013,16,0
1583161638,26,0
1583168835,1,1
1583176038,1,2
1583179636,0,3
1583183234,1,1
1583186837,1,0
1583190436,0,2
1583194036,3,0
1583197639,5,1
1583201230,1,24
1583204828,3,1
1583208428,0,1
1583212027,1,1
1583215627,0,3
1583219221,1,10
1583222833,24,0
1583226433,3,2
1583230034,1,3
1583233631,0,3
1583237224,0,24
1583240815,0,17
1583244424,19,1
1583248026,6,0
1583251626,1,0
1583255224,0,1
1583258825,1,1
1583262427,4,3
1583266029,4,0
1583269625,1,5
1583273226,0,2
1583276828,3,1
1583280425,1,2
1583284025,1,3
1583287626,1,3
1583291221,0,1
1583294824,1,1
1583298423,0,4
1583302021,0,2
1583305621,3,1
1583309233,20,0
1583312830,2,1
1583316427,0,4
1583323630,5,3
1583327226,1,2
1583330819,1,21
1583338020,1,0
1583341618,3,1
1583345215,0,3
1583348832,12,1
1583352429,4,1
1583356027,0,1
1583359624,0,2
1583363228,3,1
1583366823,2,1
1583370423,0,1
1583374026,3,1
1583377627,3,1
1583381231,3,2
1583384834,6,2
1583392040,4,1
1583395640,1,0
1583399244,4,0
1583402857,23,0
1583406460,1,0
1583410060,2,0
1583413662,1,0
1583417260,1,2
1583420849,1,21
1583424451,6,1
1583428058,5,0
1583431657,3,3
1583435256,0,3
1583438847,1,6
1583442445,1,3
1583446047,4,6
1583449647,2,4
1583453244,4,3
1583456839,0,3
1583460447,5,1
1583464050,2,2
1583467646,1,1
1583471251,3,1
1583474851,4,0
1583478456,6,0
1583482060,3,0
1583485659,4,1
1583489270,23,1
1583492870,0,3
1583496471,2,0
1583500071,0,2
1583503673,1,5
1583507270,1,5
1583510870,2,0
1583514467,0,2
1583518073,4,1
1583521674,1,1
1583525277,3,1
1583528876,1,1
1583532476,1,3
1583536079,3,2
1583539676,2,3
1583543278,1,1
1583546875,0,1
1583550481,4,2
1583554072,1,27
1583557670,0,2
1583561272,5,3
1583564877,3,0
1583568475,3,2
1583572079,2,1
1583575696,26,1
1583579296,3,0
1583582898,1,1
1583586500,4,0
1583590099,0,1
1583593702,2,1
1583597305,2,2
1583600907,2,0
1583604511,2,0
1583608114,1,1
1583611712,2,1
1583618913,0,1
1583622510,0,1
1583626115,4,0
1583629714,1,0
1583633315,1,0
1583636917,3,4
1583640524,5,1
1583644115,5,22
1583647715,3,2
1583651317,2,1
1583654920,5,1
1583658522,3,1
1583662121,0,3
1583665723,3,0
1583672923,3,2
1583676542,23,2
1583680144,2,0
1583683742,0,2
1583687334,0,7
1583690930,0,3
1583694528,2,4
1583698121,2,6
1583701721,0,1
1583705316,0,3
1583708913,1,1
1583712515,1,1
1583719716,1,1
1583723319,1,0
1583730504,0,23
1583734106,1,1
1583737705,0,2
1583741302,0,1
1583744899,0,1
1583752104,3,1
1583755703,1,0
