DateTime,AddedIPs,RemovedIPs
1582772677,0,1
1582776281,2,1
1582783478,0,1
1582787081,0,1
1582797880,1,0
1582808679,0,1
1582812271,0,21
1582815878,18,0
1582823080,0,1
1582826681,1,0
1582830284,3,0
1582833883,1,0
1582837485,1,0
1582841089,3,0
1582844688,1,1
1582848288,2,1
1582851888,1,4
1582855483,0,5
1582859080,2,10
1582862677,0,6
1582866267,1,14
1582869860,0,11
1582873461,1,6
1582877059,1,6
1582880659,2,3
1582887858,1,1
1582891457,0,1
1582895057,1,2
1582898651,2,16
1582902250,2,2
1582905854,2,0
1582909451,1,2
1582913050,0,1
1582916648,1,2
1582920250,1,0
1582923851,1,0
1582927449,1,0
1582931050,1,1
1582934649,2,1
1582938245,0,3
1582941845,1,2
1582945443,2,3
1582949055,22,2
1582952656,3,1
1582956253,3,1
1582959853,0,2
1582963453,1,3
1582967056,3,0
1582970653,0,2
1582974253,1,0
1582977848,1,4
1582981446,1,1
1582985047,1,1
1582988647,0,1
1582992247,1,2
1582995845,2,1
1583003044,1,3
1583006645,1,1
1583013839,0,3
1583021040,2,0
1583024638,1,2
1583028233,1,21
1583031831,1,1
1583035433,1,0
1583039047,24,0
1583042647,1,1
1583046249,1,0
1583049849,1,0
1583053452,2,0
1583064250,0,1
1583067849,1,1
1583071452,2,0
1583078652,1,0
1583082254,1,0
1583093052,0,1
1583096654,3,0
1583100254,1,1
1583103854,0,1
1583107453,1,3
1583111053,1,0
1583114646,0,21
1583125456,20,0
1583129055,1,0
1583132658,1,0
1583143465,1,1
1583150657,0,1
1583157879,16,0
1583161504,26,0
1583175905,1,1
1583179505,0,1
1583183104,1,1
1583190303,0,1
1583193904,2,0
1583197505,1,0
1583201097,1,23
1583204695,2,1
1583208295,0,1
1583211893,0,1
1583219089,1,4
1583222700,23,0
1583226302,3,0
1583229904,1,2
1583237097,0,23
1583240688,0,15
1583244296,19,1
1583247896,4,1
1583251498,1,0
1583255096,0,1
1583262298,4,2
1583265899,1,0
1583269497,1,3
1583276699,1,1
1583280296,0,2
1583283896,1,2
1583287493,0,3
1583294695,1,0
1583298296,0,2
1583305494,1,0
1583309104,20,0
1583312704,2,0
1583316302,0,3
1583319902,1,0
1583323501,3,0
1583327102,1,1
1583330693,0,20
1583337891,1,1
1583341491,2,0
1583345088,0,3
1583348700,11,1
1583352298,4,0
1583355899,0,1
1583359497,0,1
1583363100,3,0
1583366697,2,0
1583370298,0,1
1583373899,2,1
1583377501,1,0
1583381098,1,2
1583384697,1,1
1583399098,1,0
1583402708,22,0
1583409909,1,0
1583413514,1,0
1583417111,1,1
1583420702,1,21
1583424303,6,1
1583427907,2,0
1583431507,1,1
1583435107,0,2
1583438704,1,2
1583442306,1,1
1583445909,3,2
1583449509,0,2
1583453106,0,1
1583456705,0,2
1583460306,1,1
1583463909,0,2
1583471107,1,0
1583474708,2,0
1583478309,4,0
1583481912,2,0
1583485515,5,1
1583489123,23,0
1583492724,0,2
1583496324,2,0
1583499923,0,2
1583503522,0,4
1583507123,1,4
1583510722,2,0
1583514322,0,1
1583517927,3,1
1583521528,1,0
1583525128,2,1
