DateTime,AddedIPs,RemovedIPs
1577127808,1,0
1577138647,0,1
1577149287,0,1
1577156603,0,1
1577163690,0,2
1577174609,0,1
1577221282,1,0
1577257283,1,0
1577293294,1,0
1577343686,0,1
1577372580,0,1
1577437289,1,1
1577444612,0,1
1577451691,1,0
1577469810,1,1
1577476882,0,1
1577480613,0,1
1577494885,1,1
1577498723,1,0
1577502087,2,0
1577513052,1,0
1577527442,0,1
1577559692,1,0
1577566891,1,1
1577584962,0,1
1577592090,1,0
1577606593,0,1
1577620895,0,1
1577653287,1,0
1577657062,4,0
1577671441,1,1
1577674895,1,0
1577685844,1,0
1577696619,0,2
1577732616,0,1
1577736104,1,0
1577743448,1,0
1577747010,0,1
1577822490,1,0
1577829863,1,1
1577847817,0,1
1577851286,2,0
1577854893,1,0
1577865689,1,0
1577883691,1,0
1577898087,0,1
1577905415,1,0
1577945056,1,0
1577948617,0,1
1577955686,0,1
1577959452,0,1
1577984486,1,0
1578013292,0,1
1578017020,0,1
1578031439,1,0
1578056485,0,1
1578078216,1,0
1578103390,0,1
1578107021,1,0
1578114090,1,0
1578117833,0,2
1578146635,1,0
1578171678,0,1
1578179027,0,1
1578200482,0,1
1578207818,0,1
1578211285,0,1
1578218635,0,1
1578243680,0,1
1578247412,0,1
1578258077,0,1
1578261829,1,0
1578276230,0,2
1578297669,0,1
1578340885,1,0
1578430872,0,1
1578445276,0,1
1578449030,0,1
1578463425,1,0
1578477792,1,0
1578495672,0,1
1578524481,0,1
1578531668,0,1
1578535436,0,1
1578682872,0,1
1578700869,1,0
1578736868,1,0
1578744322,0,1
1578754869,1,0
1578765672,0,2
1578801668,0,1
1578808877,1,0
1578866481,1,0
1578873679,1,0
1578877281,0,1
1578880886,1,0
1578884477,0,1
1578891672,0,1
1578906292,1,0
1578909675,2,0
1578927681,0,1
1578934878,1,0
1578938474,0,1
1578945672,0,1
1578956482,2,0
1578981823,1,0
1578985281,4,0
1578992482,1,0
1578999815,2,0
1579003288,1,0
1579006890,1,0
1579028493,1,0
1579035825,1,0
1579093297,1,0
1579104260,0,1
1579129286,1,0
1579143818,0,1
1579172483,0,1
1579186889,1,1
1579190480,0,1
1579194257,1,0
1579244486,1,0
1579262480,0,2
1579280481,0,1
1579287820,0,1
1579305814,1,0
1579316483,1,1
1579323815,0,1
1579341816,0,1
1579348874,0,1
1579366880,2,0
1579388479,0,1
1579402876,0,1
1579410249,1,0
1579413813,1,0
1579442482,0,1
1579449804,0,1
1579453278,0,1
1579456880,3,0
1579471283,0,1
1579478480,1,0
1579492890,1,0
1579507279,0,1
1579536245,1,0
1579543291,1,0
1579550492,1,0
1579554241,1,1
1579557820,1,3
1579568496,1,0
1579575849,1,0
1579586486,1,0
1579597287,0,2
1579611800,0,1
1579629794,1,0
1579633288,1,0
1579636891,1,0
1579640498,2,0
1579644259,0,1
1579647797,1,0
1579654887,0,1
1579658487,1,0
1579662264,0,1
1579690888,1,0
