DateTime,AddedIPs,RemovedIPs
1576293456,229,223
1576311517,458,209
1576329756,548,241
1576347736,253,260
1576365701,208,269
1576383622,214,310
1576401578,212,337
1576419359,201,322
1576437282,196,318
1576455248,249,344
1576473486,213,323
1576491067,212,375
1576508919,227,362
1576526785,216,394
1576544787,276,319
1576562936,277,256
1576580824,297,264
1576598786,220,307
1576616815,264,273
1576634960,235,262
1576652792,220,278
1576670640,185,311
1576688710,344,284
1576706539,259,628
1576724423,350,324
1576742440,311,269
1576760443,277,259
1576778521,296,343
1576796323,244,349
1576814296,190,265
1576833382,185,208
1576850479,287,231
1576868506,539,340
1576886432,203,283
1576904417,213,230
1576922361,196,447
1576939973,194,540
1576954360,190,193
1576968710,154,194
1576983138,146,138
1576997656,273,140
1577012067,176,161
1577026456,181,186
1577040816,158,197
1577055238,195,172
1577069647,188,215
1577084020,161,198
1577098383,171,217
1577112716,134,215
1577127082,161,209
1577141386,147,229
1577156120,665,195
1577170768,511,177
1577188953,509,266
1577207064,370,231
1577225396,523,262
1577243300,312,271
1577261331,343,256
1577279324,255,242
1577297345,309,444
1577315365,352,224
1577333331,261,377
1577351220,223,358
1577369294,273,340
1577387215,307,248
1577405230,279,264
1577423288,259,180
1577441387,209,214
1577459108,287,485
1577476976,301,471
1577495142,307,187
1577513210,189,251
1577531150,244,192
1577549172,230,239
1577567177,219,227
1577585345,231,190
1577603093,194,351
1577621058,249,289
1577639025,192,222
1577657164,231,263
1577674974,197,237
1577692892,252,303
1577710739,188,354
1577728700,179,386
1577746503,364,512
1577760818,142,227
1577775107,111,252
1577789426,133,250
1577803736,134,230
1577818123,220,275
1577832451,188,266
1577846804,158,222
1577861104,145,258
1577875506,175,193
1577889908,197,198
1577904310,190,196
1577918665,222,278
1577933146,362,232
1577947753,460,189
1577962245,277,192
1577976598,199,265
1577990944,204,268
1578005338,205,230
1578019746,175,181
1578034092,184,235
1578048475,163,188
1578062787,153,268
1578077183,304,265
1578091571,287,260
1578105926,255,247
1578120358,202,143
1578134761,205,181
1578149168,193,181
1578163657,262,191
1578178092,203,175
1578192673,320,171
1578207119,247,175
1578221528,185,164
1578235953,199,148
1578250390,204,180
1578264782,162,190
1578279197,185,159
1578293598,178,169
1578308035,190,194
1578322431,171,176
1578336857,193,156
1578351222,258,289
1578365854,418,160
1578380450,383,124
1578398673,330,162
1578416756,356,248
1578434909,307,256
1578452946,335,179
1578471012,300,187
1578489040,311,230
1578507259,396,238
1578525240,466,307
1578543335,385,296
1578561372,322,275
1578579585,291,210
1578597650,328,234
1578615755,374,238
1578633892,322,146
1578651976,322,217
1578670053,272,170
1578688167,323,245
1578706248,369,313
1578724452,340,178
1578742473,270,219
1578760516,282,230
1578778501,276,266
1578796539,366,275
1578814517,241,232
1578832576,346,233
1578850681,375,214
1578868872,456,223
1578887201,597,258
1578905361,514,246
1578923497,494,249
1578941625,423,233
1578959742,416,235
1578977903,441,290
1578999277,451,452
1579017325,344,265
1579035319,329,296
1579053421,367,256
1579071400,290,314
1579089375,297,280
1579107356,270,318
1579125321,365,400
1579143218,268,421
1579161131,275,339
1579179147,382,329
1579197194,334,302
1579215103,301,377
1579233172,361,277
1579251142,320,344
1579268999,282,376
1579286889,259,367
1579304935,383,309
1579322853,261,353
1579340795,259,263
1579358795,262,281
1579376679,252,320
1579394658,271,304
1579412674,292,324
1579430689,350,304
1579448617,218,315
1579466474,222,387
1579484551,511,453
1579502477,368,431
1579520368,395,450
1579538250,323,444
1579556200,292,390
1579574169,286,376
1579592145,295,369
1579610070,283,338
1579628078,312,311
1579646079,355,376
1579664094,314,316
1579682162,395,307
1579700183,337,316
1579718277,502,305
1579736268,327,318
1579754358,331,273
1579772318,299,330
1579790200,277,336
1579808158,324,318
1579826170,310,272
1579844203,284,271
1579862168,322,293
1579880160,254,265
1579898220,311,247
1579916231,311,297
1579934267,292,220
1579952253,251,304
1579970240,255,273
1579988246,299,293
1580006223,237,277
1580024105,245,362
1580041935,212,415
1580059857,224,372
1580077911,392,324
1580096056,523,343
1580114016,361,337
1580132201,337,361
1580150071,346,304
1580167972,281,315
1580185982,235,252
1580203901,241,339
1580221829,224,306
1580239713,239,334
1580257657,222,289
