DateTime,AddedIPs,RemovedIPs
1582882269,78,51
1582884088,59,61
1582889477,41,51
1582893102,60,43
1582898483,76,78
1582903879,68,53
1582907469,56,52
1582909268,76,56
1582914671,73,75
1582918276,72,62
1582921889,58,59
1582925501,60,63
1582930982,60,88
1582932670,41,98
1582936283,57,64
1582939909,82,68
1582943470,31,67
1582947069,90,74
1582950669,84,83
1582957893,106,101
1582959666,54,73
1582961498,110,84
1582966914,97,65
1582972265,69,62
1582975865,74,46
1582979474,78,55
1582984875,64,57
1582986663,48,61
1582990278,81,63
1582993870,65,53
1582997469,69,62
1583001094,71,69
1583002877,324,476
1583006470,468,328
1583008302,70,67
1583011887,55,78
1583015479,57,70
1583019068,43,79
1583024496,97,88
1583028100,97,72
1583029874,48,72
1583033488,72,69
1583037085,83,106
1583042478,48,70
1583044265,83,59
1583047873,48,35
1583049669,58,40
1583056894,77,57
1583058670,70,49
1583062280,66,50
1583064099,81,53
1583069477,64,63
1583073089,63,55
1583074871,55,63
1583076680,105,81
1583082110,83,72
1583083870,71,64
1583089282,76,64
1583091064,78,70
1583094672,65,82
1583096503,73,89
1583101867,67,82
1583107284,52,96
1583109068,67,102
1583114470,53,68
1583118074,48,65
1583119872,62,73
1583123476,86,92
1583127104,53,55
1583130693,79,59
1583134293,51,63
1583139758,76,51
1583141474,74,34
1583145065,48,57
1583148674,58,47
1583152288,54,57
1583155903,59,57
1583159466,87,38
1583161309,57,55
1583164872,73,68
1583168476,57,65
1583172077,87,56
1583177507,81,80
1583179265,70,66
1583184707,66,79
1583188276,65,95
1583191889,46,92
1583195468,54,85
1583199070,57,64
1583204482,53,52
1583208171,70,70
1583210129,72,104
1583213471,52,53
1583217092,64,55
1583222472,58,42
1583224270,75,43
1583229708,72,47
1583231480,48,58
1583235072,59,58
1583238677,58,45
1583244114,62,67
1583247716,63,50
1583251273,61,55
1583254869,116,89
1583260268,74,47
1583263865,72,58
1583269280,75,69
1583271083,74,77
1583276499,57,99
1583278279,57,95
1583283673,84,90
1583287279,46,68
1583289065,49,51
1583292668,65,70
1583296271,89,83
1583298071,70,81
1583303480,74,59
1583307075,65,48
1583312472,65,51
1583314269,59,51
1583317869,49,56
1583321572,56,54
1583325072,61,51
1583330470,65,53
1583332278,77,57
1583335877,63,57
1583341279,55,52
1583343103,65,62
1583346686,76,55
1583350268,89,57
1583353863,59,67
1583357472,69,104
1583361067,60,86
1583364703,77,81
1583368272,56,116
1583370070,84,58
1583371864,58,84
1583373700,84,58
1583375476,45,84
1583379079,87,66
1583380870,79,97
1583388113,54,57
1583391673,72,68
1583393489,62,50
1583397068,58,44
1583400689,66,46
1583404282,52,64
1583409689,106,68
1583415073,58,74
1583418672,64,46
1583422268,72,79
1583425879,56,46
1583427669,84,63
1583433079,89,60
1583436694,68,92
1583442077,88,73
1583443877,63,82
1583449344,55,93
1583451072,49,105
1583454681,76,80
1583458303,52,74
1583463673,47,47
1583465472,49,66
1583470881,83,107
1583472672,85,59
1583478083,65,72
1583479895,66,31
1583483493,71,56
1583487067,69,60
1583490675,48,51
1583496071,58,64
1583497888,52,42
1583499800,64,53
1583505111,70,60
1583508666,71,55
1583514069,52,58
1583515870,67,65
1583521274,77,64
1583524892,73,57
1583526677,62,81
1583530293,79,75
1583533882,55,71
1583535675,55,84
1583541074,65,85
1583542880,275,282
1583544666,261,270
1583548311,35,52
1583551867,60,66
1583555470,88,102
1583559100,58,55
1583562712,57,59
1583564494,51,42
1583569882,63,44
1583573465,59,49
1583578892,64,56
1583580709,64,66
1583586071,53,40
1583587882,71,59
1583591466,59,64
1583593271,63,48
1583598687,89,56
1583602272,71,72
1583604069,72,71
1583605899,112,108
1583609469,69,61
1583611274,61,69
1583613083,112,114
1583616702,70,67
1583620271,54,78
1583623871,42,77
1583627468,75,75
1583632882,67,74
1583634667,35,67
1583638265,57,62
1583641906,72,87
1583645479,61,67
1583647265,55,55
1583654479,47,42
1583656287,61,32
1583659870,65,58
1583663503,68,49
1583667080,56,58
1583670667,60,50
1583674292,71,47
1583677903,65,46
1583683266,57,62
1583685098,81,57
1583688673,87,56
1583694091,76,66
1583695863,55,74
1583701317,70,68
1583703071,74,73
1583704946,66,92
1583710274,43,95
1583713873,61,91
1583717470,74,62
1583721068,47,71
1583724668,55,66
1583728272,81,95
1583733712,58,54
1583735496,55,56
1583739086,61,47
1583742670,67,43
1583746271,71,41
1583749880,59,41
1583753474,50,60
1583757080,71,67
1583760682,81,64
1583764282,77,72
1583767903,54,60
1583773285,60,55
1583776880,70,57
1583778702,77,42
1583782280,78,63
1583785881,73,64
1583791269,67,91
1583793070,81,97
1583796667,51,92
1583798480,65,92
1583802077,62,45
1583805666,0,3
1583809277,42,63
1583811069,53,71
1583814679,70,82
1583820073,63,72
1583821868,56,60
1583825467,54,45
1583829078,74,51
1583832671,64,50
1583836275,67,48
1583841699,78,94
1583848871,77,53
1583850706,69,60
1583854266,49,59
1583857865,82,50
1583863275,67,65
1583865071,86,52
1583868693,79,65
1583872275,66,70
1583875887,71,79
1583879475,74,102
1583883072,45,93
1583886685,64,73
1583890308,52,64
1583893870,45,55
1583897502,54,94
1583901068,73,89
1583904681,66,65
1583908266,53,49
1583911864,59,44
1583917284,134,79
1583924496,47,46
1583926306,48,51
1583929875,49,53
1583933466,80,55
1583935283,0,3
1583937072,67,54
1583940668,58,52
1583944277,78,43
1583949688,76,74
1583953267,77,67
1583956871,78,65
1583958680,81,67
1583962285,87,83
1583965872,71,101
1583969485,61,106
1583973066,59,85
1583976712,45,66
1583980305,44,63
1583982064,73,84
1583989284,77,88
1583991103,82,67
1583994684,50,47
1584000143,48,45
1584001870,80,54
1584005497,55,38
1584009078,61,60
1584012688,52,56
1584016266,69,51
1584021679,68,59
1584025264,61,62
1584027077,64,56
1584030674,59,53
1584032503,53,59
1584034282,115,96
1584036073,90,57
1584041476,78,66
1584045084,77,60
1584048672,75,99
1584052265,65,87
1584055947,48,86
1584059475,55,90
1584063079,57,65
1584066675,55,58
1584070270,58,76
1584073870,92,95
1584075671,68,64
1584082921,57,56
1584086503,123,82
1584091891,67,49
1584095482,51,45
1584099091,48,62
1584102665,50,51
1584106265,71,47
1584109871,59,60
1584111669,60,68
1584117065,76,53
1584120668,70,59
1584122509,79,58
1584127870,70,71
1584131473,67,67
1584133286,77,54
1584138793,67,95
1584144149,61,93
1584147735,57,87
1584149475,65,70
1584156675,88,132
1584158493,67,91
1584165703,58,70
1584167497,49,49
1584169372,61,49
1584176470,70,55
1584178288,72,54
1584181888,72,54
1584185471,72,58
1584190870,65,54
1584194473,54,65
1584196303,165,119
1584199885,70,54
1584203572,66,56
1584207071,62,73
1584208903,69,58
1584214304,82,70
1584216069,74,69
1584219673,0,4
1584221494,74,57
1584225068,65,87
1584228667,43,92
1584234192,68,86
1584235879,69,72
1584239474,37,69
1584243103,58,76
1584246670,72,93
1584248503,72,64
1584253881,54,49
1584257475,56,44
1584261067,65,43
1584268356,62,39
1584270116,79,52
1584271875,67,57
1584273696,53,50
1584277327,77,55
1584282675,76,61
1584286305,64,53
1584289865,67,49
1584293471,72,64
1584297064,89,72
1584300669,80,66
1584306081,67,68
1584307880,72,76
1584311465,54,109
1584315069,62,118
1584316869,61,80
1584322268,56,68
1584324093,68,56
1584325907,79,126
1584329476,63,66
1584333065,76,99
1584334884,77,59
1584340278,190,59
1584345671,60,45
1584347471,81,41
1584351110,74,39
1584352903,84,174
1584354670,205,102
1584360099,56,57
1584361908,78,82
1584365467,71,87
1584369097,93,65
1584372672,69,75
1584376359,81,69
1584379875,80,61
1584383474,94,63
1584387111,87,63
1584390670,89,88
1584394269,84,90
1584397864,67,94
1584401478,57,112
1584405070,51,82
1584408695,62,84
1584412269,35,204
1584415890,79,81
1584419484,76,86
1584423092,71,81
1584426753,59,49
1584430269,53,46
1584433875,88,62
1584437472,81,49
1584442944,138,87
1584450171,84,51
1584451876,67,73
1584455499,81,62
1584459067,80,75
1584462667,74,66
1584466278,83,80
1584469877,83,85
1584473475,77,66
1584478969,120,146
1584484290,65,106
1584487878,55,101
1584491643,63,101
1584496920,56,65
1584498666,44,66
1584502298,59,73
1584505895,72,97
1584509465,66,70
1584513110,61,56
1584516691,67,48
1584520271,75,51
1584522077,88,45
1584525726,73,51
1584529272,98,193
1584531066,220,110
1584534706,62,59
1584538274,81,53
1584541881,76,74
1584545503,81,56
1584547286,47,56
1584549065,56,47
1584550897,47,56
1584552677,88,65
1584556304,84,63
1584558082,71,57
1584563499,60,94
1584567065,83,119
1584570679,73,95
1584572500,59,97
1584579694,92,157
1584585084,44,55
1584588667,68,82
1584592274,75,85
1584595910,66,75
1584599488,60,57
1584603092,69,41
1584608476,71,49
1584610276,81,57
1584613907,94,52
1584617476,111,58
1584621070,180,58
1584624690,125,73
1584628268,75,69
1584631909,109,60
1584637281,68,70
1584639077,77,66
1584644711,73,65
1584646329,87,72
1584649891,91,80
1584653469,82,89
1584657077,69,102
1584660680,70,103
