DateTime,AddedIPs,RemovedIPs
1581837325,50,0
1581840323,0,1
1581851727,46,0
1581854726,0,1
1581907222,99,0
1581916822,56,4
1581917126,34,0
1581917721,6,0
1581919523,0,1
1581923121,0,1
1581933922,0,1
1581941122,0,1
1581949224,45,0
1581950122,0,1
1581955527,0,1
1581968424,0,5
1581973525,0,1
1581995123,0,3
1582003527,0,1
1582023925,0,1
1582035626,42,0
1582035927,0,1
1582043723,0,1
1582045526,0,1
1582057525,0,2
1582067123,0,1
1582089623,69,0
1582089924,33,0
1582103124,0,1
1582106725,0,1
1582113929,0,4
1582128326,0,2
1582129829,0,1
1582134331,0,4
1582170326,115,0
1582176024,100,0
1582176329,8,0
1582203927,0,1
1582207526,0,1
1582215926,74,0
1582222826,5,0
1582229124,0,1
1582232121,0,2
1582232425,44,1
1582232721,0,2
1582233322,34,0
1582262423,0,2
1582262725,99,0
1582275027,35,0
1582275926,0,1
1582286724,0,1
1582292724,41,0
1582296631,0,1
1582297525,0,1
1582301124,0,1
1582302328,0,1
1582322726,0,1
1582331721,0,4
1582332023,91,0
1582333521,0,1
1582337122,0,1
1582340121,45,0
1582362024,9,0
1582362323,31,0
1582363823,25,0
1582371928,42,0
1582372225,25,0
1582379124,0,2
1582380025,0,1
1582387523,0,1
1582407624,50,1
1582444825,75,0
1582447222,16,0
1582470025,0,1
1582470322,0,1
1582477526,0,1
1582483525,48,0
1582499123,0,1
1582522224,0,3
1582524323,0,1
1582545924,0,1
1582556723,0,4
1582560325,0,6
1582562726,100,0
1582563926,0,8
1582565124,0,2
1582578323,0,1
1582592722,0,1
1582603523,0,1
1582608023,93,2
1582608323,0,1
1582610722,0,1
1582635924,0,1
1582643123,0,1
1582650324,0,1
1582661124,0,1
1582675523,0,1
1582689922,0,2
1582695024,0,2
1582695321,0,1
1582725922,0,1
1582737926,0,1
1582738824,0,1
1582747523,0,1
1582758323,0,1
1582760121,0,1
1582779022,135,0
1582779320,12,0
1582787121,0,2
1582812024,39,1
1582812321,1,1
1582816222,0,1
1582820125,97,0
1582826724,0,1
1582830322,0,1
1582833625,44,2
1582833923,0,2
1582855521,0,1
1582859121,0,1
1582865722,31,0
1582866023,7,0
1582866925,145,0
1582867821,0,1
1582886424,24,0
1582888223,0,1
1582890325,93,0
1582893323,23,0
1582898723,0,1
1582901123,97,0
1582901723,25,0
1582902323,0,1
1582904425,534,0
1582904726,206,0
1582906823,0,6
1582907125,0,6
1582907426,0,5
1582907722,0,9
1582908023,0,9
1582908326,0,7
1582908621,0,4
1582909525,0,7
1582909825,0,5
1582910123,0,5
1582914023,0,2
1582914325,1,0
1582914625,0,5
1582915223,0,8
1582915527,0,2
1582915825,0,4
1582923021,39,0
1582923323,51,0
1582923627,10,0
1582929321,0,1
1582929624,0,3
1582930223,0,11
1582930522,0,8
1582930826,0,4
1582931123,0,1
1582931422,0,2
1582931724,0,1
1582932023,0,6
1582934722,0,1
1582944920,50,0
1582949121,0,1
1582954822,141,0
1582965624,18,0
1582965927,47,0
1582967124,0,2
1582970722,0,1
1582976122,0,2
1582989323,143,1
1583003122,0,1
1583006722,0,1
1583007622,170,0
1583046322,100,0
1583057123,0,1
1583069721,10,0
1583070022,5,0
1583075121,52,0
1583090724,126,0
1583109321,13,0
1583109621,99,0
1583121924,0,2
1583126422,114,1
1583126723,43,1
1583135424,0,1
1583139627,0,1
1583156725,0,1
1583157923,0,1
1583165121,0,1
1583165421,0,1
1583167525,98,0
1583168121,38,0
1583175922,0,1
1583182223,0,1
1583183722,1,0
1583194821,49,0
1583208323,0,1
1583212524,132,0
1583213422,0,7
1583218521,40,0
1583230524,50,0
1583236224,9,0
1583242824,0,1
1583249127,6,0
1583255124,0,1
1583256625,2,0
1583258121,49,0
1583258424,9,0
1583258723,0,1
1583259325,53,0
1583259622,1,0
1583259922,50,0
1583260521,26,0
1583260824,22,0
1583261124,7,0
1583261421,14,0
1583261721,3,0
1583262621,38,0
1583265321,3,0
1583265626,18,0
1583265924,25,0
1583283021,41,1
1583291123,0,1
1583299825,69,2
1583308225,44,1
1583313323,0,1
1583316324,0,1
1583317223,0,2
1583323522,0,1
1583325320,6,0
1583326521,81,0
1583327124,0,1
1583332225,29,1
1583332521,0,4
1583334925,0,1
1583337924,0,1
1583338823,70,0
1583339122,1,0
1583341521,0,1
1583345122,0,2
1583345724,0,1
1583348122,27,0
1583363122,0,3
1583371222,69,0
1583385321,0,4
1583386223,69,0
1583386520,42,0
1583391920,0,1
1583402422,69,1
1583402721,0,1
1583406320,0,1
1583407829,0,1
1583410823,0,2
1583412023,44,0
1583413525,4,2
1583417725,0,1
1583419821,36,0
1583420724,0,1
1583424324,0,1
1583427924,0,1
1583429422,0,1
1583429720,0,1
1583430620,0,1
1583431222,0,1
1583436022,10,0
1583436321,8,0
1583442322,0,1
1583467521,0,1
1583471124,0,1
1583472022,68,3
1583472322,60,0
1583483424,52,1
1583493022,6,0
1583499921,93,0
1583514322,0,1
1583520022,1,0
1583520321,36,0
1583525122,0,1
1583531720,82,0
1583532924,0,5
1583533223,0,11
1583533524,0,6
1583533823,0,3
1583534122,0,8
1583534422,0,3
1583534721,0,7
1583535021,0,9
1583535320,0,8
1583535921,0,22
1583536221,0,10
1583536521,0,7
1583536823,0,6
1583538323,7,0
1583538624,975,0
1583547323,0,1
1583557521,0,1
1583563222,24,0
1583563523,2,0
1583564720,0,1
1583568321,0,1
1583575523,0,1
1583575823,28,0
1583579122,0,1
1583582723,0,1
1583583622,0,1
1583589626,26,0
1583590221,1,0
1583597122,0,1
1583598921,7,0
1583610921,12,0
1583636721,0,1
1583637924,128,0
1583665521,0,1
1583668522,0,2
1583672423,47,0
1583703320,181,0
1583703621,1,0
1583718322,121,1
1583730321,0,1
1583730922,41,0
1583737521,0,2
