DateTime,AddedIPs,RemovedIPs
1576011615,512,512
1576017010,256,256
1576031410,256,256
1576038610,256,256
1576045810,256,256
1576056610,256,256
1576093511,1024,1024
1576108829,256,256
1576152969,1536,1536
1576158311,256,256
1576169111,512,512
1576171813,256,256
1576179012,256,256
1576191613,256,256
1576266313,768,768
1576277112,256,256
1576333815,1280,1280
1576341100,256,256
1576345514,256,256
1576359012,256,256
1576363514,512,512
1576369812,256,256
1576373412,256,256
1576419369,1280,1280
1576434823,256,256
1576454425,256,256
1576473483,256,256
1576499411,1024,1024
1576503232,256,256
1576521912,256,256
1576524612,256,256
1576586199,1280,1280
1576589413,512,512
1576600210,256,256
1576611011,256,256
1576629011,512,512
1576675810,1792,1792
1576683911,256,256
1576697411,768,768
1576701012,512,512
1576710012,512,512
1576715412,256,256
1576719011,256,256
1576777511,1024,1024
1576783811,256,256
1576791911,256,256
1576799111,256,256
1576837813,2048,2048
1576848905,256,256
1576856048,256,256
1576863911,512,512
1576888498,256,256
1576949412,1280,1280
1576961112,256,256
1576984665,256,256
1577017623,1024,1024
1577035812,256,256
1577043012,256,256
1577050212,256,256
1577053812,256,256
1577061013,256,256
1577075412,256,256
1577079012,256,256
1577107870,1024,1024
1577115374,256,256
1577130312,256,256
1577133011,256,256
1577147412,256,256
1577194271,1024,1024
1577205913,512,512
1577208612,512,512
1577215812,256,256
1577219412,256,256
1577232915,256,256
1577298612,256,256
1577314812,256,256
1577322011,256,256
1577360832,768,768
1577363412,256,256
1577367911,256,256
1577381649,256,256
1577410212,256,256
1577454312,1024,1024
1577471412,256,256
1577476820,256,256
1577479502,256,256
1577484016,256,256
1577495712,768,768
1577537114,1792,1792
1577544315,768,768
1577547914,256,256
1577557813,512,512
1577563223,512,512
1577573103,512,512
1577582112,512,512
1577645113,1280,1280
1577647953,256,256
1577655012,256,256
1577666077,256,256
1577698272,1536,1536
1577702713,256,256
1577707220,256,256
1577714420,256,256
1577721621,512,512
1577741662,256,256
1577778303,1024,1024
1577782814,256,256
1577789113,256,256
1577800821,256,256
1577804413,256,256
1577823313,512,512
1577828713,256,256
1577853012,512,512
1577860212,256,256
1577925003,2304,2304
1577926815,256,256
1577935406,256,256
1577936714,256,256
1577937615,256,256
1577939088,2560,2560
1577941217,512,512
1577942769,1024,1024
1577946369,768,768
1577950203,256,256
1577952030,256,256
1577953835,512,512
1577957403,256,256
1577961049,512,512
1577962847,256,256
1577964649,256,256
1577968393,256,256
1577971860,256,256
1577973662,256,256
1577975787,256,256
1577979068,256,256
1577989812,256,256
1578004655,256,256
1578054667,1536,1536
1578062712,256,256
1578065412,256,256
1578084302,256,256
1578087012,256,256
1578090946,256,256
1578148408,1280,1280
1578155412,512,512
1578162612,256,256
1578169812,768,768
1578180863,256,256
1578187812,256,256
1578239113,1792,1792
1578241812,256,256
1578252612,256,256
1578256211,256,256
1578261618,512,512
1578263412,256,256
