DateTime,AddedIPs,RemovedIPs
1581323283,354,351
1581330962,342,358
1581334802,254,242
1581338643,297,306
1581346322,77,80
1581350162,80,77
1581354002,233,235
1581358082,46,43
1581366003,88,91
1581373683,58,59
1581377523,192,193
1581385203,885,883
1581389043,884,885
1581396722,887,883
1581400562,239,239
1581404402,239,239
1581408483,239,239
1581412322,406,415
1581420002,280,279
1581423843,279,280
1581427682,280,279
1581431523,177,170
1581435362,54,61
1581450722,40,43
1581454569,12,12
1581466322,84,77
1581474002,27,27
1581477843,866,884
1581481682,884,866
1581485523,866,884
1581489363,501,477
1581493203,81,76
1581500883,42,45
1581512413,219,234
1581520563,103,96
1581524403,86,88
1581535922,97,95
1581539763,32,30
1581543603,134,124
1581551282,10,12
1581558963,36,37
1581562807,64,893
1581574563,889,62
1581578402,517,507
1581582242,294,310
1581589922,337,342
1581594003,235,231
1581597843,295,301
1581601923,111,103
1581605762,103,111
1581609603,111,103
1581613442,70,73
1581617282,116,101
1581621122,53,54
1581624963,143,152
1581632643,21,22
1581640323,65,64
1581644162,12,12
1581655682,880,888
1581663363,686,676
1581671283,221,230
1581675122,324,323
1581678962,323,324
1581682803,535,550
1581686643,62,58
1581694322,209,217
1581705843,87,79
1581709682,34,31
1581713522,31,34
1581717363,144,134
1581721202,108,115
1581725283,145,137
1581732962,51,52
1581740643,872,879
1581748323,478,454
1581752163,699,706
1581756002,217,215
1581759843,215,217
1581763683,437,428
1581767522,154,155
1581771363,155,154
1581775202,369,370
1581779283,76,80
1581783122,80,76
1581786963,133,131
1581790803,57,59
1581794643,59,57
1581798482,147,148
1581810003,181,178
1581813843,36,36
1581817683,36,36
1581821522,864,901
1581829203,864,840
1581833283,594,615
1581837363,430,415
1581845042,600,613
1581852722,263,257
1581856562,331,336
1581868083,363,360
1581875763,139,142
1581883682,203,198
1581891362,198,203
1581895203,70,67
1581906722,869,873
1581914402,868,869
1581918243,871,867
1581922083,648,642
1581925924,642,648
1581929762,813,804
1581933603,238,239
1581937683,239,238
1581945362,114,120
1581949203,128,123
1581956883,57,56
1581960723,95,93
1581964562,34,35
1581968402,73,70
1581972242,28,28
1581976082,28,28
1581979923,80,86
1581991442,78,78
1581995523,880,879
1582003203,903,872
1582010882,498,508
1582014722,508,498
1582018563,403,409
1582022402,282,281
1582030082,374,372
1582037763,178,194
1582045683,80,81
1582053365,112,112
1582057203,123,122
1582061042,28,27
1582064883,27,28
1582068723,178,177
1582072562,31,33
1582087922,883,889
1582095603,863,862
1582099683,361,366
1582107603,388,390
1582115282,321,322
1582119123,82,88
1582122963,164,155
1582134483,138,147
1582138322,29,27
1582146007,86,92
1582153923,141,149
1582161602,69,65
1582169283,885,865
1582176962,877,879
1582184643,532,528
1582192323,183,187
1582200002,556,556
1582203843,188,186
1582207683,186,188
1582215363,38,43
1582219202,90,85
1582226882,104,97
1582230723,18,20
1582238642,79,81
1582246322,47,49
1582250162,893,884
1582265763,887,889
1582269603,237,240
1582273442,240,237
1582277282,333,329
1582284962,271,270
1582300322,219,208
1582308002,42,41
1582312083,78,80
1582323603,194,196
1582335123,85,96
1582346642,894,888
1582358164,697,692
1582362002,461,473
1582381683,339,346
1582385522,1,1
1582389362,260,277
1582397043,45,47
1582400882,227,216
1582404723,76,86
1582408563,86,76
1582412403,107,112
1582416243,42,46
1582420083,91,93
1582435443,849,863
1582443122,1,1
1582446963,554,529
1582458482,383,378
1582462322,105,104
1582470003,285,279
1582481522,182,184
1582489203,53,52
1582493043,52,53
1582496882,217,229
1582504563,49,43
1582508402,892,881
1582516082,83,88
1582531443,880,872
1582539123,427,418
1582546803,202,208
1582558323,175,185
1582570083,96,106
1582573923,33,39
1582581603,129,136
1582589283,51,48
1582593122,173,180
1582604642,892,858
1582616162,714,740
1582620002,280,275
1582627682,157,151
1582635363,271,279
1582647122,135,135
1582650963,106,107
1582654802,107,106
1582658643,106,107
1582670162,111,112
1582674003,46,42
1582681683,1,1
1582685522,857,874
1582689363,874,857
1582693202,857,874
1582697043,787,749
1582708562,371,380
1582723923,372,373
1582727764,5,4
1582731602,43,45
1582743123,399,399
1582750802,27,30
1582758722,79,75
1582762803,20,19
1582766642,50,886
1582774322,883,50
1582782003,890,883
1582797363,530,531
1582801202,279,294
1582809126,228,211
1582812963,1,3
1582820642,3,1
1582824483,197,209
1582836002,371,363
1582839842,66,68
1582847522,150,157
1582859282,860,877
1582870803,704,679
1582882323,355,358
1582893843,311,307
1582901522,765,759
1582905363,759,765
1582909202,765,759
1582913043,9,10
1582932243,45,41
1582936323,24,21
1582947842,856,897
1582959363,567,531
1582974963,358,362
1582978812,287,280
1582990323,233,238
1583005683,123,121
1583013363,199,201
1583017210,25,22
1583025121,101,100
1583028963,25,25
1583032803,25,25
1583036642,25,25
1583040482,875,895
1583044322,303,290
1583052003,471,465
1583063522,257,261
1583075283,251,252
1583082964,162,151
1583094482,82,83
1583106002,151,158
1583117523,44,893
1583129044,893,41
1583140563,489,503
1583152083,360,355
1583155922,101,103
1583163602,293,291
1583171283,99,104
1583175122,116,108
1583186883,145,144
1583190722,144,145
1583198403,145,144
1583202242,57,891
1583206083,885,53
1583221443,852,845
1583229122,38,41
1583240642,49,56
1583260083,44,47
1583271602,21,20
1583283122,51,55
1583286962,54,880
1583294882,895,51
1583302563,372,386
1583325602,372,373
1583329443,84,82
1583333282,199,211
1583352483,119,109
1583356323,132,129
1583371682,77,68
1583375522,68,77
1583379363,891,874
1583390883,522,523
1583406482,257,255
1583414163,249,258
1583418002,258,249
1583421842,249,258
1583429522,175,164
1583444884,590,599
1583456408,89,96
1583464322,891,886
1583475842,481,492
1583487363,262,255
1583498882,220,215
1583506562,215,220
1583510405,531,553
1583514482,444,417
1583518322,417,444
1583529843,417,398
1583545203,84,888
1583552883,883,84
1583556722,278,883
1583560563,885,260
1583564409,260,885
1583568483,883,269
1583576163,484,473
1583580002,626,650
1583591523,237,226
1583603042,163,163
1583606883,36,37
1583610722,37,36
1583618402,79,80
1583626083,73,72
1583629922,76,77
1583641442,904,886
1583649122,658,667
1583660643,412,423
1583676003,364,377
1583683683,122,124
1583695204,150,145
1583702882,52,58
1583706723,43,42
1583714403,118,120
1583722083,13,870
1583725922,891,8
1583737443,554,566
1583748962,348,350
1583756642,241,241
1583760722,241,241
1583764562,241,241
1583776083,139,135
1583779922,135,139
1583783762,236,232
1583791683,78,77
1583795522,58,58
1583799363,58,58
1583803202,861,887
1583810882,835,780
1583822403,799,813
1583837762,689,693
1583845443,109,110
1583856962,76,72
1583872322,70,68
1583880002,158,157
1583899203,883,904
1583910722,617,615
1583914562,615,617
1583918402,617,615
1583929923,436,445
1583933762,80,81
1583937602,81,80
1583941442,80,81
1583945283,316,295
1583949122,295,316
1583952962,331,312
1583960642,226,208
1583964483,8,8
1583968323,8,8
1583976004,124,124
1583983682,876,910
1583999043,584,581
1584006723,357,359
1584022083,219,221
1584033602,175,169
1584048963,85,82
1584064322,131,138
1584072002,876,876
1584079923,446,442
1584083763,442,446
1584087603,446,442
1584095283,632,621
1584110643,826,811
1584129842,331,304
1584137523,223,230
1584149042,37,929
1584168252,857,26
1584172083,783,748
1584183604,392,398
1584195363,247,241
1584206882,241,245
1584218403,125,123
1584222243,123,125
1584226083,251,254
1584233763,135,140
1584241443,860,891
1584249122,891,860
1584252963,904,889
1584256803,164,171
1584260643,171,164
1584264482,410,429
1584276003,252,249
1584287762,473,485
1584295442,146,146
1584310803,342,309
1584322323,903,911
1584326162,913,903
1584330003,864,912
1584345363,753,731
1584357363,347,339
1584361203,133,132
1584368882,278,280
1584380643,141,135
1584388323,107,103
1584396483,101,108
1584400323,103,105
1584411843,904,895
1584415683,868,893
1584434882,588,590
1584442563,343,353
1584446410,105,104
1584450243,178,169
1584454083,169,178
1584461763,295,279
1584465602,103,107
1584469443,107,103
1584473282,36,34
1584484803,30,29
1584488642,157,157
1584496323,894,886
1584499815,869,878
1584515283,612,605
1584530883,467,466
1584534723,241,250
1584542402,29,25
1584550322,34,33
1584554163,33,34
1584558003,176,174
1584569522,7,9
1584573362,86,80
1584584883,42,895
1584588723,875,37
1584607922,561,561
1584611762,507,485
1584623523,54,51
1584631203,77,79
1584635043,79,77
1584638882,200,199
1584650403,101,111
1584661923,144,154
1584673683,899,884
1584685203,305,321
1584689043,321,305
1584692883,305,321
1584700562,547,518
1584715923,123,119
1584723603,89,92
1584731282,80,87
1584738962,16,17
1584750482,63,62
1584758163,52,908
1584762003,615,0
1584765843,766,534
1584769682,534,766
1584777363,805,588
1584785283,505,474
1584789124,113,185
1584792972,185,113
1584800642,158,236
1584812162,133,134
1584816002,19,18
1584819842,106,111
1584831603,28,25
1584835443,91,100
1584843123,847,824
1584854643,632,585
1584870002,351,356
1584877682,417,423
1584881522,77,74
1584889210,268,258
1584893042,82,86
1584904563,192,185
1584916082,194,201
1584923762,128,130
1584927603,130,128
1584931443,128,130
1584935283,877,886
1584946803,420,426
1584958563,504,463
1584962403,463,504
