DateTime,AddedIPs,RemovedIPs
1578675616,1485,1257
1578699134,16,0
1578706805,34,0
1578714734,13,12
1578715142,127,77
1578762017,1641,1142
1578765630,763,1398
1578784101,12,14
1578792010,10,11
1578795848,21,32
1578799930,5,15
1578801542,158,84
1578834756,663,1428
1578846506,639,0
1578848416,1595,1718
1578870254,6,8
1578878165,14,14
1578882008,25,16
1578887942,151,88
1578889683,6,12
1578934817,1688,1566
1578938655,600,717
1578960028,14,23
1578964335,11,23
1578968167,10,15
1578974342,142,76
1578975847,20,10
1579018836,747,605
1579021217,1867,1823
1579045689,11,18
1579053611,26,20
1579061530,157,109
1579088415,838,0
1579092266,788,0
1579096831,629,625
1579100917,653,0
1579104511,801,0
1579108116,615,0
1579131606,2002,1672
1579139292,29,41
1579147207,15,11
1579175304,738,719
1579194016,1894,1339
1579217766,9,12
1579225448,25,34
1579233124,12,12
1579233542,104,105
1579267016,588,1398
1579280418,1575,1386
1579303207,10,0
1579311134,10,0
1579314966,18,21
1579318803,12,0
1579319943,87,102
1579358675,644,1233
1579366818,1337,1115
1579388412,8,17
1579396090,7,16
1579399925,13,20
1579406342,100,88
1579407604,9,26
1579450573,588,4040
1579453217,1200,1248
1579476967,10,35
1579484648,29,67
1579492325,12,10
1579492742,112,105
1579539618,1574,1479
1579541540,612,3421
1579562167,15,15
1579569848,22,18
1579573687,15,18
1579577531,8,9
1579579142,144,74
1579626016,1559,1409
1579632729,572,609
1579650488,12,0
1579658169,34,0
1579666096,19,0
1579712419,1748,1531
1579723739,635,1922
1579735207,20,14
1579742886,16,14
1579746729,23,27
1579750566,7,8
1579751942,127,77
1579798817,1643,1439
1579814892,693,2769
1579821853,17,34
1579831689,31,27
1579838342,83,84
1579839365,7,20
1579881617,1275,1131
1579906108,682,709
1579908488,11,0
1579916168,15,0
1579920007,22,33
1579923850,7,0
1579924743,78,71
1579964429,626,0
1579973285,1560,956
1579997294,9,31
1580001127,15,18
1580004970,19,21
1580011142,81,54
1580012648,12,23
1580050816,1136,1193
1580052738,644,1368
1580082007,11,10
1580089686,34,35
1580097365,2,10
1580097542,64,74
1580111062,566,0
1580118264,775,0
1580124490,659,0
1580135546,672,644
1580145134,2162,1292
1580166730,10,0
1580174406,12,15
1580178248,11,29
1580183942,69,84
1580185927,7,4
1580220017,1654,1296
1580236355,557,3258
1580255530,18,13
1580263212,31,0
1580271129,86,56
1580302817,1534,1358
1580315782,499,2424
1580316011,169,1518
1580340505,12,16
1580348165,14,22
1580352004,18,41
1580355847,6,9
1580356743,169,75
1580389216,1537,1401
1580406966,658,2653
1580428808,12,17
1580432890,19,17
1580436729,11,0
1580443142,119,59
1580444404,5,10
1580465769,586,5480
1580475617,1533,1654
1580513767,20,36
1580521448,8,29
1580525288,14,44
1580529542,112,63
1580531048,13,22
1580557450,686,7194
1580562016,1241,1279
1580598728,21,0
1580606650,22,0
1580610486,8,19
1580615765,5,0
1580615942,101,69
1580649158,1583,4089
1580662570,572,2001
1580687528,16,25
1580695211,24,55
1580700728,7,10
1580702342,78,69
1580734816,1201,1586
1580742772,705,647
1580772489,10,22
1580780165,16,15
1580784016,14,16
1580789387,95,65
1580812449,600,839
1580821217,1470,1492
1580839946,607,641
1580861050,11,18
1580868732,22,44
1580874004,11,0
1580875142,92,60
1580907617,1281,1840
1580930651,594,2681
1580946006,7,16
1580953685,14,0
1580957548,17,16
1580961542,83,70
1580963046,6,44
1580994017,1305,1832
1581022107,614,1265
1581030725,13,0
1581038405,12,20
1581042246,15,19
1581047766,7,18
1581047942,174,68
1581063607,589,0
1581074664,590,0
1581080417,1540,1759
1581119288,10,40
1581126968,30,20
1581134342,135,64
1581136566,6,17
1581165608,595,1360
1581166817,1078,1591
1581203767,6,0
1581211448,16,0
1581215287,12,27
1581221064,6,0
1581253217,1048,1742
1581257547,582,713
1581292328,11,22
1581300008,32,49
1581306007,4,18
1581307143,103,62
1581325958,617,1331
1581339617,1146,2031
1581377529,7,16
1581385206,9,13
1581389051,7,22
1581393542,69,71
1581394804,7,15
1581417608,499,498
1581417863,176,271
1581422416,1233,1540
1581462491,9,7
1581470165,23,0
1581474010,13,28
1581479525,7,0
1581479942,64,81
1581509304,679,1364
1581551290,1472,1732
1581558966,12,26
1581562810,12,15
1581566342,73,69
1581567908,5,36
1581595217,1396,1822
1581601453,498,389
1581601932,183,217
1581636485,12,13
1581644166,8,0
1581648005,7,16
1581653046,8,0
1581681619,1443,1802
1581692906,499,1845
1581693377,190,1327
1581725293,8,24
1581732966,23,41
1581739142,81,81
1581741605,5,30
1581768016,1199,1255
1581784091,698,2531
1581810007,7,7
1581817686,19,9
1581821525,10,15
1581826330,95,100
1581854418,1231,1478
1581875066,691,582
1581895208,15,10
1581902888,11,0
1581906728,15,0
1581911942,66,62
1581914647,3,11
1581940816,1102,1690
1581954735,621,652
1581972514,644,0
1581975633,635,0
1581983766,13,9
1581991449,33,39
1581998342,92,60
1581999605,11,11
1582017372,673,0
1582018810,587,0
1582027217,1701,1859
1582060102,590,597
1582068731,20,0
1582076404,16,0
1582080248,7,28
1582084326,17,9
1582084742,131,69
1582108329,671,0
1582113616,1576,1825
1582150116,593,612
1582153931,13,10
1582161606,15,14
1582165448,9,0
1582171142,94,70
1582173129,11,14
1582200016,1626,1893
1582218972,598,0
1582242488,9,16
1582250166,19,19
1582254014,18,36
1582258090,14,0
1582286416,1503,1635
1582311126,614,565
1582327448,14,29
