DateTime,AddedIPs,RemovedIPs
1584544838,1166,304
1584544921,2,0
1584545521,66,46
1584546122,2,0
1584547321,48,45
1584548522,1,0
1584549121,45,43
1584549721,2,0
1584550921,51,45
1584552721,84,56
1584553321,1,0
1584554522,1,0
1584555721,4,0
1584556321,79,51
1584556921,2,0
1584558122,62,49
1584558721,1,0
1584559321,4,0
1584561721,0,1
1584562921,4,0
1584563521,57,81
1584564121,2,0
1584565321,3,0
1584565921,3,0
1584566521,4,0
1584567121,78,110
1584567721,3,0
1584568321,3,0
1584568921,3,1
1584569522,3,0
1584570121,5,0
1584570721,59,82
1584571321,1,0
1584571921,1,0
1584572521,54,92
1584573722,4,0
1584574921,3,0
1584576121,3,0
1584577321,6,0
1584577921,2,0
1584579122,4,0
1584579721,82,139
1584580921,4,0
1584582122,6,0
1584583321,2,0
1584584521,4,0
1584585084,37,51
1584585722,1,0
1584586322,4,0
1584588121,7,0
1584588721,2,0
1584588781,61,77
1584589321,1,0
1584590521,1,0
1584591721,5,0
1584592321,68,81
1584592921,6,0
1584594121,3,0
1584595321,1,0
1584595910,62,68
1584596522,1,0
1584597721,3,0
1584598921,1,0
1584599521,57,47
1584600121,1,0
1584600721,1,0
1584602521,4,0
1584603121,67,34
1584604921,3,0
1584606121,0,1
1584606721,2,0
1584607321,7,0
1584607921,1,0
1584608522,64,42
1584609121,2,0
1584610276,72,46
1584610381,1,0
1584610922,1,0
1584611522,4,0
1584612121,1,0
1584613321,2,0
1584613921,82,48
1584615722,3,0
1584617476,57,47
1584618121,2,0
1584618722,1,0
1584619615,1,0
1584619921,2,0
1584620521,1,0
1584621121,68,51
1584621721,1,0
1584623048,2,0
1584623522,1,0
1584624121,2,0
1584624722,120,62
1584625321,1,0
1584626521,1,0
1584627121,2,0
1584627721,1,0
1584628381,64,57
1584628921,1,0
1584630721,2,0
1584631970,1136,352
1584632521,2,0
1584634322,2,0
1584634922,1,0
1584635581,2,0
1584636121,1,0
1584636721,0,1
1584637322,62,59
1584637921,2,0
1584639077,74,57
1584639721,1,0
1584641166,1,0
1584641521,1,0
1584642122,1,0
1584642781,2,0
