DateTime,AddedIPs,RemovedIPs
1583654749,0,2
1583654843,2,2
1583658241,2225,2166
1583660643,408,414
1583661932,2,0
1583665924,72,85
1583669113,3420,3391
1583674804,35,24
1583676003,343,372
1583676819,1,2
1583679841,4194,4173
1583683683,121,123
1583684182,1,0
1583687534,5,3
1583690641,4820,4832
1583695204,405,145
1583698103,4,33
1583701441,5318,5305
1583702882,52,58
1583706723,43,41
1583709047,8,1
1583712241,5711,5672
1583714403,115,120
1583721683,2,2
1583722083,13,846
1583723041,5986,6148
1583725922,884,8
1583730318,1,2
1583733841,2488,2390
1583737443,550,558
1583741133,1,7
1583744641,2085,2060
1583744727,1,0
1583748315,6,0
1583748962,347,348
1583751266,7,3
1583751990,45,52
1583755570,3329,3289
1583756642,240,241
1583759015,0,767
1583760722,241,240
1583762067,1,1
1583762673,40,41
1583764562,240,241
1583766241,4100,4086
1583772282,3,0
1583773082,4,2
1583776083,138,135
1583777315,4777,4772
1583779922,135,138
1583781311,134,0
1583783762,235,232
1583783980,1,0
1583784308,0,10
1583787841,5223,5222
1583791683,75,77
1583794875,2,2
1583795522,57,58
1583798641,5614,5594
1583799363,58,58
1583803202,838,877
1583804710,0,256
1583805579,4,2
1583809441,5915,6118
1583809507,1,0
1583810882,820,759
1583816606,5,0
1583820241,2440,2381
1583822403,794,800
1583827610,7,6
1583828273,0,2
1583831041,2028,1982
1583831128,1,0
1583837762,687,688
1583838305,11,0
1583838386,67,69
1583841841,3175,3135
1583845443,101,110
1583849499,3,5
1583850727,37,36
1583852641,4038,4020
1583856962,76,71
1583859637,1,0
1583860495,5,1
1583863506,4690,4654
1583864340,509,0
1583870706,0,5
1583871315,6,5
1583872322,70,67
1583874241,5136,5146
1583880010,158,157
1583881508,1,0
1583882303,5,5
1583885041,5573,5571
1583893430,7,7
1583895841,5835,5983
1583899203,872,886
1583903106,2,0
1583904460,3,0
1583906641,2410,2362
1583910722,617,610
1583914562,610,621
1583915489,2,1
1583917441,2176,2135
1583918402,617,610
1583921117,15,0
1583924790,65,72
1583926438,3,1
1583928241,3328,3307
1583929923,434,444
1583933762,77,81
1583935215,765,254
1583937348,2,1
1583937602,81,77
1583938569,37,21
1583939107,4190,4172
1583941442,77,81
1583945283,313,295
1583946972,4,1
1583948297,1,3
1583949122,295,313
1583949841,4830,4819
1583952962,328,311
1583953506,2,0
1583957107,0,9
1583959374,4,3
1583960642,226,208
1583960780,5269,5255
1583964483,7,8
1583968323,8,7
1583970295,1,2
1583971441,5737,5725
1583976004,123,123
1583981243,3,2
1583982492,6029,6217
1583983682,861,901
1583992295,4,2
1583993041,2498,2423
1583999043,583,565
1584000324,1,0
1584001581,0,5
1584003174,4,0
1584003841,2175,2118
1584006723,353,358
1584007519,5,0
1584011472,36,94
1584014641,3376,3355
1584022083,213,220
1584025441,4466,4442
1584026406,29,28
1584030725,2,15
1584033602,171,169
1584034331,1,1
1584036303,4751,4721
1584041858,3,7
1584043506,0,7
1584047107,5242,5227
1584048963,85,82
1584052731,0,3
1584057981,5665,5664
1584061505,1,0
1584063555,1,1
1584064322,130,137
1584068641,5956,6162
1584072002,863,862
1584074347,0,2
1584079441,2647,2595
1584079923,428,438
1584083763,438,428
1584085278,0,3
1584085511,255,0
1584087603,428,438
1584090377,2409,2391
1584093908,6,0
1584095283,622,593
1584095759,4,2
1584097221,50,70
1584101041,3723,3676
1584106690,7,1
1584110643,824,787
1584111841,4529,4504
1584114246,31,34
1584117833,5,2
1584121697,3,3
1584122641,5112,5092
1584126013,255,0
1584128894,1,1
1584129842,330,303
1584129904,0,8
1584130510,0,256
1584133441,5435,5431
1584137523,213,228
1584139668,2,1
1584144241,5811,5791
1584149042,37,915
1584150715,6,1
1584151504,1,0
1584155041,6175,6361
1584161670,0,4
1584165841,2598,2563
1584168252,847,26
1584172083,767,740
1584172811,1,0
1584176641,2527,2468
1584180306,3,0
1584183604,390,394
1584183619,45,48
1584187694,3656,3625
1584194179,2,5
1584195363,242,238
1584197111,0,511
1584198241,4411,4366
1584202328,47,46
1584205010,5,3
1584206882,239,243
1584209186,4901,4923
1584215587,0,3
1584216295,451,0
1584216973,0,14
1584218403,124,122
1584219841,5333,5287
1584222243,121,122
1584226083,247,252
1584227189,0,5
1584230782,5712,5733
1584233763,134,139
1584236779,5,8
1584241443,856,868
1584242181,5987,6216
1584247736,4,1
1584249122,872,853
1584249810,207,254
1584252241,2505,2440
1584252963,882,872
1584255899,1,0
1584256803,163,169
1584258405,1,2
1584259528,0,1
1584260643,169,163
1584263041,2290,2224
1584264482,397,421
1584266790,3,0
1584269489,3,0
1584270019,30,39
1584273841,3455,3416
1584276003,248,243
1584280502,2,2
1584284641,4300,4255
1584287762,471,481
1584290166,50,61
1584291599,4,3
1584295442,143,146
1584296780,5596,5111
1584302417,3,5
1584302692,0,1
1584306386,5218,5201
1584310803,338,305
1584313494,4,7
1584317041,5639,5640
1584322323,903,887
1584324173,1,3
1584326162,885,903
1584327983,5949,6201
1584330003,855,892
1584335094,1,5
1584338694,2575,2545
1584345363,747,722
1584345940,1,6
1584347177,0,2
1584349441,2077,1994
1584356695,7,3
1584357363,384,632
1584360380,3262,3196
1584361203,131,132
1584366473,3,3
1584368882,278,278
1584371092,4144,4087
1584371773,0,255
1584377496,1,3
1584378014,46,62
1584378295,1,0
1584380643,137,135
1584381893,4769,4754
1584383774,0,1
1584387911,254,0
1584388323,107,102
1584388573,6,3
1584389092,0,12
1584390073,0,1
1584392916,5256,5237
1584396483,100,108
1584399235,1,5
1584400323,102,105
1584403497,5564,5541
1584409863,3,8
1584411843,904,879
1584414241,5916,6199
1584415683,859,893
1584419730,0,2
1584425041,2543,2520
1584428696,255,0
1584430525,3,7
1584434180,0,3
1584434882,582,579
1584435841,2173,2103
1584439495,50,0
1584441550,1,2
1584442563,340,350
1584444086,55,45
1584446410,105,103
1584446641,3382,3316
1584450243,176,169
1584452633,2,7
1584454083,169,176
1584457441,4159,4128
1584461763,291,278
1584464793,1,3
1584465602,102,106
1584466330,52,61
1584468241,4719,4677
1584469443,106,101
1584471155,0,1
1584471888,2,0
1584473282,35,33
1584474173,2,4
1584475489,0,4
1584479090,5250,5259
1584484803,29,28
1584484930,1,8
1584488642,151,153
1584489841,5651,5659
1584495673,3,7
1584496323,894,865
1584499815,863,878
1584500641,5924,6178
1584506712,1,9
1584511496,2493,2460
1584515283,609,595
1584516417,1,12
1584518688,0,5
1584522241,2061,1992
1584527455,4,6
1584529493,47,71
1584530883,460,462
1584533187,3332,3241
1584534723,230,249
1584538448,5,4
1584539529,52,56
1584542402,29,25
1584543893,4047,4047
1584549299,1,5
1584550322,33,33
1584554186,33,33
1584554641,4610,4551
1584558003,174,174
1584558513,2,4
1584560214,1,9
1584562579,0,12
1584565441,5076,5088
1584565490,1,0
1584569522,6,9
1584571043,4,7
1584573362,82,79
1584576241,5389,5386
1584581992,5,11
1584584111,252,0
1584584883,42,869
1584587041,5752,5964
1584588723,866,37
1584593037,5,4
1584597841,2087,2056
1584603877,0,5
1584605496,0,3
1584607922,556,554
1584608711,1853,1795
1584611762,507,482
1584612296,6,0
1584614822,3,4
1584615619,35,31
1584616512,0,256
1584619490,2642,2584
1584623523,53,51
1584625490,1,7
1584627620,41,32
1584630289,3472,3414
1584631203,76,79
1584635043,79,76
1584636324,1,6
1584638882,197,199
1584641041,4079,4086
1584645851,1,1
1584647248,3,3
1584648291,0,6
1584650403,100,110
1584651889,4574,4565
1584658293,8,5
1584661923,142,153
1584662691,5009,4950
1584668910,4,1
1584673683,6165,6430
1584677087,1,0
1584679593,0,1
1584684241,2222,2207
1584685203,298,318
1584689043,318,298
1584690605,3,4
1584691500,0,16
1584692883,298,318
1584695106,1892,1798
1584699115,14,0
1584700562,543,512
1584701427,0,2
1584703595,40,51
1584705841,2802,2734
1584712401,1,5
1584715462,65,44
1584715923,114,113
1584716817,3633,3644
1584723318,4,4
1584723603,86,92
1584727441,4266,4236
1584731282,78,87
1584733210,0,1
1584734299,3,5
1584734802,0,17
1584738289,4817,5042
1584738962,14,17
1584741886,1,0
1584745189,3,2
1584749041,5110,5071
1584750482,53,62
1584756287,4,2
1584758163,52,870
1584759841,5555,5829
1584762003,586,0
1584765843,752,514
1584766096,1,8
1584769682,514,752
1584770641,1518,1492
1584776625,0,2
1584777363,788,566
1584778787,0,7
1584785283,510,464
1584787308,2,6
1584789124,165,269
1584792290,1,0
1584792972,184,111
1584797926,1,3
1584800642,153,234
1584803531,61,44
1584808261,5,1
1584812162,124,132
1584816002,19,13
1584819247,2,3
1584819842,99,111
1584821086,0,7
1584830032,2,6
1584831603,28,25
1584835443,90,100
1584835488,2,0
1584839897,2,2
1584843123,835,795
1584846288,1,0
1584849889,1,0
1584850898,3,5
1584854643,622,578
1584861429,2,0
1584864390,0,15
1584867909,2,0
1584870002,346,353
1584871488,2,0
1584872322,0,1
1584876090,60,74
1584877682,414,415
1584881522,73,72
1584883363,2,6
1584889210,261,254
1584891378,60,51
1584893042,82,81
1584893716,3,2
1584904563,186,185
1584904658,4,4
1584907481,0,8
1584915406,2,4
1584916082,187,199
1584923762,127,130
1584926177,2,1
1584927603,130,127
1584931443,127,130
1584935303,859,864
1584937121,0,5
1584943483,1,0
1584946803,418,417
1584948095,2,3
1584952916,0,16
1584957899,2,0
1584958563,508,460
1584961486,2,0
1584961595,63,73
1584962403,458,503
