DateTime,AddedIPs,RemovedIPs
1584064812,420,268
1584066616,520,515
1584068418,419,349
1584070216,526,437
1584072018,555,314
1584073821,440,399
1584075620,427,606
1584077420,431,563
1584079220,291,479
1584081019,138,394
1584082818,149,398
1584084619,182,368
1584086419,144,262
1584088219,197,136
1584090019,236,158
1584091824,202,147
1584093626,193,106
1584095420,192,196
1584097222,195,224
1584099021,207,228
1584100821,263,204
1584102620,274,171
1584104422,296,177
1584106224,191,217
1584108024,240,223
1584109822,214,249
1584111621,187,138
1584113421,234,287
1584115220,315,213
1584117022,304,235
1584118822,373,224
1584120623,336,173
1584122420,316,215
1584124222,356,292
1584126022,290,234
1584127819,256,315
1584129620,268,304
1584131419,298,305
1584133219,233,375
1584135020,273,354
1584136822,252,314
1584138618,229,331
1584140419,217,301
1584142220,249,239
1584144019,277,468
1584145818,755,103
1584147618,888,156
1584149419,602,323
1584151221,316,280
1584153019,283,1644
1584154819,305,141
1584156617,269,213
1584158420,310,542
1584160224,284,294
1584162020,225,649
1584163822,252,133
1584165620,237,126
1584167419,345,293
1584169217,224,200
1584171022,220,284
1584172819,195,292
1584174621,1212,795
1584176420,984,215
1584178220,660,706
1584180021,692,238
1584181821,614,55
1584183620,553,249
1584185423,510,1401
1584187224,565,510
1584189023,528,343
1584190821,1328,965
1584192620,942,602
1584194423,617,702
1584196224,589,681
1584198023,546,1983
1584199825,509,286
1584201621,579,451
1584203425,470,599
1584205224,651,231
1584207023,498,180
1584208825,491,748
1584210623,501,719
1584212425,441,362
1584214223,485,1021
1584216021,296,430
1584217824,347,69
1584219619,343,484
1584221421,435,766
1584223224,583,875
1584225021,557,63
1584226824,344,360
1584228626,752,619
1584230425,284,950
1584232224,671,131
1584234024,569,516
1584235824,1002,429
1584237623,696,253
1584239425,533,1105
1584241224,577,348
1584243024,504,644
1584244829,459,750
1584246626,439,452
1584248426,501,1072
1584250227,747,259
1584252029,445,221
1584253828,443,417
1584255624,492,441
1584257426,406,929
1584259225,508,505
1584261028,441,255
1584262826,508,614
1584264623,507,325
1584266425,702,649
1584268226,507,578
1584270025,594,432
1584271826,424,383
1584273624,484,643
1584275423,442,419
1584277225,561,819
1584279026,823,419
1584280825,711,395
1584282626,671,489
1584284427,453,499
1584286229,286,350
1584288024,253,209
1584289825,457,972
1584291624,273,696
1584293425,255,448
1584295225,361,156
1584297024,240,569
1584298826,258,372
1584300625,363,211
1584302423,496,204
1584304222,215,127
1584306023,318,419
1584307822,222,190
1584309621,246,311
1584311424,253,296
1584313223,255,211
1584315021,222,569
1584316822,307,293
1584318623,269,292
1584320425,227,269
1584322222,377,337
1584324022,589,170
1584325823,437,307
1584327623,365,287
1584329420,381,219
1584331223,249,923
1584333025,278,238
1584334822,225,372
1584336625,330,415
1584338423,201,288
1584340224,213,468
1584342024,865,147
1584343824,695,224
1584345624,475,268
1584347423,500,240
1584349223,534,1455
1584351025,474,389
1584352826,627,213
1584354625,811,493
1584356425,546,529
1584358219,774,630
1584360026,564,1021
1584361825,565,290
1584363626,679,308
1584365427,563,401
1584367225,449,558
1584369027,680,467
1584370824,503,949
1584372625,626,471
1584374425,335,458
1584376219,480,564
1584378026,555,775
1584379830,412,819
1584381627,556,456
1584383428,423,364
1584385218,718,381
1584387028,390,515
1584388832,589,497
1584390616,435,556
1584392425,1113,389
1584394225,724,637
1584396026,593,640
1584397823,640,548
1584399618,570,1397
1584401424,376,413
1584403218,483,431
1584405024,480,523
1584406824,448,768
1584408617,578,701
1584410418,435,528
1584412226,512,494
1584414020,461,650
1584415831,451,676
1584417620,459,489
1584419425,489,328
1584421223,527,344
1584423026,379,589
1584424821,424,702
1584426629,323,378
1584428419,345,293
1584430224,455,375
1584432021,612,365
1584433832,442,228
1584435622,477,296
1584437422,916,483
1584439229,593,743
1584441023,421,525
1584442833,436,692
1584444625,327,567
1584446418,91,85
1584448220,83,0
1584450022,113,7
1584451814,97,0
1584453617,105,0
1584455418,101,2
1584457219,136,6
1584459014,143,4
1584460814,125,2
1584462613,133,9
1584464414,107,39
1584466211,118,63
1584468011,127,17
1584469813,260,21
1584471610,127,18
1584473408,92,13
1584475206,153,16
1584477007,127,46
1584478806,125,27
1584480605,151,21
1584482404,159,31
1584484203,380,414
1584486003,90,525
1584487801,111,173
1584489601,165,274
1584491401,91,54
1584493201,69,96
1584495001,172,95
1584496801,97,102
1584498601,79,67
1584500401,94,94
1584502202,85,105
1584504001,81,112
1584505801,97,227
1584507601,86,92
1584509401,115,108
1584511201,95,102
1584513001,92,224
1584514801,101,117
1584516601,87,81
1584518401,209,106
1584520201,100,130
1584522002,99,131
1584523801,109,214
1584525601,109,150
1584527401,125,29
1584529201,95,109
1584531001,123,116
1584532801,129,112
1584534601,105,147
1584536401,128,85
1584538201,123,183
1584540001,116,97
1584541801,174,96
1584543601,97,78
1584545401,108,20
1584547201,102,92
1584549001,100,123
1584550801,97,119
1584552602,124,124
1584554401,115,190
1584556201,144,209
1584558001,113,101
1584559801,118,90
1584561601,140,92
1584563401,184,217
1584565201,148,95
1584567001,138,104
1584568801,89,102
1584570601,186,102
1584572401,93,102
