DateTime,AddedIPs,RemovedIPs
1584529321,23,25
1584529922,23,30
1584531122,29,25
1584532321,25,33
1584532922,35,0
1584533521,26,39
1584534722,21,27
1584535321,26,0
1584536521,30,55
1584537721,26,27
1584538921,41,35
1584539521,28,32
1584540121,18,24
1584540722,31,55
1584541921,33,35
1584543122,30,28
1584543721,33,63
1584544921,33,20
1584545521,25,30
1584546122,31,22
1584547321,13,18
1584547922,7,0
1584549121,34,35
1584550321,28,8
1584550921,22,60
1584552121,16,68
1584552721,28,32
1584553321,27,0
1584554522,14,30
1584555721,26,31
1584556321,10,29
1584556921,34,0
1584557521,29,0
1584558721,7,67
1584559321,33,0
1584560521,2,40
1584561721,34,31
1584562921,27,99
1584563521,34,0
1584564121,38,27
1584565321,34,0
1584565921,27,34
1584566521,13,28
1584567121,33,38
1584568321,27,27
1584568921,26,36
1584569522,40,0
1584570121,39,0
1584570721,28,30
1584571321,15,30
1584572521,36,29
1584573722,31,21
1584574921,12,16
1584576121,31,30
1584577321,29,28
1584577921,28,28
1584579122,23,66
1584579721,34,31
1584580921,37,47
1584582122,34,33
1584582721,33,45
1584584521,25,34
1584585122,32,25
1584586322,33,0
1584586921,36,48
1584588121,33,25
1584588721,25,0
1584589321,37,16
1584590521,36,29
1584591121,24,27
1584591721,37,71
1584592921,35,33
1584594121,37,0
1584595321,26,66
1584596522,24,34
1584597121,28,50
1584598321,35,61
1584598921,25,0
1584599521,23,23
1584600121,28,35
1584600721,40,30
1584601321,15,0
1584603121,29,15
1584603721,35,71
1584604921,19,0
1584605521,34,22
1584606121,46,36
1584607321,14,35
1584607921,32,0
1584608522,30,33
1584609121,28,0
1584609721,17,22
1584610922,29,24
1584611522,26,33
1584612121,9,67
1584613321,35,15
1584614521,23,67
1584615722,32,27
1584616921,30,34
1584618121,22,62
1584619321,33,68
1584619921,26,0
1584620521,31,0
1584621121,35,26
1584621721,29,25
1584622321,34,64
1584623522,34,0
1584624121,25,0
1584624722,34,11
1584625321,28,0
1584626521,33,67
1584627121,33,21
1584628321,30,29
1584628921,42,59
1584630121,33,0
1584631322,23,60
1584631921,29,41
1584632521,23,8
1584633722,24,5
1584634922,26,21
1584635521,30,15
1584636721,33,26
1584637322,29,0
1584637921,31,22
1584639121,26,40
1584639721,26,29
1584640922,39,12
1584642122,25,28
1584643321,25,9
1584643921,25,0
1584645121,32,74
1584645721,27,0
1584646321,18,24
1584646921,21,0
1584648121,12,53
1584649321,29,0
1584649921,32,41
1584650521,23,0
1584651722,25,42
1584652322,30,0
1584653521,29,43
1584654121,32,0
1584655321,23,56
1584655921,16,89
1584657122,28,28
1584657721,24,0
1584658321,28,21
1584658921,18,38
1584660122,26,24
1584661322,25,38
1584661921,23,0
1584662521,34,29
1584663721,28,0
1584664322,31,53
1584664922,39,0
1584666121,31,86
1584667321,42,28
1584668521,36,0
1584669121,30,35
1584669721,32,32
1584670921,29,0
1584671521,27,36
1584672121,25,0
1584673321,38,81
1584673921,19,0
1584674522,21,0
1584675122,33,54
1584675721,24,0
1584676321,15,52
1584677521,26,0
1584678121,26,28
1584679322,25,73
1584679921,30,0
1584680521,33,31
1584681721,18,0
1584682321,5,25
1584682921,21,34
1584684121,33,0
1584685322,23,84
1584685921,30,0
1584686521,28,29
1584687721,10,32
1584688921,18,15
1584690121,44,33
1584691321,32,35
1584691921,30,0
1584692521,29,23
1584694321,42,57
1584694921,19,18
1584696121,29,75
1584696721,15,0
1584697921,22,57
1584698521,33,40
1584699121,31,34
1584699722,22,0
1584700321,42,36
1584701521,28,0
