DateTime,AddedIPs,RemovedIPs
1584422522,0,6
1584423722,3,7
1584424921,4,0
1584425521,0,1
1584426721,1,1
1584427321,0,1
1584428521,1,0
1584429121,0,5
1584430322,0,1
1584431521,1,2
1584433322,0,5
1584435122,0,3
1584435722,1,0
1584436322,3,0
1584436921,1,0
1584437521,3,1
1584438121,2,12
1584439921,5,2
1584442321,3,4
1584442922,1,0
1584443521,0,1
1584444721,1,0
1584445922,2,3
1584447721,5,1
1584448921,1,0
1584449521,1,0
1584450121,0,1
1584451921,2,0
1584452521,7,0
1584453121,2,3
1584453721,7,0
1584454321,2,0
1584454922,0,2
1584455522,2,0
1584456121,0,1
1584457921,2,21
1584458521,2,0
1584459122,6,0
1584459721,0,14
1584460921,2,4
1584462121,1,0
1584463321,0,1
1584463922,1,0
1584464521,1,2
1584465721,1,4
1584466921,1,0
1584468122,6,4
1584468721,2,0
1584469321,1,0
1584469922,2,0
1584470521,1,0
1584471121,3,3
1584471721,2,2
1584472921,2,5
1584474721,1,0
1584475321,6,0
1584476521,17,1
1584477121,1,0
1584478322,5,1
1584479521,1,0
1584480121,1,1
1584480721,9,0
1584481322,3,0
1584482522,0,1
1584483722,15,6
1584484322,0,4
1584484921,1,0
1584487321,1,3
1584487921,2,2
1584488521,1,4
1584489722,2,0
1584490321,2,8
1584491521,1,5
1584492721,1,1
1584493321,0,3
1584493921,1,0
1584494521,0,3
1584495121,1,0
1584495722,0,2
1584496321,0,3
1584496921,2,2
1584498121,1,2
1584499322,0,1
1584499921,1,19
1584501122,2,0
1584501721,2,3
1584503521,1,3
1584504721,1,1
1584505321,1,1
1584505921,1,0
1584507121,2,1
1584507721,2,3
1584508921,2,0
1584509521,3,6
1584510121,0,4
1584511321,2,0
1584511921,1,2
1584513121,2,6
1584513721,0,1
1584514921,0,1
1584516121,0,2
1584517321,1,0
1584518521,1,6
1584519121,1,0
1584520921,3,0
1584521521,3,1
1584522721,1,0
1584523322,2,1
1584523921,1,0
1584524521,5,0
1584526321,9,0
1584527522,2,0
1584528121,1,0
1584529922,1,0
1584531122,3,0
1584531721,2,0
1584532321,2,5
1584533521,2,3
1584534722,0,1
1584537721,1,3
1584538321,0,1
1584539521,1,1
1584540722,2,1
1584541321,0,4
1584543122,2,0
1584543721,1,0
1584544921,0,1
1584545521,1,1
1584546122,1,5
1584547922,2,13
1584549121,1,2
1584550921,0,3
1584553321,0,2
1584554522,2,5
1584558122,1,2
1584559321,1,15
1584560521,0,2
1584561721,0,6
1584562921,0,1
1584564121,1,0
1584565921,1,0
1584566521,1,1
1584567121,0,3
1584568921,1,2
1584570721,0,2
1584571921,1,5
1584575521,1,2
1584576121,1,0
1584576721,1,0
1584579122,1,1
1584580321,0,1
1584580921,0,1
1584583321,2,3
1584585122,0,8
1584585722,0,2
1584586921,0,1
1584588121,1,2
1584591721,1,0
1584592921,0,2
1584594121,2,0
1584598921,0,1
1584600121,1,4
1584602521,0,2
1584603721,0,2
1584604921,2,0
1584606121,1,2
1584606721,2,0
1584607321,4,3
1584609121,1,0
1584610321,2,2
1584611522,1,0
1584612121,1,0
1584612721,0,2
1584614521,0,2
1584616921,0,3
1584618121,0,1
1584618722,1,0
1584619921,0,1
1584621721,1,0
1584622921,2,1
1584624722,1,2
1584625321,0,3
1584627721,1,7
1584628321,1,0
1584628921,0,1
1584630721,0,3
1584631921,1,0
1584632521,2,1
1584634322,2,1
1584634922,1,2
1584636121,1,0
1584636721,0,1
1584637921,0,2
1584639721,2,0
1584640921,0,4
1584641521,0,1
1584642721,25,1
1584643321,0,3
1584644521,0,2
1584646921,1,0
1584647521,1,2
1584649321,1,0
1584650521,0,2
1584651722,1,0
1584652921,0,3
1584654121,2,1
1584655321,4,2
1584655921,0,2
1584657122,0,1
1584657721,14,0
1584658921,7,10
1584660122,5,0
1584661322,2,1
1584662521,1,1
1584663121,1,0
1584663721,1,2
1584664321,1,0
1584664922,0,2
1584666121,1,0
1584668521,0,1
1584669121,0,1
1584669721,5,0
1584670921,1,0
1584671521,0,1
1584672721,0,3
1584673921,1,0
1584675721,2,4
1584677521,0,40
1584679322,1,8
1584680521,2,0
1584681121,2,0
1584681721,1,1
1584682921,0,3
1584684721,0,3
1584685322,1,0
1584685921,1,0
1584687122,1,0
1584687721,2,0
1584688921,1,1
1584689521,1,0
1584691321,2,2
1584692521,0,3
1584693121,0,3
1584694321,3,0
1584696121,1,0
1584696721,2,1
1584697321,1,0
1584697921,1,0
1584698521,2,1
1584699722,1,1
1584700921,1,0
1584702721,0,1
1584703321,4,1
1584705121,2,1
1584705722,1,3
1584707521,9,0
1584708121,0,1
1584709921,2,2
1584710521,1,0
1584713521,2,1
1584714721,4,0
1584715321,0,2
1584716522,3,0
1584718921,3,4
1584720121,1,0
1584721922,0,2
1584722521,1,0
1584723121,1,0
1584724321,6,0
1584724921,2,0
1584725521,1,0
1584726121,0,1
1584728521,1,0
1584729721,2,4
1584730321,1,0
1584732121,1,0
1584733321,0,1
1584734521,1,0
1584735721,1,0
1584736321,1,0
1584737521,1,0
1584739322,0,7
1584740521,2,5
1584741721,3,2
1584744121,1,3
1584746521,2,2
1584747722,4,4
1584749521,1,0
1584750722,1,4
1584751921,3,0
1584753121,0,2
1584753721,3,4
1584754922,1,0
1584756121,4,1
1584757921,0,5
1584759121,1,4
1584760322,5,1
1584760921,1,0
1584761522,2,0
1584762721,2,9
1584763922,0,1
1584764521,5,0
1584765122,3,0
1584765721,4,2
1584767522,1,1
1584768721,6,1
1584770521,7,0
1584771122,3,0
1584771721,1,0
1584772321,0,1
1584773521,0,1
1584774122,2,1
1584775921,4,0
1584777121,1,5
1584777721,5,0
1584778321,1,0
1584778921,0,2
1584781321,0,4
1584781921,1,0
1584782521,2,4
1584783721,1,1
1584786122,0,4
1584786721,1,0
1584787321,2,5
1584787921,1,0
1584789121,1,5
1584789722,0,3
1584791521,1,1
1584792121,4,0
1584793321,1,3
1584793921,1,1
1584794521,0,1
1584795121,1,1
1584795721,1,1
1584796922,3,0
1584798121,5,6
1584798722,0,4
1584799921,41,4
1584800522,0,3
1584801121,0,5
1584801721,0,5
1584802921,1,2
1584803522,1,0
1584804721,2,0
1584807121,0,1
1584807721,1,0
1584809521,3,1
1584810121,1,1
1584811321,2,1
1584812521,0,11
1584813122,11,0
1584813721,1,17
1584814921,0,8
1584815521,0,1
1584816121,1,0
1584817321,21,4
1584818521,1,1
1584819121,11,2
1584819722,7,0
1584820321,7,0
1584820921,4,1
1584821522,4,0
1584822122,1,0
1584823322,5,1
1584824521,4,2
1584825721,3,0
1584826921,0,9
1584829321,3,0
1584830521,2,0
1584831121,1,1
1584832321,2,0
1584835921,6,0
1584837121,1,3
1584837721,0,3
1584838921,0,3
1584839521,1,0
1584840721,1,0
1584841921,4,1
1584843722,0,3
1584844321,0,4
1584844921,3,0
1584847321,0,1
1584848521,0,4
1584850321,0,2
1584850921,0,1
1584852122,0,2
1584852721,0,1
1584854521,5,2
1584856321,1,2
1584857521,2,0
1584858121,0,2
1584860521,0,6
1584861121,2,0
1584861721,1,0
1584863521,3,3
1584864721,6,0
1584865321,7,0
1584865921,8,1
1584866521,1,0
1584868322,3,1
1584868921,0,3
1584869521,3,0
1584870121,1,9
1584870721,2,0
1584872522,1,0
1584873722,0,1
1584874921,2,1
1584875522,2,0
1584876121,0,2
1584877921,6,0
1584878521,2,4
1584879121,1,0
1584880921,0,1
1584881521,0,1
1584882721,1,0
1584883321,1,0
1584883921,0,2
1584885121,2,14
1584885721,5,17
1584886321,1,22
1584886921,0,17
1584888121,3,0
1584888721,0,2
1584889921,1,2
1584890521,0,1
1584892322,0,4
1584894122,0,3
1584895321,0,2
1584898921,0,1
1584900121,1,0
1584900721,2,3
1584901922,2,1
1584902521,1,0
1584903721,6,5
1584904321,0,1
1584904921,1,0
1584905521,12,38
1584906121,4,29
1584907921,1,1
1584908521,1,0
1584909121,1,2
1584909722,0,5
1584910921,0,1
1584912122,11,1
1584912721,7,0
1584913321,5,2
1584913922,2,1
1584915121,6,0
1584915721,3,0
1584916321,4,4
1584917521,17,0
1584918121,4,3
1584919321,10,6
1584919921,4,0
1584920521,1,0
1584921721,10,4
1584922321,0,1
1584923521,13,0
1584924121,2,0
1584925322,1,3
1584925922,4,0
1584926521,3,0
1584927121,3,4
1584928321,7,0
1584929521,8,0
1584930721,1,1
1584931321,0,3
1584932521,13,6
1584933721,4,3
1584934321,4,0
1584935521,9,4
1584936121,0,1
1584937322,7,8
1584938522,1,0
1584939721,23,2
1584940321,0,7
1584940921,0,7
1584942121,4,5
1584942721,3,0
1584943322,1,0
1584944521,6,7
1584946322,4,0
1584948121,14,3
1584949322,15,4
1584949921,1,0
1584950521,2,3
1584951121,2,10
1584952321,2,1
1584952921,2,4
1584954122,13,0
1584954722,6,3
1584955922,3,1
1584956521,5,0
1584958321,2,1
1584959521,4,1
1584960122,3,8
1584960721,0,1
1584961321,4,0
1584961921,5,0
1584962521,0,4
