DateTime,AddedIPs,RemovedIPs
1582715701,327,0
1582719301,177,0
1582722902,169,0
1582726502,216,0
1582731002,180,0
1582734602,131,0
1582738202,167,0
1582741802,132,0
1582749002,232,0
1582752602,113,0
1582756202,102,0
1582759802,127,0
1582763402,116,3672
1582767002,164,0
1582774201,335,0
1582778702,173,0
1582785902,289,0
1582789501,181,0
1582793102,214,0
1582796702,185,0
1582800301,189,0
1582803902,247,0
1582811102,433,0
1582815602,530,0
1582819202,184,0
1582822802,198,0
1582826402,141,0
1582830002,136,0
1582833602,131,0
1582837202,143,0
1582840802,120,0
1582844402,149,0
1582851602,237,3652
1582858802,374,0
1582862402,147,0
1582866902,181,0
1582870501,223,0
1582874102,198,0
1582877702,163,0
1582881302,261,0
1582885802,245,0
1582889401,167,0
1582893902,202,0
1582897501,159,0
1582901101,148,0
1582904702,127,0
1582911902,252,0
1582915502,126,0
1582923601,315,0
1582927202,135,0
1582930802,144,0
1582934402,114,4266
1582938002,142,0
1582941602,122,0
1582945202,151,0
1582948802,151,0
1582952402,137,0
1582956001,139,0
1582959602,145,0
1582963202,133,0
1582966802,132,0
1582974902,336,2
1582978501,138,0
1582985701,330,0
1582989302,106,0
1582992902,110,0
1582996502,125,0
1583000102,99,0
1583003702,108,0
1583007302,86,0
1583010902,132,0
1583014502,141,0
1583018102,92,0
1583022602,101,4039
1583029802,303,0
1583037002,254,0
1583040602,108,0
1583044203,109,0
1583048702,110,0
1583052302,101,0
1583059502,224,0
1583063102,96,0
1583070301,205,0
1583073902,90,0
1583078402,120,0
1583082002,134,0
1583085602,127,0
1583089202,133,0
1583092802,116,0
1583096402,121,0
1583100002,98,0
1583103602,98,1
1583107202,104,3249
1583114402,315,0
1583118003,178,0
1583121602,157,0
1583125202,175,0
1583128802,152,0
1583135101,274,0
1583138702,158,0
1583142302,204,0
1583145902,231,0
1583153102,377,0
1583156702,172,0
1583164802,422,0
1583168402,158,0
1583172002,152,0
1583175602,146,0
1583179202,118,0
1583182802,110,0
1583186402,177,0
1583190002,138,0
1583193603,118,2685
1583200802,351,0
1583204402,166,0
1583208002,256,0
1583212501,294,0
1583219702,510,0
1583223301,187,0
1583226901,189,0
1583230502,198,0
1583237702,391,0
1583242202,232,0
1583245802,202,0
1583249401,198,0
1583256602,436,0
1583260202,189,0
1583263801,216,0
1583267403,152,0
1583274601,287,0
1583279102,147,0
1583282701,126,3318
1583289901,343,0
1583293501,156,0
1583297102,187,0
1583300702,166,0
1583307902,344,0
1583311502,163,0
1583316002,197,0
1583319603,186,0
1583323202,148,0
1583326802,157,0
1583330402,180,0
1583337602,407,0
1583341202,315,0
1583348402,377,0
1583355603,287,0
1583362801,252,0
1583366402,125,4179
1583374502,398,0
1583381702,348,0
1583388902,361,0
1583392502,191,0
1583396102,209,0
1583399701,190,0
1583406902,1423,0
1583411402,300,0
1583418602,290,0
1583422202,218,0
1583425803,196,0
1583429402,200,0
1583433002,186,0
1583436602,156,0
1583440201,177,0
1583444702,178,0
1583448302,141,0
1583451902,109,0
1583455502,89,4124
1583459102,173,1
1583466302,363,0
1583469902,180,0
1583478003,409,0
1583481602,172,0
1583485202,153,0
1583488802,156,0
1583492402,303,0
1583496002,196,0
1583499602,200,0
1583503202,238,0
1583506802,148,0
1583510402,175,0
1583514002,164,0
1583517602,145,0
1583524802,242,0
1583532002,270,0
1583535602,152,0
1583536502,26,0
1583543702,237,5332
1583547301,146,0
1583550902,152,0
1583554502,182,0
1583558102,300,0
1583561702,185,0
1583566202,219,0
1583569802,121,0
1583573402,175,0
1583577002,133,0
1583584202,332,0
1583587802,130,0
1583591401,139,0
1583595002,154,0
1583602202,257,0
1583606701,156,0
1583610302,120,0
1583617502,237,0
1583621102,120,0
1583624702,98,0
1583628301,92,4069
1583635502,360,0
1583639102,154,0
1583643602,160,0
1583647202,187,0
1583650802,141,0
1583654402,114,0
1583658002,129,0
1583665202,254,0
1583668802,96,0
1583672402,109,0
1583676002,121,0
1583679602,97,0
1583683203,94,0
1583686802,101,0
