DateTime,Entries,UniqueIPs
1581462179,1297,1556
1581465779,1298,1557
1581469381,1297,1556
1581487380,1298,1557
1581505381,1296,1555
1581512580,1295,1554
1581530580,1295,1554
1581537781,1294,1553
1581544981,1295,1554
1581548580,1296,1555
1581555780,1297,1556
1581562980,1297,1556
1581570181,1296,1555
1581577381,1297,1556
1581580981,1296,1555
1581602581,1294,1553
1581606181,1292,1551
1581616981,1292,1551
1581620581,1291,1550
1581631381,1290,1549
1581634982,1291,1550
1581638582,1289,1548
1581642182,1291,1550
1581652982,1289,1548
1581656582,1290,1549
1581660182,1288,1547
1581666662,1285,1544
1581681782,1285,1544
1581699783,1274,1529
1581703382,1274,1529
1581706983,1275,1530
1581710584,1275,1530
1581724984,1273,1528
1581732184,1269,1524
1581735783,1268,1523
1581742984,1267,1522
1581746584,1267,1522
1581750184,1270,1525
1581753784,1271,1526
1581764585,1272,1527
1581771784,1274,1529
1581778984,1274,1529
1581789724,1275,1530
1581793385,1275,1530
1581796984,1271,1526
1581800524,1272,1527
1581804185,1272,1527
1581807785,1276,1579
1581811385,1278,1699
1581814984,1272,1717
1581818585,1273,1718
1581822185,1277,1738
1581825724,1267,1728
1581836585,1268,1729
1581843784,1267,1728
1581847385,1266,1784
1581850985,1267,1785
1581858186,1268,1786
1581861786,1266,1784
1581872525,1265,1783
1581879786,1266,1784
1581886985,1268,1786
1581897786,1269,1787
1581904986,1269,1787
1581908585,1269,1787
1581919387,1269,1787
1581930186,1268,1786
1581937386,1269,1787
1581948187,1270,1788
1581951787,1269,1787
1581969788,1270,1788
1581973386,1269,1787
1581976986,1268,1786
1581980587,1269,1787
1581991387,1270,1788
1581994986,1269,1787
1582005787,1268,1786
1582009388,1266,1784
1582023788,1265,1783
1582034528,1267,1785
1582048928,1268,1786
1582052587,1269,1787
1582056188,1270,1788
1582081388,1269,1787
1582088588,1270,1788
1582092128,1270,1788
1582102988,1271,1789
1582106588,1272,1790
1582113728,1272,1790
1582117329,1269,1787
1582124528,1268,1786
1582128190,1266,1784
