DateTime,AddedIPs,RemovedIPs
1581732184,1,0
1581735783,0,1
1581739383,0,1
1581742984,0,1
1581746584,1,0
1581750184,3,0
1581753784,1,0
1581764585,1,1
1581768185,1,2
1581771784,2,0
1581775384,0,1
1581778984,1,0
1581789724,1,0
1581793385,1,2
1581796984,1,1
1581800524,1,0
1581804185,2,0
1581807785,54,0
1581811385,120,0
1581814984,26,0
1581818585,1,0
1581822185,20,1
1581825724,1,0
1581836585,1,12
1581840186,0,8
1581847385,56,0
1581850985,1,1
1581858186,1,3
1581868986,1,1
1581876185,0,1
1581879786,1,2
1581883385,2,0
1581886985,2,1
1581897786,1,2
1581904986,2,2
1581908585,1,1
1581919387,1,1
1581926586,1,0
1581930186,0,252
1581933787,0,1
1581937386,1,2
1581948187,1,0
1581951787,1,1
1581955387,4,0
1581969788,1,1
1581973386,1,0
1581980587,1,0
1581987787,0,4
1581991387,1,0
1581994986,1,2
1582012988,1,0
1582020187,0,2
1582023788,0,1
1582027387,1,1
1582030987,0,1
1582034528,2,1
1582038188,0,1
1582045328,0,1
1582048928,1,0
1582052587,1,0
1582056188,1,1
1582059788,0,1
1582063387,0,1
1582066988,0,1
1582070588,0,1
1582077787,0,2
1582081388,0,1
1582088588,1,0
1582092128,1,1
1582095788,0,1
1582099389,0,1
1582102988,2,1
1582106588,1,3
1582110188,0,1
1582113728,2,0
1582124528,0,1
1582128190,2,1
1582131788,1,1
1582138988,1,2
1582146188,4,0
1582149788,0,1
1582153388,1,0
1582156989,2,3
1582164189,2,4
1582167789,3,0
1582171389,0,2
1582174989,0,2
1582182189,0,1
1582189329,0,1
1582192989,1,1
1582196589,3,2
1582200189,1,2
1582207389,0,1
1582210989,1,1
1582221789,1,0
1582228990,3,1
1582236190,1,0
1582243390,0,2
1582246990,1,0
1582250590,1,0
1582261930,1,1
1582264991,1,0
1582272191,0,1
1582275790,0,2
1582279330,0,1
1582282991,3,2
1582290191,0,1
1582300993,0,2
1582304592,1,1
1582308192,0,1
1582311731,1,0
1582315392,0,1
1582322593,4,0
1582326191,1,0
1582329792,4,0
1582333392,3,0
1582340591,0,1
1582347792,1,0
1582369393,1,5
1582372991,1,0
1582376592,0,1
1582380132,1,0
1582383793,0,2
1582387333,1,1
1582390992,1,0
1582394592,1,2
1582398192,1,1
1582401732,1,0
1582405394,1,2
1582408993,19,0
1582412532,1,0
1582416134,2,2
1582426992,0,16
1582430592,2,1
1582437793,1,1
1582441393,0,1
1582444992,3,0
1582448593,1,1
1582455792,3,2
1582459393,1,2
1582462993,2,0
1582466593,2,2
1582470194,0,1
1582473793,0,1
1582480994,0,3
1582484594,0,1
1582488193,1,0
1582491793,2,0
1582495393,1,2
1582498994,1,1
1582502595,2,1
1582506194,1,0
1582509794,3,1
1582520593,1,1
1582524193,0,1
1582527795,2,0
1582531395,2,1
1582534994,2,3
1582538595,1,0
1582542195,1,2
1582545795,2,0
1582549394,3,0
1582552994,2,0
1582560194,1,0
1582567395,4,0
1582574594,0,1
1582578194,1,0
1582585394,0,1
1582588934,2,0
1582592594,0,1
1582596194,1,1
1582599795,1,0
1582603395,2,0
1582610596,1,1
1582614194,1,0
1582621334,1,0
1582624995,0,1
1582628595,1,3
1582632135,2,0
1582635795,0,1
1582639395,1,1
1582642995,5,0
1582650195,1,1
1582660995,2,1
1582669995,0,1
1582671797,0,2
1582678997,2,0
1582686197,0,1
1582689797,1,1
1582704197,1,1
1582707796,0,1
1582711396,0,1
1582714996,1,1
1582718596,1,0
1582722137,1,0
1582725797,0,2
1582729459,0,1
1582730296,0,1
1582732938,1,0
1582736597,0,1
1582740196,1,1
1582743796,1,1
1582747396,5,0
1582750937,1,0
1582754596,0,2
1582761738,2,1
1582765336,1,0
1582772596,0,1
1582776196,1,0
1582779798,1,0
1582783398,1,2
1582786998,1,4
1582790597,0,1
1582794198,0,1
1582797798,1,0
1582804999,1,2
1582808599,2,2
1582812137,3,1
1582819398,2,1
1582830137,0,2
1582833797,1,1
1582837397,0,1
1582840997,0,2
1582844597,2,0
1582848198,0,2
1582851799,1,0
1582855338,3,1
1582858938,1,0
1582869799,1,1
1582894938,0,1
1582898538,0,1
1582905799,3,1
1582912998,0,2
1582916598,1,0
1582923798,1,0
1582927399,0,1
1582938199,1,0
1582941799,0,1
1582948999,39,1
1582952599,3,1
1582959859,0,1
1582963399,0,1
1582966999,1,1
1582977799,0,2
1582981399,1,2
1582992199,1,1
1582995799,0,1
1582999339,1,0
1583003000,1,0
1583006600,0,1
1583010200,1,1
1583021000,2,1
1583024540,9,0
1583028200,5,1
1583035400,2,1
1583038941,1,1
1583042601,0,1
1583049740,0,1
1583057001,0,1
1583067800,1,1
1583071342,1,0
1583075000,0,1
1583082201,3,1
1583085803,2,1
1583089342,1,0
1583092942,0,1
1583096601,5,0
1583107405,1,4
1583111001,1,1
1583118143,2,1
1583121802,2,5
1583125402,0,3
1583129002,0,1
1583132541,1,1
1583136202,2,1
1583139802,1,0
1583143401,1,1
1583146942,1,1
1583150541,1,1
1583154202,0,3
1583157802,1,0
1583161402,0,2
1583168543,1,0
1583172144,1,1
1583175802,0,3
1583183002,0,1
1583190143,1,0
1583197403,0,1
1583208202,1,1
1583226142,1,0
1583233343,0,1
1583240604,0,1
1583244202,1,1
1583251343,1,0
1583255003,1,1
1583258604,1,0
1583269403,3,0
1583276604,3,1
1583280204,5,3
1583283745,13,6
1583287404,3,0
1583290943,3,0
1583294604,4,0
1583301803,0,1
1583330604,0,1
1583337804,1,0
1583341404,1,1
1583348604,1,2
1583352204,1,1
1583363004,1,1
1583370204,1,2
1583373744,3,0
1583377404,0,1
1583391744,0,1
1583393245,0,1
1583399006,0,1
1583402545,1,1
1583409746,0,1
1583413345,1,0
1583424145,1,1
1583431346,0,2
1583435005,0,2
1583438605,0,3
1583449405,1,1
1583453005,1,1
1583456605,0,1
1583460147,0,1
1583463806,1,3
1583470946,2,2
1583478206,0,1
1583481806,0,1
1583489006,0,4
1583492606,1,1
1583496146,1,2
1583499746,3,1
1583503347,2,1
1583507006,1,1
1583510607,0,1
1583517807,0,2
1583521407,0,3
1583528606,0,1
1583532206,1,0
1583535806,1,0
1583539406,2,1
1583550208,0,1
1583553807,0,1
1583557347,0,1
1583561007,0,1
1583568207,1,0
1583571748,0,1
1583575348,2,3
1583578947,1,0
1583582608,0,1
1583589748,0,1
1583593407,1,1
1583596948,1,0
1583600608,6,0
1583604148,1,0
1583607807,0,1
1583618608,0,1
1583625808,1,0
1583629408,1,1
1583636548,0,2
1583640148,0,2
1583643748,1,1
1583647408,1,0
1583650948,1,2
1583654608,3,1
1583658150,2,0
1583661749,1,1
1583665348,1,2
1583676208,1,1
1583683409,2,3
1583690550,1,4
1583694150,0,1
1583697749,3,3
1583701349,2,3
1583705010,0,3
1583708609,5,1
1583715749,1,1
1583719409,5,0
1583733810,1,1
1583737409,1,1
1583740950,2,0
1583744549,1,0
1583751811,0,1
1583755409,1,2
1583759009,1,3
1583762065,69,95
1583768866,1,0
1583775674,2,0
1583779068,1,0
1583782499,1,0
1583789294,1,0
1583802955,1,0
1583815682,1,0
1583819102,2,0
1583839678,2,0
1583843093,1,0
1583846495,1,0
1583860343,2,0
1583905574,1,0
1583908789,1,0
1583912204,1,0
1583919101,1,0
1583925966,1,0
1583955427,1,0
1583972549,1,0
1584029845,2,12
1584033318,1,48
1584036761,1,0
1584046750,1,0
1584053669,1,0
1584060585,2,0
1584069874,6,0
1584073386,1,0
1584076848,5,0
1584083780,3,0
1584100060,1,0
1584113958,1,0
1584134797,1,0
1584141718,1,0
1584157992,2,0
1584164918,2,0
1584178812,1,0
1584185827,1,0
1584192781,1,0
1584199776,1,0
1584206668,1,0
1584213614,2,0
1584250692,2,0
1584263453,2,0
1584270370,1,0
1584284421,1,0
1584291411,1,0
1584312292,1,0
1584326090,1,0
1584333006,1,0
1584349245,13,0
1584356688,138,0
1584360631,5,0
1584364554,3,0
1584384525,4,0
1584391994,1,0
1584399677,15,0
1584403529,2,0
1584409867,7,0
1584413791,3,0
1584421196,1,0
1584428196,1,0
1584441313,1,0
1584448405,1,0
1584462370,1,0
1584469351,1,0
1584485643,1,0
1584494938,1,0
1584504200,1,0
1584507629,1,0
1584511067,1,0
1584531884,1,0
1584542232,1,0
1584545662,1,0
1584552552,1,0
1584568307,2,0
1584595534,2,0
1584633497,1,0
1584641166,1,0
1584649156,2,0
1584664772,7,0
1584668675,1,0
1584672613,10,0
1584680471,1,0
1584698686,1,0
1584706555,1,0
1584730202,1,0
1584738099,1,0
1584753795,2,0
1584769604,2,0
1584777484,1,0
1584781425,3,0
1584785365,2,0
1584796656,2,0
1584808442,2,0
1584812419,1,0
1584820300,1,0
1584832325,1,0
1584848395,1,0
