DateTime,Entries,UniqueIPs
1581732184,1074,1074
1581735783,1073,1073
1581739383,1072,1072
1581742984,1071,1071
1581746584,1072,1072
1581750184,1075,1075
1581753784,1076,1076
1581764585,1076,1076
1581768185,1075,1075
1581771784,1077,1077
1581775384,1076,1076
1581778984,1077,1077
1581789724,1078,1078
1581793385,1077,1077
1581796984,1077,1077
1581800524,1078,1078
1581804185,1080,1080
1581807785,1134,1134
1581811385,1254,1254
1581814984,1280,1280
1581818585,1281,1281
1581822185,1300,1300
1581825724,1301,1301
1581836585,1290,1290
1581840186,1282,1282
1581847385,1338,1338
1581850985,1338,1338
1581858186,1336,1336
1581868986,1336,1336
1581876185,1335,1335
1581879786,1334,1334
1581883385,1336,1336
1581886985,1337,1337
1581897786,1336,1336
1581904986,1336,1336
1581908585,1336,1336
1581919387,1336,1336
1581926586,1337,1337
1581930186,1085,1085
1581933787,1084,1084
1581937386,1083,1083
1581948187,1084,1084
1581951787,1084,1084
1581955387,1088,1088
1581969788,1088,1088
1581973386,1089,1089
1581980587,1090,1090
1581987787,1086,1086
1581991387,1087,1087
1581994986,1086,1086
1582012988,1087,1087
1582020187,1085,1085
1582023788,1084,1084
1582027387,1084,1084
1582030987,1083,1083
1582034528,1084,1084
1582038188,1083,1083
1582045328,1082,1082
1582048928,1083,1083
1582052587,1084,1084
1582056188,1084,1084
1582059788,1083,1083
1582063387,1082,1082
1582066988,1081,1081
1582070588,1080,1080
1582077787,1078,1078
1582081388,1077,1077
1582088588,1078,1078
1582092128,1078,1078
1582095788,1077,1077
1582099389,1076,1076
1582102988,1077,1077
1582106588,1075,1075
1582110188,1074,1074
1582113728,1076,1076
1582124528,1075,1075
1582128190,1076,1076
1582131788,1076,1076
1582138988,1075,1075
1582146188,1079,1079
1582149788,1078,1078
1582153388,1079,1079
1582156989,1078,1078
1582164189,1076,1076
1582167789,1079,1079
1582171389,1077,1077
1582174989,1075,1075
1582182189,1074,1074
1582189329,1073,1073
1582192989,1073,1073
1582196589,1074,1074
1582200189,1073,1073
1582207389,1072,1072
1582210989,1072,1072
1582221789,1073,1073
1582228990,1075,1075
1582236190,1076,1076
1582243390,1074,1074
1582246990,1075,1075
1582250590,1076,1076
1582261930,1076,1076
1582264991,1077,1077
1582272191,1076,1076
1582275790,1074,1074
1582279330,1073,1073
1582282991,1074,1074
1582290191,1073,1073
1582300993,1071,1071
1582304592,1071,1071
