DateTime,AddedIPs,RemovedIPs
1582597982,0,3
1582601582,1,1
1582605182,2,2
1582608782,1,0
1582612382,0,2
1582615981,1,3
1582619582,0,1
1582623181,1,0
1582626781,1,1
1582630381,2,0
1582633981,3,3
1582637582,1,3
1582641182,1,0
1582644782,1,0
1582648382,2,1
1582651982,0,1
1582655581,1,0
1582659181,3,1
1582666381,1,1
1582673582,0,3
1582684382,2,0
1582687981,0,5
1582691581,1,0
1582695182,5,1
1582698781,1,0
1582702381,0,1
1582709582,2,3
1582713182,2,0
1582716782,0,2
1582720381,2,0
1582723982,0,1
1582727582,0,4
1582731182,2,1
1582734782,1,0
1582738382,1,1
1582741981,1,0
1582745581,0,1
1582749182,2,1
1582752781,0,2
1582756381,2,0
1582759982,1,1
1582763581,6,1
1582767182,1,0
1582770782,1,1
1582777981,0,1
1582781582,3,0
1582785181,0,3
1582788782,0,2
1582795981,0,3
1582799582,2,0
1582803182,0,1
1582806781,0,2
1582810381,1,0
1582813982,1,3
1582821181,2,2
1582824782,2,1
1582835582,1,2
1582839182,1,0
1582842781,0,2
1582849981,0,2
1582857181,1,3
1582860782,0,2
1582867982,1,0
1582871581,1,0
1582875182,0,5
1582878782,1,0
1582882382,0,6
1582885981,0,2
1582893181,0,2
1582896781,0,3
1582900381,3,4
1582903982,0,3
1582907582,1,0
1582911182,2,3
1582914781,0,5
1582918381,0,1
1582921982,1,1
1582929182,0,3
1582932781,4,1
1582936381,1,2
1582939981,0,1
1582947181,0,1
1582950782,1,0
1582954381,2,2
1582957982,2,0
1582961581,0,5
1582968782,1,3
1582972382,0,3
1582975981,2,0
1582983182,1,1
1582986781,0,6
1582990381,1,0
1582993982,3,0
1582997582,1,5
1583001181,3,2
1583004782,0,1
1583008382,2,3
1583011981,1,0
1583015581,2,1
1583019182,0,1
1583029981,1,0
1583037181,0,4
1583040781,2,0
1583051581,1,0
1583055182,3,1
1583058781,3,2
1583062382,1,1
1583069581,0,6
1583076781,0,5
1583080381,1,1
1583083981,0,5
1583087581,3,0
1583091181,4,1
1583101982,0,1
1583109181,0,3
1583116382,1,0
1583119981,1,2
1583123582,1,0
1583130781,0,2
1583134382,1,0
1583137981,2,1
1583141582,1,2
1583148782,2,5
1583155982,0,2
1583159581,1,0
1583163182,0,1
1583166781,0,1
1583170382,2,2
1583173982,0,3
1583177582,1,3
1583181181,1,2
1583184781,2,0
1583188382,0,6
1583191982,1,0
1583199181,2,0
1583202781,0,1
1583206381,0,2
1583209982,1,0
1583213581,0,1
1583220781,0,1
1583224381,0,1
1583227982,1,0
1583231582,1,2
1583235182,2,2
1583238781,1,0
1583242381,0,8
1583250622,1,0
1583254223,3,0
1583267582,0,6
1583271182,1,0
1583274781,3,3
1583282420,2,1
1583292782,3,2
1583296382,1,1
1583299982,1,0
1583303581,0,2
1583307182,0,2
1583310782,1,1
1583314382,1,0
1583317982,3,2
1583321581,2,0
1583325181,1,1
1583335981,0,1
1583339582,0,3
1583343181,1,1
1583346782,0,2
1583350381,0,4
1583353982,0,4
1583364781,1,3
1583368382,0,5
1583371981,0,1
1583382781,1,0
1583386381,3,0
1583389981,6,0
1583393582,1,1
1583397182,2,0
1583400781,3,1
1583404382,0,1
1583411581,0,1
1583418781,3,3
1583422381,2,1
1583429581,0,3
1583433182,1,1
1583440382,0,1
1583443982,1,1
1583447581,2,0
1583451182,1,0
1583454781,0,2
1583458382,0,2
1583461982,1,0
1583465582,1,0
1583476382,4,0
1583483582,1,0
1583487182,1,0
1583494381,1,2
1583497982,3,0
1583501581,2,2
1583505182,0,1
1583512382,1,0
1583515982,0,4
1583519581,2,0
1583523181,3,1
1583526782,1,0
1583530382,1,0
1583541181,2,1
1583548381,2,1
1583551981,1,0
1583555582,0,1
1583562781,0,1
1583566382,0,1
1583569982,0,2
1583577182,0,1
1583584382,2,0
1583587981,0,3
1583591582,3,0
1583595182,1,1
1583598781,1,0
1583602382,0,2
1583609582,2,2
1583616781,0,1
1583620381,1,3
1583623982,1,0
1583627581,1,1
1583631181,0,1
1583634782,0,1
1583638381,1,0
1583641981,0,3
1583645581,1,1
1583649182,0,1
1583652782,1,1
1583656382,0,1
1583663582,1,6
1583667182,2,0
1583670782,0,1
1583674381,1,0
1583677981,0,1
1583681581,2,3
1583685181,4,0
1583688781,1,2
1583692381,0,5
1583695981,2,0
1583699581,0,2
1583703182,2,0
1583713981,1,0
1583717581,1,0
1583721181,0,1
1583724781,2,0
1583728381,1,1
1583731981,0,2
1583735581,0,1
1583739181,1,0
1583742782,2,0
1583746382,1,0
1583749981,0,1
1583753581,0,2
1583757182,1,2
1583760782,2,0
1583764381,1,0
1583767981,0,1
1583778781,2,0
1583785982,1,0
1583789582,1,0
1583793181,0,3
1583796781,1,0
1583800381,1,2
1583803981,0,7
1583811181,1,2
1583814782,1,0
1583818382,1,0
1583821982,2,0
1583825582,1,0
1583829181,1,1
1583832782,0,2
1583836382,1,1
1583843581,2,1
1583850781,1,0
1583854382,1,2
1583857981,0,2
1583868782,1,2
1583875981,0,6
1583883181,2,0
1583886782,1,2
1583893981,3,1
1583897581,1,0
1583901182,1,1
1583904781,0,2
1583911981,1,1
1583919181,1,3
1583922782,0,2
1583926382,3,1
1583929981,1,0
1583933581,4,2
1583937182,2,0
1583940782,1,1
1583947981,1,0
1583951581,1,0
1583955182,0,1
1583958782,2,0
1583962382,0,1
1583965982,0,1
1583969581,0,2
1583973182,1,0
1583983981,0,1
1583987582,0,2
1583991182,0,2
1583998381,1,2
1584001982,0,3
1584009181,1,0
1584012781,2,0
1584016382,1,0
1584019982,1,1
1584023581,2,0
1584027182,0,6
1584030782,1,0
1584041581,0,4
1584048782,0,1
1584052381,2,0
1584059581,2,0
1584070381,1,0
1584073981,1,0
1584081181,4,1
1584084782,1,0
1584095581,0,2
1584099181,1,2
1584102781,1,2
1584113582,2,2
1584117182,3,0
1584120781,1,0
1584124381,3,3
1584131582,1,0
1584135181,1,0
1584138781,2,0
1584142381,1,1
1584149582,1,2
1584153182,2,0
1584156782,1,0
1584160382,3,0
1584174781,1,1
1584185581,1,2
1584189182,2,0
1584192781,1,2
1584196381,0,2
1584199981,1,0
1584203581,0,1
1584210781,0,2
1584214381,1,0
1584217982,1,1
1584221581,0,2
1584228782,1,1
1584235982,0,1
1584243182,0,1
1584250382,1,0
1584253981,0,2
1584261182,2,0
1584264781,1,0
1584268381,1,1
1584271981,1,4
1584275581,4,1
1584279181,2,0
1584282781,1,1
1584286382,1,0
1584289981,1,0
1584293582,1,7
1584300782,1,2
1584304381,1,1
1584307982,1,3
1584311581,0,2
1584315181,1,0
1584318782,0,1
1584329582,1,0
1584347582,1,0
1584351182,0,4
1584358381,0,1
1584361982,1,1
1584369181,1,0
1584372781,0,4
1584376381,2,0
1584383582,2,0
1584387182,2,0
1584390781,3,0
1584397981,2,0
1584401581,2,0
1584405182,1,3
1584412381,1,1
1584419581,2,1
1584423181,2,0
1584426782,4,1
1584433982,1,0
1584437581,2,1
1584441182,2,0
1584444782,3,2
1584448381,1,0
1584451981,0,3
1584455582,1,0
1584459181,2,3
1584473581,1,2
1584477181,1,0
1584484381,1,0
1584487982,0,2
1584491581,2,3
1584495182,1,0
1584498782,0,2
1584502381,1,2
1584505982,0,3
1584516781,0,1
1584520382,1,0
1584523981,1,1
1584527581,2,1
1584534782,0,3
1584538381,3,0
1584541982,0,3
1584545582,1,0
1584549181,0,1
1584556381,3,2
1584563581,1,4
1584567181,3,2
1584570782,1,0
1584574382,0,1
1584577982,1,0
1584581581,2,0
1584595981,1,1
1584603181,1,0
1584606781,1,0
1584610381,1,0
1584613981,2,0
1584617582,2,1
1584624781,2,2
1584631981,2,0
1584635581,1,2
1584639181,1,0
1584642781,2,0
1584646381,1,0
1584649981,1,0
1584657181,1,1
1584664381,1,2
1584675182,1,3
1584678782,1,0
1584682382,0,1
1584689582,1,0
1584696781,1,0
1584703981,1,1
1584711182,2,2
1584714781,1,0
1584721981,0,2
1584729182,1,2
1584732781,1,1
1584736382,1,0
1584739981,3,1
1584743581,1,2
1584750781,2,1
1584754382,0,2
1584757981,1,1
1584761581,0,1
1584765181,1,0
1584768781,1,0
1584772381,2,2
1584775982,4,1
1584783181,2,0
1584786782,0,1
1584790382,1,0
1584793981,1,0
1584797581,2,0
1584801182,2,0
1584804781,1,3
1584808381,1,0
1584811982,1,1
1584815582,4,0
1584819181,3,1
1584822782,0,1
1584826381,1,0
1584829982,4,0
1584833582,1,2
1584837181,2,0
1584851581,1,0
1584855182,1,1
1584858782,1,0
1584862382,1,0
1584865981,1,0
1584869582,1,3
1584873182,1,1
1584876781,1,0
1584880381,0,3
1584883982,3,4
1584887581,1,0
1584894782,1,3
1584898382,1,0
1584901981,1,0
1584905581,1,2
1584912782,1,0
1584919981,1,0
1584923582,1,0
1584930781,3,0
1584934381,1,2
1584937981,2,0
1584941582,0,1
1584945182,6,1
1584948781,1,0
1584952382,0,1
1584955981,1,0
1584959581,1,0
